	scores	logfoldchanges	pvals	pvals_adj
B2M	5.8688345	0.31936562	4.388689801075216e-09	4.547706661534175e-05
MTRNR2L12	5.0253553	2.1669202	5.025016233136476e-07	0.0026035446606585606
CYBA	4.8513613	0.54645383	1.226169931757465e-06	0.004432493535164664
RPL21	4.7267356	0.5085903	2.2815782807446524e-06	0.0064479476375917276
TMSB4X	4.5515375	0.46693403	5.325525098263459e-06	0.011036973248647743
HLA-C	4.4835052	0.4768336	7.3426722120827225e-06	0.013427155944530329
MS4A1	4.401024	0.4776738	1.077412585921118e-05	0.016443315282125417
RPL36	4.394401	0.4513525	1.1107846396391861e-05	0.016443315282125417
NEAT1	4.152375	1.2253774	3.290423847849927e-05	0.0403204106195654
IFITM1	4.14214	1.5059897	3.440799917536998e-05	0.0403204106195654
RPL41	4.1379256	0.9077351	3.504597402648285e-05	0.0403204106195654
COTL1	4.128895	1.1844318	3.645109336395408e-05	0.0403204106195654
NAPSA	4.1216702	2.35316	3.7613533244359266e-05	0.0403204106195654
LCP1	4.0891595	0.98814243	4.329395122923807e-05	0.04341545360849432
SERF2	4.039189	0.61428314	5.3636405383549e-05	0.052106091692449626
RPL39	3.9314208	0.39348713	8.444531740004084e-05	0.07500433091471628
PCBP1	3.92239	1.3998913	8.767493627101216e-05	0.07570974288491542
ATP5F1E	3.902522	0.65191287	9.519552583150337e-05	0.07998225166280934
GPX4	3.844123	0.85535586	0.00012098442337031231	0.09897480971876049
MX1	3.8067954	1.3998997	0.00014077913980764845	0.11221541331282993
ACTB	3.7839172	0.32547244	0.00015437916418710484	0.11997962692711321
FGR	3.6924047	0.92371446	0.00022214345356648862	0.1628965007237562
HMGB1	3.5141964	0.48295718	0.0004410863823597871	0.2856677576753896
HLA-DQB1	3.5081758	0.5295776	0.00045119052699138816	0.28624816148125065
ODC1	3.476869	1.2325772	0.0005073054649523528	0.3154120997794758
NKG7	3.4359293	1.747979	0.0005905250020082547	0.35995393602805126
TLN1	3.3913772	1.0918573	0.0006954231021568824	0.4157426533990577
ELOB	3.3329778	0.82262355	0.0008592177456137333	0.4842491237885654
HLA-DPA1	3.2848134	0.2801969	0.0010204991313732816	0.5565659034561615
GNAS	3.2107606	1.086893	0.0013238414498826007	0.6637783734274258
SCPEP1	3.1957092	1.053974	0.0013948758290550575	0.6882937285370566
LITAF	3.139116	0.6885703	0.0016945830278318808	0.7981742816092375
PSMB9	3.1342998	0.5987639	0.0017226484935889646	0.7992831898537335
CIB1	3.095166	0.62502724	0.0019670274021742658	0.8612532514280479
CLECL1	3.0831249	1.2360913	0.0020483913110448055	0.8723060368006831
KLF2	3.0120823	0.7033028	0.0025946213447335118	1.0
UQCR11	3.0108783	0.6673556	0.002604932213145216	1.0
OSTF1	3.007868	0.74350953	0.0026308734889906996	1.0
CD22	2.953081	0.85002315	0.003146193846362354	1.0
CLEC2D	2.865783	0.7381939	0.00415979279726083	1.0
SUN2	2.854946	1.619302	0.0043044146212163625	1.0
MTRNR2L8	2.798955	3.3300643	0.005126830287491986	1.0
LAPTM5	2.768852	0.29344824	0.005625416444390252	1.0
SKP1	2.7598212	0.5416699	0.005783299084219384	1.0
TOX	2.7423618	2.3334427	0.0060999135939158655	1.0
SSBP2	2.7255042	1.4164397	0.006420337391783865	1.0
SRGN	2.7182794	0.99583477	0.006562238583922331	1.0
ITGAX	2.7170753	1.2952397	0.006586161101859255	1.0
PLEK	2.7158713	0.7603231	0.006610162014277249	1.0
HLA-DMA	2.7074425	0.39654747	0.006780382156554039	1.0
CTSC	2.6646965	1.3330168	0.007705782202114926	1.0
DAPP1	2.6412163	0.70537704	0.008260893817361042	1.0
WSB1	2.637604	0.6702453	0.008349400442880964	1.0
LY6E	2.6183383	0.52922845	0.008835915991489484	1.0
S100A8	2.615328	1.6539439	0.008914180178255028	1.0
VCAN	2.6020827	3.2814794	0.009265947805079545	1.0
COX5A	2.5906436	0.8631304	0.009579660324151074	1.0
VPS29	2.5677657	0.996295	0.010235632812088667	1.0
ITGB2	2.5653574	0.62513745	0.010306956928713036	1.0
SERP1	2.5629492	0.5268376	0.010378723045704641	1.0
TNIP2	2.5533164	1.2976658	0.010670254061753082	1.0
MBNL1	2.5340505	0.51278245	0.011275246311607815	1.0
TXNIP	2.5117745	0.47910815	0.012012581712071839	1.0
ELF1	2.4882944	0.67265147	0.012835744539176547	1.0
GRINA	2.484682	1.0208759	0.012966719791753798	1.0
POU2F2	2.451569	0.5338471	0.014223491897060786	1.0
IFITM2	2.4359155	0.42892623	0.014854151985227465	1.0
STK17A	2.3799243	1.0001336	0.017316189659510005	1.0
POMP	2.3714957	0.8638007	0.017716255800042508	1.0
CD99	2.3618627	0.6220803	0.01818337252488263	1.0
SEC61B	2.3606586	0.56297565	0.018242513812255508	1.0
TNFRSF1B	2.3522298	0.78357816	0.018661238614810043	1.0
MYO1F	2.330556	1.5679324	0.01977679017635614	1.0
IFI44L	2.3179128	2.3716002	0.020454064965930385	1.0
SLC11A1	2.310086	0.99229175	0.020883393233507554	1.0
HLA-B	2.3046675	0.27111438	0.021185202121086065	1.0
GAPT	2.3028615	0.83225703	0.021286645975493755	1.0
LSM7	2.2968407	0.46723905	0.02162785388070719	1.0
BCAS4	2.2956367	0.84248114	0.02169666388542579	1.0
RPL12	2.2920244	0.1720403	0.02190423841420238	1.0
CD52	2.2866058	0.30386844	0.022218839622061403	1.0
PPDPF	2.2793813	0.28042248	0.022644415808019056	1.0
S100A9	2.278779	1.7081733	0.022680198157904802	1.0
