	scores	logfoldchanges	pvals	pvals_adj
B2M	5.774319	0.32938635	7.72648626230837e-09	5.67763597636715e-05
MTRNR2L12	5.0525293	2.2296965	4.359975324222738e-07	0.001224637796295545
CYBA	5.0525293	0.6770108	4.359975324222738e-07	0.001224637796295545
HMGB1	4.7521157	0.7173661	2.0129903387255946e-06	0.004784258653508054
NAPSA	4.2563004	2.29987	2.078371993682487e-05	0.029188845222185365
RPL36	4.1100817	0.38869828	3.9551918139302285e-05	0.05313198325000099
KLF2	4.0402956	0.9312567	5.338392642458284e-05	0.06729734134414943
RPL41	4.035643	0.94990146	5.445297386813398e-05	0.06729734134414943
RPL39	3.9532287	0.36880147	7.710369919605457e-05	0.08007371324086267
RPL21	3.882113	0.42194486	0.00010355271248711454	0.10219281992927992
MX1	3.876796	1.5741357	0.00010584102785826965	0.10219281992927992
MS4A1	3.6734188	0.41954815	0.00023932681246071567	0.2174847213117274
ATP5F1E	3.6508212	0.6319446	0.0002614031127137006	0.2260974224434486
COTL1	3.5491326	1.0745667	0.00038650235323780613	0.3061990566150896
PCBP1	3.5291936	1.2002658	0.0004168279424441158	0.3219683234423961
NEAT1	3.501279	1.0960624	0.0004630305518749631	0.3406251181257318
LCP1	3.44545	0.86608714	0.0005701092067652562	0.39143698136502497
ACTB	3.369682	0.29690567	0.0007525494720253798	0.4745208374932277
ODC1	3.3524017	1.1398026	0.0008011369020206901	0.4950545372346652
TLN1	3.3311334	1.1871812	0.0008649311968252875	0.5239956703590374
IFITM1	3.2972372	1.3231841	0.0009764098036469706	0.5656289254152257
CD22	3.2952433	0.94598407	0.0009833647654430744	0.5656289254152257
PSMB9	3.2899263	0.6364877	0.0010021362170108687	0.5656289254152257
CLEC2D	3.288597	0.8924502	0.0010068806323538665	0.5656289254152257
MTRNR2L8	3.263341	3.3561773	0.0011010692830831358	0.5934631030653383
SERF2	3.2600179	0.5872398	0.0011140518489752929	0.5934631030653383
WSB1	3.2161522	0.84146297	0.0012992190376154634	0.6580650918886062
TMSB4X	3.1137989	0.3310077	0.0018469529854979786	0.8779277906604775
OSTF1	3.0672748	0.7482498	0.0021602021101732654	0.9815259499709321
HLA-DQB1	3.0373664	0.45827228	0.00238655237656599	1.0
HLA-C	3.027397	0.3092634	0.002466698910918253	1.0
GPX4	3.0207505	0.6900122	0.0025214901757056583	1.0
GNAS	2.9901774	1.1232849	0.002788154005642219	1.0
SELENOH	2.9682446	0.76955557	0.002995058577555787	1.0
NKG7	2.9629276	1.7222662	0.0030472825571481645	1.0
FGR	2.9336839	0.75775445	0.0033496527379420827	1.0
SUN2	2.9051046	1.6478957	0.003671303494590903	1.0
KDM5A	2.8333244	1.325108	0.004606660716191864	1.0
SSBP2	2.7961051	1.563559	0.005172258500429797	1.0
LITAF	2.7582211	0.7025701	0.005811688291550609	1.0
CSK	2.570795	0.68763673	0.010146538462334613	1.0
PDCD10	2.5229416	1.3989547	0.011637776830616548	1.0
ATP6V1G1	2.512972	0.38342792	0.01197188365321614	1.0
POLM	2.502338	1.669063	0.012337611142329973	1.0
PSMB3	2.4830637	0.82147175	0.013025783664352114	1.0
DAPP1	2.473094	0.7150703	0.013394886626510385	1.0
IFITM2	2.4704356	0.4634765	0.01349486227758507	1.0
POMP	2.4684417	0.9034598	0.013570276137315564	1.0
CIB1	2.4511611	0.550342	0.014239614195185182	1.0
IFI44L	2.449832	2.32616	0.014292288206864484	1.0
HLA-DPA1	2.4365394	0.16564807	0.014828555239322085	1.0
RBM6	2.4126127	1.1302383	0.0158386429341492	1.0
LY6E	2.4079602	0.49797714	0.016041929307150555	1.0
SKP1	2.3760579	0.48471785	0.017498717010667367	1.0
BCAS4	2.374064	0.95859826	0.017593500698396342	1.0
MRPL52	2.3654237	0.87169784	0.018009449495945025	1.0
LBH	2.3454847	0.58817226	0.019002351250492565	1.0
POU2F2	2.33618	0.5502319	0.019481862231992053	1.0
TMSB10	2.3262105	0.25506085	0.02000732240897577	1.0
UBL5	2.3056068	0.54905236	0.021132604758863468	1.0
CLECL1	2.3049424	1.0025924	0.02116980428542532	1.0
HLA-E	2.3042777	0.07966889	0.021207060843005766	1.0
UBE2N	2.2889912	0.9992812	0.0220798661551332	1.0
CDC42SE2	2.2710462	0.95609367	0.023144187070546347	1.0
SEC61B	2.2683876	0.58452815	0.023305594184353483	1.0
HLA-B	2.2610767	0.2721753	0.02375451217965154	1.0
TOX	2.255095	2.0726535	0.02412736974723803	1.0
GRINA	2.2517717	1.0166188	0.024336697314886246	1.0
SH3BP2	2.2298388	2.0211952	0.025758136754266383	1.0
FMNL1	2.2138877	1.219752	0.026836498934285996	1.0
ILF3-DT	2.187967	1.1649888	0.028671994708801597	1.0
TMF1	2.1640403	1.0088348	0.03046124736264929	1.0
FLNA	2.1573942	0.7018945	0.030974970161512197	1.0
CD52	2.14676	0.22890829	0.03181239333886175	1.0
IRF5	2.1347966	1.3956139	0.03277762558683303	1.0
RNPEPL1	2.1301441	1.8347819	0.03315970933415785	1.0
STK17A	2.126821	0.88382715	0.03343495441361631	1.0
KHDRBS1	2.1221685	0.639705	0.03382357972477896	1.0
BAX	2.1062174	0.7555285	0.03518546602294136	1.0
ELOB	2.1009004	0.5825133	0.03564970848902127	1.0
COX17	2.0802968	0.747634	0.03749831430328976	1.0
ITM2B	2.076309	0.48971534	0.037865376613573816	1.0
MBNL1	2.0590286	0.47104633	0.039491495797696216	1.0
IFI6	2.0570347	1.7283463	0.03968288463123205	1.0
NUDT21	2.0523822	1.1765239	0.04013252181937063	1.0
SRI	2.0430775	0.8163697	0.04104476947588799	1.0
SYT1	2.031114	1.2562145	0.04224342094913285	1.0
RPL23	2.0291202	0.40244162	0.042446047875412035	1.0
OAS1	2.0138338	1.2819709	0.04402699795252965	1.0
BTLA	2.013169	1.2949032	0.04409684778548225	1.0
HBB	2.009846	2.0143592	0.04444750167738747	1.0
PLEK	2.0085166	0.60306627	0.044588420535212336	1.0
SLC11A1	2.0038643	0.9642256	0.045084608289796275	1.0
SCPEP1	1.9992118	0.73563135	0.04558544353533751	1.0
CD180	1.995224	1.0233464	0.0460184546117973	1.0
RAD23A	1.977279	0.591789	0.04801010804286105	1.0
FCRL5	1.9739558	0.7426926	0.048386770246157694	1.0
RPL37	1.9712973	0.20670047	0.04868988426200861	1.0
SRGN	1.9659802	0.914732	0.04930089663484405	1.0
PSME2	1.9619924	0.62673473	0.04976336666555824	1.0
LAT2	1.9560107	0.6944821	0.05046388933916794	1.0
COX6C	1.9560107	0.44486764	0.05046388933916794	1.0
VCAN	1.9520229	2.8133276	0.050935480273469315	1.0
UPF2	1.9486998	0.92607135	0.051331286983917354	1.0
UQCR11	1.9473705	0.43773237	0.05149032899951856	1.0
CD83	1.9420534	0.48923603	0.05213062716755757	1.0
PTP4A2	1.9407243	0.7368657	0.05229173817015444	1.0
ADAM28	1.937401	0.55386114	0.052696338101908234	1.0
RAC1	1.9367365	1.0674441	0.052777571293189995	1.0
HMGN1	1.9354072	0.41211066	0.05294035167055513	1.0
SNX8	1.9108158	1.0971539	0.05602825791294885	1.0
CTSC	1.9074926	1.0541254	0.05645682433981889	1.0
ATP5F1D	1.9035048	0.4880646	0.056974702505215906	1.0
S100A11	1.8696086	0.83905745	0.06153818579664767	1.0
BSG	1.8676147	0.58097154	0.061815790842854636	1.0
SUMO2	1.8649563	0.37303555	0.06218754243787743	1.0
TSPAN3	1.8589746	0.42387962	0.06303074925008384	1.0
LSM3	1.8543221	0.8972844	0.06369309148267237	1.0
RPL22L1	1.8536575	0.4733111	0.06378817945554385	1.0
AKT2	1.8516636	0.96886563	0.06407414710679378	1.0
UQCRB	1.8483404	0.49527797	0.0645531117808474	1.0
IFI16	1.8450173	0.8276829	0.0650350274636161	1.0
S100A8	1.8410295	1.2397889	0.0656172396759252	1.0
GAPT	1.8383709	0.73229367	0.06600776317689874	1.0
IGKC	1.8383709	0.7046477	0.06600776317689874	1.0
DBI	1.8264076	0.5925216	0.0677888911400004	1.0
ORAI1	1.8224198	1.7928135	0.06839131415707206	1.0
GABARAPL2	1.818432	0.45983344	0.0689981311805096	1.0
N4BP2L2	1.818432	0.51447546	0.0689981311805096	1.0
SPCS2	1.8171028	0.4464875	0.06920138382625521	1.0
WIPI2	1.8157735	1.1551291	0.0694051280033237	1.0
PPDPF	1.8024808	0.19967428	0.0714697862397279	1.0
LSM7	1.7964991	0.37500858	0.07241516656036587	1.0
ITGB7	1.7918468	0.6591369	0.07315751994247323	1.0
NBEAL1	1.7885236	1.1056371	0.07369157503081643	1.0
ERGIC2	1.7772249	1.5235791	0.07553125374869475	1.0
CYTIP	1.7745663	0.65667325	0.07596952322324506	1.0
MCL1	1.7739017	0.5716195	0.07607941416268313	1.0
CHMP4B	1.7732371	1.1502737	0.0761894347389588	1.0
PPA2	1.7719078	1.25114	0.07640986521912524	1.0
MIOS	1.7692493	2.2364256	0.07685228641009165	1.0
ARPC2	1.7619383	0.28130546	0.07807972004341618	1.0
SCP2	1.7493104	0.7425728	0.08023739381598137	1.0
SERP1	1.7433287	0.36817297	0.0812762268704053	1.0
RPS29	1.7419994	0.38226572	0.081508554817879	1.0
