	scores	logfoldchanges	pvals	pvals_adj
RPL41	13.90039	1.7073151	6.299765896272874e-44	4.896020560435872e-40
MTRNR2L12	12.989394	3.2596257	1.4053478055749e-38	7.28134120531782e-35
PCBP1	12.515873	2.2978327	6.113203905725328e-36	2.3755146227160413e-32
RPL39	9.466823	0.48839146	2.884863126963756e-21	5.605108751745143e-18
KLF2	9.242894	1.5088574	2.3991738142807274e-20	4.1435064646969426e-17
HBB	8.871172	3.4010012	7.238029056469637e-19	1.1250430463923581e-15
PCBP2	8.665845	1.035626	4.4817840386449734e-18	6.057618278667665e-15
MTRNR2L8	7.914901	3.8997195	2.4745040862898865e-15	2.9586503280959116e-12
FOS	7.23288	0.92781574	4.72857041992131e-13	4.741840924003025e-10
B2M	7.0878243	0.26514328	1.3623660088583865e-12	1.2833900641630504e-09
ODC1	6.955169	1.6658921	3.5213891702434903e-12	3.2196889745693935e-09
RPL21	6.932099	0.5273218	4.146421251789874e-12	3.682851355839766e-09
RPL34	6.8259745	0.34168008	8.733033912866211e-12	7.337400682412755e-09
LYN	6.818621	1.389573	9.191856592531583e-12	7.519664365579719e-09
IFITM1	6.646313	1.6560504	3.005250154258829e-11	2.3356052886361055e-08
FOSB	6.2927585	1.1488825	3.1187339001372446e-10	2.0628102287992876e-07
NAPSA	6.1599593	2.7519953	7.276373390642058e-10	4.6163391754059115e-07
CYBA	6.156643	0.5729228	7.430321437863348e-10	4.619728050777158e-07
DUSP1	6.1292467	0.5888471	8.829621366228353e-10	5.382087047292957e-07
ACTB	5.9628506	0.41352132	2.4787475139641496e-09	1.4269782216037688e-06
PTP4A1	5.9438176	1.8573304	2.7845934698468162e-09	1.5739028581295997e-06
ZFP36	5.7764125	0.77568173	7.631012396645023e-09	4.09009107542248e-06
NFKB1	5.4740453	1.5324563	4.3987665231954016e-08	2.1705469032789753e-05
TMSB10	5.3448505	0.28157327	9.0491643004198e-08	4.1986771732410494e-05
PNRC1	5.2857327	0.5544886	1.2520269797646424e-07	5.723788635285799e-05
ARF6	5.247378	1.031456	1.5427922416974084e-07	6.950838031543093e-05
JUN	5.233536	0.73563576	1.6629793437939016e-07	7.385291265788717e-05
IER2	5.2215676	0.8619175	1.7741462835306655e-07	7.768012044523633e-05
EIF4G2	5.1872506	0.7507718	2.1342156767967412e-07	8.965724695213554e-05
COTL1	5.0917964	1.2664331	3.546867847112981e-07	0.0001431967282638977
CD69	5.0606513	0.79774886	4.178267254550409e-07	0.00016236224267776071
NFKBIA	5.015231	0.7432057	5.296969660311355e-07	0.0002017188728709183
ATP5MF	4.937513	0.9685246	7.912526034727446e-07	0.00029282940100187156
MX1	4.920931	1.4638208	8.613358861797498e-07	0.0003150158669843516
IFI44L	4.918191	2.9459498	8.734758749405294e-07	0.00031574121539856094
IGKC	4.8706083	0.9842677	1.1125518300541495e-06	0.0003930215766010607
SUN2	4.8205743	1.4259605	1.431455624143087e-06	0.0004944406776415127
RPS2	4.817402	0.32738364	1.4543943616093244e-06	0.0004968434892236161
SUB1	4.809904	0.71636295	1.5100267883644945e-06	0.0005102413344552939
HLA-DRB5	4.7232456	0.77440685	2.321101256743261e-06	0.0007676178166848696
ATP5F1E	4.669174	0.54271615	3.0241271366664203e-06	0.0009626681340287733
IRF7	4.668453	1.3728929	3.0347565585234917e-06	0.0009626681340287733
IFITM2	4.633703	0.6806869	3.5918139810681547e-06	0.0011278658710047042
CMPK1	4.6267824	1.3015177	3.7139048894297472e-06	0.0011545416129770255
HSPA8	4.6194286	0.6639472	3.847982416636728e-06	0.0011843785087721384
CD180	4.560599	1.3720958	5.10079265104937e-06	0.001510174677554017
FAM107B	4.5275793	1.1603755	5.966321071693404e-06	0.0017173613255160448
HLA-DQA2	4.506239	1.7086926	6.598672115689419e-06	0.0018648447278221544
SNX3	4.482736	0.60540307	7.369204263044742e-06	0.0020454147582613562
DYNLL1	4.469759	1.2772313	7.830779953740908e-06	0.0021542960745304742
UBE2D3	4.4301066	0.71622324	9.418652503016652e-06	0.002568400441765602
EIF2AK2	4.3551273	1.4731245	1.3298944853622727e-05	0.0035035957513946587
SEC61G	4.347197	0.8763962	1.3788830561239683e-05	0.003602129207203849
CHCHD10	4.343304	0.8926727	1.4035573202194872e-05	0.0036360322011386
BIRC3	4.3307595	0.7962339	1.4859598964161419e-05	0.0038176888677593887
