	scores	logfoldchanges	pvals	pvals_adj
RPL41	12.98243	1.6237187	1.539175205924082e-38	9.511179267487272e-35
PCBP1	11.730304	2.1364467	8.913827860607455e-32	3.442631742614857e-28
MTRNR2L12	11.615597	2.8876514	3.4338251476825385e-31	1.1788321731994156e-27
KLF2	9.643477	1.5730458	5.238267864967698e-22	1.0789784148260464e-18
HBB	9.075702	3.5579002	1.1294757882763675e-19	1.836705970019733e-16
RPL39	9.020293	0.4800985	1.875860361081476e-19	2.897922878816718e-16
MTRNR2L8	8.16614	3.95413	3.1841600906725647e-16	4.099208096729593e-13
ODC1	7.6674676	1.7323835	1.7542562022047857e-14	2.0074538473896766e-11
PCBP2	7.554628	0.9355533	4.200583418952855e-14	4.635193781978084e-11
B2M	7.094088	0.260366	1.3020703595622086e-12	1.087299132416042e-09
LYN	7.0027275	1.3727126	2.510270782295585e-12	2.0410483252785973e-09
RPL21	6.4486475	0.5218077	1.1285261700839757e-10	8.504408067581609e-08
FOS	6.403512	0.77254134	1.5184301316820582e-10	1.1170222804423942e-07
IFITM1	6.28149	1.6254282	3.3534370201143865e-10	2.4095614793133534e-07
FOSB	6.2495837	1.1424255	4.115484859873809e-10	2.759894625662809e-07
JUN	5.9180694	0.83312345	3.2574217837822674e-09	1.8989539783683154e-06
NFKB1	5.8832064	1.5419524	4.023942509557371e-09	2.3023657725517425e-06
NAPSA	5.856903	2.8350935	4.715786313960123e-09	2.649157268044108e-06
DUSP1	5.7985377	0.5425141	6.689563837341054e-09	3.6260956821460803e-06
PTP4A1	5.7605615	1.8137203	8.383456824764737e-09	4.465925267495794e-06
RPL34	5.7501335	0.29876378	8.91729493398789e-09	4.669790874159725e-06
ATP5F1E	5.603209	0.6608379	2.104191266271273e-08	1.0657901238357956e-05
COTL1	5.590291	1.3600068	2.2668945498420165e-08	1.1296813049430448e-05
ACTB	5.5599413	0.40086558	2.6986574811599086e-08	1.3234987332602807e-05
CYBA	5.4614205	0.51435316	4.7233918052230955e-08	2.2452097939381226e-05
PNRC1	5.2788544	0.5765874	1.2999393067048894e-07	5.656933064684644e-05
IER2	5.203058	0.8607373	1.960359726522347e-07	8.185031685183912e-05
EIF4G2	5.1742644	0.7797267	2.2881083314387252e-07	9.426091082194972e-05
CD69	5.161813	0.7985595	2.445695414156942e-07	9.942717264632503e-05
ARF6	5.068429	0.99149585	4.011130236741921e-07	0.00015888703964694247
SUN2	5.027962	1.5388006	4.957193602876503e-07	0.0001914530134350941
SEC61G	5.0192466	1.065766	5.187457299150134e-07	0.00019787267675536012
MS4A1	4.998546	0.36448207	5.776415378673959e-07	0.00021502880235528836
ZFP36	4.9154344	0.6488425	8.85858617791444e-07	0.00032583778230836006
HLA-DRB5	4.8556685	0.78920645	1.1998134873415987e-06	0.00043275012797919764
IGKC	4.845552	0.9799938	1.2626028882172058e-06	0.00044839817743962075
MCL1	4.824696	1.1523978	1.402170055176082e-06	0.000481364979941949
GAPT	4.8109994	0.96314836	1.5017732076862145e-06	0.0005098932615151755
CMPK1	4.8075757	1.4032934	1.527717246414366e-06	0.0005130639104615725
TMSB10	4.720261	0.2487981	2.3554191784725362e-06	0.0007825310360996339
RPS2	4.7162147	0.3183547	2.402729970194272e-06	0.0007897568924371535
