	scores	logfoldchanges	pvals	pvals_adj
MTRNR2L12	35.051517	3.2597651	3.6971704453836174e-269	2.873348440891013e-265
RPL41	33.75453	1.5987817	9.172909586760613e-250	5.703164806472544e-246
PCBP1	30.04771	2.0429387	2.3389895783249e-198	6.610197183762378e-195
KLF2	28.031343	1.701817	6.744461010846372e-173	1.6128081495706245e-169
RPL39	25.376316	0.49988765	4.605442350199598e-142	9.139407429872885e-139
FOS	24.349516	1.3356888	5.866102763636637e-131	9.117976830658607e-128
JUN	24.142103	1.1918314	9.038164170383384e-129	1.277133679839583e-125
DUSP1	23.593546	1.005598	4.489409675371691e-123	6.067925155577381e-120
CD69	23.511477	1.2970028	3.1127738872347057e-122	4.031950076352721e-119
PCBP2	22.441538	1.027186	1.5480137383649924e-111	1.8508885801750967e-108
HBB	20.420464	3.0445037	1.1001531403884184e-92	1.1793262301811986e-89
ZFP36	19.920881	0.9873426	2.6822407772561873e-88	2.77942730141877e-85
FOSB	19.820993	1.3515264	1.9619883478075892e-87	1.967494573170791e-84
RPL21	19.21425	0.4838349	2.8126782548960164e-82	2.5716979091162486e-79
IFITM1	17.712994	1.3976907	3.328882688634126e-70	2.3519312759447516e-67
NFKB1	17.517998	1.7908499	1.0443651112857804e-68	7.057864829248056e-66
NFKBIA	17.073097	0.7662026	2.353715904506305e-65	1.5243742984039064e-62
RPL34	17.049896	0.30112642	3.5015243219523176e-65	2.221467073398606e-62
IER2	16.770094	1.0201845	4.0387148904629966e-63	2.4144524961504454e-60
TMSB10	16.051544	0.34258243	5.5760133679978476e-58	3.0410794310692823e-55
STK17A	16.030718	0.9845111	7.797667529211053e-58	4.179415353113517e-55
ODC1	15.871168	1.3834399	1.0035602766283229e-56	5.03188359992656e-54
NAPSA	15.75591	2.264893	6.255291742114037e-56	3.0866389585253817e-53
PNRC1	15.641597	0.52691364	3.7909970832453845e-55	1.84141759885702e-52
LYN	15.456802	1.2377907	6.788587053288188e-54	3.246720088085691e-51
MTRNR2L8	15.435742	3.377079	9.411126635981783e-54	4.432783238375238e-51
PTP4A1	15.314786	1.790542	6.091220913895529e-53	2.747947103784744e-50
PPP1R15A	14.450557	0.73262024	2.486693164353697e-47	9.910747487213254e-45
ARF6	14.389208	1.0172739	6.048478814184557e-47	2.3503632612069414e-44
RPL38	14.371364	0.5137285	7.827437093900042e-47	3.004093048618156e-44
ATP5F1E	13.836639	0.5930033	1.5320278830051166e-43	5.474270206779317e-41
CMPK1	13.746187	1.3470489	5.368520933982753e-43	1.896491025849112e-40
TMSB4X	13.737439	0.28890243	6.0580860131985466e-43	2.116041796542733e-40
KLF4	12.754137	1.6092896	2.956289710584104e-37	9.77682747158809e-35
AC016831.6	12.584712	1.7905923	2.5627588076608695e-36	8.298800318099317e-34
CYBA	12.558325	0.43490216	3.5782960574342975e-36	1.1467885519325774e-33
SUN2	12.18592	1.4628747	3.69460161809465e-34	1.1719804132827386e-31
JUNB	12.15926	0.5763426	5.122040481301318e-34	1.6083724489112533e-31
B2M	12.041043	0.1763093	2.1620449543853546e-33	6.721149149697752e-31
COTL1	11.933601	0.9336223	7.907645349034661e-33	2.386650203547966e-30
JUND	11.905474	0.8676912	1.1083181033100531e-32	3.312912007461502e-30
RPS28	11.597233	0.24875578	4.256180092045011e-31	1.2251099122352155e-28
HLA-DQA2	11.536013	1.7176455	8.685855352515285e-31	2.47722188388663e-28
IFI44L	11.026662	2.6937125	2.842188400471332e-28	7.819036354464805e-26
IGKC	10.768941	0.89028585	4.825202080530269e-27	1.2931125610124524e-24
SUB1	10.48655	0.6584996	9.959906776863583e-26	2.6239289997657474e-23
PRR7	10.337715	1.1077116	4.757448272003201e-25	1.2023967026972643e-22
TSC22D3	10.319803	0.31251872	5.734052327143676e-25	1.437536166886415e-22
RPS21	10.308732	0.29927945	6.434449012479998e-25	1.6002217316077256e-22
RHOB	10.284645	0.9084799	8.264576297785685e-25	2.0390546299147902e-22
RPL36	10.2415495	0.25112647	1.2915144434319e-24	3.1366648049193346e-22
ACTB	10.151384	0.21862122	3.266961632804474e-24	7.872871029379278e-22
TNFAIP3	10.068975	1.3005792	7.576290870595831e-24	1.8117242638016354e-21
SFPQ	10.050466	0.73932993	9.143396412154991e-24	2.169776826447803e-21
RAC1	9.978062	1.2490582	1.901449652739363e-23	4.478057981417316e-21
CDKN1A	9.91078	0.8953126	3.737159554503256e-23	8.605709560803164e-21
EIF4G2	9.879262	0.5866749	5.120851012802857e-23	1.1705286429044296e-20
RPS2	9.841115	0.17609365	7.487616540592304e-23	1.6990331050904596e-20
YWHAZ	9.731608	0.37677845	2.2107010187291595e-22	4.980004534002419e-20
HLA-DRB5	9.725426	0.5984498	2.3492102865049574e-22	5.2539496529913386e-20
IRF2BP2	9.533707	0.97272193	1.5176541587622945e-21	3.299252785555486e-19
MYL12A	9.45742	0.48844305	3.156342295504268e-21	6.813973120857027e-19
GNB2	9.400143	0.8411737	5.4489020528451594e-21	1.168207021495155e-18
DUSP2	9.373317	1.2009418	7.028838422463571e-21	1.4966130139666098e-18
CHPT1	9.27958	1.1420652	1.7014820275675967e-20	3.5262647860662585e-18
LAMP1	9.257461	1.2274277	2.0935211850023475e-20	4.2816640183005245e-18
COX7C	9.14722	0.37407044	5.841786433784378e-20	1.1716362249487417e-17
YPEL5	9.119924	0.5973112	7.517715437760663e-20	1.4980975629081137e-17
GAPT	9.022123	0.85180414	1.8447833547462501e-19	3.629669629683334e-17
CLEC2D	8.966087	0.7072877	3.0723501885032282e-19	5.969384394374991e-17
MCL1	8.947055	0.9433187	3.650916603448965e-19	7.005928669840617e-17
GRK6	8.888605	1.2805836	6.188090176331905e-19	1.1801788914823922e-16
ARL4A	8.877822	0.59950376	6.818253629379132e-19	1.2924332352226162e-16
MX1	8.822648	1.2906693	1.1178437315350678e-18	2.1060853383170095e-16
RNASE6	8.759309	1.3501669	1.9645057520364738e-18	3.6789512237083045e-16
FAM107B	8.686957	1.0045421	3.722745582014827e-18	6.929879754975744e-16
PLPP5	8.633554	0.5301064	5.9474078441796214e-18	1.1005182598334041e-15
NOP10	8.503926	1.002155	1.8328412253789202e-17	3.332019600780964e-15
KLF6	8.467701	0.39126998	2.5028324025889665e-17	4.5235785406560005e-15
MBNL1	8.409599	0.44074494	4.1141442622684394e-17	7.392855646308611e-15
ARHGAP45	8.313274	0.78551495	9.309700351065087e-17	1.644378720531593e-14
TMA7	8.216094	0.40444186	2.1023808739263725e-16	3.6924697303813075e-14
TUBA1A	8.19082	0.4387386	2.5945369914764775e-16	4.53125682326007e-14
ATP5MF	8.157916	0.64061993	3.408529171055659e-16	5.91960594081605e-14
KHDRBS1	8.146202	0.64289254	3.755317705898001e-16	6.485642306847287e-14
DBI	8.122569	0.58440226	4.564162444700652e-16	7.839012039691115e-14
RPS29	8.090839	0.4071162	5.9254884313832075e-16	1.0121190047604933e-13
IFI16	8.076189	0.64017665	6.682221737463336e-16	1.1351378532924739e-13
CSRNP1	7.995786	0.63376194	1.2874983843707123e-15	2.1752425149419747e-13
GADD45B	7.9509497	0.59647906	1.8508748495766203e-15	3.1101700783128863e-13
IRF7	7.945569	1.0327818	1.9330134442722553e-15	3.2307305882844945e-13
IFITM2	7.8508487	0.45744044	4.13231918553067e-15	6.869593931582457e-13
WASHC1	7.7974305	1.0156425	6.3180387506800366e-15	1.0392003737692607e-12
XAF1	7.7134404	1.0709186	1.2247046305622161e-14	1.962494476818949e-12
NSMCE3	7.7115183	1.2554663	1.243295333631253e-14	1.9820677967484493e-12
PHACTR1	7.4964695	0.6779826	6.555973040130789e-14	1.0345458573530247e-11
KLF10	7.457747	1.1050054	8.80143174341551e-14	1.3818692353917067e-11
RPL22L1	7.427932	0.43410763	1.1030876211045448e-13	1.7232002450892957e-11
SLC2A3	7.401113	0.54126316	1.3504759297327886e-13	2.088668916796179e-11
RPS10	7.379652	0.5198037	1.5870363531193752e-13	2.4423860945258425e-11
AREG	7.372917	0.7393112	1.6693418202758937e-13	2.556395525463877e-11
DDX5	7.3575025	0.26038617	1.8738290153899378e-13	2.8554765981091665e-11
PLEKHF2	7.311062	0.70186967	2.6503987900878723e-13	3.999657630459305e-11
STX7	7.3005886	0.5485465	2.8651189447457487e-13	4.302799644217927e-11
BIRC3	7.2847576	0.45501655	3.222493322014659e-13	4.8162331683398896e-11
SNX3	7.2449455	0.38850936	4.3261251208952146e-13	6.434748881974618e-11
SIAH2	7.226799	1.5129836	4.945105023836131e-13	7.320403803618753e-11
POLR2L	7.190022	0.6778911	6.478095571306729e-13	9.544291802142762e-11
CD180	7.1204777	0.9653966	1.0755349791552822e-12	1.5479238841203823e-10
PPP3R1	7.1076813	1.6965225	1.1800851183877022e-12	1.6905671002450922e-10
CYCS	7.0587964	0.54152685	1.6795095794641552e-12	2.3949960686606507e-10
BTG2	7.0433664	0.39896983	1.876497194975055e-12	2.6636834840269193e-10
RNPEPL1	7.0395904	1.4585859	1.928057033341205e-12	2.7244322270671836e-10
HNRNPF	7.031819	0.6429505	2.038584869874487e-12	2.867578635737022e-10
RPL37	7.013642	0.20083392	2.321930901786545e-12	3.24123683460206e-10
CYB5A	7.0049243	1.0672021	2.4711923694109905e-12	3.4295516601731903e-10
EAF2	6.987686	0.4872521	2.7945702110182025e-12	3.861102406663238e-10
TMEM248	6.970281	0.9253214	3.163084255378263e-12	4.350920364909029e-10
GNAS	6.966861	0.5847089	3.2409147569815757e-12	4.43833995816239e-10
MZT2B	6.9538674	0.6632922	3.5540551338541137e-12	4.845829471321177e-10
BTLA	6.952006	0.83328545	3.6012833676394938e-12	4.88878148689122e-10
COX7B	6.910529	0.5930422	4.8284889684788275e-12	6.52622767665658e-10
TRIM22	6.907646	0.5911359	4.9276145163870865e-12	6.631374565840924e-10
ATP5MPL	6.8997684	0.58206964	5.208736437705437e-12	6.97948231202366e-10
IFRD1	6.8160586	0.6381465	9.35722650084912e-12	1.2431115394525496e-09
BCL2	6.7858343	0.70365334	1.1541747909006497e-11	1.5203318527427328e-09
AC044849.1	6.764404	1.544113	1.3385939712600806e-11	1.7558173326819463e-09
HSPA8	6.702533	0.37661156	2.048373207890041e-11	2.664342172120406e-09
RPL29	6.668427	0.19657122	2.5855973593705062e-11	3.3491027129479553e-09
ATP5MD	6.661972	0.57628375	2.7017756261709268e-11	3.485066344015585e-09
LCP1	6.650197	0.4526313	2.927006422416674e-11	3.758021226075901e-09
GM2A	6.6496673	1.1842031	2.937559616355531e-11	3.758021226075901e-09
RNF187	6.643871	1.6482478	3.0555030559950057e-11	3.892886209086752e-09
BCL2A1	6.642615	0.87705296	3.081667098540698e-11	3.910195309891211e-09
SRSF5	6.6326184	0.27050048	3.297840361097615e-11	4.167478183148032e-09
TMEM123	6.601524	0.51842725	4.0695248418357486e-11	5.101182207989835e-09
COX6C	6.5179954	0.38315293	7.12531208788066e-11	8.860183075037843e-09
SSU72	6.464169	0.64936376	1.01857029733959e-10	1.251553155470191e-08
SEC62	6.4292836	0.35819754	1.2820686785557744e-10	1.5691208271757228e-08
TRMT112	6.425704	0.45488232	1.3126052941919873e-10	1.600194540413581e-08
SELL	6.4178567	0.34751496	1.3820621813334452e-10	1.6782877746528444e-08
DNAJA1	6.4050074	0.61410666	1.5036211342176128e-10	1.8187965058141218e-08
BZW1	6.395389	0.48461154	1.601388577216259e-10	1.9295490968961956e-08
CHCHD10	6.350091	0.44980788	2.151874631116703e-10	2.5828311450781833e-08
IER5	6.3345327	1.1687279	2.380618059983581e-10	2.8246669324698316e-08
NENF	6.3168554	1.5317818	2.6693933651938587e-10	3.155263556797775e-08
ELAVL1	6.295553	1.2773905	3.063055145768974e-10	3.579744184831583e-08
PLSCR1	6.2912173	1.421922	3.1498645814479603e-10	3.659787135973342e-08
FMNL1	6.29096	0.81861025	3.1550903993336625e-10	3.659787135973342e-08
R3HDM2	6.284573	1.2006991	3.28756124440744e-10	3.7992719853120475e-08
MEF2C	6.209906	0.34169495	5.301634355594856e-10	6.015033109940776e-08
NDUFA3	6.204238	0.57106435	5.496257668429731e-10	6.213169532308184e-08
SEC61G	6.1786	0.5623395	6.467262337152321e-10	7.284340009965734e-08
VAV3	6.1746798	1.3784719	6.629767050289792e-10	7.413653535696358e-08
UBB	6.144335	0.25625363	8.029932591617121e-10	8.947186898767077e-08
USF2	6.119741	0.9258438	9.372764722131987e-10	1.0332309819748833e-07
SRM	6.1041746	1.4546753	1.0333312860265671e-09	1.1350943352900315e-07
ATP5PF	6.008107	0.49535218	1.877016205995551e-09	2.0473965893257438e-07
AC116366.2	5.988546	2.1774507	2.1172567358728445e-09	2.3013692359468225e-07
LYL1	5.971224	1.0234181	2.3548014650636197e-09	2.550652025938423e-07
HLA-DQB1	5.966623	0.31120718	2.4221407531310688e-09	2.614482277520331e-07
RNF139	5.9639974	0.953977	2.461409728572056e-09	2.647676271007595e-07
SNHG9	5.962953	0.783975	2.4771985229738116e-09	2.655471395989203e-07
RPL28	5.954084	0.09352182	2.615325259009177e-09	2.793904341127776e-07
COX5B	5.9481134	0.37090468	2.7125079339770553e-09	2.887799114504956e-07
RSL24D1	5.945109	0.42656744	2.7627282350301546e-09	2.9312263700471814e-07
NDUFA1	5.876216	0.41954163	4.197508170993119e-09	4.4083762335021316e-07
RBM38	5.8718343	0.806646	4.309991616449063e-09	4.5112696761128626e-07
IL4R	5.864986	0.4297519	4.491707395931877e-09	4.685694893199136e-07
RPL23	5.8493137	0.2634167	4.936046228754926e-09	5.114895637110146e-07
ANKRD13A	5.848527	0.9011989	4.95945285165315e-09	5.122076770742242e-07
SERF2	5.8312354	0.22705969	5.5018452149384944e-09	5.644747927286897e-07
EIF2AK2	5.774367	0.88527566	7.72429610560482e-09	7.847228530553498e-07
PDCD4	5.756735	0.4169644	8.575638922039358e-09	8.68374225307614e-07
SRSF7	5.728206	0.28424776	1.0149824213101375e-08	1.0244402120541638e-06
RAP1B	5.720283	0.47609875	1.063467541958341e-08	1.0699034134905808e-06
CHMP1B	5.7193294	0.5829476	1.0694520166406303e-08	1.072453381977654e-06
DDX24	5.716	0.38045564	1.0906079804119645e-08	1.0866580220213699e-06
MYADM	5.706155	0.6023559	1.1555692585779528e-08	1.14770548055632e-06
CLEC2B	5.6988373	0.5973578	1.2062738324776344e-08	1.1942495105169497e-06
CAPZA1	5.6977777	0.5261612	1.213791587064264e-08	1.1978774307005325e-06
EPSTI1	5.6785717	1.1849498	1.3582403605826682e-08	1.331975334051527e-06
COX7A2	5.677043	0.35658574	1.3704289386343221e-08	1.3397020256391563e-06
USP12	5.664179	1.2903016	1.4773041229533709e-08	1.4396537075313932e-06
ISG20	5.659979	0.3453421	1.5139170203531038e-08	1.4707230753661543e-06
RPL30	5.6568537	0.09269772	1.541732732806754e-08	1.4898862633526719e-06
CLK1	5.656687	0.6127176	1.5432282844904955e-08	1.4898862633526719e-06
PRR13	5.6497025	0.30440035	1.60725911167634e-08	1.5468998143864513e-06
SKP1	5.6310034	0.27235088	1.7916419569742803e-08	1.7190362196438102e-06
ZFAND3	5.627908	1.2189084	1.824079552147685e-08	1.7447741857727722e-06
DDIT4	5.6063566	0.68551445	2.0663010189451433e-08	1.9570473162341967e-06
DDIT3	5.584729	0.739603	2.340648613524515e-08	2.1916790195372467e-06
HERPUD2	5.582209	0.6140358	2.374826008047001e-08	2.2170034868515653e-06
PLAC8	5.578168	0.40171203	2.430646509625452e-08	2.2564504806202524e-06
TNFAIP8	5.5710626	0.4170117	2.531906205682883e-08	2.342540720716184e-06
SERTAD1	5.5601654	0.7649842	2.6951908646153945e-08	2.478857941073928e-06
MS4A1	5.552046	0.16681929	2.8234584907783246e-08	2.589169737546483e-06
SRSF9	5.5490565	0.6330121	2.8721529663828674e-08	2.626077037233653e-06
YBX3	5.52503	0.6394334	3.294289573626132e-08	2.997660479148897e-06
DYNLL1	5.524841	0.7010451	3.297841167912384e-08	2.997660479148897e-06
HNRNPL	5.4919834	0.5162954	3.9744439314044274e-08	3.6021439794626657e-06
JMJD1C	5.4875264	0.41043755	4.076011356956026e-08	3.6834582864445344e-06
NIN	5.4703636	0.8206999	4.4911315008482395e-08	4.035138871874832e-06
ELF1	5.4690394	0.38043714	4.524812986544533e-08	4.05368476405504e-06
PTOV1	5.4632354	1.0485334	4.6753450993654396e-08	4.152641517256384e-06
LBH	5.457923	0.35931835	4.8173672360280415e-08	4.266595306735149e-06
PPP1R15B	5.432156	0.87037516	5.567719280255836e-08	4.8893697532574345e-06
SMAP2	5.427472	0.45082226	5.715786865559262e-08	5.005258205341994e-06
CSK	5.414789	0.376109	6.136102250724514e-08	5.343221587346582e-06
SELENOH	5.392011	0.30647668	6.967339912292336e-08	6.033250580875539e-06
CEBPB	5.391338	1.2596542	6.993507911685225e-08	6.03908834584885e-06
ARHGAP17	5.389393	0.4727389	7.069607171463145e-08	6.087891361198747e-06
PTP4A2	5.341083	0.6224046	9.239294906853305e-08	7.934308308545544e-06
HLA-C	5.325691	0.20835711	1.0056998195358603e-07	8.612724597771705e-06
RPS27L	5.3214	0.6007221	1.0297154168415483e-07	8.794165704217916e-06
FRG1	5.272273	0.7749339	1.3474441390885192e-07	1.141362287516207e-05
ATP2A3	5.270676	0.5689332	1.3592197511714877e-07	1.1439810677929095e-05
STT3B	5.2703586	1.0787445	1.3615755624002846e-07	1.1439810677929095e-05
SH2B2	5.2594843	1.5600579	1.4446002827073617e-07	1.2104660104723383e-05
RBM8A	5.2569795	0.36110198	1.4644069128216306e-07	1.2237639166367211e-05
HNRNPA2B1	5.24777	0.20956005	1.53951366341477e-07	1.2830793902030819e-05
DNAJB1	5.245568	0.5986014	1.5580170478592377e-07	1.2950287691657787e-05
CITED2	5.2436156	0.80008334	1.574601825252956e-07	1.3053239184436971e-05
COX17	5.2226386	0.5951227	1.7639127236849995e-07	1.4583711393934994e-05
CD81	5.2183557	0.7227941	1.8051858208721511e-07	1.4885361170677073e-05
TMEM258	5.215571	0.41452432	1.8325198086865512e-07	1.5070778648846248e-05
UQCR11	5.205287	0.319362	1.936971800421177e-07	1.5887768432636707e-05
ACTR3	5.1972127	0.32791314	2.0229909871208833e-07	1.6549663372796555e-05
COX6B1	5.1911435	0.301149	2.0900651191067925e-07	1.700886239729656e-05
TMEM156	5.1891685	0.5618729	2.1123533270031325e-07	1.7145359758889392e-05
ATP5F1C	5.1853848	0.48229626	2.155694235069127e-07	1.7451579866040092e-05
LY6E	5.158899	0.34055153	2.484063095609528e-07	2.0057680377458025e-05
PIM3	5.146829	0.7833268	2.6492657190505024e-07	2.1281065480135133e-05
ID1	5.145149	1.3681959	2.6730844194843135e-07	2.1417055502193002e-05
DDT	5.1035814	0.44936842	3.3328467912848326e-07	2.6566207230941435e-05
HNRNPU	5.0749545	0.28976563	3.875891051932587e-07	3.081581205407374e-05
HMGCS1	5.0525246	0.99277484	4.3600798489454603e-07	3.4401472655880084e-05
STAT1	5.045207	0.9834601	4.530305033452722e-07	3.548630087610873e-05
SAMD9	5.044685	0.7215583	4.542693415840947e-07	3.548630087610873e-05
PTPRA	5.044662	0.994842	4.543232781770925e-07	3.548630087610873e-05
RBBP6	5.041461	0.41329396	4.619904984429874e-07	3.599473339623346e-05
LPCAT1	5.0072265	1.6254799	5.521993017839315e-07	4.29155492363927e-05
IL6	4.9800673	1.2426254	6.356217130024022e-07	4.927574112744557e-05
IRF2BPL	4.9780393	1.2429624	6.423163892448493e-07	4.954761685472613e-05
ELOB	4.923963	0.3219984	8.480890951827304e-07	6.493730468459493e-05
SMG1	4.9161305	0.61178094	8.827146807738905e-07	6.742248472043719e-05
ARHGAP15	4.9101906	0.37764582	9.098802887099635e-07	6.915757588050522e-05
VPREB3	4.899505	0.31898043	9.607828571556854e-07	7.284843092780194e-05
PAPOLA	4.8953586	0.31753933	9.812675909740726e-07	7.404045048691989e-05
UBE2J1	4.883553	0.37880388	1.041909870145811e-06	7.823635780971697e-05
RPS24	4.8378844	0.111272685	1.3122849456511083e-06	9.806490890734616e-05
OST4	4.822318	0.2973738	1.4189930823262455e-06	0.00010578474328603355
EPS15	4.809159	0.6782803	1.5156690196777076e-06	0.00011272153783426052
CYBB	4.8065553	0.39247116	1.5355290760037583e-06	0.00011392599614732419
ZFAND5	4.7879853	0.56333953	1.6846409619651697e-06	0.00012439532917959912
WIPF1	4.776074	0.41111386	1.7875049988111968e-06	0.00013163389374093267
NAF1	4.7756653	1.1359284	1.7911389665266675e-06	0.00013163389374093267
ARF4	4.771337	0.56888723	1.8300705610037146e-06	0.0001341778385139681
RPL35A	4.76744	0.1336445	1.8658171570291973e-06	0.0001364020825608446
ARGLU1	4.7670765	0.24144332	1.869182847200431e-06	0.0001364020825608446
FCHSD2	4.7636185	0.45521426	1.9015205354115e-06	0.00013843692947151592
TAF10	4.752434	1.2425252	2.0098264020849274e-06	0.0001459800779476966
COL19A1	4.744942	0.46635753	2.0856602065269765e-06	0.00015113500895175787
GDI2	4.73487	0.29189786	2.19195639011088e-06	0.0001584682518590161
UQCRB	4.7272573	0.26232845	2.2757297542049606e-06	0.00016414294865190165
IFITM3	4.7265987	1.3713939	2.283117271052089e-06	0.00016429459862313955
NCL	4.7229815	0.21495597	2.324118758701739e-06	0.00016682795411431184
HNRNPAB	4.7225504	0.898774	2.3290549775022142e-06	0.00016682795411431184
TSPYL1	4.7191677	0.5248874	2.368115851127293e-06	0.0001688477464770508
PDCD10	4.7140217	0.56023234	2.428745886173785e-06	0.00017237996201708777
UQCR10	4.711835	0.3854211	2.454962444103228e-06	0.0001738437756260525
HSP90AB1	4.7039876	0.1510231	2.5512880996638377e-06	0.00018025430262329483
CCNG2	4.683707	0.98545235	2.817325918778964e-06	0.00019859911754440283
CACYBP	4.6786823	0.6058065	2.8872436680378434e-06	0.0002030672939101639
HNRNPDL	4.670222	0.19607863	3.0087436973609738e-06	0.00021113502329539636
GPBP1	4.6598697	0.38008776	3.1640933126361283e-06	0.00022153641623855704
COMMD6	4.645424	0.23811142	3.3937901266808747e-06	0.0002349727253187714
TRA2B	4.627648	0.31128848	3.698417480198053e-06	0.0002554948982375931
WHAMM	4.6214504	0.7226538	3.8106638274028793e-06	0.00026266542439572796
ZBTB20	4.62055	0.5282396	3.827242384022435e-06	0.00026322452210642797
ABRACL	4.607784	0.63660777	4.0698351543710655e-06	0.00027867613533906016
PARP14	4.605877	0.46337578	4.107314748617742e-06	0.0002806243815170984
SOCS1	4.5962815	0.9159485	4.300977102935725e-06	0.00029256996761261027
MACROD2	4.5909843	1.0030596	4.4116058200041214e-06	0.0002994401531145592
DAZAP1	4.590167	0.99303067	4.4289151676488905e-06	0.00029996009981852085
MOB1A	4.5863605	0.40578687	4.510392684266972e-06	0.0003041530962598858
OAS1	4.5766215	1.1293048	4.725454481600343e-06	0.0003179658083755625
CKS2	4.574836	1.2881998	4.765942094741e-06	0.00031999749870240487
CAST	4.560253	0.34752366	5.109196528653756e-06	0.00034156901609948243
CXCR4	4.54132	0.14798073	5.590317352613439e-06	0.0003721331810293233
PRKACB	4.5348725	0.61216	5.763833357164722e-06	0.00038286386233799083
SAMD9L	4.524505	0.85224414	6.053699930727921e-06	0.000400407169673487
RAD23B	4.5131617	0.61775315	6.3868314717162315e-06	0.0004197620083747199
ISG15	4.507403	1.0780333	6.5625958566397605e-06	0.00043040383416742664
NMI	4.5019693	1.132412	6.732664430330073e-06	0.00044062808241193896
UBL5	4.4750524	0.30354366	7.639256494523426e-06	0.0004978649195917185
PARP12	4.4663725	1.2359881	7.955697424373804e-06	0.0005152474288156426
EGR1	4.457519	1.1115707	8.29137394994878e-06	0.0005358709812516792
TIFA	4.4373975	0.72975856	9.105314832716287e-06	0.0005848283516625025
IFI6	4.4327965	1.0490501	9.301872672907297e-06	0.000596221269654988
BRD7	4.4244723	0.9945554	9.667833245384228e-06	0.0006184031524676121
CAPZA2	4.417321	0.5496997	9.993172335963328e-06	0.0006379009207558357
STAP1	4.416731	0.44378635	1.0020487912976373e-05	0.0006383338273579846
LSM7	4.411948	0.2547003	1.0244459091954535e-05	0.0006499377546767156
METTL7A	4.3918266	0.5593421	1.1240228707780713e-05	0.0007102133939812582
AKIRIN2	4.3836765	0.41686746	1.1669294424085528e-05	0.000735828307832752
STAT6	4.3757386	0.43767163	1.2102203789130389e-05	0.0007600428468539321
ATXN10	4.3742023	0.6349169	1.218773077683457e-05	0.0007623868621705949
GTPBP6	4.374187	1.3168875	1.2188576269784337e-05	0.0007623868621705949
