	scores	logfoldchanges	pvals	pvals_adj
MTRNR2L12	35.174114	3.2304997	4.975187672632204e-271	3.8429593380329304e-267
RPL41	34.102875	1.5921043	6.687156826436605e-255	4.132261689328236e-251
PCBP1	30.27559	2.0332153	2.4029459352062696e-201	7.424382056006811e-198
KLF2	27.893969	1.6833394	3.15761959838507e-171	7.50469021010027e-168
RPL39	25.761063	0.5017618	2.4231717708175326e-146	4.991249213529953e-143
FOS	24.271824	1.3085434	3.89051708533868e-130	6.326595072932062e-127
JUN	24.056011	1.1627194	7.222224717468499e-128	1.0142958049801102e-124
DUSP1	23.725023	0.9951974	1.989915854788232e-124	2.6731491376257393e-121
CD69	22.69692	1.2440658	4.804938239833718e-114	6.1857573665059325e-111
PCBP2	22.31239	1.0119762	2.801260525365515e-110	3.328867171239166e-107
ZFP36	20.606028	1.0066367	2.4231831193258104e-94	2.5816927185451574e-91
HBB	20.326092	2.9046204	7.558956520949102e-92	7.784969320925479e-89
RPL21	19.421886	0.48664603	5.0404651245895465e-84	4.86672659232635e-81
FOSB	19.353186	1.3015856	1.9162729548124083e-83	1.7413848672011466e-80
IFITM1	18.572891	1.4352393	5.325652574033872e-77	4.113667189498114e-74
RPL34	17.893427	0.31058982	1.3269214167349487e-71	9.761402622109454e-69
NFKBIA	17.364943	0.7741962	1.5205410319661455e-67	1.0213077448838696e-64
NFKB1	16.924513	1.7299031	2.967956534540808e-64	1.7980579028962224e-61
IER2	16.785086	1.014765	3.137809689947679e-63	1.7953501109317303e-60
STK17A	16.42401	1.0025959	1.2876941740765562e-60	6.979980157270764e-58
TMSB10	16.373194	0.34039012	2.9720430333204413e-60	1.5832278206983045e-57
NAPSA	16.13168	2.2707753	1.5280888309269263e-58	7.615058162766007e-56
ODC1	15.590859	1.3467813	8.399588314502083e-55	4.119398097669378e-52
PNRC1	15.528139	0.5216344	2.2377893150416286e-54	1.0803277572943937e-51
MTRNR2L8	15.466166	3.3378105	5.870144690353212e-54	2.74802818936126e-51
LYN	15.340579	1.2151557	4.0952713177875206e-53	1.8885313120250897e-50
PTP4A1	15.185811	1.7310226	4.390962473521091e-52	1.99511128741737e-49
RPL38	14.534892	0.5155378	7.282869444179304e-48	2.884856630984717e-45
ARF6	14.40301	0.9982281	4.953824352671364e-47	1.937446974993508e-44
ATP5F1E	14.207575	0.5929811	8.222428479395865e-46	3.0608237678059528e-43
TMSB4X	13.967325	0.29145575	2.467182809321794e-44	8.968064383484171e-42
PPP1R15A	13.93571	0.6873013	3.8436045562076865e-44	1.380881976431964e-41
CYBA	13.646406	0.4616233	2.120820183160439e-42	7.362582157203155e-40
CMPK1	13.601498	1.3123435	3.923162487966016e-42	1.3468216821187334e-39
B2M	12.723059	0.18113261	4.40281110493686e-37	1.4170172365545224e-34
KLF4	12.699252	1.5995538	5.969768548367969e-37	1.9015251426693314e-34
AC016831.6	12.53313	1.7406204	4.918306223247361e-36	1.5349586604007445e-33
JUND	12.42814	0.89846694	1.8386252610008608e-35	5.680800468914359e-33
RPS28	12.108727	0.26377237	9.495638915955604e-34	2.8484151027794205e-31
SUN2	12.091785	1.3926272	1.167217847205419e-33	3.4676470985678683e-31
COTL1	11.883299	0.91922396	1.4454779494696163e-32	4.253422114739308e-30
JUNB	11.804361	0.5345445	3.7059331578481837e-32	1.0602057109077346e-29
IFI44L	11.516162	2.7708993	1.0937481487163608e-30	3.0721396864444907e-28
RPS21	11.216096	0.3173661	3.39948643850997e-29	9.378029686664514e-27
HLA-DQA2	10.963074	1.6292228	5.751233075104998e-28	1.558735511592273e-25
PRR7	10.938213	1.1597583	7.567629698620071e-28	2.0331917808544724e-25
ACTB	10.902144	0.23436953	1.1257191557680999e-27	2.998391789290257e-25
IGKC	10.729551	0.8707961	7.395432832193524e-27	1.9201402371116246e-24
RPL36	10.617558	0.26285553	2.4693766142889477e-26	6.2537974796463626e-24
SUB1	10.398908	0.6444153	2.507919867624585e-25	6.248967754032001e-23
RHOB	10.290569	0.90178156	7.771530289661425e-25	1.8906848138556618e-22
TSC22D3	10.248059	0.29424417	1.2074363107115873e-24	2.891950363725265e-22
CDKN1A	10.058927	0.89403516	8.390823453373063e-24	1.9640247896883903e-21
MYL12A	9.915705	0.4982962	3.5573847200571915e-23	8.264098924481734e-21
RAC1	9.722638	1.2025862	2.414437270406904e-22	5.485210907629568e-20
RPS2	9.637244	0.17523064	5.566215190317465e-22	1.24622717924086e-19
SFPQ	9.563944	0.6941244	1.1335254267750792e-21	2.5016096507906877e-19
DUSP2	9.430213	1.19559	4.092587444392373e-21	8.842564634223158e-19
NOP10	9.410946	1.0653496	4.916906907086831e-21	1.0549838382518183e-18
EIF4G2	9.385077	0.54951614	6.287034598562029e-21	1.3304829314504864e-18
CHPT1	9.368809	1.1334889	7.33558285188528e-21	1.5314020498290504e-18
YWHAZ	9.3667755	0.34629112	7.478189540296942e-21	1.5506954511849303e-18
CLEC2D	9.290449	0.7206559	1.5363912673788624e-20	3.1437007276956764e-18
