	scores	logfoldchanges	pvals	pvals_adj
MTRNR2L12	9.389938	3.8096483	6.003521505820095e-21	4.665786826285733e-17
RPL41	8.619873	1.5537738	6.702858072470684e-18	2.976739269984231e-14
PCBP1	7.698191	2.2651937	1.3800574004694236e-14	4.2901844408392975e-11
RPL39	6.626657	0.48837808	3.433738537869967e-11	6.05903502700938e-08
NAPSA	6.563543	3.04403	5.25441483090543e-11	8.597052307808269e-08
KLF2	6.3343563	1.5949217	2.383338742111989e-10	3.528135784573114e-07
RPL21	6.029715	0.5489934	1.6424904602373607e-09	1.8235750334785297e-06
PCBP2	5.793124	0.9567882	6.908895274430956e-09	6.928284754717262e-06
COTL1	5.3400407	1.1672498	9.292577527414224e-08	8.024398822075722e-05
CYBA	5.0815887	0.61281896	3.742906323332027e-07	0.00029834802275236595
B2M	5.032931	0.21087562	4.830371317099124e-07	0.0003581864067949462
LYN	4.581963	1.4745088	4.606317306274327e-06	0.0025122208087745615
TMSB10	4.3834524	0.3994748	1.1681325303932689e-05	0.00595307147087468
RPL38	4.302003	0.5089873	1.6926103127930783e-05	0.008352091554571178
RPL34	4.2374783	0.28946275	2.260443307142914e-05	0.010647030468053298
FOS	4.0435514	0.880455	5.264761524979951e-05	0.02273133910097941
TXNIP	4.025569	0.67523736	5.683769658951419e-05	0.023877209106462537
ARF6	3.8323474	0.942847	0.00012692633926172039	0.0487130754151741
PTP4A2	3.5721328	1.037173	0.0003540857735817327	0.126522579808452
RPS28	3.4508405	0.26608887	0.0005588440249832455	0.18680413123284034
COX5B	3.4395573	0.52867186	0.0005826663397668597	0.19066682636139337
MX1	3.3965409	1.3518984	0.000682433737207817	0.22098768321436885
IFITM1	3.2854736	1.0824698	0.0010181107045949581	0.3102941909190536
IGKC	3.2794795	1.0195006	0.0010399875426711398	0.31359652193014215
ATP5MD	3.2657282	0.7506059	0.001091829333777671	0.3232542714204425
RPL30	3.249509	0.15721807	0.0011560441354379338	0.3358686358725145
ATP5MF	3.2357578	0.7294155	0.0012132026047323846	0.3454117326852514
IGHG3	3.2096658	1.4658678	0.0013288935319127984	0.368286451708117
DUSP1	3.1306849	0.46283695	0.0017439926988920672	0.4633803506876726
CMPK1	3.126101	1.2301971	0.0017714069445283114	0.46667565834365776
UBL5	3.1215172	0.559823	0.0017992168413152854	0.4700189407224225
HSH2D	3.0361896	0.8771037	0.0023958875894512476	0.5958476599461675
COX7C	3.0189123	0.261319	0.0025368391579063464	0.6209662905656267
HBB	3.0129182	2.5752685	0.0025874861408712786	0.6235440438857786
MTRNR2L8	2.9963462	3.459108	0.002732359305124399	0.6338869680477776
ADK	2.9730752	1.1737398	0.0029483231337015564	0.6641631975172485
SFPQ	2.9660232	0.81791985	0.0030167772812419243	0.6746946427479691
PNRC1	2.9614394	0.3902041	0.0030620466753579806	0.6799274642632396
MBNL1	2.958266	0.55522317	0.003093749007916347	0.6820948610574147
SERF2	2.9402838	0.32930148	0.003279117306368035	0.7178726739652331
RPL37	2.9134867	0.225138	0.0035741711495861223	0.7610291679944095
RAC1	2.884574	1.5077564	0.003919437295244098	0.8177419274983441
NEAT1	2.8676493	0.9394053	0.004135335149543316	0.8467005848630789
ODC1	2.8672967	1.0427043	0.004139945601028983	0.8467005848630789
RPL22	2.8524878	0.21247846	0.004337847195220725	0.8813768350184749
TMSB4X	2.8500197	0.25580198	0.004371652397028862	0.8824776497820535
SRM	2.8415575	1.9390641	0.004489376704396661	0.900395184577929
CLEC2D	2.8309796	1.0353099	0.00464056823497122	0.922921889785242
LSM7	2.829569	0.4182057	0.004661071724395503	0.922921889785242
FRG1	2.8267484	1.2785844	0.004702324953911142	0.9251973154571876
NFKB1	2.8161707	1.6481153	0.004859984760998009	0.947710681730458
YWHAH	2.809824	1.764533	0.004956860900262427	0.9511971284349263
CDC42	2.753409	0.4506253	0.005897819202214645	1.0
CD164	2.7435362	0.82544	0.006078134550976299	1.0
SUB1	2.7347214	0.6001115	0.0062433103557590075	1.0
CHCHD10	2.7340162	0.51799417	0.006256697405653716	1.0
IGHG2	2.7311954	0.99369407	0.006310504388149573	1.0
SAMD9	2.70193	1.3155781	0.0068938258498430875	1.0
VPREB3	2.6638498	1.0505353	0.007725202591277328	1.0
RPS13	2.6328216	0.1710094	0.008467881395939007	1.0
RPL29	2.6067295	0.21048608	0.009141151115114272	1.0
SRP14	2.576759	0.26665097	0.009973142869160581	1.0
RPL36	2.5686495	0.18112455	0.010209568268636537	1.0
RPL35A	2.5587769	0.22896014	0.010504116102034385	1.0
MZT2B	2.5559561	0.8185496	0.010589649645474531	1.0
MS4A1	2.550667	0.22305301	0.010751696148878043	1.0
HLA-DQB1	2.5503144	0.2550383	0.010762577223782906	1.0
COX6B1	2.522107	0.4115121	0.011665422276606247	1.0
RPL28	2.481206	0.12570228	0.01309386585073789	1.0
IFI16	2.481206	0.7935566	0.01309386585073789	1.0
TRIM22	2.473449	0.8423416	0.013381591168882902	1.0
FMNL1	2.469923	1.1497428	0.013514212591991778	1.0
RPS2	2.4565244	0.13473013	0.014028825613350466	1.0
AC016831.6	2.4501777	2.4170363	0.014278570790821224	1.0
RPS24	2.4501777	0.13107185	0.014278570790821224	1.0
IFI44L	2.440305	2.2183702	0.014674861731231385	1.0
POLE3	2.4297273	1.0999057	0.015110187724252714	1.0
FOSB	2.4240859	0.77718574	0.015346980239710886	1.0
LAMP1	2.417034	1.2498597	0.015647560296783783	1.0
TMA7	2.4075139	0.3742536	0.016061553353020622	1.0
YWHAZ	2.3817744	0.346338	0.017229446361519837	1.0
PTP4A1	2.3782485	1.6719664	0.017395097981295345	1.0
MEF2C	2.3708441	0.4822818	0.017747518375152628	1.0
CSDE1	2.3310008	0.55801827	0.01975331330958409	1.0
SSU72	2.3228912	0.89080364	0.020184997422357784	1.0
DEK	2.2886896	0.5461142	0.02209739580126529	1.0
CD52	2.2791696	0.21831258	0.02265699032061928	1.0
PAPOLA	2.2724702	0.5762888	0.02305812429980064	1.0
RAP1B	2.262245	0.6706261	0.02368227093972727	1.0
ORAI1	2.2252226	1.607265	0.026066298998210308	1.0
PDCD4	2.2072403	0.55404544	0.027297276906757876	1.0
SH2B2	2.1751542	2.9418855	0.029618562892720416	1.0
NBPF14	2.1723335	0.68133456	0.0298305209485825	1.0
WIPF1	2.147652	0.6752962	0.03174142339977827	1.0
UBLCP1	2.118034	1.3533901	0.03417219460839936	1.0
TMEM258	2.1148605	0.47279564	0.03444183206102782	1.0
POLR2L	2.1106296	0.53358555	0.034804174680720563	1.0
GNG5	2.0859478	0.53683037	0.036983347680037144	1.0
COBLL1	2.0817168	0.63491267	0.03736835309324725	1.0
RHEX	2.080659	2.855596	0.03746513574920083	1.0
CTDSP1	2.0781908	1.252054	0.037691791845335006	1.0
ARMC10	2.0750175	2.031369	0.03798492015099647	1.0
HLA-C	2.0714915	0.113757245	0.03831288995035607	1.0
SNRPD1	2.0566826	0.619323	0.03971677481661868	1.0
XAF1	2.0376425	1.0598398	0.04158570580933866	1.0
RNPEPL1	2.0207179	1.4756643	0.043308975736578235	1.0
PCM1	2.0069668	0.7209306	0.04475320637329711	1.0
CAPZA2	2.0016778	0.8789566	0.0453193946009384	1.0
JUN	1.9977993	0.43344885	0.04573842638488842	1.0
NIN	1.9734702	1.106627	0.04844200907735449	1.0
ZFP36	1.966771	0.26279953	0.04920962036988735	1.0
UQCR10	1.961482	0.46623555	0.04982281585328068	1.0
IRF7	1.9547827	0.814802	0.05060871599699612	1.0
RPS27L	1.9392686	0.7042387	0.05246863800254496	1.0
GRK6	1.9339797	1.1345323	0.053115623300709465	1.0
WSB1	1.9107084	0.42303932	0.056042054358724315	1.0
STK10	1.9078877	0.8022795	0.056405728965366664	1.0
KLHL5	1.8966047	2.2384708	0.05788012864883647	1.0
GPBP1	1.8761542	0.63227934	0.060634103552676906	1.0
BCAS4	1.8683971	0.6162549	0.06170673190226317	1.0
STT3B	1.8567616	1.4000661	0.06334508579129847	1.0
CELF2	1.8549986	0.5052683	0.06359642904539048	1.0
LCP1	1.8521779	0.37113425	0.06400029154304553	1.0
CSKMT	1.8461838	1.4889315	0.06486553327750949	1.0
PLSCR1	1.8387792	1.4165983	0.06594766223087084	1.0
HMGB1	1.8327851	0.30341917	0.06683452964750497	1.0
CD86	1.8310221	1.526508	0.06709723404879588	1.0
DDAH2	1.8274962	0.6159788	0.06762519294663603	1.0
RPL31	1.8253807	0.26701108	0.06794360552072784	1.0
S100A10	1.819034	0.53937715	0.0689062485359012	1.0
MAP2K1	1.8148029	1.2493988	0.06955421495229128	1.0
IFITM3	1.8091613	1.6060982	0.07042594426930333	1.0
TAF10	1.7999939	1.3316804	0.07186160580326888	1.0
AC007952.4	1.7992886	2.2906005	0.07197302722421635	1.0
PRKCD	1.7929419	1.5764496	0.07298220084826652	1.0
SMAD3	1.7901212	2.0691798	0.07343442422594383	1.0
NKG7	1.7887108	1.2541462	0.07366139389469059	1.0
PSIP1	1.778133	0.6250665	0.07538200942842593	1.0
ATP5MPL	1.7608559	0.44409692	0.07826279471851211	1.0
PPCS	1.7506306	0.68522924	0.08000954854998939	1.0
FCRL1	1.7502781	0.56345075	0.08007034196567303	1.0
KHDRBS1	1.7446365	0.49929342	0.08104815123905929	1.0
MBD5	1.742521	1.9938724	0.08141731970788214	1.0
SKP1	1.7418158	0.25617728	0.08154067867996649	1.0
LYSMD2	1.7400528	0.999662	0.0818497397032026	1.0
HSBP1	1.7287698	0.9408879	0.08385029876895615	1.0
MBP	1.7220706	0.7516919	0.0850567422210109	1.0
ELAVL1	1.7111402	1.3613509	0.08705525128900746	1.0
