	scores	logfoldchanges	pvals	pvals_adj
MTRNR2L12	9.61846	3.4948277	6.682434956800527e-22	5.161679821506647e-18
RPL41	8.401359	1.4076656	4.413409087375393e-17	1.9480157224662504e-13
PCBP1	8.073009	2.1172864	6.858672777294e-16	1.9264764800004793e-12
NAPSA	6.8068876	2.7720582	9.973281200278207e-12	1.4673546154523607e-08
KLF2	6.7973156	1.5501009	1.0658650106201665e-11	1.4969105105968765e-08
RPL39	6.6406817	0.45991698	3.1223507466364725e-11	4.0196362924511284e-08
COTL1	6.1951466	1.2135044	5.823081538074694e-10	6.425562510067637e-07
RPL21	6.0240097	0.50814855	1.7014792176952439e-09	1.7523534463043316e-06
PCBP2	5.8200965	0.88916063	5.881374419067108e-09	5.3446125125269546e-06
B2M	5.5135007	0.20922254	3.5176581202951e-08	2.6508556815306758e-05
FOS	5.41662	1.0880257	6.073627785432036e-08	4.1701528374776365e-05
CYBA	5.146282	0.50448716	2.656999385140104e-07	0.00017102772917223705
LYN	4.5664477	1.2910895	4.960584479933126e-06	0.0024328123599443455
RPL38	4.3352685	0.46496692	1.4558243583234585e-05	0.006815243211987863
ATP5MF	4.2813168	0.8185458	1.8579067155007242e-05	0.008441727027768511
TMSB4X	4.2671037	0.3406783	1.9802710522891182e-05	0.008867309377185056
TXNIP	4.2552114	0.58634114	2.088518056402875e-05	0.0090885834350253
SERF2	4.168483	0.37479487	3.066341611667951e-05	0.012978185859685574
MX1	4.0994477	1.3836045	4.141370255656647e-05	0.017060788905203125
ODC1	4.0237417	1.3083178	5.728076186766048e-05	0.02240257847373552
TMSB10	3.895534	0.31611034	9.798255265644577e-05	0.036040082493169104
NEAT1	3.8778403	1.1081784	0.00010538782820328277	0.038307855623492086
SFPQ	3.633318	0.94072455	0.00027979982161865984	0.09196782009097589
UQCR11	3.5880682	0.6454237	0.0003331370090900004	0.10721806426930981
ADK	3.581687	1.1736008	0.0003413827141051981	0.108739192966065
RPS28	3.5422385	0.25649706	0.0003967465739102362	0.12230674963310134
SSU72	3.540208	1.1723684	0.0003998116876377394	0.12230674963310134
IGHG2	3.525415	1.1677221	0.0004228199996702096	0.12807715225304378
IGKC	3.5007596	0.9411236	0.00046393410143997225	0.13916671778826042
JUN	3.4616013	0.7032748	0.0005369721217468205	0.15800788233915725
RPL36	3.4572504	0.23404676	0.0005457177088677426	0.15906641557440232
RPL34	3.423023	0.22597234	0.000619288425392668	0.1788238736388529
DUSP1	3.4024286	0.465718	0.0006678981276194645	0.18709789799288973
TSPAN3	3.2510161	0.65073866	0.0011499332771701908	0.29122531528465073
TMA7	3.2437646	0.44726318	0.0011796119399937845	0.2930597645964764
UBL5	3.2089572	0.52483696	0.0013321734989358734	0.32409578422536756
ELOB	3.198515	0.5156374	0.0013813739361142072	0.3334399258134427
IGHG3	3.1837218	1.2767087	0.001453947086943179	0.342374411728418
HBB	3.1819813	2.7504802	0.001462712313433381	0.342374411728418
SUB1	3.1706688	0.6399851	0.0015208836714594766	0.35067718505286155
IFITM1	3.1347013	1.0022136	0.0017202921627961648	0.3879698317803876
HSH2D	3.1030846	0.7965221	0.0019151497084643363	0.41670690522832815
MTRNR2L8	3.0998938	3.2793016	0.0019359005179112841	0.4182763517615731
YWHAH	3.0946727	1.4543315	0.0019703021344254566	0.4198374141196092
ARF6	3.072918	0.7420775	0.0021197672158488495	0.4455404603270878
RAC1	3.0581248	1.3813931	0.002227267675682693	0.4649722255105957
CLEC2D	3.0537739	1.0539392	0.0022598232046351844	0.4686023996886798
CMPK1	3.0340497	1.0598229	0.0024129468745198216	0.4904790761976245
PTP4A1	3.0276682	1.7985677	0.002464484231559667	0.49768084511437277
UBLCP1	2.9719763	1.4637638	0.0029588943420829554	0.5920453867360818
HLA-DRB5	2.9708161	0.6404463	0.0029700953148879394	0.5920453867360818
COX6B1	2.946451	0.42773038	0.0032144341917490524	0.6366434180927594
SAMD9	2.8919191	1.293512	0.003828963448887353	0.7393967730017034
NFKB1	2.8832173	1.5117216	0.003936356863244327	0.7528273910972231
ZFP36	2.882347	0.43647784	0.00394724527810953	0.7528273910972231
PNRC1	2.8713248	0.30371127	0.0040875524316316926	0.7748043403688614
HLA-C	2.797359	0.2355004	0.005152224966106429	0.9255133417313391
IFI44L	2.787207	2.3579104	0.005316453512937659	0.9494940126545368
PLSCR1	2.760231	1.7334683	0.005776049481358761	1.0
SNRPC	2.7138212	0.8136961	0.006651207164225823	1.0
COX5B	2.6874254	0.3721524	0.007200517109527414	1.0
MS4A1	2.6833646	0.27050638	0.0072885483799316605	1.0
POLR2L	2.671762	0.5917327	0.007545411936643015	1.0
FMNL1	2.6703117	1.009685	0.007578084084719066	1.0
TLN1	2.6215813	0.82599634	0.008752286818430037	1.0
HLA-DQB1	2.6140397	0.26485556	0.008947862629016895	1.0
DUSP2	2.6122994	1.3787557	0.008993546091069423	1.0
KLF6	2.5946057	0.26764816	0.0094699521466776	1.0
CD48	2.5934453	0.3334087	0.009501964259560725	1.0
RPL35A	2.587644	0.21954669	0.009663476840843935	1.0
UBE2J1	2.5696602	0.5958526	0.010179829887864245	1.0
LCP1	2.56792	0.45710617	0.010231080251791825	1.0
MCL1	2.549356	0.7874288	0.010792210213275167	1.0
WASHC3	2.544715	1.2219894	0.01093669911611045	1.0
MBD5	2.5334024	2.3268917	0.011296116698065403	1.0
SRM	2.4663982	1.7597517	0.013647954235287946	1.0
MZT2B	2.4600167	0.7247891	0.013893052523405749	1.0
FRG1	2.4579864	1.0399618	0.013971849169333576	1.0
FOSB	2.4487042	0.71517366	0.0143371079062884	1.0
CD69	2.4400024	0.62108636	0.014687161056276415	1.0
AC016831.6	2.4388423	2.0644307	0.01473439948110582	1.0
RHEX	2.42869	2.461726	0.015153480432776693	1.0
RPS2	2.414767	0.11690363	0.01574527490543089	1.0
CDC42	2.4011343	0.38176253	0.016344343073824694	1.0
COBLL1	2.396203	0.62049305	0.016565908137341583	1.0
SRRM2	2.3851807	0.49922413	0.01707073212130048	1.0
SRP14	2.3834403	0.2124252	0.01715166299449673	1.0
RPL28	2.371548	0.12142684	0.017713754198012414	1.0
XAF1	2.3637161	1.0248778	0.01809266914109834	1.0
TMEM258	2.359075	0.435856	0.018320545193039516	1.0
MRPL42	2.358205	1.3264581	0.018363550550263317	1.0
AC245014.3	2.353564	1.6724033	0.018594408068524124	1.0
PLPP5	2.3463125	1.0139695	0.01896020732278763	1.0
NFKBIA	2.3320994	0.5291047	0.019695463918453168	1.0
EVL	2.330939	0.43421477	0.019756569751296655	1.0
FCRL1	2.325428	0.7440895	0.020049088571610647	1.0
LINC01781	2.3245578	1.2327965	0.020095619641900136	1.0
PRKACB	2.3233974	0.9959632	0.02015780765749593	1.0
LSM7	2.3149858	0.3156074	0.020613714091058354	1.0
MBNL1	2.311795	0.41429347	0.020788981584951773	1.0
RPL29	2.3083143	0.19951971	0.0209816626500043	1.0
SPCS2	2.307154	0.5279933	0.021046234583896522	1.0
S100A8	2.307154	1.5235112	0.021046234583896522	1.0
STUB1	2.28859	0.7557539	0.022103182063367942	1.0
NDUFA1	2.2801783	0.41841435	0.022597118333443928	1.0
CSKMT	2.2706063	1.3765925	0.023170827350020635	1.0
RPL27A	2.269736	0.20946951	0.023223604466657548	1.0
COX7C	2.2682858	0.20195691	0.02331179828250494	1.0
ELAVL1	2.2636447	1.5671585	0.023595975196874525	1.0
LITAF	2.2160745	0.5019996	0.026686398222997464	1.0
SEMA4B	2.2149143	0.713693	0.02676594860622993	1.0
IER2	2.1882286	0.4541187	0.028652957144182895	1.0
GNB2	2.1751757	0.56958103	0.02961694695453478	1.0
HSBP1	2.166184	1.034402	0.03029714092933692	1.0
HNRNPA2B1	2.1540012	0.25242504	0.03124007476396149	1.0
ITGB7	2.1232545	0.63451207	0.03373251824845635	1.0
CDV3	2.1218042	1.3068025	0.03385417167126763	1.0
NIN	2.120644	1.0842183	0.03395176432149511	1.0
HLA-DQA2	2.1046908	1.5259324	0.03531824230069653	1.0
COX7B	2.1012099	0.48847649	0.035622541706589926	1.0
AC007952.4	2.1006298	2.6201098	0.03567347510152908	1.0
S100A10	2.0774248	0.52901524	0.03776236540331513	1.0
UFM1	2.0745242	0.69497734	0.03803065174552995	1.0
GADD45B	2.0559602	0.7343109	0.03978634829683483	1.0
CHMP1B	2.05422	0.9120475	0.039954415854146316	1.0
NBPF14	2.0327554	0.6186685	0.042077253635350455	1.0
GRK6	2.0188322	1.0636681	0.04350465318908066	1.0
LAMP1	2.0168018	1.0587903	0.04371619475785888	1.0
TMEM248	2.0153515	0.953363	0.04386782717222553	1.0
ATP5MD	2.0008485	0.4084481	0.04540872496489532	1.0
LYL1	1.9976578	1.3176124	0.04575377650059483	1.0
ATP5F1E	1.9953372	0.18979293	0.04600610827270094	1.0
BCL2	1.9840249	0.9733502	0.04725307068331598	1.0
DEK	1.979964	0.41248736	0.04770757715461284	1.0
RPS10	1.9793838	0.47106794	0.047772805658599767	1.0
RFTN1	1.9782236	1.5786142	0.047903487563159194	1.0
RPS27L	1.9686515	0.67891157	0.048993118584755614	1.0
ANKRD13A	1.9643006	0.86863655	0.049495240069944615	1.0
MEF2C	1.9631404	0.37664187	0.049629865880577995	1.0
UBE2N	1.9619801	0.7612516	0.04976479868198863	1.0
CD164	1.9486372	0.5493479	0.0513387586914606	1.0
SELL	1.938195	0.4871196	0.05259943312412686	1.0
WSB1	1.9326838	0.43541998	0.05327515615180549	1.0
SUN2	1.9147	0.96809757	0.055530773977770946	1.0
KRTCAP2	1.9086087	0.30149934	0.05631258972768273	1.0
CORO1B	1.8978764	0.7899922	0.057712366608922386	1.0
SSBP2	1.8900447	1.501393	0.05875197971357745	1.0
PTP4A2	1.8877242	0.55196273	0.05906298302926626	1.0
RPL30	1.8871441	0.11488177	0.059140947022083785	1.0
SRSF5	1.8845335	0.18006454	0.059492842785825804	1.0
PDCD4	1.8775721	0.45584673	0.060439732735599924	1.0
ORAI1	1.8746715	1.2834694	0.060837940271485896	1.0
