	scores	logfoldchanges	pvals	pvals_adj
MTRNR2L12	12.210386	2.5089464	2.7358750186340364e-34	1.2150020957753756e-30
PCBP1	11.485103	1.6217139	1.5674832073035889e-30	4.0606958721205555e-27
RPL41	10.708264	1.1381041	9.309035983511612e-27	2.0670714401387535e-23
B2M	9.663126	0.25403216	4.324614415881477e-22	7.468849352583748e-19
NAPSA	9.626417	2.2908258	6.184824918548083e-22	9.155602487757344e-19
KLF2	9.193091	1.295396	3.8171115332020197e-20	4.944272759693799e-17
RPL39	8.569695	0.33912548	1.0375922765991025e-17	1.0405042291173e-14
TMSB10	8.39227	0.38306108	4.76845364875217e-17	4.2353405308216775e-14
CYBA	8.067927	0.51652795	7.150139714883714e-16	5.280881090478909e-13
IFITM1	7.784128	1.2826608	7.019548191917222e-15	4.9594703327756975e-12
JUN	7.767487	0.99486995	8.005853288157444e-15	5.410390460194575e-12
COTL1	7.553516	0.9826678	4.236628089026705e-14	2.743834529241108e-11
ATP5F1E	7.1390333	0.45282513	9.398945166538362e-13	5.729117811611335e-10
MX1	7.0534616	1.885097	1.7452103482809515e-12	1.0045210204656166e-09
PCBP2	7.0321703	0.7286885	2.033454545820549e-12	1.1288214547486322e-09
ODC1	6.8517265	1.1712408	7.296399592335769e-12	3.979353932051614e-09
CD69	6.8491974	1.1343057	7.426535782313721e-12	3.98049513559977e-09
TMSB4X	6.723654	0.28218552	1.772233261435709e-11	8.886034741653529e-09
SUB1	6.3666	0.76165587	1.9326421635761648e-10	8.582863848441748e-08
YWHAZ	6.341312	0.39821064	2.2781688102197237e-10	9.974849831450781e-08
TMA7	6.1795487	0.515128	6.428511294245061e-10	2.700582846002652e-07
ZFP36	6.1388426	0.62353826	8.312479277784968e-10	3.445467244113351e-07
ARF6	5.857817	0.7803472	4.689910448618571e-09	1.756569230315729e-06
ISG20	5.700622	0.70685637	1.1937104751188565e-08	4.265388222990792e-06
MYL12A	5.562434	0.40384293	2.6603761793019113e-08	9.292484751231294e-06
MTRNR2L8	5.534046	2.9564936	3.1292695708188716e-08	1.0690066280005084e-05
HBB	5.4950533	1.9884794	3.9059286269637134e-08	1.3198217742002278e-05
NOP10	5.46381	1.0387372	4.6602262052802333e-08	1.5411962983356022e-05
CMPK1	5.4285693	1.1029248	5.680752350547892e-08	1.839557795015441e-05
LY6E	5.3450365	0.63279617	9.039871866872253e-08	2.896125213392024e-05
GRK6	5.244455	1.2480607	1.5674512774483938e-07	4.872735786203822e-05
IER2	5.2161484	0.6721956	1.8268195363371358e-07	5.567680286873779e-05
ACTB	5.140528	0.24740328	2.739670758095731e-07	8.18924469778096e-05
