	scores	logfoldchanges	pvals	pvals_adj
MTRNR2L12	12.444347	2.572375	1.501055774435771e-35	7.729686710457003e-32
PCBP1	11.744396	1.695235	7.545909355955965e-32	2.590510681899683e-28
RPL41	10.785195	1.1556636	4.043835480310189e-27	8.924456059653136e-24
B2M	10.461733	0.27997828	1.2946569883513376e-25	2.6667344646060853e-22
KLF2	9.282886	1.3362701	1.6494967280082495e-20	2.5482250202635442e-17
NAPSA	8.990245	2.174494	2.4667988459823386e-19	3.0486673577726525e-16
TMSB10	8.71633	0.41163272	2.873661735098772e-18	3.414904870359491e-15
CYBA	8.432886	0.59087694	3.3724381577807904e-17	3.4732740586984356e-14
RPL39	8.265106	0.3442978	1.3957029421181235e-16	1.232086680074962e-13
COTL1	8.0026245	1.0648795	1.2179475240177684e-15	9.902874907783417e-13
IFITM1	7.837414	1.2749836	4.599208811449411e-15	3.3046919685430803e-12
MX1	7.643535	1.9608455	2.1133732495063473e-14	1.4510420731110582e-11
TMSB4X	7.5333395	0.3410898	4.9458871205790535e-14	3.183605715927729e-11
SUB1	7.414195	0.90433055	1.2236560911753332e-13	7.413196519420445e-11
PCBP2	7.3844504	0.7617671	1.5308422041945233e-13	9.09585222749965e-11
YWHAZ	7.2798057	0.50631505	3.3430083314711624e-13	1.9127579336567502e-10
JUN	7.2250395	0.9411336	5.009567205093398e-13	2.814192689741286e-10
ODC1	6.7277493	1.1640506	1.7230743591272816e-11	8.450448964119938e-09
ATP5F1E	6.509263	0.4372392	7.552031421500788e-11	3.482613654180744e-08
CD69	6.2756147	1.0702885	3.482555490127884e-10	1.5823605438011945e-07
ARF6	5.9551353	0.8166085	2.598568392396157e-09	1.0163033875932162e-06
CMPK1	5.853142	1.1726118	4.823721999179745e-09	1.7965401843062182e-06
ISG20	5.853059	0.7393166	4.826126656226045e-09	1.7965401843062182e-06
EIF4G2	5.744189	0.7260158	9.236267607099838e-09	3.206437755691727e-06
ZFP36	5.702513	0.5934748	1.180537426374014e-08	3.970468246185341e-06
ACTB	5.702265	0.27994817	1.1822606681847796e-08	3.970468246185341e-06
XAF1	5.5938916	1.5238469	2.2203565451799276e-08	7.298122997491939e-06
IGKC	5.5474935	1.0660878	2.8979426843616765e-08	9.424544518323357e-06
NFKB1	5.472096	1.574787	4.447435208011992e-08	1.4166227383705826e-05
GRK6	5.465219	1.2720135	4.6233507597947e-08	1.4576292696467025e-05
HBB	5.4508853	1.9387473	5.011964215451098e-08	1.564188468331238e-05
NOP10	5.4382915	1.0328488	5.3793866824112456e-08	1.6620691032646026e-05
LY6E	5.412027	0.64687186	6.231531965638611e-08	1.906293496458774e-05
STK17A	5.1845927	0.75375414	2.1648764285258106e-07	6.431556443477112e-05
IER2	5.1277547	0.6853009	2.9321822161895814e-07	8.628155612724713e-05
EIF5A	5.125186	0.53350085	2.972438834625867e-07	8.664098365418435e-05
MTRNR2L8	5.0698395	2.8371787	3.9815097343119434e-07	0.00011390435764910751
MYL12A	4.9546723	0.37909266	7.245220567940612e-07	0.00020350507262514644
RPL21	4.9385986	0.2889833	7.868589299826279e-07	0.00021902324648354283
IRF7	4.907363	1.1939871	9.230915637472315e-07	0.00025239610659378946
COX7C	4.7769504	0.28328237	1.7797349236478002e-06	0.00047403853393056966
COX5B	4.7351093	0.50549936	2.189370996204698e-06	0.0005781623561515946
SUN2	4.687468	1.1561108	2.7660566680260624e-06	0.0007181752342184979
S100A6	4.681586	0.53844655	2.8466453853206665e-06	0.0007329400205854386
GNB2	4.6543264	0.728344	3.250412797504069e-06	0.0008299835058221753
TMA7	4.6367617	0.39963317	3.5391034516790515e-06	0.0008890055231425012
FOS	4.630879	0.6113443	3.6411683843695364e-06	0.0009072675771924642
BCL2A1	4.5324483	1.0089616	5.830395976884627e-06	0.0014184389330535773
LCP1	4.410404	0.5166323	1.0317782801998459e-05	0.0024905354315105186
SNX3	4.386294	0.44382063	1.1529841207897132e-05	0.0027402884907722896
RPS29	4.373534	0.38364807	1.2225109283428099e-05	0.0028833526834357096
OAS1	4.3558865	1.4983401	1.325295807358873e-05	0.0031020957999975075
TBCA	4.349092	0.5443692	1.3670221206820733e-05	0.003175705448324363
ISG15	4.3426294	1.6047724	1.4078737163672696e-05	0.003246199568253696
TYMP	4.3194304	1.3165969	1.5643237454549576e-05	0.003580215612097913
IFI6	4.2929173	1.6107638	1.7634079236626498e-05	0.004006177545397419
AC016831.6	4.25671	1.5731107	2.0745720471939902e-05	0.004644786416098023
FMNL1	4.2199225	0.94901174	2.4438603190938274e-05	0.005393425162788713
CHCHD10	4.195812	0.4861378	2.7189543478582088e-05	0.005916023414491202
DYNLL1	4.186864	0.7312198	2.8283518916426966e-05	0.006068582527505861
HLA-DQA2	4.1496625	1.5401465	3.3296580940762436e-05	0.007094927319494737
MCL1	4.052143	0.80190605	5.0750563510805306e-05	0.010594814488225912
UBE2N	4.050569	0.60564303	5.109322454431372e-05	0.010594814488225912
KLF10	4.0441895	0.9686064	5.250448280322904e-05	0.010814873367809117
ARHGAP45	4.0303526	0.78916013	5.5693225330495694e-05	0.011395719092955798
TRAC	4.0122905	1.5883675	6.0132437627129826e-05	0.012223104772140987
SRSF9	4.0039225	0.8790692	6.230085044999296e-05	0.012581107034989755
GNAS	4.002265	0.6608611	6.273892935080388e-05	0.01258730324773888
IFITM2	3.9987025	0.46522492	6.369069360380798e-05	0.012667518799140373
RAC1	3.997708	1.0962576	6.395873167834736e-05	0.012667518799140373
CD164	3.991577	0.6979807	6.563537399319388e-05	0.012916790766036378
FOSB	3.9838715	0.79015595	6.780152804364236e-05	0.013258631721293787
LAMP1	3.935982	1.0033756	8.28572133258963e-05	0.016100876227234075
PPP1R15A	3.9329991	0.35869473	8.389252833893836e-05	0.016200171550551114
UQCR10	3.9248796	0.50437546	8.677317381392021e-05	0.016600911819308915
TRIM22	3.9241338	0.69663084	8.704235733980789e-05	0.016600911819308915
RNPEPL1	3.904663	1.6603127	9.435674659931575e-05	0.017885523924411402
IFI44L	3.8976204	2.8080356	9.714249448003866e-05	0.01819037364818033
KHDRBS1	3.8944721	0.5792648	9.841284534320008e-05	0.018317239051619597
POLR2L	3.8824582	0.61528003	0.00010340579841238626	0.019017434247306536
S100A11	3.849151	1.0002371	0.00011852799373211154	0.021669582380716274
WASHC1	3.8353143	0.8924007	0.00012540385874513273	0.02279178249204921
COX6A1	3.8131921	0.39581326	0.00013718334375195618	0.02464275448781506
COX7B	3.7938044	0.54635006	0.00014835658539249366	0.026495800109085994
IFIT3	3.7869275	3.1632135	0.00015252159848693799	0.027083102462361626
FAM107B	3.776405	0.87136626	0.00015910820343838052	0.02809123520934653
ANKRD13A	3.7608285	0.89427984	0.00016935155405460028	0.029561892461158108
DUSP1	3.7556086	0.31821433	0.00017292073335212647	0.030015347743711524
COX6C	3.7402806	0.3979082	0.00018381491001365286	0.031551829303843516
NDUFA1	3.7377121	0.4936027	0.00018570237204915555	0.03169970270277767
ATP5F1D	3.7166672	0.4023967	0.00020186804419930178	0.034127321847990645
NIN	3.7163358	0.9243728	0.0002021328898657568	0.034127321847990645
EPSTI1	3.713933	1.5185716	0.0002040628056004595	0.03426591578607281
SON	3.708382	0.34457183	0.00020858796866397435	0.03483644577195035
LYN	3.6795485	0.7081718	0.0002336471500942157	0.03881180643258593
CD53	3.6622322	0.36474836	0.0002500271558549284	0.041310636547859485
SUMO2	3.656018	0.29743344	0.00025616331615719955	0.04209935095377125
LARGE2	3.6189823	1.2369934	0.00029576386845190993	0.04835035049501937
UBE2D3	3.6085427	0.34896648	0.00030792185567320705	0.05007295565650041
COX7A2	3.5980203	0.40269515	0.00032064869501525437	0.051643538416025925
JUND	3.5975232	0.65210277	0.0003212619763387533	0.051643538416025925
HSPE1	3.5600731	0.5892346	0.00037075162593996626	0.05904697415807803
DAZAP1	3.5394423	1.3107916	0.0004009732584143337	0.06353267059091113
RPS10	3.5300798	0.53329134	0.00041543419450638437	0.065488113814611
RPL34	3.5252743	0.17087647	0.0004230444017667899	0.06605546562365698
COX6B1	3.5251086	0.34456718	0.000423309130125387	0.06605546562365698
SELENOH	3.506135	0.410228	0.00045466442628618546	0.07059179285911694
DDT	3.4997554	0.54646146	0.0004656854133388487	0.07194141107965203
HLA-C	3.490807	0.15465812	0.0004815638608503084	0.07365781489451476
S100A4	3.48393	0.49833053	0.0004941083563658474	0.07520426545140682
PTP4A2	3.476142	0.56049854	0.0005086830507873557	0.07704304029498495
RSL24D1	3.4682708	0.4667307	0.000523819207264449	0.0785652526546101
UBL5	3.455677	0.41388953	0.0005489127599773577	0.08153729588952124
TMOD3	3.4211268	0.8697578	0.0006236224658025893	0.09131783566778484
PSMB9	3.404059	0.29754996	0.0006639244121849349	0.09630644395905134
SAMD9L	3.3647032	1.1685867	0.0007662603754516798	0.11011696195502581
ATP5MD	3.3609748	0.49274305	0.000776679205883548	0.11109748807492585
BAX	3.3504522	0.50044924	0.0008067970282244431	0.11434682468371843
LYL1	3.3487124	0.98079413	0.0008118803358640882	0.1145418572474554
RPL38	3.3400955	0.27693844	0.0008374957129589215	0.11761865928768998
HNRNPDL	3.3220334	0.2913846	0.0008936400847824053	0.12493573619693202
PTP4A1	3.315985	1.0436674	0.0009132072526687331	0.1265262981421787
ELAVL1	3.3083625	1.1738968	0.0009384327341278939	0.12944087583191757
PLEK	3.3060424	0.56693107	0.0009462372454490487	0.12993729854506336
RAD23B	3.2952714	0.90487564	0.0009832663145378823	0.1344246872578626
JPT1	3.2737296	0.703009	0.0010613818173778394	0.14258049570227435
NFKBIA	3.2651126	0.32314807	0.0010942055976512657	0.14635355130143357
ELOB	3.2617157	0.3633462	0.001107401814671314	0.1474801459823258
NENF	3.2570758	1.4115611	0.0011256637620356384	0.1492688122558589
SET	3.250779	0.40083453	0.001150893339021748	0.15196218587929466
PNKD	3.232551	0.63993007	0.001226902415926788	0.160625440444449
SRM	3.201315	1.3244137	0.0013680188891902689	0.17759529251811654
RAP1B	3.1830041	0.46776333	0.0014575547185350388	0.18718443620231437
NME3	3.182507	0.6905901	0.0014600592007236225	0.18718443620231437
CDV3	3.1629536	1.0751624	0.0015617723537488398	0.19939702650321448
AIM2	3.1588938	0.5457583	0.001583692292198047	0.2012234798483606
UQCR11	3.1578994	0.36629438	0.0015891034431498197	0.2012234798483606
SEL1L3	3.1549168	0.61715186	0.001605439186378287	0.20246226343481608
GABARAPL2	3.1219409	0.48455128	0.0017966305208996672	0.22565241139933745
ACTR3	3.105287	0.37212294	0.0019009438030626457	0.23778729021549216
POU2AF1	3.1027186	0.38076216	0.0019175182451435415	0.2388933920169355
PRELID1	3.1010616	0.43790984	0.0019282817517632406	0.23926956339047728
PPDPF	3.0954275	0.18177065	0.0019652939948760933	0.24288675423874664
YWHAH	3.0917819	0.8672364	0.0019895894331978716	0.24378870448282647
STAT1	3.082171	1.05024	0.0020549684064801207	0.24996991675203262
CCDC32	3.062783	0.7299521	0.0021928899984439147	0.26502174438740905
BST2	3.0620372	0.59827894	0.0021983603126931564	0.26502174438740905
GTF2E2	3.0596347	0.880377	0.002216072072695969	0.26502174438740905
ACTR2	3.058889	0.38702077	0.0022215953586542042	0.26502174438740905
GPX4	3.0523434	0.36828354	0.0022706216671750114	0.26806451571483186
SEC61G	3.052012	0.5048356	0.0022731301782466244	0.26806451571483186
GRINA	3.0505207	0.6121054	0.002284449926466093	0.2683750926921022
SMAP2	3.0467923	0.4892059	0.0023129755769332122	0.2688839113449463
ADK	3.0466266	0.4766054	0.0023142509231033953	0.2688839113449463
LPCAT1	3.0465436	1.3649173	0.0023148888376786003	0.2688839113449463
RAC2	3.0303872	0.20955724	0.002442404930621562	0.2826329031513648
UBE2J1	3.0210245	0.34008747	0.00251920910988256	0.28828149580756096
EPS15	3.017296	0.6530079	0.002550405172534652	0.29077442293654293
PARP12	2.9987369	1.3083788	0.0027110136028731763	0.30682119885704223
HLA-E	2.9800117	0.11101383	0.002882372615698491	0.32494553771971935
BIRC3	2.978189	0.4779242	0.002899570961663964	0.32494553771971935
RPS21	2.9778576	0.17382698	0.0029027079784653053	0.32494553771971935
CAPZA1	2.9737978	0.51201606	0.00294138864162706	0.32808694895433677
HNRNPF	2.9689922	0.46897352	0.0029877815109611763	0.3320628969214657
NSA2	2.9655952	0.39152363	0.0030209781668579685	0.33454896925236793
DUSP2	2.9633582	0.8653332	0.003043022748173973	0.3357866923226116
DRAP1	2.9592154	0.52637935	0.003084233868801221	0.33810223895686736
S100A8	2.9590497	1.2976248	0.0030858928499801473	0.33810223895686736
CSDE1	2.936762	0.39009783	0.003316585282418266	0.3620937649147603
TMEM154	2.9346077	0.44409648	0.0033396952596120846	0.36333297336702314
MRPS5	2.9307137	0.8312175	0.0033818434721636713	0.3666274307348805
TAP1	2.9240024	0.6645067	0.003455619959041934	0.37331569886195326
CDK17	2.9090889	0.95584476	0.003624839443781604	0.3888773065781952
HLA-DQB1	2.9003062	0.31731147	0.003727982673728624	0.3985587566442675
PRDX1	2.8956664	0.4508059	0.0037835438871983633	0.40310398442333734
OST4	2.893595	0.3160289	0.0038085901091797093	0.4043780364375446
CLIC1	2.8768585	0.23125628	0.004016556344745578	0.4235479228109355
COX5A	2.8690703	0.4051468	0.004116803660870616	0.4326424581970048
COPS2	2.8656733	0.6968048	0.004161235422214886	0.43582946047516385
MS4A1	2.8631048	0.16540705	0.0041951185233419395	0.4364194512312994
ELF1	2.860205	0.38707227	0.0042336742955575565	0.43895246546926786
TFDP1	2.8517537	1.5225906	0.004347876954043673	0.44928546571601125
SP110	2.8281403	0.27431506	0.004681927751442488	0.48219173912106184
COX17	2.8144693	0.6075461	0.004885782640053738	0.49833314787478256
IFITM3	2.8060184	1.4141313	0.0050157843242826464	0.506446693684186
DBI	2.7668283	0.4075254	0.005660455296944114	0.5653128481744871
UQCRQ	2.7661655	0.4641569	0.005671974073019743	0.5653128481744871
SMG1	2.7544003	0.6596991	0.005879981509362006	0.5841600922661025
NUDT4	2.7466118	0.67484915	0.0060214332854580275	0.5930079077390369
