	scores	logfoldchanges	pvals	pvals_adj
MTRNR2L12	10.093576	3.0265899	5.8980730222602615e-24	8.731114097285939e-21
SEC61G	9.736949	2.0347028	2.0975667634467373e-22	2.1735685991756243e-19
MZB1	9.241535	2.553873	2.429859325921022e-20	1.7566752759280655e-17
SUB1	8.38699	1.8653235	4.9874772461037754e-17	2.720100090344352e-14
SPCS3	8.349789	2.0310936	6.838494428082116e-17	3.665315108375668e-14
FKBP11	8.318312	2.1394339	8.922523059955939e-17	4.4160736903987964e-14
NEAT1	8.099757	1.7939119	5.50691226103465e-16	2.4810634994026695e-13
PPIB	8.081157	1.8927871	6.415541556651287e-16	2.849142005308837e-13
HSP90B1	8.0775795	1.9103945	6.606496023545571e-16	2.852446415055016e-13
PCBP1	7.973131	1.6348741	1.54703883181535e-15	6.412372821952505e-13
FKBP2	7.929134	1.7972976	2.206792698408164e-15	8.909423976027869e-13
JCHAIN	7.811093	2.8417172	5.669413356630862e-15	2.1758648520689334e-12
SSR3	7.7928505	1.7718569	6.551419082749978e-15	2.483706890554251e-12
SDF2L1	7.70271	1.9381188	1.3321045965499058e-14	4.759900642867462e-12
SEC61B	7.682321	1.5648631	1.5623164809176628e-14	5.519060504805384e-12
CD38	7.661932	2.082837	1.8315633632738146e-14	6.326423363788119e-12
SSR4	7.534591	1.503428	4.898676924035568e-14	1.62005499507972e-11
TNFRSF17	7.5184946	1.9067744	5.5410563704225136e-14	1.8132086251297336e-11
RPL41	7.2992244	0.84413284	2.894310856224609e-13	8.651484768024462e-11
TXNDC17	7.1761756	1.9236078	7.168840913283522e-13	2.0689007161695785e-10
PDIA4	7.175818	1.7912896	7.187611456438849e-13	2.0689007161695785e-10
XBP1	7.101059	1.6792926	1.2380474954279732e-12	3.498834771851764e-10
SEC61A1	7.0652885	1.5908892	1.6028236574094527e-12	4.466622098261199e-10
MYDGF	6.998041	1.7018576	2.595658598248203e-12	7.07817884594227e-10
TMEM258	6.957621	1.3742986	3.460665369772403e-12	9.274284857768508e-10
ERLEC1	6.9250703	1.4980793	4.3575885756153244e-12	1.1578150089756718e-09
LGALS1	6.9107623	1.558765	4.820559635764255e-12	1.2699723508220627e-09
SELENOS	6.9050393	1.5560195	5.018957579454115e-12	1.3111288594326896e-09
CYBA	6.881431	0.7098763	5.9254282796674845e-12	1.535031574416859e-09
TXNDC11	6.8746347	1.5888828	6.214891772702242e-12	1.5967135581652446e-09
ITM2C	6.821337	1.5363181	9.019682466149407e-12	2.2612489421386015e-09
ISG20	6.7544475	1.226626	1.4338056367325753e-11	3.5375171292940926e-09
SRGN	6.7140274	1.5875536	1.8932470951678895e-11	4.598075972459702e-09
IGHA1	6.711166	2.4314516	1.9307554494459725e-11	4.652821291234647e-09
MANF	6.680046	1.6943985	2.3886737917779002e-11	5.639255072835974e-09
HM13	6.627106	1.4315177	3.4233103030363696e-11	7.94182443212624e-09
ELL2	6.543047	1.6493949	6.027793251102368e-11	1.3778382999780833e-08
PDIA6	6.507277	1.4123138	7.652529526953512e-11	1.7114689597439123e-08
LMAN1	6.469361	1.4817557	9.841842609138373e-11	2.1246761193769763e-08
SPCS2	6.4371676	1.1985626	1.2172343793872494e-10	2.5917921336994125e-08
RPS27L	6.425006	1.2248758	1.3186441378650957e-10	2.7886183886947096e-08
LMAN2	6.420356	1.3073274	1.3595621254165234e-10	2.8557234995150992e-08
AQP3	6.40104	1.5283556	1.5432214025664156e-10	3.219739848428333e-08
UQCRQ	6.3906665	1.2938261	1.6516404141838695e-10	3.4003010301810564e-08
UBE2J1	6.3756433	1.2873193	1.821965385250816e-10	3.726278811269218e-08
NOP10	6.3649125	1.339345	1.9540135008598954e-10	3.970223379165462e-08
SEC11C	6.3466697	1.4616538	2.2002595501927394e-10	4.4415239374572525e-08
ANKRD28	6.343808	2.2013304	2.2415415223310052e-10	4.4956646003034816e-08
IFI6	6.3262806	2.2893379	2.511407740470435e-10	4.972747288407924e-08
CDV3	6.2922993	1.5756208	3.127977853401536e-10	6.077465470543347e-08
IGKC	6.2787066	2.5586152	3.4140110315601004e-10	6.592009996155829e-08
FNDC3B	6.2694063	2.2084277	3.624270194081042e-10	6.95479552613564e-08
HYOU1	6.266187	1.9295931	3.6999568309906215e-10	7.056475951227328e-08
RRBP1	6.26261	2.0563533	3.7858632990538364e-10	7.176288559615038e-08
ARF4	6.2525945	1.2475314	4.0368924975250937e-10	7.605750125488642e-08
