	scores	logfoldchanges	pvals	pvals_adj
MTRNR2L12	9.5470705	2.9085114	1.3341550168859397e-21	1.056958655300638e-18
MZB1	9.495262	2.680837	2.1965757342688926e-21	1.655307328334292e-18
SEC61G	9.19538	1.9684429	3.7367110843351494e-20	2.4564502632490026e-17
HSP90B1	8.661037	2.0715601	4.6748923181716715e-18	2.6748175547138916e-15
FKBP2	8.624734	1.9787811	6.424174537494975e-18	3.608867648817859e-15
JCHAIN	8.358887	3.031727	6.331303391108178e-17	2.8767394246333735e-14
FKBP11	8.318801	2.1282187	8.885739149890805e-17	3.978879456727191e-14
SUB1	8.108921	1.7654988	5.107101713364618e-16	2.1915850227475917e-13
PPIB	8.102492	1.8955684	5.384434269598634e-16	2.278943364764233e-13
SDF2L1	7.8805118	2.0039268	3.2604270146099234e-15	1.259217668380035e-12
SSR3	7.8563094	1.7694786	3.956168134433774e-15	1.5090583561679052e-12
SPCS3	7.818115	1.8623103	5.362012404571831e-15	1.996025268241637e-12
SSR4	7.7700887	1.6088462	7.843122756360687e-15	2.8509289859208957e-12
TNFRSF17	7.7470207	1.958973	9.407357692014942e-15	3.3797573326765776e-12
PCBP1	7.648699	1.5998809	2.030232818317229e-14	6.818272107342112e-12
NEAT1	7.6365976	1.7725457	2.2303728927118527e-14	7.40987432969012e-12
PDIA4	7.633572	1.8839409	2.283366392021337e-14	7.505231001519495e-12
ERLEC1	7.6241183	1.6986566	2.457081322004707e-14	7.991204379576783e-12
SEC61B	7.6207147	1.6324306	2.522748694870498e-14	8.119309002647267e-12
CD38	7.565503	2.0621886	3.863661669086736e-14	1.2058136827249785e-11
XBP1	7.2554107	1.6843876	4.004453607252224e-13	1.1247782100297451e-10
SEC61A1	7.2338552	1.6406474	4.694718936593132e-13	1.2951136694992677e-10
MYDGF	7.188098	1.69984	6.570021554154983e-13	1.7964066899002346e-10
ITM2C	7.160492	1.6951892	8.03880478495284e-13	2.1787276442165605e-10
TMEM258	7.1033897	1.4310757	1.217336541115046e-12	3.242417854382032e-10
SELENOS	7.1007423	1.6673216	1.2408847660159247e-12	3.2768903090251304e-10
TXNDC17	7.057254	1.9385978	1.6982527200220522e-12	4.4093205286152393e-10
SEC11C	7.0167904	1.6606733	2.2702260415736636e-12	5.749440492336187e-10
IFI6	6.938511	2.475751	3.962540531352327e-12	9.953708520096979e-10
TXNDC11	6.9029636	1.5594493	5.092860022406828e-12	1.2588327688984302e-09
MCL1	6.88519	1.477757	5.771036318402289e-12	1.4151405486482182e-09
IGHA1	6.8235497	2.5528631	8.881788622037689e-12	2.1607923075204604e-09
