	scores	logfoldchanges	pvals	pvals_adj
TYMS	5.530952	3.09589	3.184974762802857e-08	7.072236460803744e-05
PSME2	5.3524623	2.1571593	8.676542108143217e-08	0.000149135536604412
FKBP2	5.1516614	2.5654328	2.581891285373788e-07	0.00031547564367523194
PDIA4	5.12935	3.3229191	2.90744334803008e-07	0.00032279889771503963
RAN	4.9642467	1.6602582	6.896814141521612e-07	0.0006700039413046324
SEC61B	4.7768326	1.923572	1.780778205919265e-06	0.0014568171601950575
RER1	4.7054367	1.958524	2.533230045246086e-06	0.001968763060414127
OST4	4.6808944	1.2751912	2.8562600112816782e-06	0.0021141084516836553
HM13	4.634041	2.6488523	3.585961580413849e-06	0.002592483433728496
SEC61G	4.616192	2.1850073	3.908455849729935e-06	0.002641351456533793
LMAN1	4.562645	2.626562	5.051319547360574e-06	0.003204701444261187
C12orf75	4.5403337	2.949042	5.6165255491208595e-06	0.0033730263234064317
SMC4	4.5358715	2.800265	5.7366105332513505e-06	0.0033730263234064317
HMGB1	4.5336404	1.0176861	5.797570801166858e-06	0.0033730263234064317
PCBP1	4.522485	1.8105233	6.111789008689723e-06	0.0034544942711479533
MLEC	4.506867	2.4769313	6.579187465966698e-06	0.003652271442044763
RPS27L	4.486787	1.9617828	7.230536422517273e-06	0.0038754428580481805
TUBB	4.451089	1.935991	8.54359839557222e-06	0.00442658072205256
RRM2	4.4220843	2.7920198	9.775332071229979e-06	0.004901383033843973
CALR	4.417622	1.564272	9.979274065122971e-06	0.004924217347023457
TNFRSF17	4.3886175	2.7168167	1.1407353931311933e-05	0.005347398555171773
STMN1	4.3863864	2.2319772	1.1524936571444937e-05	0.005347398555171773
SPCS3	4.379693	2.5629923	1.1884665961514608e-05	0.0054095611204204265
SUB1	4.3663063	1.9840753	1.2636530440952392e-05	0.005611883168826957
GNAS	4.3551507	1.5923293	1.3297547188140957e-05	0.005741400686635249
HSP90B1	4.3506885	2.0366004	1.3571082860263872e-05	0.005779236340781136
ATP5MC1	4.343995	1.6626484	1.399147160019685e-05	0.00587774158966648
AQP3	4.339533	2.7512302	1.4278599917411148e-05	0.005918384475100805
PSMB2	4.3149905	1.8797889	1.5960984854187975e-05	0.006528672844238705
CYTOR	4.290448	3.2305143	1.7831300213715662e-05	0.007198982204464659
TMEM258	4.272599	1.4811287	1.932076707923347e-05	0.007602844129014315
RPN1	4.252519	1.9496862	2.11379309209449e-05	0.008112529117770544
ATP5PF	4.248057	1.5109204	2.156328071326053e-05	0.00817485009186744
STT3A	4.2413635	2.863741	2.2216613293764107e-05	0.008321058523653552
SDF2L1	4.232439	2.6205099	2.3117076239712293e-05	0.008454594694869836
NUCB2	4.21459	3.5021775	2.5023247831242217e-05	0.008839746651475303
NOLC1	4.210128	2.3204381	2.55226450436215e-05	0.008914859173832152
SKA2	4.1833544	2.6855075	2.8723936331905154e-05	0.009673674127508343
PA2G4	4.1811233	1.5170176	2.9007281947943977e-05	0.009673674127508343
PRDX3	4.178892	2.0795681	2.929328314699894e-05	0.009673674127508343
HSPD1	4.17443	1.7471913	2.9873346293975002e-05	0.009673674127508343
ATP5MPL	4.1677365	1.4457198	3.076395047958737e-05	0.009854700957786561
FKBP11	4.156581	2.6545458	3.230460821949495e-05	0.00994310253187564
TXNDC5	4.143194	3.2419548	3.4250201070386976e-05	0.010339566337820407
TXN	4.138732	2.2877536	3.4923101794034245e-05	0.010339566337820407
NDUFB4	4.1275764	1.3199122	3.666070943002245e-05	0.01055251364862137
COX8A	4.1275764	1.3512082	3.666070943002245e-05	0.01055251364862137
ATP5MC3	4.123114	1.5123367	3.737847908274548e-05	0.010563497993139171
CANX	4.1164207	1.8268312	3.84801960819676e-05	0.010680659425001132
VDAC1	4.0985713	1.7051314	4.1570776971302655e-05	0.011336059155323557
TK1	4.0874157	2.4057572	4.362046868882223e-05	0.011791560957647102
CHCHD2	4.0807223	1.0715692	4.48959191498607e-05	0.012031719298376892
MKI67	4.0673356	2.535013	4.75536897488153e-05	0.012527979264588315
PPIB	4.0494866	1.6649259	5.1330063614898876e-05	0.013409224265515642
PRDX4	4.0361	2.6938896	5.4347033932838154e-05	0.014079052032251165
SLC35B1	4.0316377	2.9280803	5.538948942122921e-05	0.014230521137502087
NDUFB3	4.0271754	1.9271791	5.645086852165224e-05	0.014384329096168878
IFITM1	4.022713	1.8302134	5.753149323576707e-05	0.014540500245693424
COX5A	4.018251	1.4645133	5.863169063061306e-05	0.014581466933070946
DCPS	4.0137887	2.3843374	5.9751792910693346e-05	0.014626015639486015
PSMA5	4.004864	1.7980089	6.205306707064634e-05	0.014838797661732177
P4HB	3.99594	1.802785	6.443807889662537e-05	0.015175655747419642
SAR1A	3.9736288	3.33985	7.078588553711069e-05	0.016300154249571555
PDIA6	3.9713976	1.8967285	7.145222330798065e-05	0.016332612249817604
CD38	3.9557798	2.4831004	7.62854332485854e-05	0.01693918045284839
MZB1	3.9557798	2.6413283	7.62854332485854e-05	0.01693918045284839
UQCRQ	3.9490864	1.7422285	7.845005319042313e-05	0.01721402549278953
NDUFS5	3.9468553	1.6148162	7.918440651941013e-05	0.01721402549278953
STT3B	3.9468553	2.572893	7.918440651941013e-05	0.01721402549278953
CENPW	3.9334686	2.4848523	8.372882073195768e-05	0.017706652041458288
NDUFV2	3.9111574	1.5444161	9.185493534394461e-05	0.019036629166914707
PSMD8	3.902233	1.4607009	9.530943396326394e-05	0.019365257343895333
HSPA5	3.8933084	1.686149	9.88863555240011e-05	0.019456203380852036
TMED9	3.8933084	1.5705819	9.88863555240011e-05	0.019456203380852036
POMP	3.8933084	1.3632541	9.88863555240011e-05	0.019456203380852036
LSM3	3.8843837	1.3818692	0.00010258974356439891	0.019808741355195458
CISD2	3.8843837	1.816551	0.00010258974356439891	0.019808741355195458
GMPPB	3.8754592	2.0913892	0.00010642376408658702	0.02042219477876377
SSR3	3.870997	2.2301874	0.0001083910977037167	0.020672110762671416
JCHAIN	3.8620725	2.8165085	0.0001124291542613571	0.02092865340432819
GGCT	3.8620725	2.705789	0.0001124291542613571	0.02092865340432819
COX6A1	3.8598413	0.96214056	0.00011346061601946229	0.020994941489268
NDUFB2	3.8576102	1.3206711	0.00011450099885162418	0.02106208610236947
ERH	3.8509169	1.4228553	0.00011767639579863505	0.02139301822334601
PAICS	3.8486857	2.2617552	0.00011875318760665022	0.021463257808883345
MIF	3.8464546	0.9717222	0.00011983926551432727	0.021534354029155444
MRPS18C	3.8419924	2.0035183	0.00012203957869429794	0.021803703349825516
ALG5	3.8219123	2.4575977	0.000132420746627905	0.02312676264281844
DSTN	3.8219123	2.0526602	0.000132420746627905	0.02312676264281844
PRDX1	3.7839832	1.5534642	0.0001543381857248033	0.026362149338609673
JPT1	3.781752	1.9068631	0.00015572835738034764	0.02645424833815774
NDUFAB1	3.7639031	1.7620019	0.00016728166143393117	0.027958521553745258
UQCRH	3.7549787	0.9612084	0.00017335621459673085	0.028665556612598786
MYL6	3.7348986	0.58412266	0.0001877908308888694	0.03088811407323959
PSMB1	3.7326674	1.2187716	0.00018946263506652427	0.030999078612173894
NOP10	3.7014318	1.4711097	0.00021438630431403526	0.034711599178179245
MTRNR2L12	3.6902761	2.381537	0.00022401072701542664	0.036081976532272374
HNRNPA3	3.6813517	1.0334914	0.0002320007419493148	0.037176325077207986
IFI35	3.6791205	1.9162657	0.00023403962534332857	0.03731071709255413
AL133467.1	3.6746583	3.2045896	0.00023816793588066275	0.0375833838716861
BIRC5	3.670196	2.4766946	0.00024236449716815743	0.037861231776213616
