	scores	logfoldchanges	pvals	pvals_adj
TYMS	5.0302215	2.86536	4.899138816208554e-07	0.0015136869200439568
ATP5MC3	4.864527	2.132987	1.1473066645694038e-06	0.0027702218252816653
HM13	4.861401	3.1800594	1.1655786558132392e-06	0.0027702218252816653
FKBP2	4.8020015	2.4595003	1.5708771168192323e-06	0.003033461892397739
SEC61B	4.695707	2.159504	2.6568621615652206e-06	0.004231877750417984
RPN1	4.6206756	2.4482322	3.82492293813429e-06	0.00529532576430339
LMAN1	4.6144233	3.0565674	3.941887321713369e-06	0.00529532576430339
TMEM258	4.530013	1.8452044	5.8980085493564125e-06	0.0072667285130973
DSTN	4.5175076	3.8615024	6.257175713615678e-06	0.0072667285130973
PRDX1	4.5143814	2.0828996	6.350185126505068e-06	0.0072667285130973
HSP90B1	4.451855	2.3682914	8.513151761052446e-06	0.009393958927187052
TUBB	4.43935	2.5025253	9.023092831532466e-06	0.009613327559167538
PPIB	4.4080873	2.1297023	1.0428761457436363e-05	0.01039411105646488
SSR3	4.376824	2.6630707	1.2042110249299693e-05	0.011627033761644144
PDIA4	4.351814	2.8917682	1.3501600766768516e-05	0.012269381143848438
COX5A	4.326803	1.973944	1.5128901161884443e-05	0.012984379422187324
SRSF9	4.3080454	2.4037678	1.647035880578374e-05	0.013048325026212825
PSME2	4.2861614	1.800151	1.817870395250559e-05	0.013699205268794272
CYTOR	4.2674036	3.1528618	1.9776131100356267e-05	0.013769789579118804
NDUFB4	4.264277	1.7263601	2.005503871121294e-05	0.013769789579118804
SEC61G	4.264277	2.4773953	2.005503871121294e-05	0.013769789579118804
FKBP11	4.251772	2.7158468	2.1208577596895332e-05	0.014038032689769669
PSMB2	4.245519	2.624911	2.1808770078290583e-05	0.014038032689769669
NDUFV2	4.2361403	2.0108087	2.273945968999461e-05	0.014164631224497801
TNFRSF17	4.233014	2.879907	2.3058001862315246e-05	0.014164631224497801
RPS27L	4.229888	2.1398342	2.338078753436864e-05	0.014164631224497801
RAN	4.2142563	1.6387974	2.5060257093344505e-05	0.014890130065635868
IFITM1	4.1892457	2.3013158	2.7988300697183804e-05	0.01616170964828408
SKA2	4.1829934	2.7331545	2.8769590272700403e-05	0.01616170964828408
SPCS3	4.1829934	2.4178565	2.8769590272700403e-05	0.01616170964828408
HSPD1	4.15173	2.0594273	3.299710597727112e-05	0.01820556398892403
CD320	4.139225	2.566159	3.484809929816091e-05	0.018440446762857176
ATP5PF	4.1329722	1.7761396	3.581016945889344e-05	0.018440446762857176
STT3A	4.12672	2.6788757	3.6797425227587015e-05	0.018638197496012397
GSPT1	4.120467	2.3842838	3.781048632075097e-05	0.018842428965358753
SDF2L1	4.1110883	2.530614	3.9379853479112644e-05	0.01931300528482767
SLC35B1	4.1017094	3.3473794	4.1010912799460626e-05	0.019798658949452107
CISD2	4.0892043	2.112741	4.328556917460139e-05	0.020575295858271676
AQP3	4.0829515	2.5905266	4.446728981710531e-05	0.020816755355743982
MZB1	4.0641937	2.720602	4.819877359623601e-05	0.02152180183326999
TAP1	4.0610676	2.016041	4.8848851939592586e-05	0.02152180183326999
PSMB1	4.057941	1.6369052	4.950723636937081e-05	0.02152180183326999
PHPT1	4.0516887	2.3936915	5.084932303552802e-05	0.02152180183326999
TOMM5	4.0516887	2.0773065	5.084932303552802e-05	0.02152180183326999
