	scores	logfoldchanges	pvals	pvals_adj
IFITM1	12.767884	2.77363	2.477993872334587e-37	1.925834887731633e-33
B2M	12.2965	0.48325482	9.458461155759363e-35	5.880703638981826e-31
LGALS1	11.0532	2.545571	2.1153900902088916e-28	6.5761131734323815e-25
EMP3	10.178023	1.3721958	2.4855922713434252e-24	6.4391339116044216e-21
LY6E	9.476341	1.3024658	2.633556408883086e-21	3.8985413372832614e-18
IFITM2	9.115042	1.1477431	7.86400053557804e-20	7.886070472564984e-17
S100A11	9.007379	2.1604018	2.1104004600389228e-19	1.9880611848857574e-16
PPDPF	8.905	0.89328736	5.338617703329189e-19	4.610044681760958e-16
HSPB1	8.580689	1.8846163	9.430639299719266e-18	7.517186766932637e-15
RHOA	8.279496	0.72135085	1.2369718428545017e-16	9.257770571448089e-14
PSMB9	8.216969	1.0869633	2.087124199405503e-16	1.5088937206260205e-13
RPL28	8.008247	0.301594	1.1635510375376894e-15	7.86332850085525e-13
MALAT1	7.4276586	0.36526147	1.10536990395505e-13	6.363450778564932e-11
NEAT1	7.2858686	1.436289	3.196038010702323e-13	1.774200600691127e-10
CLIC1	6.986878	0.7249901	2.8107075054286733e-12	1.4809570206993417e-09
COX6A1	6.960898	0.8124845	3.3811105313631368e-12	1.7518097181414306e-09
HLA-B	6.9243493	0.5290334	4.3798325894207184e-12	2.196062188827772e-09
ACTB	6.8911037	0.4233682	5.536110087307472e-12	2.644168484072164e-09
EZR	6.6330643	0.7075481	3.2878804078226323e-11	1.4601476891140311e-08
TMSB4X	6.5621696	0.3861784	5.303040221981903e-11	2.289661269177103e-08
MYL12A	6.5128517	0.71130335	7.373733711019196e-11	3.140099450334983e-08
TSPAN3	6.488633	0.9258182	8.661871961845493e-11	3.543047548393301e-08
PSME2	6.4716797	1.1627488	9.691932418025922e-11	3.912897442586647e-08
RHOB	6.3481646	1.0459517	2.1789916455315116e-10	8.684399139056166e-08
ADGRE5	6.3431005	1.5008329	2.2518644372209987e-10	8.75046371998615e-08
ARPC5L	6.330771	1.3304132	2.4393922618458953e-10	9.362146573333747e-08
IFI30	6.1737895	1.2558799	6.667221977595716e-10	2.467427733541881e-07
HSP90AA1	6.0751534	0.77486885	1.2386919109735461e-09	4.5302606395805444e-07
HLA-DQA1	6.011965	0.46496236	1.832882849146903e-09	6.474866946753384e-07
XAF1	5.6548486	2.2308445	1.5598355854731463e-08	5.214043961892871e-06
HSP90AB1	5.636795	0.5089305	1.73244325488174e-08	5.729411006862623e-06
VIM	5.5524697	0.7018417	2.8166160074510167e-08	9.1208481066281e-06
ARID5B	5.4892807	1.1393218	4.035734909214148e-08	1.2545889112274022e-05
PLEK	5.4150834	0.99411076	6.126010143712478e-08	1.8489250226950463e-05
KLF6	5.349693	0.5658275	8.810355432005724e-08	2.5838445218373767e-05
IGKV3-20	5.3151264	1.5254222	1.065833713918298e-07	3.096595576128797e-05
SAT1	5.2400484	0.69484353	1.6053457293973224e-07	4.536852971797688e-05
IFI44L	5.196895	3.1192977	2.0264478696653224e-07	5.6246593682398106e-05
MS4A1	5.160567	0.37922382	2.462031650997746e-07	6.773201587129817e-05
POMP	5.1264405	1.2594256	2.952712634958932e-07	8.0518401476288e-05
TSC22D3	4.971881	0.4711699	6.630636041124582e-07	0.0001761765663337093
HLA-DRB1	4.872364	0.35687727	1.1027062811561468e-06	0.00029050703527373843
ATP5F1D	4.843962	0.6893651	1.2727509397881692e-06	0.00033248746609407405
CRIP1	4.821945	0.8348939	1.4216494400800229e-06	0.0003652464144113031
PPIA	4.785837	0.33687338	1.7027587887184993e-06	0.00042688437471687086
EIF5A	4.760298	0.70782745	1.9330764838570844e-06	0.0004807483892293215
CYBA	4.758316	0.34693232	1.9521460067332003e-06	0.0004816378008834523
COX5B	4.7277126	0.6728999	2.2706339450492225e-06	0.0005558047043287022
ARPC1B	4.7120805	0.68761975	2.4520058430388014e-06	0.0005955117628324002
YWHAH	4.6916046	1.6645384	2.710706357792132e-06	0.0006482132964975692
KLF2	4.6475706	0.599095	3.358672055522591e-06	0.0007791868521644089
MX1	4.548494	1.2724652	5.403117653173862e-06	0.0012350494006192342
SERF2	4.505781	0.4242749	6.612925433108824e-06	0.001489681253181551
