	scores	logfoldchanges	pvals	pvals_adj
B2M	12.530344	0.50650287	5.0941108764752336e-36	3.9348185937613826e-32
IFITM1	12.280093	2.6217194	1.1586428066453573e-34	7.159717359384321e-31
LGALS1	11.255731	2.7052135	2.1701951845733126e-29	6.705252061776164e-26
EMP3	10.338916	1.3975455	4.698222135982147e-25	1.1166228410418493e-21
LY6E	9.785682	1.3463013	1.2971850525920316e-22	2.1094277142071578e-19
IFITM2	9.182027	1.1747462	4.230525885767324e-20	4.769593895731101e-17
PPDPF	9.067078	0.9213692	1.2225141816082017e-19	1.2590673556382867e-16
S100A11	8.788842	2.2229762	1.5110973608648368e-18	1.2968993099622463e-15
HSPB1	8.64082	1.9029417	5.581140025072199e-18	4.311012083866393e-15
MALAT1	8.311237	0.42463994	9.470908449166057e-17	6.650514962588265e-14
RPL28	8.212016	0.3117863	2.175049327833539e-16	1.493388868490508e-13
RHOA	7.9795747	0.7177831	1.4683864671964318e-15	9.451820141035031e-13
PSMB9	7.92476	1.0721197	2.285876866609718e-15	1.4413619907681726e-12
HLA-B	7.4832363	0.55731136	7.251438959759566e-14	3.862891543787781e-11
NEAT1	7.3740697	1.5191556	1.6549682004796965e-13	8.666703811901895e-11
EZR	7.2991333	0.79022187	2.896277527020165e-13	1.376712103882185e-10
RHOB	7.209857	1.2283001	5.601068738966069e-13	2.622063951936889e-10
CLIC1	6.631644	0.690213	3.319691907478169e-11	1.4013491102511913e-08
MYL12A	6.630025	0.7281099	3.35630754308147e-11	1.4013491102511913e-08
COX6A1	6.530572	0.7515699	6.55189838869102e-11	2.6991200602051525e-08
ACTB	6.4556355	0.42949602	1.0776566862817229e-10	4.38109982053242e-08
ADGRE5	6.307613	1.5003797	2.8337176078552396e-10	1.108270543416498e-07
TSPAN3	6.3025246	0.90130556	2.928358932152126e-10	1.130968824083803e-07
PSME2	6.1579714	1.1498246	7.368267587983925e-10	2.742859803204089e-07
HLA-DQA1	6.006248	0.5454788	1.8986547241032458e-09	6.666219887570226e-07
KLF6	5.9567533	0.66694736	2.572984401287241e-09	8.641032505062163e-07
IFI30	5.939638	1.2543066	2.856520820953649e-09	9.455597140076967e-07
ARPC5L	5.938482	1.3093485	2.876739266489416e-09	9.455597140076967e-07
CYBA	5.718529	0.5026539	1.0745000760398126e-08	3.3534170554951607e-06
VIM	5.63226	0.70903695	1.7786341812813168e-08	5.3876921861812595e-06
TMSB4X	5.6005735	0.33844584	2.136434687464759e-08	6.408681799863948e-06
MS4A1	5.570044	0.38451016	2.5467485896241424e-08	7.493989635582583e-06
TSC22D3	5.5015836	0.4960812	3.763949501694779e-08	1.0868668014379774e-05
HSP90AA1	5.4698977	0.7449253	4.5029575396722486e-08	1.2882211028079025e-05
HLA-DRB1	5.399124	0.37254286	6.69669801078334e-08	1.864034940893449e-05
CRIP1	5.352867	0.9565448	8.657138601155692e-08	2.388210815713459e-05
ARPC1B	5.350092	0.86615807	8.790963916694115e-08	2.403667364018567e-05
SAT1	5.2635913	0.71836424	1.4126848004492675e-07	3.828747568375528e-05
HSP90AB1	5.2485576	0.45823556	1.5329477458436096e-07	4.1185640437678265e-05
PLEK	5.1331463	0.9564784	2.849384627840145e-07	7.46079973274381e-05
LITAF	5.0605226	0.85046655	4.1810896407286376e-07	0.00010855724926856531
IGKV3-20	5.034387	1.3586766	4.793795304365513e-07	0.000122408176461968
ISCU	5.0216665	0.6092153	5.122503460893373e-07	0.00012972949953378899
ARID5B	5.013803	1.088578	5.336464235168555e-07	0.00013404937843414865
XAF1	4.9101872	1.9923025	9.098952752711346e-07	0.00022490427456041797
MX1	4.834094	1.4109915	1.3375320965150749e-06	0.00032035448981415713
SLC38A1	4.8167477	0.9347863	1.4591688659590335e-06	0.00034679954193489427
SRGN	4.778586	1.2479118	1.7653245113909349e-06	0.0004163605452553108
IFI44L	4.736029	2.8714242	2.1794611481244555e-06	0.0005063068503278294
CIB1	4.58315	0.69532216	4.580239094912369e-06	0.0010329609293102734
ATP5F1D	4.5701976	0.6754534	4.872642975431385e-06	0.001090942391390605
YWHAH	4.564184	1.6757375	5.014401575130614e-06	0.001114604068106551
PPIA	4.5315733	0.3717682	5.8546080217864184e-06	0.0012920701717795357
BST2	4.5255594	1.1208408	6.023588853483496e-06	0.001319934927702692
KLF2	4.4045973	0.5645974	1.0598050115659157e-05	0.002273944127941118
