	scores	logfoldchanges	pvals	pvals_adj
IFITM1	19.629936	3.0557828	8.582285013135959e-86	8.893249806778584e-82
B2M	12.634615	0.33071405	1.360587972807743e-36	2.8197732207116206e-33
IFI44L	9.979579	3.8943377	1.8725942617938898e-23	2.328533512655466e-20
TSC22D3	9.582901	0.7705016	9.435685075914822e-22	9.777571398498802e-19
RPL28	9.314304	0.28361738	1.2275409153503837e-20	1.122369542220511e-17
IFITM2	9.103341	0.9102769	8.759459836811553e-20	7.165929682814756e-17
XAF1	8.832597	1.9154912	1.0227359779934721e-18	7.393905429740249e-16
LY6E	8.500151	0.8146425	1.8934443771610504e-17	1.2262813615167827e-14
KLF6	8.250203	0.85190153	1.581258675480434e-16	9.831317688932051e-14
RPL14	8.057427	0.23896755	7.791678360104108e-16	4.658075099626084e-13
CYBA	7.866801	0.44452608	3.638250230273848e-15	2.0564051801549655e-12
PSMB9	7.3965273	0.95861614	1.397921866448937e-13	7.365626620728492e-11
MYL12A	7.195617	0.62815875	6.217885533087085e-13	3.1687771732307906e-10
RPLP1	6.8085318	0.21354046	9.859993269624797e-12	4.6442062238306976e-09
MX1	6.2760973	1.7015796	3.47177498760184e-10	1.520099563937724e-07
IRF7	5.847571	1.4827054	4.988032344871851e-09	1.9879866859619386e-06
COX6A1	5.697157	0.5109277	1.2182173785262123e-08	4.56273778870414e-06
CHCHD10	5.514358	0.89294887	3.500552939995294e-08	1.2508240143176287e-05
ISG20	5.440149	0.5587727	5.323610430202085e-08	1.8388341938188024e-05
MIF	5.4078403	0.41080567	6.378920952548675e-08	2.132274361848179e-05
RPL36	5.3631	0.23206487	8.180569239692293e-08	2.7054186803650455e-05
PSME2	5.0817647	0.78334635	3.739446790969285e-07	0.00011742240645541632
IGKV3-20	5.0482283	1.0721928	4.4592578967334836e-07	0.0001386249502357538
VIM	5.0455422	0.5665603	4.5223644432255205e-07	0.0001391947954916354
IGLV2-8	5.0273547	3.6572323	4.972921326729539e-07	0.00015156196596474627
STAT1	5.0095506	1.8962766	5.455729253258079e-07	0.00016466238378255718
PPM1K	4.977089	0.8221643	6.454771920734438e-07	0.00019294182182679948
MALAT1	4.936262	0.18843777	7.963404962339638e-07	0.00023354563213608712
HLA-C	4.92736	0.31727207	8.3348058821436e-07	0.00024215337425999823
COX5B	4.917614	0.5884483	8.760548644821973e-07	0.00025216590344590803
KLF2	4.84893	0.51575875	1.2412921397274313e-06	0.0003384916556816373
STAG3	4.8214564	3.0007544	1.4251384801776024e-06	0.00038524591246331415
PSME1	4.715783	0.34374613	2.4078296829552773e-06	0.0006290100954120227
SESN1	4.4864016	2.5241265	7.2436086833504055e-06	0.0017871592312643971
RHOB	4.482718	0.9913679	7.369823210888688e-06	0.0017976310092283042
COX5A	4.481797	0.77674603	7.401703901348567e-06	0.0017976310092283042
HNRNPDL	4.4073577	0.26709205	1.0463928495038526e-05	0.0024643344327671414
CCND3	4.337753	0.6979084	1.4394683584467118e-05	0.0033356118777506712
TXNIP	4.3171864	0.26835546	1.5803089016384746e-05	0.003612284031267298
PARP14	4.272292	0.9980426	1.9347383324144856e-05	0.004390161353267819
RPS26	4.2490396	0.52713585	2.1468913722057392e-05	0.00474206571349832
SRSF5	4.2270145	0.31676483	2.3681238130402552e-05	0.005117583034090439
