	scores	logfoldchanges	pvals	pvals_adj
IFITM1	19.4011	3.1793883	7.553834937265263e-84	7.779694601889493e-80
B2M	11.634149	0.3176155	2.7633268416982875e-31	5.336156839246999e-28
RPL28	10.149729	0.34148777	3.322859575532328e-24	4.666654195691925e-21
TSC22D3	9.790939	0.8439404	1.2314604502720818e-22	1.5219373412822604e-19
IFI44L	9.112323	3.799527	8.063669054073395e-20	8.897970812989489e-17
KLF6	8.925222	0.97516495	4.448034437684679e-19	4.4332554845530164e-16
IFITM2	8.866694	0.93688804	7.53493644329193e-19	6.847262684952669e-16
LY6E	7.949722	0.8129618	1.869308198619536e-15	1.2555655524510393e-12
XAF1	7.941497	1.8541232	1.9975607935777267e-15	1.3131624646632133e-12
PSMB9	6.8616667	0.9354499	6.806183514464345e-12	3.894271334192683e-09
MYL12A	6.541752	0.57331634	6.080225825784138e-11	3.26345076629383e-08
RPL14	6.526514	0.19985515	6.73180761401272e-11	3.525299319494085e-08
COX6A1	6.3388076	0.63297457	2.3155005719705734e-10	1.1355876376535682e-07
RPLP1	6.29292	0.22552077	3.1154874822050815e-10	1.4809110267336983e-07
CYBA	6.100712	0.36820954	1.0559722425023802e-09	4.595263996703668e-07
RHOB	5.688762	1.2414474	1.279633988703255e-08	5.202217282758482e-06
IGKV3-20	5.4520516	1.38552	4.9791985390723274e-08	1.972337144380996e-05
CHCHD10	5.3691077	0.91380787	7.912716713849387e-08	3.0182618309605498e-05
MX1	5.1864233	1.5381726	2.1437145299115916e-07	7.8850414084141e-05
STAT1	5.160709	2.0346441	2.460166537663814e-07	8.942560648729277e-05
PSME2	5.1244316	0.8514285	2.9843667763559487e-07	0.00010598618424031005
MALAT1	4.9744744	0.18783785	6.542490522275899e-07	0.00022460369962973162
IRF7	4.927721	1.3584459	8.319429049837829e-07	0.00028246747181630706
KLF2	4.9043446	0.5607245	9.373993139368314e-07	0.00031481333263811177
MIF	4.7753396	0.3925549	1.7940424861070767e-06	0.0005714487700335088
CNBP	4.725729	0.42424372	2.2929121957516155e-06	0.0007228990623687516
RPS26	4.6489325	0.5732336	3.3365774632665583e-06	0.0010206953849757115
ISG20	4.5433908	0.4740746	5.5356484040637475e-06	0.0015984572779472674
PPM1K	4.515858	0.7868827	6.306083497149161e-06	0.0017872559562751675
IGLV2-8	4.443131	3.1720097	8.86592457404705e-06	0.002424163465171077
HLA-B	4.4162045	0.24495849	1.0044916601192254e-05	0.0027224367388336587
PTPRCAP	4.4001	0.47845948	1.0820084298155197e-05	0.0028819667634491473
HLA-C	4.3721347	0.29844576	1.2303747797435562e-05	0.0032491358606612526
CD24	4.229191	0.6750799	2.3453348241996435e-05	0.0059887446333302796
EPSTI1	4.1351643	1.9649103	3.5470057128688476e-05	0.008838051250847483
UBE2L6	4.1294503	0.8902574	3.6363186802227824e-05	0.008970648866663008
HINT1	4.0825233	0.25907138	4.4549291430830934e-05	0.01075343326045612
COX5B	4.0732594	0.52411103	4.635972560624188e-05	0.011103693349271748
HNRNPDL	4.0324802	0.24929832	5.5191283403414635e-05	0.012821391603874452
RPL36	4.0233893	0.17260876	5.736658121530974e-05	0.01322727805827929
TRIM22	4.0017443	0.82857287	6.287728172179174e-05	0.014180433382176637
COX5A	3.975337	0.724001	7.027963872655057e-05	0.015400212749888176
SNHG7	3.8065054	0.5314513	0.0001409442190464913	0.029444608888909214
PSME1	3.8063323	0.2762221	0.0001410428881625583	0.029444608888909214
VIM	3.7454662	0.42541587	0.00018005905802261508	0.036600557340294326
LINC00926	3.7250333	0.35373288	0.00019528945644111973	0.03918089828351478
LAMTOR4	3.6833882	0.5051037	0.00023015431611086225	0.0458779219669504
STAG3	3.6652062	2.4706242	0.00024713932960593614	0.04863607558493382
DRAP1	3.654297	0.60059273	0.0002578874807961835	0.05011288990037535
PLSCR1	3.635942	1.9721297	0.00027696654985053025	0.053483971817073955
SESN1	3.6226952	2.0843701	0.00029154918478260344	0.05595028051073353
TXNIP	3.5589721	0.23183183	0.00037230899725245354	0.0697165520491458
EIF2AK2	3.5332577	1.290171	0.000410472015047148	0.07639972198139598
IRF1	3.4818292	0.61950535	0.0004980014947360265	0.09051030695799418
RPS19	3.478712	0.14241172	0.0005038294329592515	0.0910340233341637
EMP3	3.4387121	0.372567	0.0005844886018570523	0.10202793407670818
SAP18	3.4346428	0.36640042	0.0005933354468286567	0.10299036685766857
S100A8	3.4168937	1.143052	0.0006333998551127759	0.10872308513010799
ATP5F1D	3.3442528	0.38819796	0.0008250449900419814	0.1385402992246038
RPS4Y1	3.3173263	0.45757213	0.0009088338177358759	0.1517850727923533
PARP14	3.2950752	0.7681832	0.0009839533556181771	0.16257329854831454
SRSF5	3.270573	0.23885432	0.0010732984202820855	0.1763920281460404
CCND3	3.2287548	0.57617295	0.0012433050134151688	0.2011224869083166
NDUFA4	3.1636462	0.41127673	0.0015580605049425884	0.24436241330564037
FKBP5	3.1091006	3.613363	0.00187657798275582	0.28846084543883865
RAC2	3.103473	0.22776589	0.001912637527164704	0.2925483251327122
RPL22L1	3.0701394	0.29614103	0.002139588391337768	0.3193568238027199
UVRAG	3.0626936	0.4848943	0.0021935457042399115	0.3246994300887263
HSP90AB1	3.0608754	0.17007358	0.002206909418993188	0.3246994300887263
PEBP1	2.9697928	0.46952274	0.0029800064708447576	0.42430073700318194
MRPS18B	2.9671955	1.1345488	0.003005298834528112	0.42593907380924345
FAU	2.8477144	0.12065139	0.004403440528973816	0.5915352261900173
SHISA5	2.822433	0.5402487	0.0047660770909018855	0.6320063685733714
ATP6V0E1	2.7944677	0.470624	0.0051985249322025065	0.6720452921768236
UQCR10	2.7888398	0.45102313	0.005289721069535614	0.6797931633417299
RPL8	2.7647705	0.13840286	0.005696284971483882	0.7213037572292521
PSMA6	2.7521298	0.8110283	0.005920904627483046	0.7327206908072228
RBX1	2.744684	0.7046076	0.006056920819068943	0.745580408552881
ATP5MC2	2.690831	0.15103802	0.00712743088462133	0.8487455663857686
ATP5PD	2.6838179	0.6836458	0.007278673802621234	0.8616443849792654
CCDC90B	2.669965	1.1062299	0.007585914274082346	0.8911862864118716
SCAND1	2.6684065	0.37895802	0.007621196435833891	0.8919397965074233
RNF181	2.6296186	0.7806879	0.00854807087756236	0.9854841265076276
CLIC1	2.6067615	0.18701085	0.009140303047417649	1.0
PTGES3	2.5981033	0.48242986	0.009374027462167596	1.0
RNF213	2.5936012	0.6652496	0.009497659002157852	1.0
PRDX1	2.5796618	0.57252795	0.009889713519760169	1.0
STK17A	2.5788825	0.457057	0.009912049168156111	1.0
IGKV1-5	2.569099	0.871787	0.010196334307008096	1.0
SRSF11	2.5116096	0.37507358	0.012018196843601033	1.0
SP100	2.4923887	0.19277544	0.012688707818421017	1.0
ISG15	2.4703972	1.1304806	0.013496305576563537	1.0
MPHOSPH8	2.4687524	0.40549105	0.013558503479749429	1.0
HBB	2.4373236	1.3422174	0.014796430248230494	1.0
SAMD9L	2.4347262	1.0829053	0.014903060969760356	1.0
CMPK1	2.432475	0.72320414	0.01499602132069812	1.0
KRTCAP2	2.425895	0.37617207	0.015270686747410372	1.0
ADAR	2.399921	0.6488427	0.016398614292854947	1.0
ACTR3	2.379228	0.2986594	0.01734893156356606	1.0
SMAP2	2.3782759	0.5666981	0.017393809508900675	1.0
PLAC8	2.36399	0.31040904	0.018079297283666307	1.0
CHURC1	2.362778	0.63091946	0.018138534336895346	1.0
DDX17	2.3622584	0.2801939	0.018163973631420107	1.0
CDC42SE1	2.3497908	0.40705016	0.018783960471550606	1.0
IFI16	2.3434706	0.52186435	0.019105271863007027	1.0
OAS1	2.3350723	1.1209008	0.019539647833034947	1.0
PSMA7	2.3330808	0.32047045	0.019643900754399535	1.0
LYSMD2	2.3261545	0.92279446	0.020010312563534693	1.0
NDUFB6	2.31715	1.0330186	0.020495556974494244	1.0
RNASET2	2.3170636	0.21770447	0.020500272166524707	1.0
EIF5A	2.311176	0.23050883	0.02082313269357331	1.0
GTF3A	2.310137	0.27771503	0.020880565838288526	1.0
RNMT	2.3030374	0.4026361	0.02127673348347315	1.0
MIA3	2.2966306	1.0062805	0.021639854361169924	1.0
SKP1	2.2962842	0.16763227	0.021659635278961604	1.0
RAD23A	2.2877128	0.4273887	0.022154253363934007	1.0
HSPA4	2.2851155	0.7023078	0.02230606424432599	1.0
CD69	2.26373	0.26797938	0.023590725286725747	1.0
HLA-DQA1	2.2538598	0.116236284	0.024204985989696195	1.0
EBLN3P	2.2518685	0.35615227	0.024330582942999897	1.0
HLA-E	2.242258	0.10921053	0.024944696999096447	1.0
FXYD5	2.2231238	0.116179965	0.026207451403158975	1.0
RPL36AL	2.22018	0.12342112	0.02640654495841193	1.0
DECR1	2.2087514	0.9365154	0.027191931032316857	1.0
FTL	2.197496	0.070462964	0.02798503890598027	1.0
PHF11	2.1848552	0.6224377	0.028899457203553462	1.0
ATP5MF	2.1717818	0.3816746	0.029872134524398897	1.0
OAZ1	2.1692708	0.07382588	0.0300621273468961	1.0
ATP5F1C	2.1655478	0.44688907	0.030345752130947326	1.0
POLR1D	2.1556778	0.4663425	0.0311088384040441	1.0
TP53INP1	2.1470196	1.2735834	0.03179171385938033	1.0
COPS5	2.1448553	0.7378791	0.031964427401526566	1.0
ODF3B	2.1123877	1.8241028	0.03465322196635477	1.0
TMSB4X	2.0996602	0.06899131	0.03575873972557658	1.0
ARL5A	2.0987945	0.5870176	0.03583502570063231	1.0
PRELID1	2.084249	0.395474	0.0371375297226237	1.0
GNG5	2.0800931	0.34396094	0.03751699647185836	1.0
GLO1	2.0785346	0.58517367	0.03766014470026447	1.0
SNRPD1	2.077409	0.5455691	0.03776381831282712	1.0
ATP6V1G1	2.0721276	0.052075867	0.038253535175019004	1.0
ARGLU1	2.068751	0.14100699	0.038569453979794166	1.0
HSPA8	2.0587077	0.20503928	0.03952224539135193	1.0
SRSF8	2.0581017	0.61853904	0.039580375099546886	1.0
IFI6	2.058015	1.0114918	0.03958868526462719	1.0
ATP5IF1	2.051262	0.37375453	0.0402414566551524	1.0
CLEC2D	2.0401795	0.34459004	0.04133244754396351	1.0
DDX24	2.0350714	0.3230144	0.041843700159839396	1.0
SOD1	2.019227	0.34636515	0.043463622310225214	1.0
PPP1CA	2.015331	0.16929935	0.04386998200108539	1.0
MRPL20	2.0103092	0.7461746	0.04439846221808142	1.0
MYC	1.9968028	0.6242022	0.045846612170120066	1.0
BIRC3	1.9954175	0.35316792	0.04599736517173878	1.0
NDUFB11	1.9656339	0.17616983	0.0493409216136974	1.0
LNPEP	1.9537723	0.7086156	0.05072814725246914	1.0
NPM1	1.9524736	0.067464046	0.0508819986702985	1.0
SMCHD1	1.9455472	0.17204618	0.051709154446253264	1.0
PSMB3	1.9354173	0.383537	0.0529391080014685	1.0
PSMB8	1.9328198	0.30087733	0.053258389257571696	1.0
IL7R	1.9154172	1.1161718	0.05543931451358112	1.0
EDF1	1.9010448	0.13284367	0.0572961319198162	1.0
VPREB3	1.8931661	0.18670811	0.058335785890970826	1.0
HSP90AA1	1.8886639	0.15819463	0.0589368777362952	1.0
AASDHPPT	1.8743782	0.89415586	0.06087832307821589	1.0
PPDPF	1.8733392	0.10773663	0.06102156217281441	1.0
ADRM1	1.8681444	0.7013189	0.06174195135268964	1.0
HERC5	1.8635556	1.774962	0.062384137122379765	1.0
NDUFA6	1.851088	0.6967932	0.06415688945687643	1.0
PSMC5	1.8497894	0.59781945	0.0643439196996576	1.0
GATD3A	1.8477114	2.2145288	0.06464410409157433	1.0
ELOB	1.8444214	0.17086914	0.0651217589095698	1.0
SYNGR2	1.8420837	0.12473105	0.06546291124741438	1.0
UFM1	1.8349841	0.5171319	0.06650804739752703	1.0
TCL1B	1.833772	2.051905	0.06668785146068272	1.0
HMGB1	1.8309149	0.05817802	0.06711325951452796	1.0
NOL7	1.8252871	0.41641214	0.06795771788082873	1.0
SUB1	1.8250273	0.17521395	0.06799690289870669	1.0
RHOA	1.8210447	0.066321924	0.06860007008843969	1.0
BIRC6	1.8088368	0.6282066	0.07047635842355181	1.0
