	scores	logfoldchanges	pvals	pvals_adj
IFITM1	41.126766	2.2815661	0.0	0.0
RPL28	27.296131	0.29711407	4.714801781950518e-164	5.054104930879164e-161
B2M	26.89275	0.2900507	2.669823013523269e-159	2.677315742625737e-156
TSC22D3	24.657732	0.6546424	3.0404575186587884e-134	2.487334286382783e-131
MALAT1	20.287704	0.26665598	1.6512593826632214e-91	9.685415175255012e-89
MYL12A	20.221283	0.6948751	6.360747502605797e-91	3.6617881039538226e-88
IFITM2	19.616034	0.792501	1.1282188536124994e-85	5.944566017330808e-83
RHOB	19.118725	1.36229	1.7636933845168398e-81	8.843215523302419e-79
KLF6	18.858406	0.6325599	2.5066131310604255e-79	1.217548162582429e-76
IFI44L	18.63272	3.171334	1.7442476707210898e-77	8.342065744570234e-75
LY6E	18.008654	0.81330025	1.6663362824216503e-72	7.617852354653211e-70
XAF1	17.935192	1.6505787	6.264651868295136e-72	2.8224526468071145e-69
PSME2	16.577345	1.020931	1.016194060349918e-61	4.21205663387972e-59
PSMB9	15.9773655	0.7511845	1.837489893336941e-57	7.230639027109554e-55
IGKV3-20	15.810326	1.4346347	2.6409691571599466e-56	1.0262476023578908e-53
STAG3	15.011008	2.0597813	6.219542149245415e-51	2.197123940836275e-48
CYBA	14.498077	0.26979318	1.24591169703293e-47	4.209962709311162e-45
COX6A1	14.018043	0.50082386	1.2090311880745965e-44	3.9563318467026296e-42
ISG20	13.925667	0.5835772	4.4239048488001956e-44	1.4325617711942884e-41
RPS26	13.896229	0.63046753	6.676811636901026e-44	2.1398148799622906e-41
STAT1	13.644734	1.899631	2.170026806877543e-42	6.424726032895446e-40
RPL36	13.2192545	0.19454981	6.7934221247671765e-40	1.9198828508421566e-37
FAU	13.011128	0.13737747	1.0576862121412919e-38	2.9621884033185894e-36
EMP3	12.688103	0.6045324	6.88330442263364e-37	1.844666246434586e-34
MX1	12.614088	1.5322722	1.765891884051899e-36	4.65222720334927e-34
MIF	12.468302	0.35410905	1.1117013042363913e-35	2.8799548703997247e-33
BTG1	12.3291445	0.20577244	6.311301188848768e-35	1.621482810394559e-32
PSME1	12.0418825	0.32679644	2.1401424954018266e-33	5.322448780364527e-31
HLA-B	11.808305	0.25959364	3.536182996195655e-32	8.655852031711364e-30
RPL14	11.228045	0.11200154	2.969736078745718e-29	6.941367329320913e-27
IRF7	11.129357	1.2579259	9.028393663165694e-29	2.079004991161718e-26
TMSB10	11.079945	0.18003379	1.5696887728553517e-28	3.561818604507615e-26
HNRNPDL	10.931551	0.21937442	8.144398114999816e-28	1.8214741309424407e-25
CD69	10.534315	0.41136178	6.001875240321808e-26	1.304757311859329e-23
SESN1	10.400304	1.6766363	2.471442884655647e-25	5.2623112983075406e-23
DCXR	10.369016	0.8974123	3.430394413408346e-25	7.205450752001707e-23
KLF2	10.175477	0.41745856	2.551463589932434e-24	5.252804544386064e-22
PPDPF	10.042746	0.21231958	9.888293703299412e-24	1.9832089442223795e-21
CLIC1	9.963826	0.31885386	2.1945122898568982e-23	4.373128432998807e-21
PTPRCAP	9.854617	0.33720928	6.546561174842913e-23	1.288056628116086e-20
HSP90AB1	9.769437	0.18533564	1.5229596756940794e-22	2.940636486851046e-20
S100A8	9.441254	1.2918788	3.683460159453487e-21	6.856750058498836e-19
RPS4Y1	9.414915	0.46805093	4.73465569763173e-21	8.761085813826046e-19
MS4A1	9.399899	0.14017239	5.461562561212421e-21	1.004636658818997e-18
PPIB	9.298828	0.36466295	1.4200247195111063e-20	2.5516941303723562e-18
GABARAP	9.246287	0.23767075	2.3242640410630493e-20	4.059235744074551e-18
TMSB4X	9.225908	0.10502087	2.811673279843003e-20	4.8830439804737114e-18
IRF1	9.189591	0.58322674	3.94337463905492e-20	6.810427078016684e-18
CCND3	9.126931	0.5943346	7.046848684470266e-20	1.2103059947741832e-17
IGLV2-8	9.0344715	1.8947464	1.647969602390167e-19	2.739595242219418e-17
RHOA	8.996217	0.18830597	2.336295106190995e-19	3.8427728024422994e-17
HLA-DQA1	8.924151	0.20328942	4.491277356564597e-19	7.271892665808521e-17
UBE2L6	8.76006	0.8626637	1.9514646310155117e-18	3.111034922275857e-16
CNBP	8.498366	0.25408268	1.922768861200439e-17	2.959065128125646e-15
ATP5F1D	8.388673	0.3372078	4.9166128929001704e-17	7.52919926116195e-15
IGKV1-5	8.315729	1.062258	9.118978926266586e-17	1.389616166082595e-14
SKP1	8.174635	0.22152343	2.967625570774055e-16	4.435316159550627e-14
SNHG7	8.041078	0.4322341	8.905212125193576e-16	1.3120205181795862e-13
TRMT112	7.9420557	0.45707402	1.9885736566622447e-15	2.848792132011945e-13
PSMA7	7.8333726	0.4340863	4.749541463912785e-15	6.680950022111165e-13
FKBP5	7.8111973	2.6899135	5.664732156189193e-15	7.932411195470877e-13
EIF2AK2	7.790646	1.059967	6.6667411674768344e-15	9.293676353065127e-13
FTL	7.7843213	0.09208764	7.008852476422723e-15	9.72697307743541e-13
ATP5MC2	7.7621055	0.13042627	8.353080934553106e-15	1.1489921549223557e-12
SNX3	7.5241237	0.22248502	5.3075024546453225e-14	6.99128511896437e-12
MYL6	7.4054537	0.15531288	1.3070272828098635e-13	1.6859567278302997e-11
POMP	7.377042	0.63061136	1.6184536784256958e-13	2.0704884568403128e-11
EPSTI1	7.307395	1.384757	2.723709614174616e-13	3.414191966767995e-11
TRIM22	7.0856967	0.5887867	1.3834631525853252e-12	1.6932172844259845e-10
GSTP1	6.9188175	0.41440547	4.554285427546134e-12	5.40378133916514e-10
ISG15	6.8412657	1.3358791	7.849642814972237e-12	9.20837155430347e-10
HBB	6.763301	1.2538505	1.3488268321267843e-11	1.5704486790384023e-09
COX5B	6.73318	0.29665115	1.6599428085961364e-11	1.9254717198070185e-09
SERF2	6.6176023	0.09241098	3.65071195413628e-11	4.141959215993961e-09
EIF5A	6.607728	0.2155619	3.9026289012259356e-11	4.3956892990003865e-09
SUMO2	6.507459	0.14901316	7.643245929777007e-11	8.455714812063268e-09
BST2	6.392038	0.5339484	1.6368924099859547e-10	1.7980944999729108e-08
UQCR10	6.311454	0.43572837	2.7642595180155005e-10	2.953008097475872e-08
CHCHD10	6.3004766	0.35296047	2.96731825980728e-10	3.1526966839455156e-08
COX5A	6.30026	0.48921162	2.9714675857948216e-10	3.1526966839455156e-08
PSMA6	6.252019	0.73306835	4.051807892811011e-10	4.2126606007965184e-08
SP100	6.2109003	0.19055375	5.26818126133818e-10	5.4590650290406665e-08
TSPAN3	6.1955795	0.44504273	5.807098009649962e-10	5.977657477681734e-08
PLAC8	6.1340103	0.35963577	8.569086992880505e-10	8.791657008174133e-08
HLA-E	6.096117	0.060742848	1.0867593393919894e-09	1.1004588789471913e-07
VIM	6.022588	0.19141844	1.716501152760907e-09	1.7048201704753455e-07
HLA-C	6.005839	0.16296822	1.903450107177931e-09	1.8844762255363167e-07
SUB1	5.998856	0.31023544	1.9871212856198018e-09	1.9610679176527866e-07
IRF8	5.98976	0.33356664	2.101510454278317e-09	2.0608724130015784e-07
DRAP1	5.8346324	0.39813575	5.390935776016533e-09	5.15655447597003e-07
MYC	5.7724977	0.6825425	7.810502721315093e-09	7.425232357722394e-07
ATP5F1E	5.7174864	0.09266477	1.0811142670832726e-08	1.0104347874051058e-06
N4BP2L2	5.71729	0.3258002	1.0823649249071968e-08	1.0104347874051058e-06
HMGB1	5.6697583	0.089225784	1.4299908089827322e-08	1.3152107774806566e-06
HNRNPA2B1	5.664673	0.034440614	1.4730543082850807e-08	1.3468482141664207e-06
IGKC	5.6275935	0.43432456	1.827412858240962e-08	1.6562327558057372e-06
PRDX1	5.5167766	0.5687493	3.452743540283032e-08	2.997835333517131e-06
ATP6V1G1	5.493426	0.078908235	3.942108170089723e-08	3.3667119968016267e-06
ODF3B	5.447619	1.4232101	5.1048553625421304e-08	4.324104595513548e-06
USP12	5.444182	1.2099361	5.2044041944422886e-08	4.384534232862532e-06
DUSP1	5.4322577	0.02312418	5.564543372109345e-08	4.637666482808665e-06
ZBTB16	5.3842773	1.6391163	7.27363058293311e-08	5.9977547461973895e-06
UVRAG	5.364087	0.3373919	8.135960881505458e-08	6.655858313772637e-06
MRPS18B	5.326266	0.80637294	1.0025239042709516e-07	8.137195982263989e-06
TCL1A	5.3097095	0.2778659	1.0980013965097937e-07	8.84289363038859e-06
RAC2	5.257349	0.06829725	1.461467071475633e-07	1.1560464847573282e-05
ATP5MC3	5.2269197	0.37308058	1.723574255631108e-07	1.3496411305996034e-05
TAP1	5.206938	0.7862992	1.9198217511263583e-07	1.4920374694316276e-05
ELOB	5.2022576	0.24752115	1.968821904049446e-07	1.5263034047677088e-05
PPM1K	5.199863	0.38529512	1.9943539971554003e-07	1.5422508136708938e-05
NDUFB6	5.170348	0.8738315	2.3365849949989558e-07	1.7935164873958653e-05
SMCHD1	5.1459103	0.17824744	2.662263668581052e-07	2.0334592301026824e-05
SRSF5	4.9745955	0.03029338	6.53840672875219e-07	4.8510608586329194e-05
ANAPC16	4.9490747	0.12260271	7.456701845175412e-07	5.480058871417684e-05
RALGPS2	4.9305134	0.111799486	8.20138583329905e-07	6.013124561315273e-05
