	scores	logfoldchanges	pvals	pvals_adj
IFITM1	39.251423	2.1941056	0.0	0.0
RPL28	27.827435	0.29926077	2.0203933676623693e-170	2.7140910382897493e-167
B2M	26.120474	0.27693006	2.1344154587272962e-150	2.1273236912353958e-147
TSC22D3	22.507545	0.58700716	3.5013195557602597e-112	2.575720721769637e-109
IFITM2	19.900097	0.80507576	4.0614156985655123e-88	2.5609298130322168e-85
RHOB	19.485512	1.3771235	1.4571379674771104e-84	8.3372577372482e-82
KLF6	18.750437	0.6265199	1.920046435996635e-78	1.0054860124235259e-75
MALAT1	18.747488	0.24138072	2.0295542502912296e-78	1.0451189611874686e-75
MYL12A	18.468887	0.6300916	3.675813510145127e-76	1.8318001616605482e-73
PSME2	17.704737	1.0752082	3.854832935223617e-70	1.8905202095175252e-67
IFI44L	17.581411	3.1395767	3.41958649987034e-69	1.6508588138514673e-66
LY6E	16.65816	0.74968016	2.640277875633907e-62	1.1653809360494404e-59
IGKV3-20	15.951846	1.4152743	2.765978847376846e-57	1.1706910746219508e-54
XAF1	15.799844	1.4922752	3.118875220377627e-56	1.2848518357867673e-53
PSMB9	15.631852	0.73976266	4.4176971549953364e-55	1.772644012959622e-52
RPS26	14.334614	0.62805474	1.329837660204314e-46	4.669090248560533e-44
STAG3	14.029681	1.9630483	1.0261134612934651e-44	3.446068218867847e-42
RPL36	13.993337	0.20528765	1.7118826326190524e-44	5.6873158817237485e-42
COX6A1	13.917608	0.49910462	4.952018862027636e-44	1.6276864551071052e-41
MIF	13.359512	0.39360693	1.0424538885590312e-40	3.2208697794808386e-38
HLA-B	13.296273	0.2860164	2.4329506970531796e-40	7.369693890867851e-38
EMP3	13.258791	0.62481606	4.013156391744685e-40	1.2038300294731605e-37
FAU	13.142714	0.13402914	1.8738426072371738e-39	5.360751392204348e-37
STAT1	13.069079	1.8204213	4.946043919538038e-39	1.4019992567152912e-36
CYBA	13.01225	0.2205207	1.0422787980889107e-38	2.927571638595734e-36
PSME1	12.687663	0.3456898	6.922003916715026e-37	1.8760452194275802e-34
ISG20	12.524176	0.5256816	5.506023130501895e-36	1.479300840548844e-33
RPL14	11.933424	0.12448055	7.924590710640056e-33	1.943222850687665e-30
MX1	11.629108	1.4462388	2.9314284250724977e-31	7.02111194181899e-29
HSP90AB1	11.259574	0.2428079	2.0776159340348e-29	4.8630378419600925e-27
DCXR	10.796941	0.93994755	3.5586425405788644e-27	8.025648071260231e-25
BTG1	10.7398205	0.16638888	6.617315187946197e-27	1.4815593287099539e-24
PPDPF	10.622969	0.23263234	2.3303086471199644e-26	5.070390582398981e-24
IRF1	10.527211	0.64124066	6.472388235367394e-26	1.3984432119450796e-23
TMSB10	10.17105	0.16146125	2.670146977014636e-24	5.612213003321171e-22
HNRNPDL	10.10702	0.19229786	5.142439103972535e-24	1.0663485972848283e-21
IRF7	9.982243	1.1579545	1.822987969804231e-23	3.7301231326517436e-21
CD69	9.974486	0.39236522	1.9711880337234728e-23	4.006828728812772e-21
KLF2	9.908596	0.41539577	3.8197408921041594e-23	7.663541191126117e-21
CLIC1	9.588619	0.3002174	8.927175641724485e-22	1.6921653116709288e-19
UBE2L6	9.1805725	0.897556	4.2880722324700536e-20	7.886224271823051e-18
RHOA	9.101308	0.1848049	8.925024169290539e-20	1.6126109459565483e-17
PPIB	8.7891035	0.3469233	1.5075823284852848e-18	2.6168410788320136e-16
SESN1	8.770443	1.5122443	1.7796525946403692e-18	3.0547736787001937e-16
S100A8	8.653304	1.208251	5.002938562876377e-18	8.355448258226563e-16
RPS4Y1	8.568431	0.41640392	1.0490461363968731e-17	1.7149406601192692e-15
IGKV1-5	8.496431	1.0875247	1.9550882417377627e-17	3.162636722773385e-15
TMSB4X	8.44919	0.09525195	2.9333076058715487e-17	4.695875911845245e-15
HLA-DQA1	8.354462	0.18496431	6.57318516612327e-17	1.0468644436995394e-14
MS4A1	8.315949	0.11026569	9.102057942618826e-17	1.442186073092789e-14
ATP5MC2	8.121727	0.14843017	4.595980690078929e-16	7.029802741651915e-14
ATP5F1D	8.019169	0.32009652	1.0646300271317322e-15	1.5967899974897637e-13
TRMT112	7.936539	0.45857733	2.079004823639788e-15	3.0443133666350014e-13
PTPRCAP	7.870928	0.26463214	3.520202735309108e-15	5.130363392115354e-13
IGLV2-8	7.8305597	1.8049086	4.8570352560030735e-15	6.883844876363622e-13
GABARAP	7.7305846	0.18309459	1.0705369354283917e-14	1.489927013240136e-12
EPSTI1	7.692856	1.4047902	1.4388687516187674e-14	1.993575238509644e-12
HBB	7.5629444	1.2861574	3.940457914609462e-14	5.3633624752285705e-12
GSTP1	7.556221	0.45212585	4.1494818283562274e-14	5.623093861873788e-12
SKP1	7.485755	0.19486845	7.11370400712778e-14	9.556178813401176e-12
PSMA7	7.3922453	0.41374925	1.443699497961859e-13	1.874200982711242e-11
CNBP	7.3642945	0.21506068	1.780862644014171e-13	2.2926380463377434e-11
CCND3	7.3106284	0.48740634	2.6589562766541106e-13	3.394783970238928e-11
SERF2	7.250901	0.10639766	4.1400772886791004e-13	5.2424577044392694e-11
MYL6	7.2075543	0.1394958	5.696568022633782e-13	7.15475049574455e-11
SNHG7	7.1769686	0.38125375	7.1274185471461e-13	8.915621491950327e-11
POMP	7.1166153	0.60751283	1.1060955148820983e-12	1.372491290092859e-10
SUB1	6.884538	0.35976353	5.797529936633121e-12	6.942879164812153e-10
FKBP5	6.873331	2.4649117	6.271970097817972e-12	7.453271542780072e-10
VIM	6.8571324	0.22938715	7.025661212555431e-12	8.285185285661266e-10
COX5B	6.798176	0.29258192	1.0595225780290433e-11	1.2260700034967548e-09
COX5A	6.7637277	0.534843	1.3448598521654007e-11	1.5504527929982979e-09
EIF2AK2	6.6841288	0.9397565	2.3230277316535252e-11	2.6291057811318305e-09
ISG15	6.612936	1.292602	3.767714915606291e-11	4.221475557658439e-09
EIF5A	6.60974	0.2178024	3.849962865062026e-11	4.2943069545783914e-09
TRIM22	6.584299	0.550152	4.5703626986380595e-11	5.0613081111046635e-09
SNX3	6.5426917	0.18321644	6.042130843534813e-11	6.667275595453397e-09
PLAC8	6.4997725	0.3751544	8.044144446611122e-11	8.782329716146426e-09
PSMA6	6.469453	0.7366724	9.835831321925619e-11	1.0663076503632835e-08
CHCHD10	6.4418573	0.3649453	1.1802019280552596e-10	1.2705470024781656e-08
MYC	6.404903	0.73252827	1.5046497857140686e-10	1.6030746354899163e-08
BST2	6.365846	0.53025603	1.9421601990485242e-10	2.0480178726963224e-08
IGKC	6.270097	0.46450135	3.6082395581466443e-10	3.716125920935229e-08
ODF3B	6.1641574	1.5219781	7.085949717093519e-10	7.131419817883988e-08
HMGB1	6.1437206	0.104266636	8.061048259934281e-10	8.060265633889627e-08
TSPAN3	6.128995	0.4364147	8.84360308923078e-10	8.785877962957023e-08
ATP5F1E	6.0119333	0.09218877	1.8332395288609315e-09	1.7868013161897855e-07
FTL	5.9794784	0.06773656	2.2385303270258375e-09	2.1681464424488184e-07
SUMO2	5.9238596	0.124108896	3.1447228285673843e-09	2.96227137909288e-07
HLA-C	5.922754	0.15650147	3.1659489445686393e-09	2.9732013538096427e-07
UQCR10	5.785401	0.40267885	7.233961751421598e-09	6.691847791427339e-07
PRDX1	5.750109	0.5906643	8.91858103481427e-09	8.176777395627788e-07
RPL22L1	5.6668015	0.21832003	1.4548761289014166e-08	1.318220168758565e-06
DRAP1	5.662649	0.40262312	1.4905388671876574e-08	1.3465841923829546e-06
ATP5MC3	5.629694	0.40419137	1.805296486641362e-08	1.6120880216115079e-06
