	scores	logfoldchanges	pvals	pvals_adj
IFITM1	11.028593	2.0480282	2.781825447618655e-28	4.804367093895618e-25
RHOB	10.702475	2.015383	9.909624445138616e-27	1.466954738695353e-23
B2M	10.685807	0.32595292	1.1861236399747885e-26	1.676046617995284e-23
KLF6	9.859513	1.0277902	6.235077087131415e-23	7.454993900294396e-20
RPL28	9.807967	0.32955015	1.0404377744671594e-22	1.1979292257355773e-19
MALAT1	8.689059	0.43417305	3.654530982842211e-18	2.9130360170157897e-15
TSC22D3	8.171015	0.7776347	3.058064519816725e-16	2.1605920847168756e-13
KLF2	7.988539	1.2689323	1.3654697431760557e-15	8.489671581222809e-13
EMP3	7.829947	0.9054965	4.880749564989028e-15	2.8097752171632204e-12
RHOA	7.772902	0.6420691	7.670800052670225e-15	4.258252879238559e-12
PPDPF	7.758641	0.63081175	8.584434671607586e-15	4.68183018660114e-12
CYBA	6.906574	0.50157464	4.9649954524408046e-12	2.3385880853034437e-09
EZR	6.778566	0.6780194	1.2137464313234464e-11	5.468367436311882e-09
IFITM2	6.603307	0.6308697	4.020856463336794e-11	1.7605121813486042e-08
HSP90AB1	6.290762	0.53833187	3.159112795641627e-10	1.2275917434763907e-07
TMSB10	6.236466	0.31066242	4.475660705827837e-10	1.676323667012891e-07
MYL12A	6.034403	0.5476249	1.595514251704031e-09	5.701120866979679e-07
EIF5A	5.9644713	0.66363335	2.4542741747376817e-09	8.572586659558461e-07
LGALS1	5.8720307	1.3176908	4.304886527233339e-09	1.408694815495819e-06
UVRAG	5.848491	0.98883134	4.960519914044375e-09	1.5897699233803865e-06
RPS26	5.84368	0.69162714	5.106002798016556e-09	1.619697030427966e-06
FAU	5.813783	0.18636504	6.107656584629981e-09	1.8986872024639224e-06
CLIC1	5.693164	0.4131303	1.2470671226202457e-08	3.8007427098917234e-06
COX6A1	5.619108	0.5110517	1.9194557592262e-08	5.737511652602391e-06
RPL14	5.482166	0.17571667	4.201502190129699e-08	1.2206738185473078e-05
IFI44L	5.439726	2.813412	5.336268174359737e-08	1.5219134746451479e-05
DDX21	5.383196	0.8891194	7.317475119414239e-08	2.0310566878324145e-05
SERF2	5.36	0.3496031	8.322192736847935e-08	2.2694035579858924e-05
IGKC	5.356392	1.1368158	8.490031080033804e-08	2.2950399668261816e-05
VIM	5.3256354	0.43079478	1.0060064926363408e-07	2.6960106755677523e-05
IGKV3-20	5.2112017	1.5486437	1.8762118226096713e-07	4.811899591153277e-05
MS4A1	5.209999	0.33147877	1.888415576030816e-07	4.811899591153277e-05
HLA-DQB1	5.058108	0.40864158	4.23436435061436e-07	0.00010447117822821318
HLA-B	5.0197916	0.3025274	5.172754483920775e-07	0.00012661843987531112
HLA-DQA1	4.8680725	0.33700463	1.1269199256637707e-06	0.0002634027047301477
PSMB9	4.7027793	0.4386796	2.5664374154951784e-06	0.0005781365212717292
TMSB4X	4.6893773	0.22886565	2.740378425001568e-06	0.0006128787345181564
LY6E	4.65948	0.4340902	3.170090538137621e-06	0.0007039186039934588
PSME2	4.654154	0.7694092	3.2531424174475822e-06	0.0007169519446927612
MX1	4.652779	1.3145367	3.274911575461514e-06	0.0007169519446927612
SAT1	4.534909	0.4993539	5.762836904128205e-06	0.001227050074237216
IRF1	4.4770045	1.0069237	7.569758627732666e-06	0.0015688072430688359
TSPAN3	4.401403	0.6939281	1.0755323144259323e-05	0.0021996758591157207
RNF213	4.386111	1.0641887	1.1539544217802078e-05	0.0023446392882275372
GABARAP	4.3376565	0.25198045	1.440098449993757e-05	0.002888280033222963
NDUFA13	4.318413	0.5758048	1.5715542549853993e-05	0.003131724815687891
CCND3	4.1697865	1.0214847	3.0488548927778663e-05	0.00585060197850528
CD74	4.1495113	0.12202617	3.33186014161989e-05	0.006315703428203507
UBXN1	4.103978	0.41613987	4.061056732927514e-05	0.00760518497930829
NEAT1	4.0038056	0.9848917	6.233154423594384e-05	0.011398239503898741
SUB1	3.9934964	0.53205144	6.510605850427077e-05	0.011835976846329038
EIF1	3.8993378	0.17248018	9.64561460276591e-05	0.01731874195396101
JUN	3.898135	0.5420056	9.693637533339389e-05	0.01731874195396101
POMP	3.8534613	0.86775833	0.0001164597399914807	0.020113244095084224
PELI1	3.8455575	1.2814742	0.00012027873270807483	0.020658038473458134
HSP90AA1	3.8428082	0.32607663	0.00012163453394927941	0.020662583370935787
RPL36AL	3.8367944	0.29773882	0.00012465074640668399	0.021059879095351005
DDX24	3.801399	0.5309478	0.00014388139976131707	0.023918936226631358
ATP6V0E1	3.7842166	0.45743978	0.00015419340930579648	0.02522847639520682
TCF25	3.6651437	0.5987177	0.0002471996381335078	0.03861655854601185
SRP14	3.516861	0.18690018	0.0004366822807949956	0.06334485972742004
ATP5MC2	3.4790602	0.21982057	0.000503175650995756	0.07142566877856195
ARPC5L	3.4572387	0.7916791	0.0005457412235472212	0.07607828437853123
S100A11	3.4505377	1.2196666	0.0005594711859138762	0.07725144579478078
CALM1	3.4306061	0.19833137	0.0006022341363883672	0.08170835384929889
JUND	3.4233897	0.7696368	0.0006184534956094749	0.08322884769702055
UBE2J1	3.3567226	0.5666269	0.0007887220641698753	0.10345570805421483
PPP3CC	3.3520834	0.6233085	0.0008020585884897829	0.10476300563185663
XAF1	3.3094714	1.0960499	0.0009347230754459965	0.12007329027433758
CD69	3.2981312	0.59214175	0.0009733066438669888	0.12451515900367521
YWHAH	3.217031	1.5857098	0.0012952461791109992	0.15978300781755408
ISG20	3.2156563	0.4344962	0.0013014656139431608	0.15991565826344284
ATP5F1D	3.1780274	0.30598226	0.0014828079874692158	0.1779770343878591
KRAS	3.171498	1.0070314	0.0015165489774719846	0.1806320232286268
DDX5	3.1467557	0.21090479	0.0016509289381234562	0.19366953924318447
PRR13	3.133697	0.1752475	0.001726189452577706	0.2009814663381391
ADGRE5	3.0847278	1.03071	0.002037385818901671	0.2324031524962171
ISCU	3.0842123	0.34627113	0.0020409193756704496	0.2324031524962171
PRDX5	3.0740747	0.530459	0.0021115653799679305	0.23783417741689517
ISG15	3.0654836	1.2056183	0.002173182943054703	0.24301344658540125
IGKV1-5	2.980947	1.6298667	0.0028735854315227157	0.3101776052421759
S100A8	2.9398813	1.4675176	0.0032833787633638483	0.3425181060962817
ACTB	2.926823	0.12115659	0.0034244380089195276	0.35523897912329006
CHCHD10	2.878369	0.38014475	0.003997372660942139	0.4074305701990435
ROMO1	2.8159974	0.7981472	0.004862605059486001	0.4829514488314419
STAT1	2.792286	1.2695843	0.005233707875547679	0.5116360903369519
MIF	2.777681	0.1636348	0.0054748327106718475	0.5302386367138591
OST4	2.7446911	0.25751898	0.006056786723210209	0.572301911442054
MRPL20	2.7252753	1.1900122	0.006424790477939601	0.6034062283616567
PSMB1	2.7232134	0.44200474	0.006465028983150511	0.6053564939734938
ELOB	2.6914263	0.2972417	0.0071147234111972775	0.6563068447593168
IGHA1	2.6551716	0.58850294	0.007926805272897812	0.7163389404609718
SRRM2	2.6445186	0.45419416	0.008180718648763335	0.7350115625263173
HSPB1	2.6343813	0.9653317	0.008429080085498988	0.7498083965857695
IGHG3	2.570807	1.0838826	0.010146188707635055	0.8713109623045606
COX7A2	2.566683	0.26265717	0.010267638676914005	0.8768958339264442
HLA-DRB1	2.5642776	0.1748699	0.010339080534841104	0.8781721218213262
RBM39	2.555171	0.14359328	0.010613562850577032	0.8941567163574207
MRPL41	2.5419407	0.80854356	0.011023886829091995	0.9255364396375287
CIB1	2.5209785	0.29761586	0.011702903996583249	0.9701551374447559
ARPC1B	2.502937	0.22039297	0.012316745451361421	1.0
FTH1	2.498985	0.0637365	0.012454954110870232	1.0
TNIP2	2.4967513	1.1906606	0.012533678072574243	1.0
SAMD9L	2.487645	0.9266121	0.01285920794695217	1.0
PSMA7	2.4867857	0.2927356	0.012890301118301556	1.0
SAP18	2.4860985	0.33668318	0.012915223529169502	1.0
TRIR	2.4702907	0.11062725	0.013500326551193974	1.0
NDUFV2	2.4539676	0.5783965	0.014128969248528798	1.0
SEC61B	2.4445174	0.3585595	0.014504607800754672	1.0
RNASEK	2.4433146	0.2874377	0.014553042560763138	1.0
SP100	2.4251015	0.29193124	0.015304108004148	1.0
RPS4Y1	2.419947	0.3758012	0.01552277745599486	1.0
PTPRCAP	2.4178848	0.16243365	0.015611012180507167	1.0
HNRNPDL	2.412902	0.12980136	0.015826070231639403	1.0
PSMB8	2.39761	0.34262297	0.016502429827914732	1.0
KRTCAP2	2.379053	0.23492427	0.01735717652138446	1.0
DHRS7	2.3759604	0.74795496	0.01750334716080453	1.0
TMEM14C	2.3580906	0.98047	0.018369202062804332	1.0
TRIM22	2.3534515	0.7626813	0.018600032221963384	1.0
MYL12B	2.3379874	0.1728819	0.019387895493202734	1.0
DDX46	2.3271627	0.499867	0.019956606927247957	1.0
PRDX1	2.3213208	0.52512616	0.02026953928696186	1.0
PSIP1	2.3166816	0.57368016	0.020521085751543624	1.0
COX17	2.313245	0.6541194	0.020709167541549858	1.0
DCXR	2.3063722	0.643267	0.021089844098072626	1.0
EPSTI1	2.301905	1.4851203	0.02134054060660835	1.0
MYL6	2.3010457	0.046183478	0.021389047889327266	1.0
SYNGR2	2.2897055	0.09691414	0.022038398765542037	1.0
EDF1	2.2816298	0.17447811	0.022511207520313922	1.0
ARL2	2.274757	1.1813678	0.022920518569646282	1.0
PSMA6	2.2740695	0.74061745	0.022961803054459638	1.0
TYMP	2.2656503	1.1041538	0.02347280356183535	1.0
RNMT	2.21943	0.5969916	0.02645748056920495	1.0
VPS28	2.2190864	0.37075594	0.026480846142807875	1.0
GNG5	2.2168527	0.43802294	0.02663315733649254	1.0
HIGD2A	2.1776772	0.16865136	0.029430076516809008	1.0
COX6C	2.1775055	0.19970776	0.02944288001142443	1.0
POLR2L	2.1773336	0.3539233	0.029455688297289683	1.0
