	scores	logfoldchanges	pvals	pvals_adj
IFITM1	11.587699	2.0199878	4.75739665224013e-31	1.049923459744738e-27
B2M	10.536174	0.30284926	5.884435465530461e-26	8.657685837071173e-23
RHOB	10.0086155	1.8816732	1.3969310415645922e-23	1.7983740996342166e-20
RPL28	9.570676	0.32028508	1.0620936249684907e-21	1.2153891381722761e-18
KLF6	9.23578	0.9294496	2.56410943688791e-20	2.200646924209049e-17
EMP3	8.626567	0.97463566	6.322114730908564e-18	4.764253142460534e-15
TSC22D3	7.9791017	0.73619217	1.4740185893241905e-15	9.108550470869902e-13
RHOA	7.898227	0.58925873	2.8289781425917895e-15	1.7138615229736965e-12
MALAT1	7.8417087	0.38364935	4.444559953750914e-15	2.5910107337932453e-12
KLF2	7.2448297	1.0915194	4.3298299970828414e-13	2.090293084685446e-10
EIF5A	6.870902	0.76544666	6.379722515116149e-12	2.8159183792791954e-09
IFITM2	6.8666863	0.6698824	6.571025340881655e-12	2.8595066191157816e-09
MYL12A	6.354585	0.57171816	2.0898992403207556e-10	8.385924263401349e-08
PPDPF	6.2385817	0.46218792	4.415561517406057e-10	1.7269316987758855e-07
CYBA	6.2310877	0.3552734	4.6320835211656865e-10	1.7889685569182027e-07
COX6A1	6.06403	0.5713749	1.327523711610552e-09	4.941747002124244e-07
FAU	5.9519296	0.1753143	2.64999106860148e-09	9.74723500554523e-07
EZR	5.93257	0.546933	2.9822948131026413e-09	1.0591260096601414e-06
TMSB4X	5.9260125	0.2605546	3.1037909647417176e-09	1.0897480617911915e-06
TMSB10	5.916801	0.30336782	3.2826374814425704e-09	1.139591576001473e-06
HSP90AB1	5.895099	0.46046582	3.744568176310545e-09	1.2855102549274102e-06
CLIC1	5.714146	0.39552668	1.1025624965066024e-08	3.5858814162699466e-06
RPL14	5.7072763	0.20335554	1.1479825429575144e-08	3.694710065599825e-06
LGALS1	5.647948	1.2557985	1.623746324111558e-08	5.06756466424998e-06
IGKV3-20	5.390492	1.7145532	7.026513727117057e-08	2.0676018535879588e-05
