	scores	logfoldchanges	pvals	pvals_adj
B2M	13.654813	0.2972437	1.8897472368802066e-42	2.2594835520344225e-39
IFITM1	12.355901	1.5049099	4.526577134038386e-35	3.8031811720500357e-32
RPL28	12.06857	0.2718923	1.548011362631772e-33	1.1457864102412831e-30
EMP3	11.834133	0.9277071	2.600168071219264e-32	1.8798005774417038e-29
TMSB10	11.814337	0.43946803	3.291364410727949e-32	2.3254237599159035e-29
PSME2	10.239058	1.1142656	1.3252152063367926e-24	7.490357294434886e-22
MYL12A	10.16273	0.5756856	2.9081721815929737e-24	1.6143990823067995e-21
HLA-B	10.049408	0.3788881	9.242058183311674e-24	4.869624792281525e-21
PPDPF	9.851446	0.5186943	6.756462669793628e-23	3.387712177675395e-20
LY6E	9.687517	0.87047213	3.407107656458546e-22	1.6294885494819513e-19
TSC22D3	9.416605	0.5998049	4.659084591193626e-21	2.1617457117378547e-18
PSMB9	8.924505	0.6395241	4.47694220290586e-19	1.8312460823912432e-16
EIF5A	8.900397	0.6938615	5.564735181349794e-19	2.2466353582158576e-16
MALAT1	8.713243	0.28399786	2.9530492817973856e-18	1.1620435825725989e-15
HSP90AB1	8.611975	0.41377467	7.181255853752222e-18	2.7560950706863623e-15
IGKV3-20	8.597375	1.6458637	8.156044908659392e-18	3.054782747897524e-15
RHOB	8.566615	1.5685765	1.0657137037627368e-17	3.944028798675262e-15
COX6A1	8.349948	0.5687453	6.829307524661488e-17	2.468635849059903e-14
KLF6	8.333997	0.5965149	7.815814525981707e-17	2.7927612203355554e-14
IFITM2	7.9168735	0.65199625	2.435576230114979e-15	8.320303106108171e-13
RPS26	7.8979607	0.5978809	2.8350411519366423e-15	9.579665683723305e-13
ISG20	7.574518	0.7372073	3.604622671516082e-14	1.1795463683096888e-11
PSME1	7.4324636	0.3988994	1.0659334469294017e-13	3.3471386934034654e-11
LGALS1	7.3366523	1.1236888	2.1900283619687756e-13	6.740733830546864e-11
IRF1	7.2283187	0.9786849	4.890106254892602e-13	1.4759100305421972e-10
MIF	7.217563	0.35670805	5.292742780548646e-13	1.5820720655664976e-10
IGKC	7.0939016	1.0210474	1.3038269933567348e-12	3.8601971183315066e-10
PTPRCAP	6.9788136	0.51461923	2.9768320206156405e-12	8.56859046526652e-10
HLA-DQA1	6.895784	0.34571877	5.356861883455949e-12	1.5138978670090464e-09
RHOA	6.70016	0.3075026	2.0819171668733658e-11	5.677242014613361e-09
ARPC1B	6.6832733	0.6026677	2.3366323184285164e-11	6.316425120259765e-09
VIM	6.2382483	0.32420546	4.4249804038208287e-10	1.1463280484464843e-07
MYL6	6.144463	0.27751324	8.02344620051704e-10	2.0114909035118807e-07
PPIA	5.695593	0.23035909	1.229437872769883e-08	2.89541932960586e-06
DCXR	5.676368	1.0844272	1.3758429692029024e-08	3.2158519085421528e-06
RAN	5.6720037	0.45405558	1.4113676546453973e-08	3.274267632832945e-06
SUB1	5.590481	0.48681617	2.26441565829189e-08	5.214362190319999e-06
PELI1	5.5513563	1.050762	2.834619518985372e-08	6.47939830784546e-06
HNRNPDL	5.5421596	0.2932172	2.987640361305846e-08	6.730201153037307e-06
XAF1	5.4785624	1.3125068	4.28795879844854e-08	9.589911882544586e-06
HLA-DRB1	5.38088	0.18669733	7.412255224359671e-08	1.634218284820348e-05
EIF1	5.369241	0.15625556	7.906853066458537e-08	1.7309883188520883e-05
STAT1	5.3200364	1.5830704	1.0374635984201921e-07	2.224250405799208e-05
GABARAP	5.2867312	0.27580664	1.2452140808395945e-07	2.6333313014326854e-05
UBE2L6	5.234253	0.9753389	1.6565337468131486e-07	3.479504363998673e-05
ACTB	5.2135215	0.1517171	1.8528895228696142e-07	3.86582393271461e-05
GNG5	5.113034	0.5695299	3.1702564135660324e-07	6.526739147584586e-05
CLIC1	5.000076	0.22079667	5.730776801740845e-07	0.0001156835444387777
MX1	4.977266	1.3288008	6.448865974106771e-07	0.00012851019008785716
KLF2	4.966251	0.5335858	6.825966082285268e-07	0.00013515847617834529
HLA-DPB1	4.934296	0.19536376	8.044024384872388e-07	0.00015727332456133832
SERF2	4.7862144	0.1282152	1.6995648229451501e-06	0.0003261380966104684
S100A11	4.6616178	1.1529697	3.1373340832818533e-06	0.0005805375276606129
SKP1	4.597293	0.28463012	4.280152949941654e-06	0.0007781117821920244
PLEK	4.587785	0.68533266	4.479742978852801e-06	0.0008096614533930059
TRMT112	4.569859	0.42665032	4.880524855851539e-06	0.0008769992843575537
ATP6V0E1	4.5574408	0.4031066	5.178065516035523e-06	0.0009105631652922655
