	scores	logfoldchanges	pvals	pvals_adj
B2M	14.171988	0.3099355	1.3658043086884966e-45	2.009488367883261e-42
RPL28	13.214042	0.2888684	7.280772465201306e-40	8.034072387761598e-37
EMP3	13.027603	1.0177803	8.524333003688823e-39	9.08194195913702e-36
IFITM1	12.043247	1.4700062	2.1050259037637717e-33	1.6259746337147313e-30
TMSB10	11.946493	0.43652245	6.77227731246624e-33	4.981977431506414e-30
PPDPF	10.489073	0.54545486	9.69749232727314e-26	5.653272083693551e-23
HLA-B	10.1106415	0.37499508	4.955853114861767e-24	2.7840180670888003e-21
MYL12A	9.887542	0.5719992	4.714612851096441e-23	2.55556830281275e-20
MALAT1	9.839114	0.33644867	7.63800834759458e-23	3.9331923985938286e-20
PSME2	9.778618	1.0423758	1.390967319396853e-22	7.045363486459766e-20
LY6E	9.629396	0.87111735	6.008117240769249e-22	2.855889205969961e-19
RHOB	9.494265	1.6487362	2.2177181758755617e-21	1.0076593894121652e-18
PSMB9	9.353577	0.66052604	8.473248861387954e-21	3.7399710010043374e-18
TSC22D3	9.343275	0.60897654	9.339900413555578e-21	4.06443525461446e-18
RPS26	8.886926	0.6798034	6.282288646457987e-19	2.5539983198633214e-16
IGKV3-20	8.654534	1.6149241	4.949275300489717e-18	1.9114719869903847e-15
HSP90AB1	8.502789	0.41857466	1.8509033702047992e-17	6.974068466977766e-15
EIF5A	8.39447	0.66724896	4.6799958471629314e-17	1.7421425504794348e-14
KLF6	8.2325735	0.5751266	1.83233016137829e-16	6.660412352482944e-14
COX6A1	8.140769	0.5567301	3.927760903748735e-16	1.394896880955456e-13
ISG20	7.9883156	0.77301663	1.3679499240800788e-15	4.748938067899122e-13
IRF1	7.880755	1.068789	3.2540893525531524e-15	1.1048527332509314e-12
IFITM2	7.6929026	0.65167373	1.438338876855084e-14	4.5814800286795385e-12
MIF	7.6781573	0.38083816	1.6139322082543035e-14	5.088333003921756e-12
RHOA	7.638062	0.3600768	2.2051572026010558e-14	6.882095160481295e-12
