	scores	logfoldchanges	pvals	pvals_adj
PSME2	13.178752	1.9032985	1.1629886532019126e-39	1.807691413104393e-36
MZB1	12.056891	2.5262246	1.78390637317025e-33	1.386407435568589e-30
RRBP1	11.78855	2.8305862	4.471695188443916e-32	2.83697119026849e-29
MYDGF	11.547243	2.2129393	7.6226309089321e-31	4.308449583017677e-28
CD38	11.413404	2.3429086	3.584207154296043e-30	1.954776277291247e-27
FKBP11	11.342774	2.2446694	8.054932436222215e-30	4.244130248217627e-27
HSP90B1	11.101732	2.0607827	1.2303576399145359e-28	5.795170901821693e-26
SDF2L1	11.0370655	2.2304342	2.531663175948145e-28	1.1573796051573526e-25
SSR3	11.021429	1.9317179	3.0123843501754514e-28	1.3444439222525075e-25
SPCS3	11.020634	2.1143022	3.0391125065497126e-28	1.3444439222525075e-25
LMAN1	10.864798	1.8606652	1.6959845961299424e-27	6.9372464657752e-25
IFITM1	10.810599	1.7670318	3.0665872609920133e-27	1.2221922843904962e-24
IFI6	10.748186	2.8154247	6.043868498958224e-27	2.3195770373717817e-24
FKBP2	10.513769	1.8286339	7.46492408766374e-26	2.667380403600031e-23
LGALS1	10.319769	1.909853	5.736101070800278e-25	1.8970018509358321e-22
RABAC1	10.272462	1.2695618	9.378069071786506e-25	3.0688003498381803e-22
PPIB	9.949658	1.6688647	2.5305077053480448e-23	7.637465343315987e-21
TMEM208	9.808663	1.9706784	1.0332782719913421e-22	2.9742149667958195e-20
NME1	9.734191	2.2720885	2.155258582042791e-22	6.090956685451296e-20
SEC61B	9.72306	1.4405564	2.4044535729629048e-22	6.733986326369173e-20
PDIA6	9.696027	1.5654343	3.134678915613344e-22	8.700693165149288e-20
ATP5MC3	9.645804	1.2417234	5.120815925941773e-22	1.4087681830951494e-19
TXNDC5	9.615724	1.874563	6.86250433065542e-22	1.8713567730446057e-19
MIF	9.554768	0.8744738	1.2386181969427045e-21	3.348254251161553e-19
PRDX1	9.532638	1.4861401	1.533368520294103e-21	4.0741732641352807e-19
COX6A1	9.523626	0.91468245	1.672384166954721e-21	4.405881915095035e-19
SEC61G	9.462405	1.4976766	3.009393684971012e-21	7.86159844409192e-19
SUB1	9.449684	1.5383011	3.398549494765584e-21	8.731463482956837e-19
MANF	9.388992	1.8552047	6.0576743669768144e-21	1.5435649430017069e-18
IFI27	9.335324	7.3682384	1.0068213414609312e-20	2.5039244033596775e-18
HM13	9.198968	1.6063485	3.614034110490181e-20	8.846415621480965e-18
LMAN2	9.125158	1.4526159	7.163168138957083e-20	1.7262124646182857e-17
UQCRQ	9.109257	1.3776945	8.294854896438151e-20	1.9835550320428677e-17
NUCB2	9.083283	1.9246129	1.0534758359766247e-19	2.4999544513744528e-17
SEC11C	9.081163	1.6050607	1.0742034642632998e-19	2.529830537390394e-17
HSPA5	9.059696	1.4069588	1.3081432037642288e-19	3.0576126146931264e-17
NDUFV2	9.045119	1.4502105	1.495012177368306e-19	3.468316683421532e-17
COX7A2	8.99768	1.073512	2.305379607954411e-19	5.308691546109539e-17
SEC13	8.985091	1.5592675	2.585201719097434e-19	5.909276900116318e-17
TXN	8.841313	1.445262	9.459965205823097e-19	2.115697398226062e-16
XBP1	8.824485	1.5127534	1.099652145019685e-18	2.4073863543821794e-16
ELL2	8.815739	1.7634728	1.1889865888152676e-18	2.58475706898603e-16
TMED9	8.794139	1.3868436	1.4414928007738331e-18	3.0904611515624936e-16
CCND2	8.732918	3.220486	2.481861569389157e-18	5.213083149162212e-16
ERLEC1	8.714895	1.5250777	2.9102667049115305e-18	6.071910137958708e-16
TXNDC11	8.70986	1.5819507	3.0425006055975663e-18	6.305481088414103e-16
PRDX4	8.657252	1.5938096	4.832727977196148e-18	9.883882541256358e-16
ATP5MC1	8.655	1.3805134	4.9291411742637746e-18	1.0015177234270454e-15
KRTCAP2	8.619618	1.009992	6.717768030848928e-18	1.3473242243548427e-15
SELENOS	8.53958	1.4586059	1.3471056489029274e-17	2.5850292165089693e-15
COX5A	8.504332	1.1846119	1.8264517391125162e-17	3.4833684180239748e-15
CALR	8.497838	1.1559248	1.9315410165104516e-17	3.661330218308561e-15
P4HB	8.477962	1.2877498	2.2917448773143674e-17	4.296665139339216e-15
KDELR2	8.477829	1.3935314	2.2943558822990634e-17	4.296665139339216e-15
TXNDC17	8.474516	1.9930698	2.3605933690542267e-17	4.394237488849625e-15
RPN2	8.458217	1.3398734	2.7149749764870544e-17	5.0238349460745864e-15
COPE	8.412102	1.045944	4.027280136621417e-17	7.32140687761111e-15
TMED10	8.346905	1.231741	7.007498317887815e-17	1.2377392057282869e-14
ISG20	8.334449	1.0682927	7.786005314820527e-17	1.3674776679199194e-14
MRPS24	8.323715	1.5811116	8.524829369830905e-17	1.4888279248310862e-14
ZNF593	8.310066	1.724968	9.564862892195494e-17	1.661133478936767e-14
MLEC	8.301983	1.5681425	1.0238790315479538e-16	1.7682959696517356e-14
LRRC59	8.285816	1.6599377	1.1730174095156875e-16	2.0146736027411148e-14
DNAJB11	8.275878	1.4988923	1.275127688339274e-16	2.178016178428737e-14
MX1	8.242749	1.8927174	1.6829792748248995e-16	2.8128374578753573e-14
IGKC	8.226185	2.3563006	1.932702443837004e-16	3.212936945003259e-14
TMEM258	8.221149	1.1853352	2.0156165330992666e-16	3.33295059385409e-14
FNDC3B	8.209886	2.239642	2.2139872354917215e-16	3.64159900474768e-14
NDUFA13	8.192262	1.0806798	2.563626461044699e-16	4.172536952591443e-14
SSR4	8.169734	1.1638625	3.090694274310082e-16	5.004188172160288e-14
UBE2J1	8.15317	1.2102238	3.5450651175085583e-16	5.710126389014951e-14
DNAJC3	8.0382805	1.4878122	9.110773566534756e-16	1.4304374639538684e-13
TOP1	8.022644	1.3817654	1.0349289451800404e-15	1.6086418059405958e-13
PDIA4	8.011778	1.450994	1.1306185815145195e-15	1.7486338230617846e-13
MRPL52	8.003429	1.2932749	1.2100087582844422e-15	1.8529823777728301e-13
NDUFAB1	7.999057	1.3828591	1.253760341003913e-15	1.910570966705326e-13
SRPRB	7.996539	1.5469743	1.2796537076248732e-15	1.9405168199480213e-13
SERF2	7.9695063	0.5886813	1.5930977784448171e-15	2.404108283423011e-13
JCHAIN	7.9675183	2.201594	1.6189238006821095e-15	2.4312794295557847e-13
MRPL41	7.9505568	1.4488229	1.856753350042419e-15	2.7750428554215707e-13
NDUFS6	7.908152	1.3872759	2.612372056515975e-15	3.867181434329148e-13
OSTC	7.888673	1.274773	3.0541726772289533e-15	4.4997661619439085e-13
EMP3	7.878469	0.91288066	3.3141620849922978e-15	4.859780978120545e-13
NDUFB3	7.865748	1.5194527	3.668988503941948e-15	5.354828432959781e-13
TIMM8B	7.8405704	1.6984967	4.48504870191265e-15	6.484963209132956e-13
CYTOR	7.8163204	1.9357631	5.438988853493719e-15	7.75604800406235e-13
DAD1	7.81367	1.0440948	5.554641493911674e-15	7.884800918777727e-13
ISG15	7.792998	1.666167	6.5437735137693995e-15	9.246649419206788e-13
TXNDC15	7.7623873	1.6362708	8.334549897860526e-15	1.1670997868233792e-12
NDUFA6	7.736547	1.3248479	1.0215321714374837e-14	1.4176951166730829e-12
PSMB6	7.732174	1.0961654	1.057252451779752e-14	1.4607469763767622e-12
NDUFB6	7.721043	1.3590692	1.1538169454751325e-14	1.5871109461940463e-12
NDUFAF3	7.7157426	1.3919595	1.202800577857523e-14	1.6399763843796849e-12
ATOX1	7.689107	1.4502234	1.481653818261965e-14	1.993946850576178e-12
PSMB1	7.646968	0.95929736	2.0577389203767532e-14	2.7337149494765866e-12
HDLBP	7.6435223	1.365788	2.1135833308648542e-14	2.795955957727478e-12
GAPDH	7.625368	0.8048547	2.4333914687132853e-14	3.2053746011817753e-12
TNFRSF17	7.5942273	1.4296985	3.096344537191702e-14	4.04437237931422e-12
NDUFB8	7.5909142	1.2757874	3.176555969265966e-14	4.131782235002975e-12
CNPY2	7.5695796	1.5609264	3.744335054012214e-14	4.829881486476253e-12
CCDC167	7.5628214	1.4915106	3.9441850573672444e-14	5.0666479701808074e-12
SLC35B1	7.5593762	1.7622787	4.050069338047098e-14	5.170544124459521e-12
POMP	7.559111	1.1455915	4.0583290969476734e-14	5.170544124459521e-12
PRDX5	7.550498	0.9630234	4.335977580910986e-14	5.50173612480734e-12
B2M	7.5432096	0.23674057	4.585434836956225e-14	5.79461027546578e-12
NEAT1	7.5091534	1.3242321	5.951090532298025e-14	7.459739974901157e-12
UQCC2	7.479868	1.7183079	7.439730493787984e-14	9.288309311662131e-12
GNG5	7.450715	0.9765665	9.283573098576195e-14	1.1543937476617528e-11
LIME1	7.4369335	1.2938173	1.0304935044435258e-13	1.2762928913400753e-11
ATP5MF	7.4260674	1.0111876	1.1187398071708795e-13	1.3800898565682988e-11
DERL1	7.4235497	1.2786657	1.1402237935654484e-13	1.3955172075027203e-11
NDUFB4	7.4150686	1.1075937	1.2156169023157927e-13	1.4761672907144943e-11
DCPS	7.4088407	1.3045847	1.274082817755595e-13	1.5411444574151044e-11
IFI35	7.39983	1.531998	1.3635923925717565e-13	1.6366794095705868e-11
CHCHD2	7.389361	0.7131933	1.4753595497665365e-13	1.764019320138166e-11
SLAMF7	7.315286	1.703152	2.568338153975551e-13	3.0243154618423466e-11
PSMA5	7.3064075	1.2913814	2.7437909736439686e-13	3.2187256602894363e-11
SEC61A1	7.2895784	1.3046274	3.1092663051822005e-13	3.620140884988729e-11
PSMA3	7.285073	1.3097556	3.2149650499103373e-13	3.729239496513532e-11
PSMB2	7.278447	1.2245755	3.376844068296526e-13	3.9024517305254314e-11
NOP10	7.274339	1.2194972	3.48120132818016e-13	4.008152062560616e-11
ATP5PF	7.2348504	0.9683465	4.660433633053344e-13	5.346084883790749e-11
GMPPB	7.232332	1.444764	4.747683551993984e-13	5.426148477236653e-11
IGKV3-20	7.221069	1.8811938	5.158056748137741e-13	5.873571799610181e-11
ATP5IF1	7.2124553	1.0289576	5.495185022602452e-13	6.23462835027892e-11
PSMA6	7.1870127	1.1845125	6.622424005618324e-13	7.48622891136934e-11
SRGN	7.178797	1.3020381	7.032753939153327e-13	7.921276148784764e-11
ARF4	7.167401	1.1854961	7.643507022195141e-13	8.578112014403622e-11
MIR4435-2HG	7.156402	2.5855143	8.282200062548346e-13	9.228270729191414e-11
SAR1B	7.1402354	1.379031	9.31712254671726e-13	1.0344335307492838e-10
SLC38A5	7.1263213	1.8599801	1.0308680843679559e-12	1.1404482611653611e-10
NDUFC2	7.1179733	1.2496547	1.0952574642348024e-12	1.2073854181087695e-10
NDUFS5	7.086965	1.0562701	1.3708514597205867e-12	1.5058536865135645e-10
CD320	7.03979	1.7313986	1.9252976089068402e-12	2.0709940058161571e-10
IFI27L1	7.031972	2.1835833	2.0363510714165588e-12	2.1828981295560885e-10
NDUFA7	7.010902	1.3554561	2.367865089892017e-12	2.5208843167627783e-10
JPT1	7.0014935	1.4267668	2.532480839501004e-12	2.6777970019580853e-10
IFI30	6.9777737	1.40158	2.9989440205479007e-12	3.160277042941444e-10
MYL6	6.976051	0.558896	3.0359272059748907e-12	3.188441522031805e-10
COX5B	6.9653172	0.83102304	3.2766436170340586e-12	3.429663977196558e-10
PSMA2	6.939477	1.359858	3.935537814049459e-12	4.091774716567075e-10
GLRX	6.9328513	1.3672055	4.124412174646918e-12	4.271646062178848e-10
TMBIM6	6.932454	0.75477135	4.1360229829698364e-12	4.271646062178848e-10
UQCR10	6.9201303	0.9413152	4.512289060134714e-12	4.629489439353394e-10
NDUFA11	6.895615	0.96321857	5.363222364346453e-12	5.466442414440596e-10
MESD	6.852283	1.1870979	7.268052117790968e-12	7.288449554379607e-10
SEC24D	6.8305507	1.6441083	8.458916561024497e-12	8.455380679503811e-10
ARPC5L	6.796495	1.0967215	1.0719512176650301e-11	1.0680688302420767e-09
NANS	6.7764854	1.3835121	1.2313458218557938e-11	1.21520150996924e-09
COX7B	6.7726426	1.0119472	1.2645123487997671e-11	1.2439840312385556e-09
LRPAP1	6.7491875	1.2267458	1.4867537766141736e-11	1.4580036168329595e-09
DDOST	6.7472	1.0140145	1.5072568398469217e-11	1.4734620559849452e-09
AL133467.1	6.722685	1.9899873	1.7840631803992025e-11	1.7331616277834379e-09
RPN1	6.7119513	1.0515643	1.920390152153134e-11	1.8597871856692981e-09
ERGIC2	6.707976	1.2560313	1.9734275435079995e-11	1.9052155914606576e-09
LILRB4	6.695387	2.4691434	2.15101726599411e-11	2.070237577336189e-09
ROMO1	6.669414	1.0405828	2.5682641005335843e-11	2.464185990533566e-09
POLR2L	6.6483445	0.93526715	2.9640778234086437e-11	2.835208839886293e-09
LDHA	6.6452966	1.0440422	3.026067875883613e-11	2.8856249097421434e-09
REXO2	6.6385384	1.198588	3.168085060298325e-11	3.0118122406573094e-09
IGLC1	6.6320453	2.3455334	3.310667673232858e-11	3.137766035298471e-09
CALU	6.595869	1.4939443	4.2277172256223516e-11	3.982637739179456e-09
YIF1A	6.5881834	1.3612852	4.452406382373471e-11	4.169034855688075e-09
PIM2	6.5832806	1.054574	4.6018028780075364e-11	4.295983365424032e-09
CANX	6.5732093	1.0297836	4.924216399032456e-11	4.569525826767819e-09
NAA10	6.55585	1.2629286	5.5325822456254114e-11	5.118791198504677e-09
ITM2C	6.550417	1.1299642	5.7376662975160056e-11	5.29278433800831e-09
SRP19	6.541141	1.2061806	6.105124492658137e-11	5.6150889083805774e-09
SPCS2	6.5215287	0.8913503	6.959428373279433e-11	6.381939523307898e-09
ALG3	6.512783	1.6579952	7.377102334028062e-11	6.745058242880305e-09
DNAJC1	6.5009894	1.1771173	7.97934916479879e-11	7.253041739359649e-09
PDCD5	6.4901233	1.1135637	8.57662058638766e-11	7.750622214216081e-09
MRPL20	6.4811125	1.0755813	9.10488833893109e-11	8.204164167894227e-09
PSMB3	6.478462	0.9336574	9.266225923248337e-11	8.325409401041071e-09
PSMD8	6.4685235	0.9922886	9.896514468735507e-11	8.866079114973508e-09
IRF7	6.4524894	1.1505891	1.100276406449171e-10	9.800656918992946e-09
PRDX3	6.4489117	1.4741846	1.126563579384998e-10	1.0006137712097552e-08
CHPF	6.442021	1.4804928	1.178931680328688e-10	1.0411775325675548e-08
HYOU1	6.434865	1.4813808	1.2358312267626423e-10	1.0883366953645967e-08
CRELD2	6.40929	1.1566442	1.4619901029871077e-10	1.2788750554115884e-08
UBA5	6.389413	1.4661453	1.6652396424553318e-10	1.4500645592439468e-08
PSMA4	6.3813295	1.0961776	1.7555714992510826e-10	1.52445394405638e-08
LAP3	6.374969	1.2283612	1.8300019388680916e-10	1.5846593390972805e-08
STT3A	6.354827	1.2308547	2.0866169221243528e-10	1.801851673835549e-08
ISOC2	6.3436956	1.298384	2.2431788222235702e-10	1.931681441730308e-08
CYBA	6.33813	0.48558468	2.3257056165477222e-10	1.997215759713233e-08
OST4	6.3266015	0.70184124	2.506197811401109e-10	2.1462857124800626e-08
IDH2	6.3096395	1.0758827	2.7968607021657906e-10	2.3886266112150532e-08
GGH	6.3010263	2.3545356	2.9568146781122405e-10	2.5183150109171293e-08
MRPL12	6.2965207	1.7668005	3.044006465598296e-10	2.5854925955206074e-08
YIF1B	6.292678	1.3932065	3.120355853665426e-10	2.643119957027169e-08
MRPS18C	6.28751	1.3858901	3.2259871755413104e-10	2.7251701990775195e-08
COX8A	6.282474	0.85740817	3.332264808865643e-10	2.807320219870088e-08
EMC6	6.262332	1.3034083	3.7926197837948915e-10	3.186518141049508e-08
SRP54	6.2387447	1.0614519	4.410961184884006e-10	3.696052570201862e-08
PSMB5	6.234239	1.8862537	4.539787699834036e-10	3.7937736619553945e-08
ELOB	6.219265	0.77375674	4.994884090114894e-10	4.162894415801655e-08
PHPT1	6.21635	1.0415345	5.088526241621936e-10	4.21832040728803e-08
UBL5	6.2028337	0.83446634	5.545549529796123e-10	4.5727983616119916e-08
ALG5	6.2019057	1.1888683	5.578342255366853e-10	4.587669991867443e-08
ABRACL	6.201111	1.1226627	5.606600849967487e-10	4.598744079760931e-08
SSR1	6.1987257	1.0401378	5.692217346006214e-10	4.656683174613031e-08
MRPL51	6.1793785	1.0307945	6.43544004184406e-10	5.223460171822619e-08
ERGIC3	6.175801	0.8851392	6.582897538813359e-10	5.329232702840909e-08
ZBP1	6.160164	1.0418313	7.266959655765566e-10	5.852538207740521e-08
ORMDL2	6.151551	1.6687285	7.672898029996314e-10	6.15789634624914e-08
CD59	6.1512856	1.5313773	7.685732886237547e-10	6.15789634624914e-08
SNRPG	6.12041	0.97687626	9.333488792007808e-10	7.420720360029327e-08
NDUFB9	6.104641	0.8809834	1.0303208345448128e-09	8.150021318955368e-08
GUK1	6.077608	0.7980542	1.2198846051990208e-09	9.625013381173086e-08
