	scores	logfoldchanges	pvals	pvals_adj
PSME2	12.392076	1.820548	2.884795318668384e-35	3.474408984334004e-32
MZB1	12.086207	2.5588224	1.2492090287298522e-33	1.1696003442626135e-30
RRBP1	11.673501	2.7763927	1.7410686853447444e-31	1.3793281838742708e-28
SDF2L1	11.255285	2.2864604	2.1811945644955946e-29	1.4338801799834125e-26
MYDGF	11.160138	2.0878243	6.389211880632971e-29	3.7962976822291716e-26
HSP90B1	11.138905	2.1019833	8.111051373430614e-29	4.640873227497883e-26
FKBP11	11.054375	2.1817772	2.087865849745342e-28	1.0751465193263638e-25
CD38	10.999679	2.2458773	3.8349586808732073e-28	1.8807733073482455e-25
IFI6	10.848761	2.8766978	2.0214758880365762e-27	9.05181746560378e-25
IFITM1	10.848761	1.8647498	2.0214758880365762e-27	9.05181746560378e-25
LMAN1	10.843117	1.8939193	2.1501929876467427e-27	9.490644677045916e-25
FKBP2	10.572727	1.8933748	3.9872777616269535e-26	1.59993403897387e-23
SSR3	10.493035	1.8235985	9.299243207095872e-26	3.636945789489129e-23
SPCS3	10.409311	1.9226027	2.2484280404205053e-25	8.576503847515106e-23
RABAC1	10.357841	1.3534839	3.8556910163952116e-25	1.4182057777805102e-22
ATP5MC3	10.0417595	1.3434519	9.987677516465144e-24	3.354231219850256e-21
MIF	9.953869	0.97077024	2.42564471060958e-23	7.972887725925978e-21
LGALS1	9.863561	1.8478881	5.988732912377341e-23	1.9274362582679447e-20
SEC61B	9.744761	1.5074755	1.942350471249872e-22	6.061899243455283e-20
PPIB	9.725141	1.6367744	2.355799755637838e-22	7.278714504994228e-20
TMEM208	9.495874	1.9021852	2.183714663316958e-21	6.425736376428957e-19
DNAJB11	9.49238	1.8219575	2.2581842465267336e-21	6.582181006126084e-19
NME1	9.471281	2.224875	2.7643237560386286e-21	7.982178606572477e-19
TXNDC5	9.461605	1.859128	3.0325183153725202e-21	8.675529480561552e-19
HM13	9.457842	1.6702417	3.143630902585463e-21	8.910895779558078e-19
