	scores	logfoldchanges	pvals	pvals_adj
PSME2	11.794066	3.2261899	4.188190860534913e-32	1.8599755611635548e-28
RRM2	11.265035	4.6671705	1.9527572975848086e-29	4.669643546924534e-26
MZB1	11.22912	4.101591	2.933862166626685e-29	6.514640940994555e-26
HSP90B1	11.178275	3.351537	5.209284389948201e-29	1.079606825535465e-25
SSR3	11.032599	3.4778025	2.6606238669012033e-28	4.5950452305754285e-25
MYDGF	10.960367	3.593403	5.925872142137438e-28	9.69566248855929e-25
NME1	10.769092	4.0512114	4.8172848553713094e-27	5.990197371957116e-24
FKBP11	10.710983	3.764175	9.039659861565737e-27	1.0407996522833113e-23
MANF	10.649646	3.7731576	1.7502908494390185e-26	1.648827019288205e-23
TXN	10.620188	3.4773855	2.4007653342028386e-26	2.1323597698389612e-23
LMAN1	10.589923	3.4952714	3.31863888473559e-26	2.7882845137777106e-23
SEC61G	10.548763	2.9249356	5.1470336587795166e-26	4.1027137269353544e-23
TXNDC5	10.541096	4.3408604	5.584441846124886e-26	4.340088591762108e-23
HM13	10.483794	3.3373349	1.0254555893572635e-25	7.590080453892679e-23
ATP5MC3	10.46846	2.4534802	1.2058912055061815e-25	8.519895433084242e-23
SDF2L1	10.428106	3.7890847	1.8452897908850338e-25	1.2470548636791966e-22
SPCS3	10.420035	3.2759876	2.0087770778095452e-25	1.328656447188624e-22
GAPDH	10.387349	2.6164107	2.8311117532130975e-25	1.7602154214427114e-22
RAN	10.358295	2.37981	3.837406569266797e-25	2.2941049618999405e-22
MIF	10.338119	1.7911712	4.737473594387368e-25	2.727293363494817e-22
PPIB	10.304222	2.7031476	6.743531982290523e-25	3.7435031916690263e-22
SUB1	10.286467	2.9045212	8.10982207087508e-25	4.422983135391116e-22
P4HB	10.225129	2.7472963	1.5302380826026392e-24	8.201812288597974e-22
JCHAIN	10.195268	4.2009335	2.0817020508869324e-24	1.052477423272808e-21
SEC61B	10.194461	2.7964406	2.0990639252071316e-24	1.052477423272808e-21
PDIA4	10.183969	3.6418712	2.3382577874309147e-24	1.1538003148867436e-21
PDIA6	10.156125	2.8604944	3.1120015043541405e-24	1.4779787038654667e-21
COX6A1	10.088735	1.8361253	6.196289724573568e-24	2.7744863171773486e-21
TMEM258	10.087928	2.175659	6.247435976530846e-24	2.7744863171773486e-21
CHCHD2	9.931357	1.8202249	3.0408874027411066e-23	1.2604275558535038e-20
TNFRSF17	9.9111805	3.403025	3.7222256593020316e-23	1.5225372246147665e-20
PCLAF	9.887775	5.191238	4.7036399238456925e-23	1.8746417219562954e-20
C12orf75	9.825631	3.7440553	8.732520377577911e-23	3.3933482622220564e-20
SEC11C	9.793348	3.1929526	1.2024621423131392e-22	4.61493094050476e-20
TIMM8B	9.783664	3.2005541	1.3233159914373776e-22	4.9563764127486453e-20
TUBA1B	9.777207	2.5359018	1.410487533476358e-22	5.219979280140421e-20
FABP5	9.718695	3.3459394	2.5097748461655875e-22	9.072252400319724e-20
NDUFC2	9.714256	2.672602	2.621563288051284e-22	9.367418153523019e-20
ATP5MC1	9.703764	2.564766	2.9057608558658566e-22	1.0149594126550772e-19
HSPD1	9.691658	2.5742075	3.2717298021951723e-22	1.1300918262315703e-19
CALR	9.67471	2.2753632	3.8618567343044227e-22	1.304929785862191e-19
DCPS	9.66099	3.3452315	4.415771395776487e-22	1.4760546815107918e-19
UQCRQ	9.656147	2.4919748	4.629478965090842e-22	1.5310277934870106e-19
MRPL51	9.62911	2.6437156	6.024870818761435e-22	1.9308779293075953e-19
SMC4	9.617408	3.4366367	6.751083435075869e-22	2.141540109655138e-19
FKBP2	9.612566	2.7987387	7.076333354986897e-22	2.2220401515805824e-19
XBP1	9.610951	3.2813604	7.188158526380227e-22	2.234582841095821e-19
NDUFV2	9.601267	2.3317297	7.896784799369661e-22	2.4305678124554917e-19
SRPRB	9.584318	3.3024893	9.307015430405886e-22	2.8365410655394883e-19
COX5A	9.578669	2.1922886	9.830366404684984e-22	2.9669572856547774e-19
LIME1	9.552843	2.8972359	1.261853136476383e-21	3.7359265193944114e-19
PRDX4	9.543158	3.4701438	1.3854777767320212e-21	4.06324034389324e-19
CD320	9.525402	3.314465	1.64403567870318e-21	4.725395218002394e-19
SRGN	9.524595	2.8405373	1.656860033976456e-21	4.725395218002394e-19
RPN1	9.522982	2.5575686	1.6828063810267843e-21	4.755763815179968e-19
NDUFS5	9.512893	2.3360128	1.854324896878897e-21	5.193279105340025e-19
HSPA5	9.499173	2.4709442	2.115640718960358e-21	5.872225270564344e-19
ATP5PF	9.497155	2.0430856	2.1570246419478057e-21	5.934108410993932e-19
MLEC	9.486663	3.0316303	2.3854783977582455e-21	6.50503218869391e-19
MRPL12	9.457206	4.0601783	3.1628310168519613e-21	8.403669044519395e-19
NDUFAB1	9.45196	2.6324606	3.3254622983144256e-21	8.76090224302547e-19
OSTC	9.447924	2.8198733	3.4561674887827745e-21	9.028729304520176e-19
LRRC59	9.3970785	2.9391298	5.6098844657950615e-21	1.4412766808939758e-18
PSMB2	9.392237	2.7115786	5.873949174102199e-21	1.4967496555353694e-18
CD38	9.361568	3.1109633	7.8562007680789e-21	1.9531635237102463e-18
