	scores	logfoldchanges	pvals	pvals_adj
HSP90B1	10.289735	3.6123502	7.8392219821008175e-25	4.844168831619379e-21
SSR3	10.254347	3.7816782	1.1313833956044398e-24	5.826058795665062e-21
PSME2	10.11684	2.7912068	4.6519125755004346e-24	2.0532877549319562e-20
MYDGF	10.046571	3.6550255	9.512035164873718e-24	3.673666881113791e-20
MZB1	9.933835	3.9551263	2.966220728750442e-23	1.0183035761800268e-19
LMAN1	9.812	3.8095613	9.996681694033507e-23	2.2964135416278142e-19
RRM2	9.807956	4.06383	1.0405472888238145e-22	2.2964135416278142e-19
NME1	9.77813	4.1810055	1.3976986302668425e-22	2.878979638623642e-19
ATP5MC3	9.686626	2.8384876	3.4369248915005054e-22	5.987701585663427e-19
SEC61G	9.68511	3.2951498	3.488320178073654e-22	5.987701585663427e-19
HM13	9.664383	3.750299	4.271856410909163e-22	6.946713027782127e-19
MANF	9.624446	3.8703308	6.304598220097516e-22	9.739658560317647e-19
FKBP11	9.567825	3.619615	1.0917797695816087e-21	1.6063199781315696e-18
TXN	9.479861	3.357828	2.5462073730670636e-21	3.575916782075139e-18
PSMB2	9.426274	3.5864673	4.249137054523536e-21	5.708069024939727e-18
SEC61B	9.390886	2.9615498	5.949723215656933e-21	7.604367097050738e-18
SDF2L1	9.387348	3.583836	6.1529979423979174e-21	7.604367097050738e-18
TXNDC5	9.271074	3.8413327	1.8428078751202176e-20	1.9633529281927365e-17
PCLAF	9.172494	5.2510533	4.6219954406032275e-20	4.462681035259935e-17
RAN	9.139129	2.3784964	6.295765492042733e-20	5.721184306107187e-17
PPIB	9.123457	2.939747	7.276554767939836e-20	6.245103129584365e-17
IFI6	9.115368	5.102895	7.840383693013238e-20	6.525185607113158e-17
SPCS3	9.107785	3.006606	8.408094724630772e-20	6.661151351459409e-17
JCHAIN	9.053693	4.3982034	1.3821377322114069e-19	1.0167597502889486e-16
TMEM258	9.018305	2.4054632	1.9102238564669186e-19	1.3115596998501865e-16
SUB1	9.014766	3.0530932	1.9729132460605525e-19	1.325154360076802e-16
RPN1	8.967751	2.8898838	3.0263071776736715e-19	1.9435851437514344e-16
TIMM8B	8.956123	3.5409408	3.3629347059153045e-19	2.0780918721733032e-16
ATP5MC1	8.943991	2.7998009	3.753647884135259e-19	2.2740482093358254e-16
ATP5PF	8.926803	2.375195	4.385004930796056e-19	2.6054518720539565e-16
