	scores	logfoldchanges	pvals	pvals_adj
MT-CYB	12.669446	1.0202641	8.732922953982617e-37	1.3574018793522882e-32
RPS3A	11.969851	0.61322564	5.112034250355565e-33	5.297260291360115e-29
MT-CO1	11.481717	0.6489734	1.6301053252457164e-30	1.2668771061478397e-26
MT-ATP6	11.314879	0.96909624	1.1075430431812114e-29	6.886038116674864e-26
RPS6	10.428114	0.5427773	1.8451492060485499e-25	8.19430762406161e-22
LTB	10.372898	1.8385986	3.2938076277326767e-25	1.2799324715415715e-21
RPS2	10.252853	0.66329384	1.1490059097988821e-24	3.96879407976865e-21
EEF2	10.157013	0.74577844	3.0837881110655674e-24	9.58657210086953e-21
CD37	10.138977	0.5492972	3.709649468315806e-24	1.0483806638321225e-20
MT-CO3	10.067128	0.79115695	7.719905720730959e-24	1.9999059095030277e-20
MT-ND3	10.04169	0.92274183	9.994662220694468e-24	2.390031265036376e-20
RPS27A	9.799133	0.3703289	1.135556034305716e-22	2.5215021741758425e-19
RPLP2	9.770633	0.5523817	1.505096282912631e-22	3.0689466895152863e-19
RPS8	9.76574	0.43225074	1.579539583499359e-22	3.0689466895152863e-19
RPS14	9.747449	0.42384517	1.8916239755218307e-22	3.4591126192380676e-19
RPL37	9.687767	0.5622133	3.3987941167465627e-22	5.5609638267000205e-19
EEF1A1	9.590905	0.36907235	8.731526965835615e-22	1.357184893934659e-18
MT-ND5	9.520333	0.8871934	1.726241601440058e-21	2.5554129839984323e-18
RPL6	9.395099	0.47397435	5.716404750360033e-21	8.077539748838287e-18
TPT1	9.153478	0.46617925	5.512940631360164e-20	7.140866058628892e-17
RPL10A	8.7792635	0.6206988	1.6454886414373096e-18	2.0461322158544657e-15
CD79B	8.750295	0.9677051	2.127969886169888e-18	2.5443153788985888e-15
RPL4	8.599026	0.7152274	8.039547021855109e-18	9.256496232163324e-15
RPS27	8.413939	0.30108383	3.964661077176749e-17	4.401764960935486e-14
RPL13	8.402666	0.3144627	4.364531032719186e-17	4.678626766004874e-14
RPS5	8.33235	0.43405172	7.925348101163622e-17	7.699228013152298e-14
RPL23A	8.301977	0.46824536	1.0239314996498969e-16	9.531182494855916e-14
RPS16	8.2998495	0.5787723	1.0424299701647028e-16	9.531182494855916e-14
RPS11	8.230554	0.57829994	1.8634949598014444e-16	1.655156223295643e-13
RPL37A	8.20452	0.6995095	2.3151350915058953e-16	1.999183460823438e-13
RPSA	8.190781	0.50537926	2.5953823680765583e-16	2.1806122074701615e-13
RPS20	7.863401	0.906333	3.738424175500673e-15	3.058326114310248e-12
TAGLN2	7.7042203	1.1003398	1.3164464141912535e-14	1.0493428122554742e-11
RPS29	7.6651697	0.61506826	1.7859514801494612e-14	1.3879968415851576e-11
RPL18A	7.528237	0.29740334	5.1430057652460365e-14	3.8066814339096075e-11
RPS21	7.519431	0.38488415	5.5015036700098976e-14	3.977331269525528e-11
RPL34	7.4954395	0.32311186	6.60766717404317e-14	4.6684670327154554e-11
RPL13A	7.474085	0.7141635	7.774300618066027e-14	5.370659629195969e-11
PCBP2	7.148917	0.9673019	8.746491714293447e-13	5.785152934515752e-10
MT-ND4	7.0453353	0.6277702	1.850155563911203e-12	1.1982455419855743e-09
RPL22	7.0010095	0.45922795	2.5412439160524936e-12	1.6122377473127318e-09
MT-ND1	6.7448406	0.49672517	1.5319530679560867e-11	9.158427889144397e-09
MT-ND4L	6.6333885	0.41895115	3.280668206238033e-11	1.854293318678577e-08
TRBC2	6.6136503	1.0680757	3.7495654286311145e-11	2.0814775085688476e-08
RPL9	6.527892	0.37358353	6.67017508489966e-11	3.6378198748118544e-08
RPL27	6.4722085	0.5218594	9.658065510026435e-11	5.088818347630369e-08
RPL19	6.356375	0.17433871	2.0657014541865815e-10	1.0527288705950534e-07
RPL38	6.2166777	0.5920025	5.077921290747657e-10	2.546086115572136e-07
RPL29	6.127941	0.3189737	8.902342327053464e-10	4.392811363827159e-07
TOMM7	6.1252613	0.5763294	9.053488456080586e-10	4.397590556784019e-07
RPL3	6.085445	0.38458228	1.161682540566143e-09	5.555880790550722e-07
RPL27A	5.978715	0.59626055	2.249048808201074e-09	1.0435250791126387e-06
EIF3L	5.9608912	0.8082365	2.5086623304581552e-09	1.1468644980434216e-06
EEF1B2	5.8127704	0.4015324	6.14472510506562e-09	2.6530704075163182e-06
CD52	5.672435	0.41012955	1.4078215710392793e-08	5.83532655718641e-06
RPL35A	5.583869	0.24249506	2.352262526715252e-08	9.374972457435516e-06
RPL15	5.467908	0.27440625	4.5537886872474936e-08	1.791944669879276e-05
RPS4Y1	5.45136	0.92773086	4.9986043463990645e-08	1.9184149792161447e-05
RPL18	5.446638	0.21001303	5.133070694266425e-08	1.9459971789348822e-05
IGHM	5.4343443	0.8619947	5.4998229558922794e-08	2.0599156172267864e-05
IGHD	5.4173713	1.0146033	6.048158985715016e-08	2.2383228379633654e-05
RPL21	5.311662	0.5099416	1.0862974768505547e-07	3.926712751494557e-05
LSP1	5.140784	0.44106504	2.7359507100582926e-07	9.665056786770698e-05
MT-ND6	5.0970535	0.81123465	3.449807203816874e-07	0.00012049905229781479
RPS7	4.952634	0.1849025	7.321560163501554e-07	0.00024473692559437936
FOS	4.9359164	0.8559937	7.977534979663431e-07	0.0002638272658646777
RPS9	4.9190707	0.25173753	8.695600802568756e-07	0.0002845475180520578
CNN2	4.857432	0.79477316	1.1891798700580535e-06	0.00037722484306627256
FOXP1	4.840459	0.7288046	1.2953962755252475e-06	0.0004033474460865642
CD1C	4.838332	1.7199683	1.3093331187828649e-06	0.0004033474460865642
MT-ND2	4.838162	0.38568944	1.3104542752514873e-06	0.0004033474460865642
RPS13	4.744491	0.21679777	2.0903109731938977e-06	0.0006248220886892182
EEF1D	4.6761737	0.3710025	2.922770725513804e-06	0.0008571714485287512
CD82	4.6205754	0.7459571	3.826773224407015e-06	0.0011118027965153353
PFDN5	4.5782065	0.3407329	4.689793624329624e-06	0.00134992235555125
MT-ATP8	4.5761223	0.48789144	4.736739239162506e-06	0.0013509267222738058
RPL35	4.4921503	0.22077206	7.0507596419826505e-06	0.0019226926753536373
RACK1	4.4418693	0.2056305	8.918067175210918e-06	0.002369538070733178
VPS51	4.410731	0.8626963	1.0302225695304724e-05	0.0027141126287282876
HLA-DPB1	4.396523	0.2508046	1.0999872778124169e-05	0.0028735550004499667
RPL5	4.376232	0.25362274	1.2074854307156838e-05	0.003093056675214344
JUN	4.3750834	0.6159893	1.2138608240619873e-05	0.003093056675214344
LCN8	4.35224	2.5398948	1.347536502283491e-05	0.003378295745684426
JUNB	4.3460293	0.5648953	1.3862406663515749e-05	0.0034475250875897127
RPL11	4.3358197	0.15639096	1.4521777441858724e-05	0.0035828452010719216
RPL7	4.314593	0.3845103	1.59897180755518e-05	0.003883377857927179
RPS17	4.285114	0.5976196	1.8264584880747695e-05	0.004401481784401578
RPL32	4.253252	0.14623056	2.1068829848619572e-05	0.00498670098028272
PPP1R15A	4.252571	0.54967713	2.1132987492512928e-05	0.00498670098028272
BCL7A	4.251125	1.1472685	2.1269940586937993e-05	0.00498670098028272
RPL36A	4.1980367	0.46964785	2.6923929626416993e-05	0.0061542955904148895
RPS28	4.165324	0.16322963	3.109106428548578e-05	0.007003825474223888
RPS18	4.160262	0.18880658	3.178828437569799e-05	0.00707569986933927
RPS23	4.159709	0.16491616	3.186534505444391e-05	0.00707569986933927
SLC25A6	4.1533704	0.41062447	3.276134921375518e-05	0.007223064276652534
MT-CO2	4.114405	0.19128649	3.8817941925132616e-05	0.008438694829556628
BTG2	4.063188	0.6589631	4.84069815324038e-05	0.010450193297901644
ARL4A	4.0028253	0.70113945	6.259048300899473e-05	0.013236396906806934
TUBA1A	3.9830873	0.6511389	6.802572610127039e-05	0.01428861991425806
ZFP36L2	3.8944364	0.58390814	9.842734231709627e-05	0.019998298436571745
SNHG8	3.893543	0.6310708	9.879067832055769e-05	0.019998298436571745
CYB561A3	3.8928623	0.6256944	9.90683552363383e-05	0.019998298436571745
AHNAK	3.8862264	0.6481873	0.00010181459305717937	0.02042006615721636
RPS15A	3.8783567	0.109707095	0.0001051644787460021	0.02095671891523697
DUSP1	3.8466651	0.51610255	0.0001197364376673725	0.02341035621236232
PABPC1	3.8287137	0.3361197	0.000128814739501533	0.025027898793025978
FBL	3.800638	0.7130129	0.00014432398627732822	0.027695060255575943
UBA52	3.7637994	0.2354015	0.000167351172514149	0.03165901353216016
AC004687.1	3.6993954	0.87456465	0.00021611362978623302	0.03999002624502753
RPL10	3.6739998	0.106259145	0.00023878297192247213	0.04366497793031701
FCER2	3.6609828	1.2165694	0.0002512495887948105	0.045599320064519486
GLUD1	3.6254628	0.8053483	0.00028844435410969134	0.05123925506404557
NACA	3.6084473	0.20411637	0.00030803507223852057	0.05424313299286179
EEF1G	3.6077666	0.2628887	0.00030884403576210434	0.05424313299286179
COMMD6	3.5960684	0.47117022	0.00032306279071434105	0.05642164592661079
NUP58	3.5422568	0.7695822	0.00039671910171629367	0.06889836153661688
ZFP36	3.5126498	0.4788358	0.000443662003450457	0.07578088297397999
GPR183	3.4983141	0.6475122	0.0004682093940106027	0.07910448604134569
SF1	3.4950385	0.417297	0.0004739932196835823	0.07964879578542446
BCL11A	3.4733438	0.8048925	0.0005140165572701611	0.08554530525084846
HLA-DRA	3.4650912	0.17000428	0.0005300516903154502	0.08764743030232128
RPLP1	3.4584978	0.12044234	0.0005431969636636621	0.08934584131964161
PHACTR1	3.440759	0.75531644	0.0005800850627470975	0.09392241846676573
TAGAP	3.394349	0.71120155	0.0006879196160371443	0.110233799503849
C16orf74	3.3595948	1.4265609	0.0007805688521503573	0.12380379544284774
ORAI2	3.3377724	0.57897073	0.0008445293392003939	0.1332684445062063
NDUFB8	3.326244	0.58218265	0.0008802476285611454	0.13750883431698657
RPL8	3.3054001	0.15417492	0.0009484088282710393	0.147415926222309
SYK	3.2917452	0.4396325	0.0009956778256889904	0.15355565452521988
TUBB	3.2911496	0.60483575	0.000997788214176164	0.15355565452521988
P2RY8	3.285577	1.4257244	0.0010177370521125193	0.15585414649764476
KIAA0040	3.2823017	0.7962939	0.0010296343196051292	0.15690314751747378
RBL2	3.2775798	0.70951617	0.0010470115642765327	0.15877291950568084
RNF141	3.263797	0.67027986	0.0010992984963948396	0.16509126742718058
AFF3	3.2482705	0.52334154	0.0011610886129362443	0.17321935358242965
MTRNR2L12	3.198968	0.95085055	0.0013792055188048542	0.19942028820040236
MYLIP	3.1906729	0.7403484	0.0014194195184930572	0.2042846970897855
NOP53	3.1016388	0.36425897	0.001924526004035081	0.27318602688328114
RPL39	3.0885794	0.094583526	0.002011159462412228	0.2816257396757159
RPL30	3.0759878	0.08911644	0.0020980637176265956	0.2924776089231299
KRT10	3.0496988	0.49502066	0.0022907093995156572	0.31649459156774773
UCP2	3.0464234	0.36127758	0.0023158151900472762	0.31854755226991005
SWAP70	3.0406806	0.46005416	0.0023604408683779382	0.3217476366721677
CXXC5	3.0174968	0.6194956	0.0025487165286798693	0.34448674229161347
HLA-DOB	3.007245	0.6192169	0.002636271821219374	0.3547782775162194
UXT	2.9685347	0.47938287	0.002992233934353371	0.3975195569112959
SVIP	2.9598567	0.95116377	0.0030778218499571608	0.4071499908494394
EIF4A1	2.9554327	0.47067082	0.0031223087094036984	0.41128479173403715
CYC1	2.9522848	0.6068729	0.0031543189311565236	0.41374815448465335
ARF6	2.9093204	0.5331844	0.003622153548025014	0.4711376039642411
LINC00926	2.9057472	0.43371975	0.003663773175260537	0.47456548624718464
IFNGR2	2.8901355	0.49382776	0.003850758969993663	0.49667530635627316
PPP1R14A	2.8474689	0.55002326	0.004406839848190348	0.5546373698813495
IER2	2.825136	0.43806386	0.004726055363235646	0.5924148511165586
RPL23	2.8170962	0.3079205	0.004846001819910667	0.6031495652664922
TMA7	2.807057	0.38324332	0.00499964012525307	0.6192183767878175
GPS2	2.8031433	0.5293028	0.005060716620519469	0.6242956253257489
SLC2A3	2.7928915	0.4894762	0.005223921061350692	0.6418815574474662
LMBRD1	2.7888503	0.45836505	0.005289550799578662	0.6473868728602435
GUCD1	2.785107	0.77150315	0.005351008155356953	0.6523403550022808
CAT	2.7830224	0.5833602	0.0053855075252249975	0.6539815329557402
RSRP1	2.778173	0.4246408	0.005466549781766993	0.6586768723480253
FLOT2	2.7724729	0.49151272	0.0055632163662961455	0.6677363211546266
FCMR	2.7625613	0.33463794	0.005734979777967997	0.6857050629141966
TMEM243	2.7600088	0.45028886	0.005779978148190726	0.6884374739187935
ICAM3	2.7480555	0.4614794	0.005994986044938843	0.7086164683612692
SPIB	2.740441	0.47974536	0.006135679002727309	0.717995863572943
PIP5K1B	2.7341452	0.7026733	0.006254244281821278	0.7281861123182699
RPL41	2.723383	0.32933182	0.0064617111023309035	0.738511812640297
POU2AF1	2.7163215	0.49262586	0.006601178472515428	0.751688040934385
SNX17	2.7019858	0.5008052	0.006892669143643169	0.7763492959001276
PDLIM1	2.6995187	0.44277835	0.006943987108139647	0.7793058744791956
PBXIP1	2.6905854	0.8090502	0.0071326766900999755	0.7948451312994657
RPS4X	2.6816947	0.19167623	0.007325025016609808	0.813260902469104
LY86	2.674761	0.43234897	0.007478254677140588	0.8243847629371257
HNRNPA0	2.6734424	0.36794776	0.007507719747787462	0.8247084233196778
EGLN2	2.6719534	0.85423726	0.007541111848609484	0.8254596621046586
KLK1	2.6392834	1.4739546	0.008308146316664286	0.8999140924952705
CTSH	2.6362634	0.45102796	0.008382466717793196	0.901680771128156
CXCR5	2.6362634	1.6197121	0.008382466717793196	0.901680771128156
ACTG1	2.6246502	0.3238559	0.008673803933528842	0.9298018720055555
YWHAQ	2.599467	0.44243625	0.00933686224648707	0.9940240981388477
RPS25	2.586195	0.09908826	0.009704201700472917	1.0
TENT5C	2.555482	0.51881033	0.010604087660051303	1.0
PRKCB	2.5507176	0.49813312	0.010750141103877212	1.0
CORO7	2.5343826	0.6368947	0.0112645664667064	1.0
