	scores	logfoldchanges	pvals	pvals_adj
MT-CO1	27.240726	1.1024083	2.1402695889147117e-163	6.653456071059165e-159
MT-CYB	24.791727	1.2676289	1.1009746550321492e-135	1.1408666366994808e-131
MT-CO3	21.058916	1.0332094	1.894637727166917e-98	1.4724650756109487e-94
MT-ATP6	20.742344	1.2510061	1.4374911852848594e-95	8.937457695390085e-92
RPS3A	20.151886	0.5673434	2.590549895805726e-90	1.3422070768485435e-86
MT-ND3	19.208828	1.1340948	3.122400983709815e-82	1.3866582768655287e-78
EEF1A1	18.629469	0.37996957	1.853544607534678e-77	7.202642651803818e-74
MT-ND5	16.686361	1.0960572	1.6471075043030227e-62	5.120363098626807e-59
RPS2	16.422913	0.7783862	1.3111910241277053e-60	3.396749613921498e-57
RPL6	16.108727	0.495796	2.2153655062197077e-58	5.2976205762963116e-55
MT-ND4	15.86144	0.9826342	1.1717726128625603e-56	2.6019210868613153e-53
RPL10A	15.84528	0.6677081	1.5154600340525288e-56	3.1407404052393977e-53
RPL37	15.769324	0.602512	5.058786882717369e-56	9.828906738939679e-53
MT-ND4L	15.266812	0.69285613	1.272427345130562e-52	2.326820522239634e-49
RPS8	14.917145	0.39326566	2.549533275320752e-50	4.403185607216456e-47
MT-CO2	13.878635	0.4402282	8.535342168702428e-44	1.326690909992262e-40
EEF2	13.750377	0.7195296	5.066527607183387e-43	7.159233805659543e-40
RPSA	13.286855	0.5161086	2.759337865535945e-40	3.574147342746497e-37
RPS27A	13.023177	0.32596385	9.033259920605112e-39	1.1232678046074046e-35
RPS6	12.988197	0.4207285	1.4274969894846362e-38	1.7067922658503417e-35
RPL34	12.981498	0.3446243	1.5580393215145273e-38	1.7938803106637818e-35
MT-ND1	12.600099	0.6930604	2.1087950989930998e-36	2.341289758657089e-33
RPS14	12.495792	0.34549117	7.870811573176408e-36	8.437238599149482e-33
RPL22	12.488014	0.48711482	8.67928356917584e-36	8.993762943832312e-33
RPL13A	12.461733	0.7607262	1.2071874782340558e-35	1.2105753914794224e-32
RPLP2	12.34325	0.45402086	5.297342097796355e-35	5.146202306068603e-32
RPS20	11.996745	0.9841217	3.695452412339813e-33	3.4812281558305386e-30
RPL10	11.745719	0.25070173	7.428789827827131e-32	6.598251125076059e-29
RPL37A	11.673761	0.66812134	1.7357595993725219e-31	1.4988766296025995e-28
RPS29	11.625957	0.7378883	3.041657472901359e-31	2.5555677259482316e-28
RPS16	11.547371	0.48830712	7.611308290681322e-31	6.226651074537112e-28
RPL4	11.367066	0.66927415	6.1003446000825815e-30	4.74103531456918e-27
RPL27	10.92458	0.57472306	8.79470934557065e-28	6.668320229896459e-25
RPL15	10.879148	0.3303417	1.4491228822723587e-27	1.072592453361924e-24
RPL5	10.84227	0.39246678	2.170190377835797e-27	1.5689467040879401e-24
RPS11	10.827648	0.5143288	2.546110684414396e-27	1.7988850646906893e-24
CD52	10.693351	0.5722993	1.0934786023189818e-26	7.553993180064487e-24
RPL7	10.689641	0.6239473	1.1381035107874805e-26	7.691353008663132e-24
MT-ND2	10.194562	0.65640384	2.0968740135322192e-24	1.3869260097590658e-21
RPS5	10.105423	0.32435462	5.226930337119086e-24	3.3851996539587718e-21
PCBP2	10.066777	0.8807298	7.747503755537562e-24	4.915237739763188e-21
TPT1	10.011583	0.32899463	1.3556526303379484e-23	8.263367317512903e-21
RPL18	9.986337	0.2389883	1.7492677244984554e-23	1.0457593413746823e-20
RPL9	9.783331	0.4034682	1.3276785562840303e-22	7.787460996075783e-20
RPL35A	9.612831	0.30463943	7.058085728075464e-22	4.063235389420036e-19
RPL23A	9.472525	0.40818897	2.7316117455858967e-21	1.5439566242732505e-18
UBA52	9.398625	0.42155886	5.528049981083655e-21	3.0687587457490642e-18
EIF3L	9.34842	0.8556896	8.896655248291074e-21	4.852110907081134e-18
RPS7	9.209335	0.26580095	3.281511641823494e-20	1.758833662230465e-17
RPS27	9.0039425	0.21063502	2.177545546826782e-19	1.1473450578678671e-16
MT-ATP8	8.9460745	0.6932304	3.6834994691477413e-19	1.908482466623264e-16
RPL3	8.901835	0.3505254	5.493068924894836e-19	2.755313204836327e-16
RACK1	8.901793	0.2581192	5.495204384464641e-19	2.755313204836327e-16
RPL36A	8.866266	0.68509036	7.563953120706188e-19	3.7323906454506865e-16
RPS21	8.761615	0.31016666	1.9247355127431233e-18	9.349102013225857e-16
HLA-DRA	8.563885	0.27546	1.0912693252163779e-17	5.140043865606294e-15
JUNB	8.386398	0.7681034	5.0126380511780605e-17	2.291586457308417e-14
CD79A	8.212635	0.36136124	2.1638625939444235e-16	9.748984993905841e-14
RPL21	8.187116	0.5234457	2.675611049496328e-16	1.1717829315907418e-13
RPL23	8.187087	0.6585867	2.6762501413112447e-16	1.1717829315907418e-13
RPS13	8.129391	0.23054004	4.3145206329436194e-16	1.8373356563879217e-13
FCER2	8.100795	0.7775516	5.460125310704506e-16	2.2937691288360946e-13
RPL29	8.032345	0.28219992	9.562703212281829e-16	3.9115230889500687e-13
RPL13	7.800225	0.173606	6.179692021164185e-15	2.494910205999104e-12
TRBC2	7.796185	0.82764465	6.380684822679375e-15	2.543030116444022e-12
RPL18A	7.71343	0.1691567	1.224807963707525e-14	4.819696856680484e-12
RPL38	7.6601768	0.5044927	1.856776400591363e-14	7.215200995647964e-12
NACA	7.5285244	0.3007573	5.131690414555045e-14	1.9220344568346106e-11
MEF2C	7.5064125	0.67404395	6.076980798549256e-14	2.2489893105297702e-11
ACTG1	7.345244	0.65021324	2.0538436175169442e-13	7.511510180911676e-11
MT-ND6	7.3105373	0.84126616	2.6607640730752427e-13	9.618043341824427e-11
RPL39	7.2223186	0.19170369	5.110852621301091e-13	1.8262192579124944e-10
RPL41	7.1810846	0.4418714	6.916041114371596e-13	2.443170115028066e-10
EEF1B2	7.1356673	0.356524	9.631876321308798e-13	3.364338642702546e-10
PABPC1	7.1118298	0.4151041	1.1451439915648503e-12	3.911988051184231e-10
RPL11	6.9226546	0.17295474	4.432578362805511e-12	1.4353704537972389e-09
SLC2A3	6.8754973	0.81109136	6.177398234451258e-12	1.9595589685141454e-09
RPL27A	6.8386917	0.53742695	7.991970407116365e-12	2.509559434808348e-09
CD74	6.809204	0.12598701	9.814024644822886e-12	3.0206790508278126e-09
TOMM7	6.803151	0.5410088	1.0235513815087913e-11	3.119523705584686e-09
IER2	6.6285114	0.6966803	3.3908933686776436e-11	1.0175392965442748e-08
RPS4X	6.6279364	0.21270338	3.404126703786296e-11	1.0175392965442748e-08
RPS23	6.5006833	0.14622775	7.99559094183844e-11	2.3014716260086258e-08
RPL31	6.461103	0.44662353	1.0394252718259209e-10	2.9110462545272436e-08
RPS17	6.369937	0.6180386	1.8910569317429287e-10	5.202414764344462e-08
SMIM14	6.151188	0.6631568	7.690473417628747e-10	2.0789021489897814e-07
LTA4H	6.021218	0.7712683	1.7310946892491174e-09	4.5222303029149e-07
HLA-DPB1	6.017552	0.30324116	1.7707470168685916e-09	4.587267709449493e-07
EIF3F	5.970351	0.56242764	2.3674314341915855e-09	5.983442357293807e-07
RPS15A	5.9659376	0.12877233	2.4323325582309546e-09	6.097896954655297e-07
RPS28	5.896251	0.11161665	3.718526202607784e-09	9.174430480989538e-07
RPS4Y1	5.86997	0.6878548	4.358747405365334e-09	1.0669321306345837e-06
FOS	5.8527746	0.6974007	4.834391793034304e-09	1.1741151380473237e-06
SLC25A6	5.7429757	0.39099845	9.302700467119587e-09	2.2075805299339434e-06
HLA-DRB1	5.7186494	0.25571683	1.0737395667260791e-08	2.5097249557002725e-06
GLIPR1	5.4912167	0.6786526	3.99174568129843e-08	9.260552089143603e-06
TOMM6	5.446575	0.7443654	5.1348866698217705e-08	1.182431273368514e-05
CCDC191	5.3611317	0.87701696	8.270225554268938e-08	1.8904154544526357e-05
RPL19	5.3325353	0.1374406	9.685093552941766e-08	2.1976679071554794e-05
RPS24	5.275084	0.16095321	1.3269531219897657e-07	2.9676972448414276e-05
MYLIP	5.221385	0.90656364	1.7758980187744835e-07	3.887840965467772e-05
MTRNR2L12	5.2128305	0.9580242	1.8598065453838139e-07	4.043063361982281e-05
CYB561A3	5.1847377	0.5325968	2.1631921264312982e-07	4.637734733404812e-05
ZFP36	5.170691	0.52316076	2.332298709254296e-07	4.966039039355363e-05
AC004687.1	5.1654863	1.0763642	2.3981431875410657e-07	5.07150185517613e-05
