	scores	logfoldchanges	pvals	pvals_adj
MT-CO1	63.37411	0.9153277	0.0	0.0
RPS3A	53.46886	0.5782468	0.0	0.0
MT-ATP6	52.44789	1.1564994	0.0	0.0
MT-CYB	51.06104	0.94558454	0.0	0.0
EEF1A1	50.632656	0.4194693	0.0	0.0
RPS2	47.825817	0.8341063	0.0	0.0
MT-CO3	46.1382	0.83051074	0.0	0.0
RPS6	45.1681	0.542336	0.0	0.0
RPL10A	43.867863	0.6931375	0.0	0.0
RPL6	42.063736	0.5163151	0.0	0.0
MT-ND5	41.635857	1.0129101	0.0	0.0
EEF2	41.348392	0.82625604	0.0	0.0
RPL37	40.12714	0.5649253	0.0	0.0
RPS20	39.663273	1.119075	0.0	0.0
TPT1	39.39178	0.50663376	0.0	0.0
RPS8	38.842285	0.39220917	0.0	0.0
MT-ND3	37.544895	0.80641884	1.7068237120260976e-308	2.792633091355542e-305
RPS27A	36.67109	0.32614008	2.110857678361199e-294	3.1898719596635334e-291
MT-ND4	36.67053	0.82871044	2.1548335687886966e-294	3.1898719596635334e-291
RPS14	36.29305	0.42031887	2.0825791509770658e-288	2.9427790030192745e-285
RPSA	35.95158	0.5376951	4.781438054558017e-283	6.46263325226283e-280
RPLP2	35.816383	0.48379433	6.139952200850195e-281	7.953028919492917e-278
RPL4	35.523235	0.7816162	2.1523000804950132e-276	2.573405869321095e-273
RPL13A	35.413124	0.7404821	1.0724813110887734e-274	1.2348232043635814e-271
RPL3	34.036343	0.4620775	6.46354050080713e-254	6.928692536158319e-251
CD52	33.585587	0.6663052	2.7236694509286712e-247	2.822357074033987e-244
RPL22	33.192577	0.5027914	1.377584104518737e-241	1.3382799080366869e-238
RPL34	32.760273	0.35216302	2.1679802051015926e-235	2.042303049575552e-232
RPS11	31.27168	0.5849807	1.132781635310022e-214	1.0357289028494896e-211
RPL13	30.655863	0.2689628	2.2076228369134175e-206	1.906343642531317e-203
RPL9	30.317724	0.46410152	6.695279667068923e-202	5.625301594869504e-199
RPL27	30.306858	0.62630457	9.310134731305055e-202	7.616425220844217e-199
MT-ND4L	30.192965	0.47877625	2.9298788600863926e-200	2.3354139518847613e-197
RPS16	29.797195	0.49578953	4.247635044451387e-195	3.301155765671507e-192
RPS29	29.31395	0.66928416	6.887920532490381e-189	5.222555746183622e-186
RPS5	29.0676	0.33523703	9.221705158437188e-186	6.825598768103258e-183
MT-ND2	28.78399	0.65230155	3.4027727870776826e-182	2.4041363098155435e-179
MT-ND1	28.104832	0.5892758	8.550908824620891e-174	5.907157836244215e-171
