	scores	logfoldchanges	pvals	pvals_adj
MT-CO1	20.071869	0.9154001	1.3002224044342675e-89	4.0420013886648077e-85
MT-CYB	17.941143	1.043232	5.628466638943963e-72	5.832404746828365e-68
RPS3A	17.409956	0.6107559	6.933716217230278e-68	5.3887109011259416e-64
RPS6	16.100971	0.5709374	2.511284913085188e-58	1.5613662818615847e-54
MT-ATP6	16.044071	1.0577785	6.289344527134193e-58	3.258614221917011e-54
EEF2	16.032158	0.84146845	7.619076092015188e-58	3.383631692463945e-54
RPL10A	15.834748	0.72504115	1.791747427443976e-56	6.962506534618861e-53
EEF1A1	15.738617	0.45983925	8.222116393580137e-56	2.840010359191397e-52
MT-CO3	15.465735	0.8816381	5.909490098125356e-54	1.8370831868042296e-50
RPS8	13.916188	0.4317836	5.05131235265452e-44	1.427546791881555e-40
RPL4	13.808792	0.8040259	2.255820545358444e-43	5.843891107796496e-40
RPS20	13.688223	1.1270016	1.193932580176716e-42	2.8550601630733514e-39
MT-ND4L	13.483472	0.653553	1.9567826587855702e-41	4.3450358938333585e-38
RPS14	13.394215	0.40580773	6.536382376467254e-41	1.3546434595815836e-37
MT-ND5	13.372764	0.9287581	8.723771656295186e-41	1.694974309245303e-37
MT-ND3	13.334866	0.8967605	1.451155535827779e-40	2.6536513024869507e-37
RPL13	13.282392	0.35269377	2.928890897095831e-40	5.0583572954454494e-37
RPL27	13.083939	0.6969909	4.0680492624763596e-39	6.655970916979084e-36
TPT1	12.98993	0.544083	1.395539996080747e-38	2.1691575929081092e-35
RPS11	12.963945	0.69091296	1.9590717793468134e-38	2.9000792573597327e-35
RPS16	12.804074	0.6087584	1.5557041159132195e-37	2.1982806296088295e-34
RPL23A	12.77233	0.5007261	2.3404140873311462e-37	3.1633240318636237e-34
RPL37	12.737779	0.55353785	3.646274506558255e-37	4.7229889827240195e-34
RPSA	12.4928255	0.5704667	8.169925685032186e-36	9.768403068099828e-33
RPLP2	12.351598	0.48702845	4.775325534816049e-35	5.498168329660241e-32
RPS2	12.302506	0.6038334	8.780611708640855e-35	9.748674149518509e-32
RPL6	12.178159	0.44754368	4.063524188193337e-34	4.355957808219526e-31
RPS18	11.931082	0.3686666	8.150703817527902e-33	8.173578373402899e-30
MT-ND1	11.791654	0.6909977	4.309931790545196e-32	4.186964049146204e-29
RPS29	11.563617	0.7007246	6.299859297861233e-31	5.934658363412489e-28
RPL37A	11.406661	0.6749989	3.873144894259464e-30	3.541307509642469e-27
MT-ND4	11.325645	0.7133522	9.795465353231015e-30	8.700332326739787e-27
RPS27A	11.171749	0.30556267	5.606591472211384e-29	4.8414474749065354e-26
RPL18A	11.080368	0.30864248	1.5622839429946374e-28	1.312614079347954e-25
MT-ATP8	10.958144	0.9832389	6.07322500771022e-28	4.968377521439148e-25
RPL3	10.56696	0.46285468	4.2401632986654534e-26	3.295348911640324e-23
RPL36A	10.536152	0.7369411	5.885811604539515e-26	4.462737203666339e-23
RPS21	10.309446	0.42470643	6.386825394341287e-25	4.617377698462503e-22
RPS7	10.189309	0.30479726	2.213315828148536e-24	1.5637579352193984e-21
RPL9	10.138958	0.43060148	3.710360687875785e-24	2.563199615644323e-21
RPL34	10.133776	0.30667293	3.912452165646141e-24	2.6440521842052518e-21
EIF3L	10.086375	0.9835427	6.346992506268184e-24	4.198062894518277e-21
RPS5	9.893897	0.3920561	4.424612847120993e-23	2.865582074551048e-20
RPL22	9.868775	0.43579295	5.685448541595951e-23	3.6014284146438954e-20
RPS27	9.866904	0.30249196	5.792499138938937e-23	3.6014284146438954e-20
RPL13A	9.73615	0.68638194	2.1141397801169484e-22	1.288671830284227e-19
RPL15	9.73165	0.36704308	2.209778365598496e-22	1.3210650009877007e-19
MT-ND2	9.583549	0.64504814	9.376673090080645e-22	5.499861063232774e-19
GPR183	9.4991865	1.1789366	2.115369566334866e-21	1.1956453401573088e-18
CD79B	9.347198	0.7410263	9.00010414532423e-21	4.996182813673114e-18
RPS17	9.256608	0.92062527	2.110288190547837e-20	1.1509215610449229e-17
LTB	8.975161	0.86471367	2.8293852333765383e-19	1.418662883064136e-16
RPS9	8.874819	0.37513217	7.004759752053282e-19	3.456459784318736e-16
EEF1B2	8.82364	0.47209728	1.1079845674085045e-18	5.381861913598153e-16
TOMM7	8.771417	0.6561268	1.7643179418310258e-18	8.310204826924409e-16
MT-CO2	8.755833	0.3062694	2.026015841829038e-18	9.400411115662583e-16
RPL19	8.717754	0.21223953	2.8377283960205745e-18	1.2973009212807587e-15
CD1C	8.713903	1.3224791	2.9358573985762958e-18	1.3227101297034973e-15
RPL11	8.494468	0.20424339	1.988415016739149e-17	8.706177130333793e-15
SLC25A6	8.383004	0.5833565	5.159344018117692e-17	2.2276184373781207e-14
RPS23	8.336108	0.20418042	7.677535953466658e-17	3.225291353857e-14
RPL23	8.294647	0.72522974	1.0890783418310396e-16	4.4736814483881915e-14
RPL17	8.294144	0.41591498	1.0937040887750588e-16	4.4736814483881915e-14
HLA-DPB1	8.200388	0.40583286	2.3961336995405343e-16	9.673845236054103e-14
EEF1G	8.1062355	0.66489303	5.221212709888113e-16	2.0809210193883558e-13
CD52	8.082302	0.49978277	6.35555737329467e-16	2.500952051438119e-13
CD82	7.6707473	0.8119997	1.7099696259061207e-14	6.48266167811507e-12
RPS19	7.632849	0.23711967	2.2962149899942876e-14	8.600293420958123e-12
RPL21	7.388868	0.55489534	1.4808433926334855e-13	5.4158798290349605e-11
MT-ND6	7.2875896	0.84611225	3.1554906767513223e-13	1.1275257318180271e-10
