	scores	logfoldchanges	pvals	pvals_adj
RPS3A	27.215376	0.6152833	4.2721801182152217e-163	1.328092633349566e-158
EEF1A1	25.7196	0.46392754	7.05658301138629e-146	1.096839980374828e-141
RPS2	25.68649	0.88589585	1.6548654445189284e-145	1.7148267357919975e-141
RPS6	24.831009	0.5830944	4.147769947613989e-136	3.2235431090369024e-132
MT-CO1	24.613602	0.73034865	9.03381022353658e-134	5.616681168381633e-130
RPS14	23.819927	0.51892644	2.0763135787604955e-125	1.0757726703821255e-121
RPS20	23.27421	1.2025192	8.091335248222897e-120	3.5933619837357886e-116
MT-ATP6	22.807812	1.048973	3.8356273638151985e-115	1.4904768482365385e-111
TPT1	21.651789	0.5476849	5.846591309688518e-104	1.8175298404428697e-100
RPL37	20.997992	0.5681855	6.841636234882732e-98	1.9335085966709044e-94
RPL10A	20.90931	0.650661	4.4056690060867864e-97	1.1413252699351661e-93
RPL6	20.825989	0.52058464	2.5167281967526644e-96	6.018271496342313e-93
RPLP2	20.794937	0.51896435	4.80984663070954e-96	1.0680264443490534e-92
MT-CYB	20.567314	0.7801886	5.386773654106327e-94	1.116390883901356e-90
RPS27A	20.02558	0.385993	3.296563395871357e-89	6.405016642965806e-86
RPL34	20.007032	0.46428943	4.782846243957196e-89	8.746137716817491e-86
RPSA	19.8379	0.58525443	1.4019184755479296e-87	2.421191091631027e-84
RPL13	19.486105	0.3681471	1.4403376219980318e-84	2.3566197713185694e-81
RPS8	19.064571	0.37814	4.973428546421031e-81	7.730448661129529e-78
MT-CO3	18.857544	0.69170755	2.5478645201995132e-79	3.771688778068679e-76
RPL4	18.200209	0.7357402	5.141128805301312e-74	6.948794398713126e-71
EEF2	18.112135	0.68026483	2.556405758247024e-73	3.3112910752760514e-70
MT-ND3	18.07425	0.8411639	5.0842872510664764e-73	6.322209510956142e-70
RPL13A	17.671164	0.6662603	6.993909258898291e-70	8.362294505052737e-67
RPL22	17.320963	0.52451843	3.268383574522041e-67	3.763120006709877e-64
RPS5	17.281763	0.43238994	6.454384306051949e-67	7.165980175794177e-64
RPL37A	17.110718	0.6728728	1.2346818352407644e-65	1.3235363521424014e-62
RPS11	16.82299	0.6272946	1.6558542234445193e-63	1.7158513414739925e-60
RPL27	16.754826	0.60921776	5.221401866009971e-63	5.236055477698451e-60
RPL9	16.518496	0.5165313	2.7005463635468414e-61	2.6234964001118957e-58
RPS16	16.242384	0.4799999	2.529014194601668e-59	2.382408008108547e-56
RPS18	16.03525	0.35554498	7.249082417668621e-58	6.628006621119542e-55
RPL32	16.03034	0.27882725	7.845141438134418e-58	6.96805462535099e-55
MT-ND5	15.873657	0.7777065	9.645375213505283e-57	8.329049423951077e-54
RPL3	15.749958	0.43489286	6.872654336196261e-56	5.774329874306302e-53
RPL35A	15.679532	0.3780052	2.0878764143662808e-55	1.70804773930012e-52
MT-ND4	15.633093	0.69255793	4.332526828584869e-55	3.453468244108149e-52
RPL5	15.393785	0.3952865	1.8017573539806913e-53	1.3661275820292134e-50
RPS29	15.28614	0.678002	9.459285613782179e-53	7.001447901801109e-50
RPL11	15.282023	0.27209127	1.0076348743343517e-52	7.284731474053952e-50
RPL29	15.213906	0.4187065	2.8595871597862413e-52	2.0203633190062473e-49
RPL15	14.90567	0.38839942	3.027592165741282e-50	2.0460599490521571e-47
RPS23	14.588011	0.28014514	3.348167803984421e-48	2.2145636706907168e-45
RPL27A	14.488319	0.7034776	1.4361279163036979e-47	9.30102261127772e-45
RPL21	14.281805	0.60265297	2.8414639763861034e-46	1.8027059313043834e-43
EIF3L	14.264157	0.9612484	3.659877452877884e-46	2.2754922075522954e-43
RPL38	14.144876	0.6795308	2.0087217419873517e-45	1.224414368493349e-42
RPS12	14.142613	0.28605872	2.0743410162721148e-45	1.240096907170216e-42
RPL23A	14.131432	0.39734802	2.4314982786532712e-45	1.4261884337451745e-42
RPS21	13.846343	0.41170442	1.3385588483905933e-43	7.705884985170069e-41
