	scores	logfoldchanges	pvals	pvals_adj
EEF1A1	22.284311	1.7163417	5.245716422592952e-110	1.6307358642914712e-105
RPS3A	21.091543	1.5909176	9.510834614225767e-99	1.4783165782621823e-94
RPL10	19.480326	1.0640697	1.6125231400243483e-84	1.0824370019991671e-80
RPS14	19.4764	1.2528166	1.7409801556907503e-84	1.0824370019991671e-80
RPSA	19.40506	1.5494418	6.993746921445456e-84	3.623576842449582e-80
RPS8	19.285633	1.1215672	7.091690413170213e-83	3.046727943958101e-79
CD74	19.280441	2.3798134	7.840519687221284e-83	3.046727943958101e-79
RPL34	18.990381	1.3861512	2.0483941016953963e-80	7.075380826600531e-77
RPL13	18.969751	1.3036163	3.0333267749160755e-80	9.429702945181604e-77
RPL13A	18.74479	1.5109917	2.135133223498009e-78	6.034080592625692e-75
RPS6	18.718723	1.2852414	3.4840523301440973e-78	9.025727898932463e-75
RPL10A	18.620806	1.3456998	2.1791383661859684e-77	5.210990337663323e-74
RPL3	18.565147	1.145457	6.1517732516041125e-77	1.3660012505186932e-73
RPL6	18.527554	1.1413643	1.2378860483467904e-76	2.5654775723304452e-73
CD52	18.49067	2.2033741	2.454848145037768e-76	4.769616517799319e-73
RPS27A	18.231668	1.2690032	2.8936205374493138e-74	4.9974434248714895e-71
RPL23A	18.17459	1.255768	8.2041403968615e-74	1.3423269079854393e-70
RPS15A	18.16759	0.94431233	9.320470977727524e-74	1.4487274064230778e-70
CD79A	18.127245	1.8374826	1.9425231095817162e-73	2.8755817098841335e-70
RPS20	18.064898	1.94369	6.023474426542526e-73	8.141380412953369e-70
RPL9	18.047869	1.3720771	8.19941634009679e-73	1.0620635656857873e-69
RPS27	17.95488	1.5944684	4.395307607394598e-72	5.060626947817624e-69
RPS23	17.888468	1.3525846	1.4504072566018644e-71	1.61031465664222e-68
RPL32	17.7808	1.3129342	9.954874299251644e-71	1.0315572578027862e-67
RPL39	17.723705	1.3286093	2.751718485484866e-70	2.7594410502667106e-67
TPT1	17.667507	0.9619847	7.462129096238326e-70	7.029551733780631e-67
RPS5	17.636265	1.0616133	1.2976057428695387e-69	1.1864314626054514e-66
RPL18A	17.52243	1.0447028	9.660721129439078e-69	8.58065250716779e-66
EEF2	17.48643	1.1800537	1.8179912726792257e-68	1.5698859637160858e-65
RPL35A	17.468845	1.1299824	2.4745549786863365e-68	2.0790943411465444e-65
RPL5	17.465305	1.1360537	2.6328536938378366e-68	2.1538821784299163e-65
RPS13	17.455866	1.0309058	3.1063595262309388e-68	2.4760871433831076e-65
RPL30	17.453873	1.4012152	3.216704346816551e-68	2.4999422007371535e-65
HLA-DRB1	17.418842	2.502088	5.936586582008692e-68	4.501235782314737e-65
HLA-DRA	17.41637	3.1678636	6.198681429089511e-68	4.588057371097753e-65
RPL11	17.369041	1.1451828	1.4157089333238237e-67	1.0234917118659932e-64
RPL37	17.303495	1.2199315	4.426975906740965e-67	3.1277590912012814e-64
RPS3	17.231165	1.0670707	1.549967977623498e-66	1.047475098269167e-63
RPS2	17.119434	1.2227566	1.0630450798763863e-65	7.031251574067494e-63
RPL19	17.10154	1.0456156	1.44532865469099e-65	9.360610810078918e-63
RPS18	16.972195	1.0518305	1.319108530633003e-64	8.201425378357633e-62
RACK1	16.826298	1.0307142	1.565915829396921e-63	9.361466420858093e-61
RPS7	16.823254	0.9226616	1.6484988939086375e-63	9.66922360659204e-61
RPS25	16.74972	1.1457905	5.689424235426174e-63	3.275317244568397e-60
LTB	16.728287	3.467126	8.154942061707636e-63	4.609321524951005e-60
RPL12	16.679352	1.133301	1.8521776997862091e-62	1.0281901455938193e-59
RPL18	16.647707	0.91940343	3.144229471533919e-62	1.7148186242381568e-59
RPS12	16.616526	1.2315953	5.291212998713502e-62	2.835998939500114e-59
RPL15	16.525051	0.97621405	2.4223723527114027e-61	1.2386161112177123e-58
CD37	16.398577	2.443112	1.9576801381415007e-60	9.815871363613683e-58
RPL29	16.39572	0.99411315	2.0519811675149356e-60	1.0125387072148698e-57
HLA-DPA1	16.374086	2.266652	2.928711079856924e-60	1.4225756459298782e-57
EEF1B2	16.348236	1.0826298	4.4775684569778395e-60	2.1414487788010784e-57
HLA-DPB1	16.235407	2.612907	2.833623967529734e-59	1.314759228038759e-56
RPS21	16.200346	1.1989275	5.014340877752735e-59	2.2923649245102834e-56
PABPC1	16.185204	1.3190147	6.413678947359917e-59	2.889594745457649e-56
RPL21	16.086235	1.168187	3.186313745428179e-58	1.4150419343446546e-55
BTG1	15.896272	2.0087733	6.724996252888731e-57	2.9445064579373517e-54
MS4A1	15.870467	3.0476418	1.0148288515054047e-56	4.321641713253221e-54
RPS9	15.777293	0.99572855	4.459064761951607e-56	1.8732290034431028e-53
RPL22	15.689635	1.0793209	1.7807659446380643e-55	7.284035647495198e-53
RPLP1	15.616873	0.6709459	5.588008108201319e-55	2.2560312735020053e-52
PNRC1	15.554756	1.7988951	1.4771600441239332e-54	5.8872402938052195e-52
LAPTM5	15.508015	2.1523595	3.0620000216586206e-54	1.1898549334162693e-51
RPLP2	15.392853	0.95666766	1.8279210256651096e-53	6.846335051186899e-51
RPS4X	15.32417	0.7817673	5.272394354601383e-53	1.9512252773987283e-50
RPS11	15.218309	0.9825429	2.6734985917474603e-52	9.777770673135683e-50
RPS16	15.146768	0.9380603	7.958532526561414e-52	2.8114420528774394e-49
FAU	14.983319	0.8569204	9.43833238535559e-51	3.2967352681297665e-48
DUSP1	14.962027	2.4978714	1.3000596243434408e-50	4.4905503935516163e-48
PFDN5	14.938694	1.2284918	1.8455577064726776e-50	6.304709057265509e-48
RPL4	14.858731	1.0265259	6.107061921118524e-50	2.0414003649657157e-47
EIF1	14.7923975	1.0197469	1.6400732042006988e-49	5.366837441998645e-47
NOP53	14.70766	1.7092899	5.756414596465189e-49	1.8640589641699306e-46
RPL8	14.656205	0.7931756	1.229555224827978e-48	3.940534358167768e-46
RPL37A	14.532606	0.96957797	7.529988321088218e-48	2.364492393309792e-45
RPL26	14.499185	1.0573469	1.2259822484352512e-47	3.811211015710666e-45
RPL7A	14.443465	0.7137611	2.756290374301813e-47	8.400470477051026e-45
HLA-DQA1	14.247738	2.1278808	4.630407367768871e-46	1.3709092746841038e-43
RPS28	14.226692	0.8221374	6.257216399824966e-46	1.8179260394519507e-43
RPL14	14.2123995	0.88366956	7.675007304956972e-46	2.1889261659559393e-43
NACA	14.19534	0.7714601	9.790954506566618e-46	2.7420847094201483e-43
TSC22D3	13.843937	1.947055	1.3841422028788886e-43	3.6158679546971436e-41
PPP1R15A	13.8286085	2.1636026	1.713026496036753e-43	4.4010623704375657e-41
RPL38	13.726611	1.2485436	7.034773877292266e-43	1.7925411108474153e-40
JUNB	13.672576	2.2960222	1.4805877593645885e-42	3.711857393174755e-40
TXNIP	13.564955	1.6031779	6.46195371054739e-42	1.6070620399982938e-39
RPS29	13.556905	1.1882422	7.21159101111024e-42	1.7792597600189207e-39
EEF1D	13.524718	0.8716153	1.1177092586139878e-41	2.672786747887157e-39
SLC25A6	13.471827	0.929371	2.2912567645481676e-41	5.437274735840373e-39
BANK1	13.38145	2.4700408	7.761873495119677e-41	1.800696726438697e-38
ARHGDIB	13.367357	1.1606354	9.381486406267409e-41	2.1603130956417404e-38
RPS24	13.290377	0.6807026	2.6324926153647837e-40	5.88750344847806e-38
RPS15	13.091914	0.6856526	3.6625936527545613e-39	7.962171250572103e-37
ZFP36	13.072537	1.6662838	4.72621121409956e-39	1.0203036667549514e-36
FCMR	13.056005	2.1363676	5.8730362240153504e-39	1.2591384627307945e-36
FOS	13.027109	2.2701993	8.579669048026056e-39	1.826823093808123e-36
RPL7	12.865623	0.91131943	7.027296583140884e-38	1.4861059107489842e-35
RPS19	12.798763	0.68043023	1.6658306287417288e-37	3.452378450379608e-35
TOMM7	12.65636	1.2367179	1.0317361205809275e-36	2.1101039987170588e-34
RIPOR2	12.625163	1.8741646	1.53424185098508e-36	3.0970763910112453e-34
HLA-DQB1	12.611117	1.7989836	1.8337554331546185e-36	3.654227894261386e-34
UBC	12.49492	0.83292234	7.957665525984576e-36	1.5461246762892656e-33
RPL24	12.4892645	0.68308103	8.544005261539234e-36	1.6497359724563364e-33
EIF3L	12.467045	1.4914898	1.1293739941388257e-35	2.1539171383922497e-33
RPL31	12.446942	0.9221279	1.4530676879722514e-35	2.7376675888480837e-33
FTH1	12.315231	0.80005074	7.500011767176886e-35	1.3714874459189875e-32
PPDPF	12.153899	1.147253	5.469360586819997e-34	9.605989410309224e-32
RPL27	12.143794	0.7472204	6.188868444259191e-34	1.0688519629260304e-31
MT-ATP6	12.004125	0.9500117	3.380196873811408e-33	5.773636275614024e-31
CD79B	11.96735	1.4248183	5.268464525586608e-33	8.758329235663683e-31
BTF3	11.956441	0.8293423	6.008230793594516e-33	9.93499312130174e-31
RPL41	11.926094	0.9662133	8.654004816815645e-33	1.4159318302123577e-30
MT-ND3	11.896812	0.962738	1.2295427534112295e-32	2.0011934856175337e-30
RPLP0	11.850101	0.6320838	2.1492952436162188e-32	3.4799552728279894e-30
CXCR4	11.793223	2.1914573	4.2303171675519023e-32	6.709585193249285e-30
RPL27A	11.787027	0.8763834	4.5532839092329415e-32	7.185174461234743e-30
CCNI	11.774466	0.9538447	5.285109604590261e-32	8.297889003934214e-30
TMSB4X	11.716305	0.9877577	1.0515947044795209e-31	1.618042885511809e-29
RPL28	11.685246	0.5940706	1.5163832982471525e-31	2.3107748819906486e-29
TRBC2	11.6643095	2.2236507	1.9396986583473822e-31	2.9414347410753695e-29
ZFAS1	11.5986395	1.737631	4.186802119622991e-31	6.25745757176538e-29
UBA52	11.597481	0.66696817	4.243873887138917e-31	6.312407058827153e-29
LIMD2	11.577904	1.0969992	5.33345119391111e-31	7.857867168962781e-29
PTPRC	11.565341	1.3706386	6.174541141907378e-31	9.011641337017589e-29
COMMD6	11.537713	1.3810365	8.515896408120612e-31	1.237073231959091e-28
RPL36	11.491915	0.7210107	1.448656467991143e-30	2.0657974137816814e-28
HLA-E	11.443488	0.7801703	2.534840270720065e-30	3.5818445225397575e-28
SF1	11.378406	1.4430666	5.357014377878469e-30	7.501509277707567e-28
KLF6	11.327353	1.5706102	9.606414451635514e-30	1.3331902056160412e-27
LINC00926	11.3185	2.420021	1.0627584086226316e-29	1.4683542510600777e-27
GPSM3	11.243279	1.3795807	2.4992094477396157e-29	3.422595775413279e-27
EIF3F	11.204651	0.97745836	3.868778788626851e-29	5.2749441316685486e-27
NFKBIA	11.052759	1.5285112	2.125781757681593e-28	2.81209265961905e-26
FCRLA	11.043828	2.3116531	2.3481057400380263e-28	3.0930323364644967e-26
HLA-DMA	10.984772	1.6175245	4.5238059081296725e-28	5.835334201909839e-26
HNRNPA0	10.936702	1.4214345	7.694892784860147e-28	9.88475752078295e-26
TUBA1A	10.908888	2.437801	1.0452695721244127e-27	1.3317334093701483e-25
ZFP36L2	10.894379	1.656792	1.2260018469679041e-27	1.555621200681275e-25
FOXP1	10.860586	2.2377965	1.776060340667064e-27	2.226305960093428e-25
CIRBP	10.858948	1.0124129	1.808202149298797e-27	2.25749318133541e-25
HVCN1	10.803538	2.5919068	3.311909206877366e-27	4.0534378548896334e-25
RPL17	10.754277	0.9060244	5.657550570911525e-27	6.816909868136689e-25
ZFP36L1	10.585436	2.1023831	3.4815531063948457e-26	4.068836143552503e-24
PTMA	10.283895	0.6786147	8.329204018971973e-25	9.181913664460344e-23
ACTB	10.235979	0.82064694	1.3680450417707344e-24	1.4974794441382683e-22
CD82	10.196546	2.4831054	2.0544927077178472e-24	2.2253663695060875e-22
PTPN6	10.171901	1.3485516	2.6469297971764916e-24	2.8374174691319173e-22
BLK	10.057789	1.9099946	8.4883101892381e-24	8.944952503486264e-22
YWHAZ	10.055533	0.90116274	8.685000424004189e-24	9.121304330439806e-22
DAZAP2	9.996924	1.0618453	1.5720333071609375e-23	1.6344414521642831e-21
FTL	9.824081	0.56340927	8.867903904078929e-23	8.921570506993581e-21
HLA-DRB5	9.788527	1.6438358	1.2612026494054236e-22	1.2647421536150454e-20
SH3BGRL3	9.698397	0.7271978	3.0627423291361765e-22	3.032212445409437e-20
HLA-DMB	9.692401	2.3242514	3.248012450178491e-22	3.205427398053929e-20
SNX2	9.680071	1.6401658	3.6646275650645537e-22	3.593762685020876e-20
REL	9.657588	2.0794573	4.5648353671301275e-22	4.446183791523251e-20
CYB561A3	9.5716305	2.3574953	1.0523318854603728e-21	1.0128124248701736e-19
RPL36A	9.503843	0.8101672	2.0228375699879197e-21	1.934890816560445e-19
SYPL1	9.331741	2.2874753	1.0414555731120595e-20	9.578618166075323e-19
SRSF7	9.33134	1.1558554	1.0454112509804482e-20	9.586637038120707e-19
JUN	9.281771	1.22406	1.6668563424714382e-20	1.506324509256093e-18
COX4I1	9.27848	0.5762363	1.7191487903993662e-20	1.5490776361491334e-18
HNRNPA1	9.239232	0.7061035	2.4827368525370085e-20	2.2242317157008062e-18
RALGPS2	9.191455	1.3531948	3.8756401153090627e-20	3.4423435504175096e-18
CD69	9.182477	1.9429157	4.212860774205824e-20	3.731202361473973e-18
CD83	9.138687	2.232544	6.321517939223263e-20	5.520141240916673e-18
CD48	9.093398	0.9960618	9.599127442456289e-20	8.289113188989963e-18
RNASET2	9.060841	1.1848769	1.2944867626888965e-19	1.1055414832887288e-17
RASGRP2	9.008305	1.4838784	2.0926586508481705e-19	1.762994023818891e-17
DDX5	8.9712515	0.7277983	2.9316406440919133e-19	2.456493603851356e-17
RPL23	8.965704	0.7817375	3.08303975179629e-19	2.5764101280669698e-17
SYNGR2	8.8792515	0.8240267	6.731163008698513e-19	5.5357583188203886e-17
MT-CO1	8.828879	0.63239217	1.057300781012569e-18	8.60426947103082e-17
RPS4Y1	8.813767	1.5912989	1.2100930247808418e-18	9.796396318063028e-17
AFF3	8.776281	2.2012517	1.6896915013156687e-18	1.3643490831532518e-16
PFN1	8.643597	0.5780697	5.44705483864482e-18	4.319709024718151e-16
PCBP2	8.638374	1.16366	5.7018662634778314e-18	4.510277774369857e-16
MALAT1	8.603669	0.56071323	7.720716819527455e-18	6.051393585685591e-16
MT-ND4	8.593796	0.60650945	8.414256604948055e-18	6.555739225013038e-16
HLA-DOB	8.526766	2.3074605	1.5049595957407584e-17	1.1551772580936534e-15
CORO1A	8.494487	0.80818135	1.9880873264873582e-17	1.514795850943934e-15
SWAP70	8.489775	1.7893026	2.0703862872241432e-17	1.5736454403652064e-15
ARL4A	8.400819	2.3181195	4.433770582292007e-17	3.329290485307044e-15
LBH	8.3805	1.9779679	5.270356966468803e-17	3.929006882892462e-15
RCSD1	8.320408	1.1102161	8.766137546877701e-17	6.503888255842174e-15
HMGN2	8.176614	0.9116849	2.9193287025646747e-16	2.0959161980745507e-14
EIF3E	8.124649	0.8781278	4.486586555822988e-16	3.1626874435571254e-14
JAK1	8.069332	1.0792596	7.068398328084092e-16	4.93787188371124e-14
TAGLN2	7.958558	0.6866041	1.7405583805997859e-15	1.1788396160720162e-13
VPREB3	7.9199905	2.1978545	2.3752900201027357e-15	1.587970771073844e-13
BIN1	7.9146285	2.1173964	2.479922849690489e-15	1.6543639834405198e-13
SNX3	7.8861666	1.029083	3.1161096582960385e-15	2.0610744882435947e-13
LY86	7.859574	2.394262	3.8544226336513046e-15	2.5332438987805094e-13
TPM3	7.8332133	0.7809849	4.755568327696921e-15	3.1123442653287196e-13
CAPG	7.831869	1.8376611	4.8067057350168e-15	3.1392029660602363e-13
EVL	7.8315444	1.4535528	4.819130124072897e-15	3.1407190391415967e-13
EEF1G	7.734523	0.59883446	1.037917142217351e-14	6.611829959039097e-13
SPIB	7.717634	2.426261	1.1850894018174804e-14	7.518545762102044e-13
FCER2	7.7074203	2.0183733	1.2838638234962761e-14	8.128609914669804e-13
SRSF5	7.6772585	0.77342093	1.625292604489082e-14	1.024857427905722e-12
ARHGAP24	7.663259	2.4455957	1.812729908543106e-14	1.136135779574184e-12
RPL35	7.5997987	0.4173712	2.9659157990037637e-14	1.836681761825299e-12
CNN2	7.592289	1.0144501	3.1430252594638987e-14	1.9424895872953123e-12
