	scores	logfoldchanges	pvals	pvals_adj
EEF1A1	13.535594	1.8401558	9.639978593071344e-42	2.996780145228089e-37
CD74	12.935434	3.432892	2.8401321547320645e-38	4.414559414707785e-34
RPS3A	12.840084	1.323736	9.776871636320593e-38	1.0131120285276608e-33
CD52	12.760314	2.7802517	2.730976194631383e-37	2.1224464240626453e-33
RPS27	12.66439	1.9394344	9.314171285513303e-37	5.790992855055041e-33
RPL10	12.483534	1.1639493	9.181875119977014e-36	4.757282530912091e-32
RPL10A	12.440901	1.3302375	1.5672560095331215e-35	6.085934961028939e-32
HLA-DRB1	12.4286175	3.46197	1.8276688770439727e-35	6.085934961028939e-32
RPSA	12.319311	1.2508339	7.130074191130174e-35	2.01502378526967e-31
TPT1	12.1840515	1.1708807	3.7802469095593123e-34	9.793044639789196e-31
RPS6	12.11083	1.0598066	9.255280327166162e-34	2.055134996647246e-30
RPS23	12.05988	1.1425856	1.7203185488674212e-33	3.5653028485761014e-30
HLA-DPB1	12.051421	3.8014152	1.9063470753073096e-33	3.703913220629896e-30
CD79A	11.974471	2.8153534	4.835096715718348e-33	8.841685388325663e-30
CD37	11.864495	3.387038	1.80990319006551e-32	2.813223023478326e-29
RPS15A	11.844278	0.8920303	2.3039339681545495e-32	3.410590250858118e-29
RPL34	11.819664	1.4240153	3.089180620808661e-32	4.3651526345035834e-29
MS4A1	11.801263	4.4864745	3.844973943293837e-32	5.196900216311978e-29
RPL13	11.721159	1.1410241	9.930436564546489e-32	1.1873364672386795e-28
RPS14	11.69272	1.0157204	1.3886546613744508e-31	1.5988558317832427e-28
RPL18A	11.645213	1.0987498	2.4271533580261096e-31	2.694747015748488e-28
HLA-DRA	11.601768	3.6457179	4.036556204847219e-31	4.047884604518886e-28
LTB	11.516454	4.488946	1.090059665802723e-30	9.405583809318075e-28
RPL13A	11.509428	1.1731364	1.18260768833527e-30	9.674664528231195e-28
RPL11	11.4905	0.9932022	1.4725575819037045e-30	1.1737794243241143e-27
PABPC1	11.450544	1.4681027	2.3367355252836492e-30	1.81605243186232e-27
RPL30	11.43157	1.3910606	2.9080357237132617e-30	2.2049294278798576e-27
RPL32	11.401555	1.085375	4.1071854607753115e-30	2.993859402360617e-27
RPS27A	11.377944	1.0416173	5.385442964236229e-30	3.720383676204703e-27
HLA-DPA1	11.357392	2.8717048	6.814865651322012e-30	4.605515837014074e-27
PNRC1	11.35223	3.2583394	7.229471267364072e-30	4.781756878479721e-27
RPL3	11.30152	1.1444566	1.2896619279916277e-29	8.018344071095146e-27
RPS5	11.240821	0.8856544	2.569824651058893e-29	1.5020078608222312e-26
RPL19	11.240104	0.7921686	2.5907800744071977e-29	1.5020078608222312e-26
RPS25	11.239482	1.0909117	2.609078537150593e-29	1.5020078608222312e-26
FOS	11.185187	4.1478553	4.818865028955557e-29	2.628141353598972e-26
RPL18	11.182272	0.7796622	4.979856655054896e-29	2.669117307511923e-26
DUSP1	11.172952	4.0555186	5.531158823735217e-29	2.9143582093806215e-26
RPS20	11.155125	1.6531192	6.759819392411812e-29	3.4449591057689504e-26
PFDN5	11.128025	1.6503625	9.16437623043691e-29	4.578210944897728e-26
RPS8	11.126925	0.8484939	9.278067665858941e-29	4.578210944897728e-26
RPL12	11.11966	1.0246964	1.006541143205554e-28	4.889116331067353e-26
