	scores	logfoldchanges	pvals	pvals_adj
IFITM1	13.052682	3.0867772	6.134874127531658e-39	1.9071483200257666e-34
LY6E	9.761101	1.2952383	1.6535112992929748e-22	1.2850676440280178e-18
IFI44L	8.924289	4.122076	4.485736675083515e-19	1.3944809601832125e-15
XAF1	8.210372	2.8974462	2.2050470468158556e-16	3.808238752464695e-13
ISG20	7.882651	1.0679024	3.2050822714132475e-15	4.9818196285711815e-12
B2M	7.589948	0.27077442	3.2003356887797875e-14	4.1453681482123857e-11
BTG1	7.002726	0.61348933	2.5102931925897288e-12	2.7870530170727464e-09
IFI6	6.6910276	3.197685	2.2160879842592866e-11	2.152860223958389e-08
ISG15	6.4107137	2.2487447	1.4483990462450736e-10	1.2864680328748746e-07
IRF7	6.3533955	1.7238071	2.1061312905997553e-10	1.8187028730798497e-07
CYBA	6.191352	0.40143085	5.965030743130288e-10	4.879866071360296e-07
MX1	5.882792	1.5809119	4.034025972826326e-09	2.9858515575536186e-06
HLA-C	5.8515725	0.39528173	4.86946437166213e-09	3.5203962539967592e-06
TMSB4X	5.771294	0.30461082	7.866498648981678e-09	5.434352077797632e-06
IFITM2	5.7034044	0.6629228	1.1743791046166333e-08	7.805385949077025e-06
BST2	5.19134	1.2148459	2.0878576033127417e-07	0.00011590219520389857
S100A8	5.1445937	2.0783672	2.681004558299088e-07	0.00014369722190317886
EIF2AK2	5.114861	1.6744277	3.139722269319626e-07	0.0001626742436438987
RPL28	5.003528	0.14549187	5.629041681445773e-07	0.00027776193452556307
RPL36	4.9599204	0.2815268	7.052214922401725e-07	0.00034255032076984754
LAPTM5	4.515911	0.34683076	6.304515706926719e-06	0.0025787957865951437
S100A9	4.498732	1.791726	6.835996371147357e-06	0.002759878171296856
HLA-E	4.4055696	0.27736828	1.0550638367261386e-05	0.004099846186538184
MALAT1	4.289116	0.15403183	1.793856328841298e-05	0.0068006843530109065
RPL36AL	4.263678	0.42203632	2.0108915508548005e-05	0.007441974481121807
STAT1	4.1799307	1.8989654	2.9159789590836175e-05	0.01054058580244563
EPSTI1	4.100313	1.9065138	4.125917011493427e-05	0.014411503610819793
SHISA5	4.068433	0.9246893	4.733039017248717e-05	0.016168789442770424
CCND3	3.8949919	0.80271184	9.82020629798172e-05	0.031800078456808094
PTPRCAP	3.827102	0.330187	0.00012966081270720267	0.0403076568462881
UBE2L6	3.8206599	1.2360003	0.00013309509911614074	0.04096561728934126
RNF213	3.7866323	0.962591	0.0001527027625087763	0.04384139649193553
HLA-DQB1	3.7108138	0.3056664	0.0002065939998234868	0.05683528913728084
CALR	3.6824026	0.5447001	0.00023104621880969809	0.06191839486325073
FCRL5	3.6767864	0.7754271	0.00023619070761777102	0.06222424176028515
TMSB10	3.6567993	0.22694102	0.00025538416512330386	0.06671535748897603
HLA-DPA1	3.5723913	0.1737637	0.00035373631511783087	0.09013607236121318
PSMB9	3.5600026	0.43310177	0.00037085103972843165	0.09372883147998176
ATP5F1D	3.3774765	0.43952373	0.0007315419341654939	0.17098830155941888
PSME2	3.3356855	0.65882844	0.0008508936778567169	0.19740098330993847
TSC22D3	3.3290782	0.26879144	0.0008713393256112626	0.1991715118770391
IFIT3	3.3239577	3.98904	0.0008874969844436336	0.20138407850656379
FAU	3.2973633	0.13427685	0.0009759718287569632	0.2167145445754837
MT2A	3.2469828	1.7526281	0.0011663545823129098	0.25327010919017307
ATP6V1G1	3.2144418	0.25996724	0.0013069836367775277	0.2763959205204286
IFITM3	3.1100469	2.1204998	0.0018705766182125878	0.37276035468188917
ODC1	3.1024485	0.8327177	0.001919269432907275	0.3800275723617099
FUS	3.0986493	0.38971904	0.001944049863506209	0.3824979627013767
PLSCR1	3.0804794	2.2103026	0.0020666772942533255	0.39415212911934433
NEAT1	2.9651823	0.64418256	0.0030250366873635437	0.5597578303575623
MX2	2.8974576	1.5017123	0.003762005617998687	0.6682826779812868
SSR4	2.8596308	0.27247274	0.00424134282460072	0.7325034688242366
HLA-DMA	2.804295	0.17200601	0.005042674866108943	0.8566209484302114
CD22	2.777866	0.5403932	0.005471720420860524	0.924453112626582
S100A11	2.7704327	0.776585	0.005598187555762104	0.9356497663762179
HSP90AA1	2.7659729	0.30746254	0.0056753278600570525	0.9434701453775058
IFI35	2.7587047	1.6942236	0.0058030942065068	0.9545015322628407
PPDPF	2.7246773	0.16966334	0.00643643737210376	1.0
ITM2B	2.7093153	0.36387515	0.006742223051922571	1.0
COX5B	2.7013867	0.3468436	0.006905102817872345	1.0
TRIM22	2.6713235	0.87136614	0.0075552805352859555	1.0
SERF2	2.6652117	0.2221304	0.007693986743881762	1.0
HNRNPA1	2.5888977	0.17457016	0.009628371388857018	1.0
UBXN1	2.58196	0.27055258	0.009824097553497146	1.0
SMCHD1	2.5396733	0.3269541	0.011095603179945256	1.0
CIRBP	2.5333965	0.22679405	0.011296310344294624	1.0
OAS1	2.5287714	1.1860012	0.011446256011764912	1.0
ATP5MC2	2.5244765	0.17640716	0.011587070428510853	1.0
COX6A1	2.5008557	0.18859111	0.01238936770579033	1.0
GSTP1	2.4929268	0.39637402	0.012669493387905888	1.0
PLPP5	2.4702969	0.816204	0.013500093733135123	1.0
RAC2	2.4565868	0.1499901	0.014026389803414146	1.0
SAT1	2.439573	0.29828033	0.0147046276622421	1.0
PTMA	2.439573	0.09459763	0.0147046276622421	1.0
UQCRH	2.4271843	0.2890694	0.015216517823877573	1.0
IFI16	2.4265237	0.7154613	0.015244254086973585	1.0
NDUFA2	2.3999295	0.7428597	0.016398233821265776	1.0
MAP1LC3B	2.383081	0.4294599	0.01716842351896315	1.0
SRGN	2.3774648	0.66801286	0.017432113493085898	1.0
COX5A	2.3736656	0.53280395	0.017612499479359712	1.0
DRAP1	2.3617723	0.5102051	0.018187806258661707	1.0
CD19	2.3581383	0.24208277	0.01836684584044037	1.0
HSPA4	2.356156	1.0134263	0.018465152558853205	1.0
EZR	2.3518615	0.18194123	0.018679731541161794	1.0
IFI44	2.35054	4.0625677	0.018746193255998238	1.0
GRB2	2.3445935	0.16859446	0.019047837236450343	1.0
MS4A1	2.3132088	0.106016256	0.02071115899260416	1.0
SERP1	2.2768688	0.25808054	0.02279406079081657	1.0
GNG5	2.2524219	0.45868295	0.02429562464273752	1.0
NCL	2.247962	0.20881334	0.02457861561538615	1.0
STK17A	2.242676	0.70272726	0.0249177065757455	1.0
PSMB8	2.2373903	0.47193587	0.025260841163876877	1.0
TAF1D	2.2367296	0.48297948	0.0253040192208809	1.0
SLC38A1	2.235408	0.4805846	0.02539056698660658	1.0
IFI27	2.2324347	27.631037	0.025586236526313366	1.0
CLEC2D	2.2132738	0.40244812	0.026878779001006745	1.0
ADAR	2.1927912	0.5994332	0.028322428445777658	1.0
TXNIP	2.1587636	0.21773879	0.03086850589265104	1.0
TRAPPC1	2.11466	0.33966374	0.03445892910114867	1.0
AKAP13	2.1072268	0.39378363	0.035097917211592715	1.0
RNASET2	2.1007848	0.16581383	0.035659862156875055	1.0
HERC5	2.1006196	1.7063595	0.0356743713395408	1.0
POMP	2.0822845	0.6013554	0.03731649945783433	1.0
ARID5B	2.069235	0.5520826	0.038524037303377806	1.0
FXYD5	2.051065	0.13782386	0.04026061661754462	1.0
UBE2D3	2.0186894	0.25410628	0.043519519465072744	1.0
SNX9	1.994738	0.68855685	0.046071469024845796	1.0
HNRNPA2B1	1.9934164	0.11064254	0.0462158602404851	1.0
MRPS15	1.9871396	0.953391	0.04690693244256242	1.0
LAP3	1.9754117	1.3157248	0.04822145226665522	1.0
EIF5A	1.9222231	0.280966	0.05457769905495842	1.0
TNFRSF13C	1.9164417	0.571978	0.05530890127429489	1.0
CDC42	1.9088433	0.23460424	0.056282309703221255	1.0
PARP9	1.9042182	1.237984	0.05688177237697676	1.0
NAPA	1.8981065	0.47124404	0.057682058623755326	1.0
DDX24	1.891334	0.24224451	0.05857977235370303	1.0
HSP90AB1	1.8845615	0.17335121	0.05948905880332886	1.0
KMT2E	1.8630879	0.2402914	0.062449903192237456	1.0
PPM1K	1.8355025	0.34344536	0.0664312713486993	1.0
FTH1	1.817002	0.039793786	0.06921679191968308	1.0
CIB1	1.800649	0.21928483	0.07175820809761149	1.0
RPL14	1.7966847	0.059921656	0.07238568733999384	1.0
