	scores	logfoldchanges	pvals	pvals_adj
IFITM1	11.960532	2.8790393	5.719448538661011e-33	1.7671380149900926e-28
LY6E	9.912723	1.3319181	3.665204409744589e-23	2.2648764129575715e-19
IFI44L	8.469793	3.8983624	2.458280145012085e-17	4.7470926025273995e-14
B2M	8.269753	0.30779615	1.3423684357147892e-16	2.073757877913992e-13
XAF1	8.214298	2.842181	2.1340907567860023e-16	3.139857243448434e-13
ISG20	7.8237333	1.1408732	5.127928500080622e-15	6.337504274679639e-12
MX1	6.904608	1.8782674	5.0342335031739345e-12	5.017506856373067e-09
CYBA	6.8271904	0.49352658	8.65937723895079e-12	8.360899329745705e-09
IFI6	6.7263465	3.2111037	1.7397612450721727e-11	1.628891005727119e-08
ISG15	6.611593	2.4442062	3.802063174685832e-11	3.3563527402362335e-08
IRF7	6.337246	1.83211	2.339081584145217e-10	1.8067650926333692e-07
BTG1	6.180398	0.57029355	6.394015352145603e-10	4.818436398420554e-07
IFITM2	6.0100064	0.7209881	1.855157672891047e-09	1.3329955027747598e-06
HLA-C	5.8542566	0.39993566	4.791480920996552e-09	3.2183127394789233e-06
BST2	5.767322	1.3963199	8.054095719961466e-09	5.1843207387426955e-06
TMSB4X	5.7416997	0.30619863	9.37310614124811e-09	5.910221641758017e-06
RPL28	5.250474	0.13951862	1.5170820987606724e-07	8.370229572394374e-05
EIF2AK2	5.0883183	1.6772062	3.6125224733418714e-07	0.00018002597880458678
MALAT1	5.0423803	0.20114811	4.5977580148927357e-07	0.00022196395216584507
HLA-E	5.0306673	0.2990125	4.887757644852267e-07	0.00023233391992769304
S100A8	4.862106	1.9183534	1.1614341940489574e-06	0.000512640461336152
LAPTM5	4.2861423	0.31121537	1.8180246137742335e-05	0.006608412528444999
RPL36	4.245512	0.2413423	2.180948302657392e-05	0.007745374678989131
RPL36AL	4.2054305	0.41886783	2.6058548253330976e-05	0.00914921551571781
SHISA5	4.165715	0.94139314	3.103777901382214e-05	0.010774991665056884
EPSTI1	4.132589	2.3049798	3.587002018101894e-05	0.012314177928143802
STAT1	4.1274643	1.8768537	3.667855314400005e-05	0.012453376444946918
HLA-DPA1	3.8842309	0.17794657	0.00010265437000761084	0.03269806257860981
RNF213	3.8000417	1.0003239	0.0001446717801795021	0.044256673190159176
S100A9	3.7916226	1.5634434	0.00014966616093188383	0.045335640924631514
CCND3	3.6380692	0.76127344	0.00027468979301630225	0.07858417161874715
PSME2	3.6051254	0.7442587	0.00031200215493995824	0.08684622145207108
FCRL5	3.5569913	0.7949567	0.00037512665799542766	0.10166919607091868
UBE2L6	3.5430818	1.1645554	0.00039548011424797526	0.10625347034712775
CALR	3.535029	0.5603592	0.0004077306292871917	0.1086004590783307
TSC22D3	3.49934	0.2859049	0.0004664114631741817	0.12316850408284352
TMSB10	3.4695077	0.19570878	0.0005214130398617805	0.13425082243841194
PTPRCAP	3.4647493	0.30709907	0.0005307261245548298	0.13551938074686426
NEAT1	3.453219	0.7489622	0.000553939145199938	0.1402873587642827
EZR	3.4281452	0.33165216	0.0006077202132152523	0.1514252534492875
IFIT3	3.4019735	3.5607545	0.0006690114695062907	0.1640511696296497
MX2	3.380743	1.7461699	0.000722900954652773	0.17586984878666714
ATP5F1D	3.3463354	0.45718986	0.0008188729013173723	0.19167209115153677
PPDPF	3.3273013	0.23642457	0.0008769150224144042	0.20069661812991
IFITM3	3.2617803	2.4397058	0.0011071495900021506	0.24705282726932892
HSP90AA1	3.1799703	0.39414534	0.001472901463625024	0.3074880846055565
PLSCR1	3.1451964	2.0930302	0.0016597529334512774	0.33779993219036086
MT2A	3.1347644	1.6729717	0.001719921868489346	0.34732304556023086
SERF2	3.0556998	0.29845434	0.00224535939185906	0.4363199316369143
SAT1	3.0341034	0.39704403	0.0024125167720809803	0.460120559919667
SMCHD1	2.9989636	0.41666764	0.0027089962727531425	0.5103649868247185
IFI35	2.992009	1.968961	0.0027714819036591706	0.5189725841051963
HLA-DQB1	2.982858	0.21529338	0.0028557054814590636	0.528339714135573
S100A11	2.9140425	0.8738028	0.00356781415536491	0.6522766506408854
RAC2	2.8864064	0.18779671	0.0038966860176066773	0.6919305050919167
ATP6V1G1	2.8651762	0.2117256	0.004167773719375973	0.7316574125429515
RNASET2	2.862614	0.28938	0.0042016229226603695	0.7334324488216805
FAU	2.8036814	0.09983493	0.005052279585792819	0.8493346528222915
SSR4	2.743651	0.28393793	0.006076011084176851	0.9880553393042746
