	scores	logfoldchanges	pvals	pvals_adj
IFITM1	19.575888	2.9832761	2.4827578419147776e-85	3.859074651580235e-81
IFI44L	14.15482	4.322546	1.7438246413126777e-45	5.4210276624487216e-42
B2M	13.399145	0.30876955	6.116390263702384e-41	1.5845018677309669e-37
HLA-C	12.077378	0.60590523	1.3908384145074283e-33	2.5433525759877895e-30
XAF1	12.000737	2.24995	3.521441556832028e-33	6.0817252042909585e-30
LY6E	11.448635	0.99111754	2.388762490029334e-30	3.536164739406757e-27
IFITM2	11.219268	0.9430124	3.279731205407286e-29	4.1837058040783013e-26
MX1	9.477994	1.9321074	2.592170968869276e-21	2.238411636367755e-18
ISG20	9.148635	0.7695144	5.765729730764519e-20	4.595877952314784e-17
ISG15	8.258219	2.3315356	1.478628928214476e-16	9.012968135569297e-14
IRF7	8.052092	1.6052088	8.139114111155338e-16	4.773974346669548e-13
HLA-DQB1	7.3620653	0.357738	1.8108624029563064e-13	9.70591026219012e-11
PSMB9	7.2294335	0.7684327	4.850127432150228e-13	2.355873616925846e-10
EIF2AK2	6.805115	1.6898253	1.009683131596677e-11	4.684779031633716e-09
SHISA5	6.4945188	0.9263138	8.329936807627945e-11	3.596565910260138e-08
PTPRCAP	6.144991	0.48980626	7.996816752973584e-10	3.2285330181777894e-07
EPSTI1	6.0430374	2.037568	1.5123952955185886e-09	5.804423771825477e-07
BST2	6.039559	1.034728	1.5453616615586956e-09	5.858616825960387e-07
TRIM22	6.025533	0.99139357	1.6855290022623313e-09	6.313016878714348e-07
HLA-E	5.851491	0.21604279	4.8718551587138075e-09	1.740820245045243e-06
IFI6	5.808822	1.9647106	6.291379011816809e-09	2.2225011288676037e-06
CYBA	5.5256476	0.19520175	3.2827261352605443e-08	1.0856394400728142e-05
S100A8	5.4970784	1.4103678	3.8613508858748696e-08	1.2503939061374175e-05
PLSCR1	5.4145536	2.23285	6.144180928015583e-08	1.96911497432186e-05
SRSF10	5.411667	0.5075232	6.244070843235624e-08	1.980708472486386e-05
CALR	5.3635216	0.54150254	8.161497874144367e-08	2.5371648441352593e-05
PTMA	5.143702	0.1433127	2.693768401769987e-07	8.052036375559961e-05
HLA-A	5.1018844	0.12687165	3.362881464083263e-07	9.862443025844944e-05
DRAP1	5.089783	0.66333914	3.5847306795823616e-07	0.00010414815199642698
UBE2L6	5.07387	0.95072025	3.8980465576000657e-07	0.00011220238271862337
PPM1K	5.010071	0.72243637	5.44099836848357e-07	0.00015238226691986374
RBM39	4.921773	0.30686513	8.576363684552711e-07	0.00023387141917692114
PARP14	4.8120112	0.96887976	1.4941887750609017e-06	0.0003936427665281208
MALAT1	4.7305226	0.14456047	2.2394248575584903e-06	0.0005753471119580231
RPL36	4.6978087	0.12794009	2.6296739704892338e-06	0.0006646233717121855
SP110	4.65366	0.44731477	3.2609451858678224e-06	0.000810984023944584
CXCR4	4.492126	0.21489522	7.05157221637851e-06	0.0017125955116449902
OAS1	4.3846583	1.5866228	1.1616783516652934e-05	0.0026950070834491774
STAT1	4.342286	1.5704625	1.4100783284885928e-05	0.0032231694851268295
TMEM123	4.3157153	0.5364299	1.5908698853128898e-05	0.0036098811769869933
BTG1	4.2950287	0.16266683	1.7467091637618918e-05	0.003878567698133281
PSME2	4.2662373	0.5255019	1.9879732656521397e-05	0.0043829875822218485
COX5A	4.2290087	0.64834857	2.3472335830639615e-05	0.0050672534997714845
MYL12A	3.9871702	0.234083	6.686606520937007e-05	0.013324778007459534
ADAR	3.974773	0.8256572	7.044642937564323e-05	0.013860557911396336
ATP6V1G1	3.9353979	0.13156809	8.305897766939523e-05	0.01613784024255306
CLEC2D	3.758654	0.50569975	0.00017082979157005684	0.031238739591402102
HSP90AB1	3.7529922	0.15969834	0.00017473635458710806	0.03176625178391478
S100A9	3.696742	1.12676	0.00021838407204351895	0.039242229176976146
USP15	3.6930783	0.513082	0.00022155572376954247	0.039583349338067626
IFITM3	3.6105535	2.0107818	0.0003055442331353134	0.05366357952247168
PSME1	3.4778848	0.15512675	0.0005053872673098811	0.081827989473241
CNBP	3.4657464	0.23485641	0.0005287615374719972	0.08516896329218641
CCND3	3.4557917	0.48844382	0.000548679091100448	0.08792158198474034
HSH2D	3.4269266	0.674629	0.0006104541771519508	0.09584438891476109
SON	3.424632	0.1934616	0.0006156323947077973	0.09617167966975526
SMCHD1	3.3989124	0.24327716	0.0006765435353552523	0.10463536758004341
HSP90AA1	3.3909562	0.21006921	0.0006964926056591718	0.10718745362438949
SP100	3.3134272	0.17962715	0.0009216010928367011	0.13840489455562574
CD37	3.301141	0.07577937	0.0009629249405854424	0.1432270221434433
IRF1	3.2772346	0.413615	0.0010482920839653867	0.15371818874637724
CMPK2	3.2639122	4.721049	0.0010988518717812824	0.1596262062526389
FUS	3.2479625	0.22313708	0.0011623462962781746	0.16728638570555376
RPL14	3.2284598	0.05161061	0.001244587081526576	0.1773735199854958
HERC5	3.2270536	2.0297618	0.0012507200951495105	0.1773735199854958
IFIT3	3.2260175	3.9370813	0.0012552570012162342	0.1773735199854958
GNG5	3.128949	0.40838915	0.0017543274116683326	0.2402501156234954
EIF1B	3.011638	0.31898513	0.002598423060389861	0.3408319733263275
LAP3	2.97848	1.3291435	0.002896819388049579	0.37366566106347415
ITM2B	2.9183073	0.15702559	0.003519374538820489	0.4376271851532502
SRSF5	2.911979	0.12034453	0.0035914672223705552	0.44304738707076763
SAMD9L	2.8803384	0.9526023	0.003972485812932534	0.4805162119324268
SF3B1	2.872715	0.3125055	0.004069610647255516	0.4903565356249311
IGHM	2.844183	0.10414779	0.004452548465581932	0.5283067715631509
MX2	2.8380399	1.3054157	0.00453915266750117	0.5365347489528854
ODF3B	2.7671351	1.8953222	0.0056551325916993096	0.6487125715061124
HNRNPA1	2.7514071	0.040179223	0.005933982861232612	0.6767341078229042
PRRC2C	2.7404532	0.22918278	0.0061354511410949475	0.6844772949999354
HLA-F	2.7400463	0.40746525	0.0061430554670756895	0.6844772949999354
RPL28	2.733126	0.04203691	0.006273634174520006	0.6891465214957718
UBXN1	2.7312016	0.15404415	0.006310386133471108	0.6896960735863644
ARID4B	2.7015593	0.3508466	0.006901518149203929	0.7449565788343838
RSRC2	2.6982656	0.4852223	0.006970179177611924	0.7497645678007678
RAC2	2.689199	0.0922773	0.007162370020504264	0.7625225918747124
HMGB1	2.6800213	0.09311324	0.0073617456709776565	0.7810736780671754
SCAND1	2.655893	0.28812215	0.007909869537003589	0.8277282365097316
TSC22D3	2.6304696	0.09881345	0.008526702394231258	0.877713898441944
MS4A1	2.5976446	0.03590794	0.009386559256605479	0.9352563064426106
ELF1	2.5801034	0.3111204	0.009877072506299765	0.9694381537141665
HLA-DMB	2.5798073	0.19898686	0.009885543626834073	0.9694381537141665
NPM1	2.5733683	0.044581555	0.010071399012149193	0.9845584311027734
UBE2D3	2.5685203	0.21213757	0.01021337127870623	0.9953074386869611
RCSD1	2.5100498	0.10120637	0.012071411734868422	1.0
COX5B	2.4899921	0.24571663	0.012774587980097122	1.0
SAMD9	2.4840713	0.71755016	0.012988983856372696	1.0
ATP6V0C	2.4765217	0.22138804	0.013266951031627923	1.0
LIMD2	2.466049	-0.00096115837	0.013661266270410269	1.0
ARF1	2.410835	0.22057994	0.015916045570584347	1.0
UVRAG	2.394293	0.27556998	0.016652437283910762	1.0
SAT1	2.3920727	0.24941581	0.016753525101424336	1.0
RALGPS2	2.377973	0.08840332	0.017408094290365703	1.0
NCL	2.365872	0.070601806	0.01798766421121067	1.0
IFI44	2.3584707	2.456568	0.018350411858474042	1.0
PNN	2.3116572	0.2326963	0.020796580644897086	1.0
IFI27	2.3029976	5.2472477	0.021278974476005862	1.0
ATP5MF	2.2889721	0.34252223	0.022080970836434975	1.0
PPP1R2	2.2858636	0.30979088	0.022262240259785352	1.0
GTF3A	2.2684705	0.18350136	0.0233005472975739	1.0
IRF9	2.2287254	0.82647556	0.02583218622098844	1.0
HERPUD1	2.210074	0.20054011	0.02710002878189378	1.0
IFI35	2.20493	0.91990775	0.0274590034533986	1.0
EIF5A	2.193865	0.16173442	0.02824511173062366	1.0
PARP9	2.193199	1.0387917	0.02829304868520379	1.0
RAN	2.183022	0.20567311	0.02903418146281542	1.0
OAS2	2.1789515	1.4175032	0.02933527999350371	1.0
RNF213	2.1512704	0.5311652	0.03145486225625175	1.0
USP18	2.1295104	3.9039187	0.03321204684350673	1.0
RNASET2	2.1145968	0.14036201	0.03446432456154953	1.0
PHF11	2.0956125	0.48360792	0.03611658706368021	1.0
DDX24	2.0687087	0.2478518	0.03857344141051982	1.0
RPLP1	2.060308	0.03615004	0.03936909864949202	1.0
ARGLU1	2.0558672	0.07488946	0.03979531119744093	1.0
PRPF38B	2.0344775	0.39158797	0.04190348163149862	1.0
TCF25	2.032442	0.22056828	0.04210892299230369	1.0
AEBP1	2.010016	0.8054571	0.044429491290762436	1.0
MZB1	1.9971007	0.31205398	0.04581424278749174	1.0
NORAD	1.9691237	0.78864753	0.04893888854759114	1.0
PPP4R3B	1.9645349	0.47860295	0.04946809655634958	1.0
RSAD2	1.9217921	3.6508098	0.054631911107721566	1.0
HLA-DPA1	1.9114673	0.011234058	0.055944550279042805	1.0
FTL	1.8987371	0.026879074	0.05759905738488594	1.0
