	scores	logfoldchanges	pvals	pvals_adj
IFITM1	18.620647	3.0050886	2.1855590502071657e-77	3.37636089871254e-73
IFI44L	13.471411	4.3309693	2.304218787611671e-41	7.11934478808378e-38
B2M	12.821858	0.31347975	1.2369973999056345e-37	3.4745007877167627e-34
HLA-C	11.871204	0.6130028	1.6704579800106212e-32	3.6865814434562977e-29
XAF1	11.646984	2.336279	2.377226222744777e-31	4.590572412759087e-28
IFITM2	10.948614	0.9847325	6.74719955720869e-28	1.0423411235953844e-24
LY6E	10.27293	0.92817134	9.332594555763543e-25	1.201454891622609e-21
MX1	8.744902	1.8580042	2.2321083548872426e-18	1.915706995581976e-15
ISG20	7.995822	0.6858684	1.2871222207633808e-15	9.248422152308413e-13
IRF7	7.6975765	1.6188039	1.3867083578509572e-14	8.743903700514495e-12
ISG15	7.182548	2.179033	6.842402983628193e-13	3.988862735569062e-10
HLA-DQB1	6.9831576	0.37624982	2.886182417472609e-12	1.537489278493986e-09
PSMB9	6.8945537	0.7649457	5.403416775283206e-12	2.782489468432087e-09
EIF2AK2	6.8222084	1.7566037	8.965139384576532e-12	4.540916583037067e-09
TRIM22	6.0607357	1.0170199	1.3550033700950274e-09	5.50862356918764e-07
EPSTI1	6.057459	2.218275	1.3828880327868348e-09	5.548972928443486e-07
SHISA5	5.706614	0.8303042	1.152456912421731e-08	4.342373319889539e-06
BST2	5.648931	1.0089501	1.6144847157223844e-08	5.868556971961707e-06
PTPRCAP	5.60444	0.47754765	2.089291602031635e-08	7.506144491624585e-06
UBE2L6	5.4149227	1.0183537	6.13151916774884e-08	2.104950530288177e-05
SP110	5.289432	0.5551159	1.2269680856804308e-07	4.032939674815774e-05
S100A8	5.1741924	1.3722855	2.2889905728598115e-07	7.291024920582433e-05
HLA-A	5.0765557	0.14214547	3.8433822976136705e-07	0.00012117243147894854
HLA-E	5.0518947	0.1871319	4.3744942770089957e-07	0.00013652398957247165
DRAP1	4.964929	0.6929919	6.872620772361104e-07	0.0002081797686310206
PLSCR1	4.924135	2.174046	8.473429969643727e-07	0.0002517341978577714
PSME2	4.916237	0.65467507	8.82236960554196e-07	0.00025960452733564756
IFI6	4.692521	1.5886452	2.6985845519198874e-06	0.0007579833354606251
SRSF10	4.6460977	0.46880236	3.382728555004107e-06	0.0009249218067607247
STAT1	4.4680495	1.6671203	7.893601032363719e-06	0.0021207703573647117
RPL36	4.463386	0.12045874	8.067444520782521e-06	0.002148791666884634
MALAT1	4.4429264	0.13698967	8.874359720378932e-06	0.0022849257690045655
IRF1	4.3623047	0.5775143	1.2869949187581973e-05	0.003232868455680652
COX5A	4.2500057	0.6758781	2.137650029305362e-05	0.005041753660721204
PTMA	4.2047586	0.1401981	2.61361034029797e-05	0.006026322289864655
OAS1	4.1843405	1.4973451	2.8599509202483654e-05	0.0064973458516848345
PPM1K	4.121322	0.62991655	3.767042792878289e-05	0.00837340440083169
RBM39	4.0982575	0.2585089	4.16272283866077e-05	0.009186831967578702
SON	4.0290213	0.2800927	5.600959053903627e-05	0.012101596635556669
TMEM123	4.017174	0.518806	5.8900325012405e-05	0.012637800985474148
SP100	3.9995284	0.27095577	6.346881180833348e-05	0.0135241095064971
HSP90AB1	3.8971865	0.12880556	9.731666708784823e-05	0.020179819214854004
CNBP	3.8313532	0.27298957	0.00012744037465528844	0.025735459187741484
CLEC2D	3.7912316	0.52795726	0.00014990213818666541	0.030074846516580527
RCSD1	3.7171638	0.23830943	0.0002014717967637443	0.038663814314344146
CALR	3.7017453	0.40671209	0.0002141214847434879	0.04053388931825484
HERC5	3.656204	2.4541678	0.0002559776764463978	0.04793298344948093
S100A9	3.6467092	1.1422971	0.0002656202168636804	0.0494389628941996
SAMD9L	3.4824831	1.2050653	0.0004967864681185328	0.09136435419915659
IFITM3	3.4752991	1.8300552	0.0005102841333597272	0.09329141342257688
USP15	3.4582422	0.51502293	0.0005437126266550834	0.09824028670036322
ATP6V1G1	3.4350512	0.103177235	0.0005924417148945507	0.10580735066530018
RPL28	3.4084575	0.10114564	0.0006533126233264721	0.11464031659455709
HSH2D	3.4070292	0.6775956	0.000656741302949691	0.11464031659455709
PARP14	3.3748896	0.72059625	0.0007384528922903734	0.1267554389616426
SF3B1	3.3729992	0.38450223	0.0007435419088893346	0.12692383623731365
CYBA	3.3601854	0.090385914	0.0007789019277069697	0.13222930143056177
PSME1	3.3050652	0.1786624	0.0009495429550078425	0.15688785390843482
GTF3A	3.256583	0.32473648	0.0011276193836790988	0.18240867066771266
RPLP1	3.233056	0.08724821	0.0012247348220640302	0.19606544972700696
GNG5	3.1954973	0.43680823	0.0013959015130308428	0.22004678085772422
SMCHD1	3.1363018	0.2612798	0.0017109301071607246	0.2629980473678851
NPM1	3.109036	0.06787033	0.0018769893038106632	0.28541500350536775
CD37	3.0897102	0.07255131	0.002003518710991228	0.2976092192956537
HMGB1	3.0663514	0.12270616	0.0021668850435063638	0.31729974971192476
RPL14	3.058495	0.05831375	0.002224517340081872	0.3242024163042906
HSP90AA1	3.037489	0.20098445	0.0023855816696240896	0.3460437410627958
MS4A1	3.0025346	0.06969383	0.0026774144764326597	0.3777355026408214
ADAR	2.9701433	0.6762334	0.0029766093938855018	0.4161461558501373
CCND3	2.963169	0.46122786	0.003044891657776497	0.42302761335353245
IGHM	2.962329	0.11326064	0.003053214155996949	0.42302761335353245
UBXN1	2.9603543	0.22163011	0.0030728537504961786	0.42384804611196625
LIMD2	2.9539685	0.047623858	0.0031371603848953976	0.4295055557784095
CMPK2	2.924644	4.1162186	0.0034485059093060898	0.4572896441194432
UVRAG	2.9187622	0.3723825	0.0035142421187354784	0.4620405903939152
MX2	2.8993526	1.3736863	0.0037393423275228085	0.48340778198105533
BTG1	2.8821275	0.08723944	0.003949999120680192	0.5043776723535772
CXCR4	2.8642724	0.13764448	0.004179686190054857	0.5271010784249998
MYL12A	2.853013	0.13333133	0.004330685776168537	0.5395370904285456
IFIT3	2.798523	3.727847	0.005133691381907885	0.6195924321359684
SRSF5	2.7863815	0.12082335	0.005330011131532697	0.6382998214378518
ODF3B	2.6430354	1.8916463	0.0082166421845857	0.8939070196378324
ARGLU1	2.6398425	0.14536753	0.008294455049809999	0.8983974610097751
RNASET2	2.6389604	0.19989467	0.008316071911473466	0.8983974610097751
SAMD9	2.6166937	0.82023764	0.008878595168804272	0.9426871303455175
UBE2D3	2.5571203	0.2262383	0.010554269580906248	1.0
PHF11	2.4952362	0.60801005	0.01258732972301284	1.0
SCAND1	2.4504092	0.29712448	0.014269397920157677	1.0
PSMA6	2.43352	0.64114094	0.01495280203746453	1.0
HLA-F	2.4331	0.3939249	0.014970163570822714	1.0
IFI35	2.4280586	1.1527349	0.015179891265232096	1.0
SAT1	2.3904576	0.26326647	0.016827393192660824	1.0
OAS2	2.3867185	1.4723103	0.016999503172581934	1.0
LAP3	2.337102	1.1309885	0.01943388316072442	1.0
COX5B	2.333867	0.24933873	0.019602686511578003	1.0
ARID4B	2.3311362	0.2919691	0.019746178287543093	1.0
NORAD	2.2660172	0.96243733	0.023450332839915176	1.0
DDX24	2.2645466	0.29902488	0.023540509285588915	1.0
PRPF38B	2.2582028	0.4378819	0.023933014455340573	1.0
RNF213	2.2548418	0.5590389	0.024143255121007463	1.0
IRF9	2.2525313	0.89040285	0.024288722742083064	1.0
RBM17	2.2505567	0.3860708	0.024413632833610716	1.0
TSPAN3	2.2492962	0.27833238	0.024493653433699518	1.0
RSRC2	2.1892188	0.42525893	0.02858094949429313	1.0
HNRNPA1	2.1881263	0.0507651	0.028660399183823484	1.0
FUS	2.1853535	0.15598948	0.02886293385712856	1.0
EIF5A	2.1659439	0.17472309	0.030315476434506616	1.0
UCP2	2.1489708	0.06123332	0.031636706593011384	1.0
KRTCAP2	2.1029255	0.27646542	0.03547228874658081	1.0
SRSF11	2.0894394	0.28508493	0.036668180428925785	1.0
HSPA4	2.0847342	0.5957674	0.03709344321166251	1.0
RAC2	2.0838099	0.05500036	0.03717746857646823	1.0
BDP1	2.054191	0.4997497	0.039957193195616615	1.0
IFI27	2.0207913	26.621614	0.043301364459204794	1.0
NCF1	1.999155	0.013693123	0.04559157945046043	1.0
PRR13	1.9975166	0.10428767	0.04576909530393353	1.0
SUMO2	1.9827702	0.07351136	0.047393097042720454	1.0
RAB8A	1.9774767	0.5154268	0.04798777009542626	1.0
IFI44	1.9723092	2.4709885	0.04857431981962403	1.0
RAN	1.958067	0.20236239	0.05022214740964254	1.0
FTL	1.9473119	0.02113378	0.05149735454018864	1.0
MT2A	1.9287424	1.7361834	0.05376284325930629	1.0
DDX17	1.9226086	0.21484998	0.054529216000079594	1.0
USP18	1.9163488	4.07509	0.05532071002623135	1.0
ITM2B	1.903493	0.08270522	0.05697623806034461	1.0
SNHG7	1.8879905	0.2429739	0.05902722236108239	1.0
AEBP1	1.8846295	0.732484	0.05947987092528241	1.0
ATP6V0C	1.8842094	0.17981158	0.05953665396493451	1.0
TCF25	1.8732022	0.23439482	0.06104046894323938	1.0
RPL36AL	1.8614807	0.031495184	0.06267631411333595	1.0
