	scores	logfoldchanges	pvals	pvals_adj
IFITM1	48.820587	2.559906	0.0	0.0
IFI44L	33.116234	4.004599	1.7354772121116115e-240	3.5967186728609115e-237
B2M	30.770664	0.27139944	6.4715384604555115e-208	1.0588458743167394e-204
XAF1	29.39421	2.1929905	6.511914940981322e-190	9.20163180774029e-187
LY6E	28.049301	1.1185111	4.073802390816827e-173	4.870857497050873e-170
ISG20	24.761427	0.8929806	2.335370026587416e-135	2.074275657614943e-132
IFITM2	23.595322	0.8224048	4.304735209983986e-123	3.263934231043223e-120
PTPRCAP	18.949461	0.5417114	4.461322695770961e-80	2.350663366837828e-77
HLA-C	18.147856	0.34283075	1.335124916807489e-73	6.5880997283800645e-71
S100A8	17.704601	1.8340364	3.8640525342543775e-70	1.8200272898843308e-67
MX1	17.582102	1.7507718	3.378143269830421e-69	1.5219759395538884e-66
HLA-E	17.11556	0.24706824	1.1361776813998158e-65	4.773021024550821e-63
IRF7	17.019508	1.5543406	5.886330200018205e-65	2.4398446257062126e-62
BTG1	16.987848	0.27861553	1.0102732116339691e-64	4.078748484424052e-62
ISG15	15.700996	2.1589541	1.4888453243976174e-55	5.509968404708182e-53
MALAT1	15.622459	0.1689142	5.1192332509450116e-55	1.872254165554442e-52
EIF2AK2	15.027232	1.5233763	4.8693056489426424e-51	1.7201375535077263e-48
S100A9	14.769542	1.6121315	2.302743164179705e-49	7.953930749428277e-47
RPL28	14.388931	0.11351727	6.072679869137314e-47	2.0299075171168997e-44
IFI6	14.045088	2.0672407	8.256554041826746e-45	2.7018052157712425e-42
LAPTM5	13.282044	0.17949656	2.942475498326109e-40	8.880848137520752e-38
HLA-DQB1	13.145696	0.24663235	1.801399374739824e-39	5.38462522716701e-37
TRIM22	13.128543	0.8455608	2.2596298098826165e-39	6.6900106571258e-37
SP110	12.802782	0.47557828	1.5818166053589631e-37	4.5956946552144006e-35
CXCR4	12.621797	0.29264095	1.6012582719894894e-36	4.484532964084437e-34
CCND3	12.589964	0.6610566	2.397835231541034e-36	6.655491414546082e-34
RPL36	12.562616	0.15793894	3.389378898299319e-36	9.3243913107461e-34
PTMA	11.84617	0.10633694	2.2525253827136947e-32	5.4706450447203624e-30
TMSB4X	11.635447	0.11831425	2.7216323171149485e-31	6.458578919248275e-29
STAT1	11.293481	1.5377097	1.4132651219003743e-29	3.303321266505033e-27
EPSTI1	11.291942	1.6741096	1.4382319926559917e-29	3.33659089221618e-27
TSC22D3	11.285472	0.18226328	1.5480892111514858e-29	3.564848096819722e-27
SP100	11.179252	0.31099948	5.152269694827815e-29	1.1777103529640607e-26
SHISA5	10.76031	0.6613301	5.2991592138767186e-27	1.1439927950123996e-24
PLSCR1	10.748653	1.7661434	6.013292948665873e-27	1.2892085372081104e-24
FAU	10.439761	0.06280312	1.63220679891509e-25	3.4053968293874766e-23
SRSF10	10.224467	0.3683479	1.5407259050617984e-24	3.1719567026924585e-22
PSME2	10.094622	0.56316	5.83558290786438e-24	1.1934918806367105e-21
CD74	10.046459	0.050313897	9.522790690911461e-24	1.9348692431919254e-21
CYBA	9.98871	0.09191678	1.707895224571589e-23	3.447619405601103e-21
MYL12A	9.93789	0.23996554	2.847950374379362e-23	5.675271364636617e-21
BST2	9.843791	0.684105	7.291064018785599e-23	1.4345399186834677e-20
PSMB9	9.633246	0.37230688	5.7871435759129055e-22	1.1037112413767146e-19
TMSB10	9.470909	0.121368155	2.7741760100516245e-21	5.226715734816658e-19
OAS1	9.401617	1.6373904	5.3730693397682996e-21	1.0062205214781754e-18
IFITM3	9.399418	1.9380937	5.486562436903891e-21	1.021321954946295e-18
TCL1A	9.256702	0.39164063	2.1084391343699133e-20	3.878405169831804e-18
UBE2L6	9.236381	0.83484375	2.5497741570781968e-20	4.6626370130052886e-18
IRF1	9.164102	0.4427926	4.996156736726607e-20	9.029972353175584e-18
HLA-A	9.047093	0.06400093	1.4682496304369116e-19	2.6383512289822118e-17
DRAP1	8.955754	0.5050819	3.3742065849232644e-19	5.859997771257515e-17
CNBP	8.78147	0.20888847	1.6135201549785074e-18	2.711324381503614e-16
ITM2B	8.577642	0.17273526	9.683736131172443e-18	1.551743840771947e-15
CLEC2D	8.420231	0.5548053	3.7574355765855926e-17	5.92930963296022e-15
IFIT3	8.309976	3.3629081	9.57217186139689e-17	1.4878505332762258e-14
PSME1	8.268457	0.14305846	1.3570346881744444e-16	2.0988128035462163e-14
HLA-DPA1	8.089835	0.058722734	5.974559958875425e-16	8.929381992382707e-14
HSH2D	7.8983607	0.7378589	2.825951154507359e-15	4.1244292741863974e-13
HSP90AB1	7.8100915	0.06731889	5.714638814186391e-15	8.038505738308251e-13
ADAR	7.7887297	0.6805916	6.768621183675205e-15	9.478203907068067e-13
RCSD1	7.7596836	0.19279535	8.514147857807089e-15	1.1869027554064976e-12
CALR	7.6270065	0.33987704	2.402676999729242e-14	3.23342077448411e-12
SMCHD1	7.353503	0.22033119	1.9307832809700073e-13	2.4399292624192936e-11
SAMD9L	7.305789	1.1059027	2.7564408244193405e-13	3.455220802771131e-11
PARP14	7.2841406	0.6158625	3.2372765961902983e-13	4.0094508982377614e-11
IFI27	7.03273	5.030427	2.025306045499552e-12	2.421564962940176e-10
CIRBP	6.9541707	0.062513776	3.546416524488656e-12	4.144640996119506e-10
RBM39	6.819246	0.14321907	9.15196508583124e-12	1.0421506909276036e-09
GABARAP	6.724397	0.101597436	1.763206881171054e-11	1.9716838962217466e-09
PARP9	6.385421	1.4376101	1.7092669255712535e-10	1.7771231075328948e-08
MX2	6.2243195	1.2212414	4.836504935123087e-10	4.788293914591446e-08
