	scores	logfoldchanges	pvals	pvals_adj
IFITM1	49.904545	2.574729	0.0	0.0
IFI44L	34.557205	4.11309	1.1109281589483967e-261	3.432434732702861e-258
B2M	32.681973	0.28215358	2.817096060068676e-234	5.1199892334083466e-231
XAF1	30.254961	2.1899214	4.489374152400817e-201	6.935409659336402e-198
LY6E	28.994272	1.1263316	7.769725445379012e-185	1.091187304935797e-181
ISG20	25.268024	0.9033038	7.178435095931927e-141	6.720973004818448e-138
IFITM2	23.95354	0.8254133	8.487570188118157e-127	6.556011402557167e-124
HLA-C	19.53985	0.3622054	5.032904910936945e-85	2.5916943838869796e-82
MX1	17.727657	1.7465411	2.5650024026096453e-70	1.2007708974762153e-67
HLA-E	17.670992	0.25818497	7.01518609638109e-70	3.235047833132635e-67
PTPRCAP	17.588745	0.5008514	3.0045900853653947e-69	1.3651885274637442e-66
S100A8	17.420849	1.7942038	5.731949729939421e-68	2.566667402984613e-65
IRF7	17.036833	1.5274173	4.378149675886649e-65	1.8787734796648584e-62
RPL28	16.330496	0.124281034	5.989650277462108e-60	2.3132778077843342e-57
ISG15	15.942325	2.1524253	3.22143570380294e-57	1.1849130826238027e-54
BTG1	15.790839	0.25701043	3.5975947307812624e-56	1.2924986557784728e-53
MALAT1	14.962361	0.1602858	1.2935344769749063e-50	4.39190491594436e-48
EIF2AK2	14.755233	1.480712	2.847062654967189e-49	9.561488570708831e-47
S100A9	14.373666	1.5765595	7.571545617145353e-47	2.488702605669574e-44
IFI6	14.220852	2.056275	6.802003180572853e-46	2.212226234422731e-43
LAPTM5	14.04796	0.19244394	7.928505849514396e-45	2.4996637268616966e-42
RPL36	13.298884	0.16137356	2.3494783817795762e-40	7.116846427631723e-38
TRIM22	13.227638	0.8426791	6.076712081018989e-40	1.8228366326916864e-37
PTMA	13.223007	0.1194719	6.4627668768213126e-40	1.9200010403187316e-37
SP110	13.035222	0.4775558	7.71424689655854e-39	2.2275428632053194e-36
HLA-DQB1	12.607264	0.22753407	1.9256426306367314e-36	5.265184102547176e-34
TMSB4X	12.388507	0.12531912	3.016083449265944e-35	7.897282231522869e-33
CXCR4	12.377597	0.278011	3.455339716779053e-35	8.971397582296e-33
CCND3	12.184216	0.63747215	3.7726678117228185e-34	9.633398130479332e-32
