	scores	logfoldchanges	pvals	pvals_adj
IFITM1	13.348159	2.414187	1.2141298118136373e-40	1.2581217819950182e-36
IFI44L	9.735108	3.79803	2.1358892035817526e-22	3.4946519827234705e-19
ISG20	9.680531	1.1149101	3.6481834411148775e-22	5.67055393169691e-19
XAF1	8.42448	2.0407438	3.623553564567202e-17	4.332515756219254e-14
ISG15	7.513809	2.061238	5.743131047916135e-14	5.251079849604967e-11
LY6E	7.311805	0.6848806	2.63577565065655e-13	2.1562725697884255e-10
BTG1	7.0304914	0.49298415	2.0580730861810554e-12	1.454075409775238e-09
B2M	6.858335	0.17341302	6.966779551431098e-12	4.1649283829872795e-09
CYBA	6.6749854	0.34432667	2.472567099333784e-11	1.3975398803088971e-08
MX1	6.6465235	1.6127733	3.000962722517534e-11	1.665909431337546e-08
SMCHD1	6.4814024	0.7049232	9.087385562478626e-11	4.7881280505215766e-08
HLA-C	6.40785	0.3161888	1.4758640874508575e-10	7.058490290243817e-08
IFITM2	6.3255553	0.5656505	2.5232314617128223e-10	1.1707417380636791e-07
CXCR4	6.304449	1.0231557	2.892208912139775e-10	1.3222073301718997e-07
TRIM22	6.134638	1.4231851	8.535354035630058e-10	3.737162688811713e-07
RPL28	5.8245425	0.14028077	5.726925118804215e-09	2.2535812806109697e-06
TMSB10	5.6918273	0.20301585	1.2568687946991702e-08	4.707503641061819e-06
SP100	5.243581	0.5571905	1.5748991154963424e-07	4.995804979942326e-05
CNBP	5.1953983	0.41970104	2.0428217068976882e-07	6.4146665052857e-05
IFIT3	5.0229216	3.8647923	5.089128346116924e-07	0.00015359779892789983
IRF7	4.8611054	1.2895349	1.1673218869186079e-06	0.0003360049583207293
CCND3	4.8252883	1.1041428	1.3980102353521378e-06	0.0003950904016944719
MALAT1	4.8148413	0.18532065	1.4731680246640065e-06	0.0004125799493939637
STAT1	4.766659	1.6357696	1.8730598785703355e-06	0.0005152903756204957
RPL36AL	4.7024865	0.28493875	2.570120551388635e-06	0.0006947594572262478
EIF2AK2	4.6983294	1.3499742	2.622982977294063e-06	0.0007029368259925908
COX6A1	4.5493045	0.31624776	5.382349348654828e-06	0.0013714843787019067
S100A8	4.477564	1.7633758	7.549967691397822e-06	0.0018627448065276515
IFI6	4.4579496	1.7288551	8.274733153904368e-06	0.0020254852720899613
PSME2	4.435564	0.59867555	9.1831559356019e-06	0.002212998205969428
COTL1	4.430554	0.5896075	9.399137913106753e-06	0.0022476230792673048
RNF213	4.3414373	0.947169	1.4155355956645794e-05	0.003283936944957073
ODC1	4.336747	0.9570108	1.4460681444811632e-05	0.0033299200301841426
EPSTI1	4.286646	1.9688429	1.8139112880243374e-05	0.00414625442726563
SHISA5	4.2837677	0.75670975	1.8375478017067477e-05	0.004169623978953115
TMSB4X	4.199768	0.20117085	2.6718853809406572e-05	0.00593292148837873
HLA-DQB1	4.1069207	0.2304434	4.009687097372904e-05	0.008537612520276128
RPL36	3.931353	0.14573652	8.446913335847423e-05	0.017016525630065917
FAU	3.8276327	0.077153035	0.00012938165200029414	0.024524923266665513
PPM1K	3.8113232	0.6171342	0.00013822496038491254	0.025819460984385704
LYN	3.7907495	0.8201057	0.00015019332511740526	0.027304443847513318
TXNIP	3.7735872	0.4175759	0.00016091692500151675	0.02874956579035719
