	scores	logfoldchanges	pvals	pvals_adj
IFITM1	15.038991	1.7415246	4.07716426463057e-51	8.782554704127674e-48
B2M	10.609419	0.17019121	2.694187083082867e-26	2.463358642699914e-23
LY6E	10.58786	0.9214587	3.392602913329573e-26	2.975554151355775e-23
IFI44L	9.902714	3.9085429	4.051315250117962e-23	2.798738604009269e-20
XAF1	9.754146	1.7856277	1.7708476497654404e-22	1.1468821018387135e-19
TMSB10	9.675818	0.27629232	3.820238624632109e-22	2.240750153281856e-19
ISG20	9.433371	0.82291764	3.9711941341673395e-21	2.2445911281610926e-18
TMSB4X	8.297734	0.19555274	1.0611564848538405e-16	4.851201712448726e-14
BTG1	7.663052	0.40722606	1.815655834056854e-14	7.426749067542818e-12
IFITM2	7.5953107	0.55085224	3.070548406865584e-14	1.2237710041568001e-11
MX1	7.4198904	1.6375175	1.1721708960891509e-13	4.3902742947859554e-11
IRF7	7.261599	1.3518447	3.825402057109775e-13	1.3827938808066463e-10
HLA-E	7.184431	0.20696904	6.748762411921355e-13	2.3572896303303276e-10
CYBA	6.8771563	0.2038889	6.1059224217867746e-12	2.0410194658718865e-09
S100A8	6.7246633	1.7554667	1.7599882198833025e-11	5.640490081599199e-09
ISG15	6.5211415	1.8490183	6.977425697304676e-11	2.147596362892183e-08
MYL12A	6.412244	0.22582161	1.4339325938845628e-10	4.370261033930334e-08
HLA-DQB1	6.3390603	0.3165347	2.3117054832841086e-10	6.977086248432338e-08
RPL36	6.2429795	0.13995838	4.2931353053860335e-10	1.2832759349859193e-07
PTPRCAP	5.771138	0.30967185	7.873777720839267e-09	2.1661250266170824e-06
S100A9	5.575289	1.5047404	2.471194981499698e-08	6.622589516369062e-06
CD74	5.217074	0.07234476	1.8177176061098405e-07	4.4146396266512985e-05
HLA-DRB1	5.065503	0.14755836	4.073231198639376e-07	9.379595427563133e-05
EIF2AK2	5.0439434	1.1214396	4.560337573358272e-07	0.00010424059863455044
HBB	4.7847834	1.5128468	1.7117178177252732e-06	0.00037211308950787115
PSME2	4.7794604	0.47447452	1.757662167477325e-06	0.0003794475263914417
SP100	4.77274	0.2889183	1.8173646808597858e-06	0.0003896304540268149
CD69	4.7008057	0.5165993	2.5913732115554213e-06	0.0005406578458229757
TCL1A	4.614716	1.6535271	3.936330175842384e-06	0.0008050572116869224
BST2	4.4337053	0.6461225	9.262715873935388e-06	0.0018110065935410652
PTMA	4.3899918	0.07347866	1.1335499809199115e-05	0.0021486992839547126
LAPTM5	4.3689375	0.12950714	1.2485237188575494e-05	0.0023522943544317964
CXCR4	4.363585	0.3536022	1.2794819438801846e-05	0.0023960997102050177
RPL28	4.3335204	0.055783786	1.4674351812893348e-05	0.00273162619645159
UBE2L6	4.2908773	0.79237676	1.7796854057122448e-05	0.003227361157488977
IFI6	4.206602	1.461452	2.5923905780711953e-05	0.004553087339011257
ODC1	4.0781965	0.5854233	4.538638371591777e-05	0.0077523434647073395
FAU	4.0240746	0.07733247	5.719974037619638e-05	0.009458342175929876
MALAT1	3.9670386	0.11532288	7.277116961357755e-05	0.011542027294782067
CCND3	3.9640353	0.62098426	7.369335722291092e-05	0.011628961400957523
SELL	3.9394426	0.2770639	8.167115147462258e-05	0.012822783262078748
PPDPF	3.8377113	0.08157638	0.0001241863011238866	0.018832095331893967
EPSTI1	3.8334293	1.3023186	0.00012636915486069852	0.019070086976478325
