	scores	logfoldchanges	pvals	pvals_adj
IFITM1	16.117483	1.8110311	1.9227955401239565e-58	5.400783073019081e-55
LY6E	11.621386	0.9823525	3.2088979055324174e-31	3.3048439529078365e-28
B2M	11.303089	0.18000178	1.2668137522496023e-29	1.1860831667653323e-26
ISG20	11.281656	0.973412	1.6167236601534764e-29	1.4691738508165282e-26
IFI44L	10.176282	3.9753659	2.530449604766146e-24	1.6996369877926002e-21
XAF1	9.879391	1.7985145	5.1143000110272026e-23	3.098363283151127e-20
TMSB10	9.85322	0.2837499	6.638230103209216e-23	3.9442576057472145e-20
MX1	8.737486	1.7894945	2.3835482048805124e-18	1.1329921367106643e-15
CYBA	8.331575	0.3043956	7.977365962788134e-17	3.423287168781458e-14
IFITM2	7.8417025	0.58093154	4.444781652474131e-15	1.7835119313830291e-12
TMSB4X	7.7404747	0.1904083	9.904641188720453e-15	3.778070355653035e-12
IRF7	7.7381916	1.3938305	1.0084092640620541e-14	3.799612320942108e-12
BTG1	7.726833	0.39834386	1.1025521459769539e-14	4.104283572801198e-12
HLA-E	7.510821	0.21858647	5.875775323955144e-14	2.1612360736219295e-11
ISG15	7.095264	1.9499155	1.2910498936449458e-12	4.532905518630442e-10
HLA-DQB1	6.529677	0.3385374	6.591170012338267e-11	2.0570442411233884e-08
S100A8	6.3364677	1.7283454	2.350925917536366e-10	6.984284430203952e-08
MYL12A	6.3319583	0.24656916	2.420687150361578e-10	7.123044846163969e-08
PTPRCAP	6.0428295	0.3478366	1.5143481010852842e-09	4.3322975258548174e-07
RPL36	5.7878327	0.12766951	7.1300263190625055e-09	1.9669323498220913e-06
EIF2AK2	5.5021	1.1992042	3.75293950934966e-08	9.583022481022846e-06
DRAP1	5.4362035	0.7157238	5.442783553852618e-08	1.3561748666401962e-05
SP100	5.2914534	0.33076158	1.2134817650683962e-07	2.9291364136967373e-05
HLA-DRB1	5.272646	0.14622752	1.3447073351246867e-07	3.2207304289416626e-05
CD74	5.2578344	0.06508482	1.4576175875859585e-07	3.464308507972566e-05
IFI6	5.198844	1.7329184	2.0053162829340444e-07	4.6585155784821934e-05
CCND3	5.127325	0.73321235	2.938875630702299e-07	6.726106693467328e-05
CD69	4.9875126	0.54279214	6.116167978648495e-07	0.00013793521316518432
BST2	4.8872833	0.71599287	1.0223691977993786e-06	0.00021980754899073962
S100A9	4.8764386	1.3626367	1.0801835696633984e-06	0.00023016849484062081
PSME2	4.8608847	0.46870723	1.1686230934783017e-06	0.0002473078610904047
MALAT1	4.8406506	0.13037118	1.2941479522961667e-06	0.0002701708735276666
PTMA	4.773584	0.07686852	1.8097623849540534e-06	0.0003727748560528359
TCL1A	4.6906495	1.7522435	2.7233944782388537e-06	0.0005359536254404195
HLA-C	4.5582566	0.08927781	5.157998610558931e-06	0.0009960417691902456
CXCR4	4.458741	0.35567385	8.24424741074889e-06	0.0015437728015145968
EPSTI1	4.4116516	1.425781	1.0258511166535073e-05	0.0018979474222301446
PSME1	4.330658	0.13634822	1.4866460672501388e-05	0.002686134709931435
HBB	4.281485	1.3568103	1.8565027511826265e-05	0.0032965727300741155
UBE2L6	4.1986647	0.74180996	2.6849360442681866e-05	0.004660475784255852
PLPP5	4.1901884	0.7627508	2.7872275513872398e-05	0.0048110038913526006
RPL28	4.0880475	0.05934468	4.350194785260273e-05	0.007304780884792753
ADAR	4.023663	0.67787844	5.729984409235878e-05	0.009518243456567791
COX6A1	4.0183263	0.18304633	5.86129679112928e-05	0.009684304115268523
TRIM22	3.958052	0.59723234	7.556353030849953e-05	0.01222348898398801
FAU	3.897378	0.08483085	9.723981300245873e-05	0.015022092511684836
SUMO2	3.8512304	0.114873216	0.00011752592148855426	0.017976229684316142
OAS1	3.7912984	1.270656	0.00014986183973886787	0.02236850851406667
IFITM3	3.7900996	1.5960255	0.00015058686628611906	0.02236866542135683
ODC1	3.782965	0.54036367	0.00015497128830829112	0.022800704261244146
IFIT3	3.657336	2.8135498	0.00025485022254940126	0.035954827973099776
HSH2D	3.6470048	0.50895596	0.00026531491067681955	0.03726106725082588
PSMB9	3.6414397	0.14992456	0.0002711175867161226	0.03739607177128589
SELL	3.6188369	0.2554154	0.00029593016009578783	0.04010243051087525
SHISA5	3.5888994	0.5105131	0.00033207699907962247	0.04441637679897444
RAC2	3.585589	0.049775857	0.00033631850086219796	0.044479883317712625
HLA-DMA	3.5505142	0.130027	0.0003844791918543326	0.04908782475505502
COX5B	3.5375862	0.19607772	0.00040380243041996614	0.05134273124562014
LAPTM5	3.5173805	0.077448905	0.0004358285340893208	0.05496242537860304
IL4R	3.3948052	1.0005829	0.0006867742235437468	0.08224520614275638
SP110	3.3775392	0.20233156	0.0007313753509790075	0.08691270853537844
PPDPF	3.3620138	0.052863214	0.0007737621986428067	0.0905565554979803
CLEC2D	3.3550503	0.8247636	0.0007935052522789668	0.0925167236968424
STAT1	3.3536806	1.0742421	0.000797443751927283	0.09262638948607994
RAN	3.348258	0.19397733	0.0008132123546287609	0.09375306761554039
