	scores	logfoldchanges	pvals	pvals_adj
IFI6	14.3000555	3.673852	2.1863548733235537e-46	4.247950871688082e-43
MZB1	13.706537	2.59023	9.278132891255296e-43	1.2540405095237103e-39
IFITM1	13.411425	2.364107	5.183376206613787e-41	5.371187204500093e-38
CD38	13.266005	2.6000526	3.645051687238393e-40	3.332756523564115e-37
HSP90B1	12.731466	2.0649254	3.953429534175919e-37	2.793187816566518e-34
SPCS3	12.679981	2.1643114	7.63502555625323e-37	4.94479248890092e-34
ISG15	12.642925	2.8997364	1.2241279606730074e-36	7.766217533355464e-34
ISG20	12.567273	1.4649284	3.1955479355466926e-36	1.986799973446801e-33
MYDGF	12.029513	2.0666246	2.4862071622222632e-33	1.3099783398644661e-30
FKBP11	11.824272	2.1456707	2.9242482675930814e-32	1.3368544984509724e-29
PSME2	11.522155	1.5092567	1.0202715155624436e-30	4.405163972818012e-28
MX1	11.510457	2.514434	1.168578515179953e-30	4.976383602931397e-28
SDF2L1	11.506674	2.0419178	1.2209683527730767e-30	5.060832424354219e-28
XBP1	11.322798	1.7687463	1.0119015010649366e-29	4.085322332935803e-27
LMAN1	11.313762	1.7572966	1.1217522951827458e-29	4.470758153890515e-27
TXNDC5	11.300172	2.1006532	1.3096108769793425e-29	5.088984166582103e-27
RRBP1	11.184313	2.4301875	4.8666293248435275e-29	1.801058402635842e-26
COX5A	11.117557	1.4227854	1.0305588756019998e-28	3.6824119271079734e-26
PPIB	10.901528	1.6773524	1.1333788372909345e-27	3.8717964741608e-25
SSR3	10.865313	1.7001722	1.6864385647958723e-27	5.637238243420352e-25
IFI35	10.768086	2.161022	4.8701950216491775e-27	1.5936816067158735e-24
HM13	10.712328	1.6801238	8.909297732329683e-27	2.8261565163768658e-24
TXNDC11	10.681367	1.79654	1.2442643668573209e-26	3.868044637249353e-24
IFI27	10.637656	8.169935	1.9907347414148815e-26	6.008346689938293e-24
SUB1	10.418966	1.5450381	2.0314967227277947e-25	5.847512835133237e-23
IRF7	10.327904	1.7731133	5.269985067323814e-25	1.4893456889808675e-22
FKBP2	10.155585	1.6017865	3.129281979496448e-24	8.459129469270095e-22
SEC61B	9.949714	1.3522016	2.5291082547993743e-23	6.662914264148148e-21
TMED9	9.947892	1.4224048	2.5758139795804524e-23	6.728935225480464e-21
SEC11C	9.867967	1.5856978	5.7314401334811e-23	1.4604367166354666e-20
LMAN2	9.739989	1.427183	2.0357632702355693e-22	5.022680379508979e-20
FNDC3B	9.703984	2.3863347	2.899497877541303e-22	7.097377206230432e-20
SEC61G	9.696909	1.3840333	3.107695749955643e-22	7.547573263974303e-20
SELENOS	9.680588	1.5028113	3.646122332334913e-22	8.652443125595072e-20
SSR4	9.635967	1.2643979	5.635856137712926e-22	1.3173072161885847e-19
TMEM208	9.612011	1.758398	7.114565288712118e-22	1.6382999342977306e-19
JCHAIN	9.553451	2.3800282	1.2544673652991883e-21	2.8674725724305783e-19
HSPA5	9.510441	1.3030312	1.8985567162883063e-21	4.2460742905938545e-19
NUCB2	9.47864	1.848221	2.576204345960263e-21	5.679891099494092e-19
BST2	9.404038	1.3359659	5.250833716047958e-21	1.133560192574881e-18
ERLEC1	9.340434	1.4913296	9.593983843997864e-21	2.0427957243723395e-18
MANF	9.158169	1.5922312	5.2785368449681217e-20	1.079564966444237e-17
ZBP1	9.055128	1.4270247	1.3640771243984116e-19	2.753575686115157e-17
PDIA4	9.026478	1.5014604	1.7728531462343248e-19	3.5556571456120295e-17
CALR	9.013029	1.1460193	2.0044217625983183e-19	3.9943243162752513e-17
SEC61A1	8.904174	1.4754401	5.378494690650153e-19	1.0385171704859709e-16
KDELR2	8.903474	1.3585498	5.412560690142517e-19	1.0386436677435829e-16
ITM2C	8.892126	1.3919427	5.99507200080123e-19	1.1371119385631755e-16
P4HB	8.8920555	1.2394596	5.998853473296258e-19	1.1371119385631755e-16
SLAMF7	8.88246	1.8300755	6.539821564298542e-19	1.2321420179960533e-16
PDIA6	8.880988	1.2772719	6.626896985482166e-19	1.241026184263157e-16
RABAC1	8.703977	1.0147085	3.2045349086875264e-18	5.894637674933085e-16
PRDX4	8.60605	1.4250166	7.562186701692466e-18	1.3747701637164543e-15
UBE2J1	8.598694	1.1722387	8.062830399840988e-18	1.4572628409294e-15
LAP3	8.516738	1.590644	1.6411062546027166e-17	2.8823203467138222e-15
RPN2	8.510783	1.2234735	1.727617971374993e-17	3.017216846973843e-15
PRDX1	8.405291	1.2058483	4.268018178329346e-17	7.412283860878457e-15
TNFRSF17	8.379023	1.3982965	5.3368855225406054e-17	9.217097791067767e-15
HDLBP	8.313949	1.382084	9.256955331290921e-17	1.5639726651295698e-14
LGALS1	8.264984	1.317122	1.397128428137036e-16	2.3350823357793565e-14
LRPAP1	8.253496	1.3502996	1.5382619668954923e-16	2.5572165649668538e-14
STAT1	8.231642	1.8964134	1.8466504296323232e-16	3.037397984443388e-14
TMEM258	8.1537485	1.0800012	3.528155475079579e-16	5.772619434410467e-14
MRPS24	8.125169	1.345912	4.467417923920292e-16	7.26256186927399e-14
CYBA	8.124678	0.56689966	4.485514455883829e-16	7.26256186927399e-14
TOP1	8.109548	1.3357781	5.080855814911368e-16	8.183863456898947e-14
GLRX	8.08391	1.3980895	6.272262522351197e-16	9.99927307858111e-14
ELL2	7.961676	1.5461329	1.6972451751280893e-15	2.5991261457737393e-13
SRGN	7.960065	1.2626113	1.7194916906788536e-15	2.62028618569282e-13
DDOST	7.954461	1.0874537	1.799130759534327e-15	2.728272093738714e-13
NDUFV2	7.9478765	1.1652825	1.8973574827905313e-15	2.8632598091023905e-13
COPE	7.832927	0.93549377	4.7663963674442265e-15	6.923970274520499e-13
SPATS2	7.8160458	1.5883772	5.450856138825783e-15	7.881430920357075e-13
TMBIM6	7.8100915	0.781404	5.714640389896427e-15	8.224584527810659e-13
UQCRQ	7.7944007	1.0859714	6.471478756347209e-15	9.270915211915469e-13
TMED10	7.7911787	1.0531553	6.6386960320269074e-15	9.466841447138554e-13
DNAJC3	7.775838	1.3138067	7.49495039059844e-15	1.0542783836766229e-12
SEC13	7.762669	1.2318096	8.316040811903988e-15	1.1645079311696363e-12
