	scores	logfoldchanges	pvals	pvals_adj
IFI6	14.73165	3.8055925	4.037231621598447e-49	1.5592293176565902e-45
MZB1	13.864349	2.6646647	1.0416651761433528e-43	1.6939120498579564e-40
IFITM1	13.833414	2.5137901	1.6023058328907382e-43	2.3574496818488163e-40
CD38	13.156373	2.54813	1.5641697175328474e-39	1.421416228312129e-36
HSP90B1	12.9022	2.1412802	4.374281590995505e-38	3.465440469666362e-35
ISG15	12.636893	2.830164	1.3217318079444094e-36	9.49710410931591e-34
MX1	12.119317	2.6880822	8.345119416379067e-34	4.370155162845153e-31
ISG20	11.999524	1.4094012	3.573435873229367e-33	1.809974560248652e-30
FKBP11	11.962953	2.1596184	5.5551084395301e-33	2.7683255718735723e-30
SDF2L1	11.786222	2.112036	4.5970142089489156e-32	2.2090266563908293e-29
MYDGF	11.785306	1.9793271	4.647271018720391e-32	2.2090266563908293e-29
SPCS3	11.771214	1.9669229	5.49289010930573e-32	2.571421601624532e-29
PSME2	11.360745	1.5102122	6.558228586849528e-30	2.655006717791453e-27
LMAN1	11.3169155	1.807076	1.0821238504815142e-29	4.232200077003461e-27
RRBP1	11.310785	2.402028	1.1604639151998326e-29	4.481856698491153e-27
TXNDC5	11.300145	2.11316	1.3100193922627065e-29	4.996996192930969e-27
HM13	11.17415	1.7769659	5.456989155843912e-29	1.983583458213051e-26
IFI27	10.698925	8.1843195	1.0296605831448234e-26	3.42079817606727e-24
XBP1	10.68011	1.6523199	1.2612183738968633e-26	4.145517457265042e-24
FKBP2	10.595339	1.7165163	3.132039923063102e-26	1.018638289504007e-23
PPIB	10.587094	1.6423575	3.4204419544175854e-26	1.1008478652670847e-23
IFI35	10.534879	2.0636642	5.966007320679931e-26	1.8809360019086513e-23
SSR3	10.5124	1.6342632	7.574109929124643e-26	2.3638108533349908e-23
IRF7	10.281482	1.74677	8.540470111240166e-25	2.5372587021825715e-22
TXNDC11	10.27514	1.7157452	9.12124932908986e-25	2.683992766865613e-22
SELENOS	10.162463	1.6287842	2.9161345628844995e-24	8.420542952284334e-22
SEC61B	10.143437	1.4403385	3.544041317273307e-24	1.0138911535166053e-21
SEC11C	10.10602	1.6878008	5.195218002966637e-24	1.4726298223638547e-21
FNDC3B	10.00934	2.4641428	1.3867478655646342e-23	3.86003142363518e-21
BST2	9.94289	1.4618273	2.7085308355661385e-23	7.471917609507766e-21
TMED9	9.927387	1.4465501	3.164380625707879e-23	8.652200724999676e-21
ERLEC1	9.898426	1.631906	4.228795264486266e-23	1.1461148007616857e-20
SUB1	9.851917	1.4397396	6.724838966549002e-23	1.7758747824740556e-20
COX5A	9.841418	1.2338755	7.465097383656443e-23	1.938227847586833e-20
TMEM208	9.786102	1.7497963	1.2918022476415675e-22	3.326067837115126e-20
LMAN2	9.756506	1.4154301	1.7301317557338355e-22	4.417841393132919e-20
ZBP1	9.674695	1.5353074	3.8624325898446064e-22	9.702242254343804e-20
