	scores	logfoldchanges	pvals	pvals_adj
PSME2	10.512263	2.8824089	7.585106831421437e-26	2.357982160683982e-22
HSP90B1	10.461612	3.0695443	1.2963106554230819e-25	3.6634917586488494e-22
LMAN1	10.181796	3.382106	2.391076198254618e-24	4.025544178894221e-21
TXNDC5	10.181178	4.4638934	2.406304513087272e-24	4.025544178894221e-21
MYDGF	10.103349	3.357714	5.3387584702400424e-24	7.903142122112009e-21
SSR3	10.091303	3.1629581	6.036272940968038e-24	8.529528041630608e-21
MZB1	9.948924	3.650731	2.549238961158682e-23	2.732696261570343e-20
SUB1	9.849475	2.8462956	6.890283610282106e-23	6.510830991981543e-20
RRM2	9.849166	4.184775	6.911487848148452e-23	6.510830991981543e-20
RAN	9.824767	2.1831932	8.8077202061887e-23	7.823017087136803e-20
PDIA4	9.772264	3.6018987	1.4810609886080848e-22	1.2443714311583657e-19
SDF2L1	9.70617	3.5811121	2.838023441482774e-22	2.1006103506041662e-19
COX6A1	9.665401	1.7241607	4.229573815365438e-22	2.963704791735141e-19
HM13	9.6629305	3.2053459	4.332868409689092e-22	2.963704791735141e-19
FKBP11	9.6616955	3.5098183	4.38544794994102e-22	2.963704791735141e-19
GAPDH	9.584483	2.3875532	9.29214184342293e-22	5.777296269729773e-19
SPCS3	9.576762	3.1888118	1.001348071939713e-21	6.004250071028903e-19
SEC61G	9.559466	2.6535597	1.1836496174753817e-21	6.942663331784376e-19
TXN	9.525803	3.168331	1.6377188147380824e-21	9.256684507956868e-19
MANF	9.485034	3.533507	2.4230318462280087e-21	1.2987032931670708e-18
C12orf75	9.403499	3.7073977	5.27783638720361e-21	2.604319043952359e-18
CALR	9.363966	2.2643392	7.679860631895522e-21	3.5633407084139716e-18
JCHAIN	9.263899	3.8102064	1.9709998822427432e-20	8.629925822433826e-18
SEC61B	9.219425	2.519459	2.986976236151344e-20	1.2524267452178046e-17
CD38	9.219425	3.1622715	2.986976236151344e-20	1.2524267452178046e-17
PCLAF	9.218189	5.247688	3.0215847747076056e-20	1.2524267452178046e-17
AQP3	9.161362	3.6970382	5.124658542915467e-20	2.0424392323540144e-17
TNFRSF17	9.154876	3.320439	5.442039834990325e-20	2.1414771183587877e-17
PPIB	9.152714	2.4236045	5.552091688742479e-20	2.157473429099218e-17
CHCHD2	9.120902	1.6643605	7.45013273728448e-20	2.859287363011884e-17
MLEC	9.118123	2.9491954	7.643675881443503e-20	2.897792099102856e-17
COX5A	9.110093	2.1108482	8.231155388915849e-20	3.082914790062976e-17
HSPA5	9.106078	2.3396761	8.541412293126536e-20	3.161034332814579e-17
NME1	9.089091	3.509705	9.987041114698342e-20	3.652554672148557e-17
MIF	9.055736	1.5023779	1.356504644118428e-19	4.9034488222918104e-17
SMC4	9.045853	3.3453555	1.4850201417544714e-19	5.3063012812323276e-17
SEC11C	9.027939	3.0379486	1.7493501666763554e-19	6.179778253575893e-17
P4HB	8.988715	2.4920404	2.5013668780893767e-19	8.737077768445444e-17
TUBA1B	8.987171	2.3733454	2.536752401399542e-19	8.762224655811953e-17
LIME1	8.962463	2.8852625	3.1750445664037875e-19	1.084644070723017e-16
SRGN	8.954124	2.6590447	3.424422905758656e-19	1.157119944253471e-16
PDIA6	8.9485655	2.506944	3.601326714441709e-19	1.2038112212026816e-16
TMEM258	8.942698	1.9672636	3.7978564465300977e-19	1.2559996101412888e-16
HMGB1	8.938991	1.454666	3.92740111846052e-19	1.285169669153497e-16
HDLBP	8.914283	2.9810662	4.90982509741033e-19	1.5899138833666138e-16
ATP5MC3	8.880619	2.0643325	6.648954413775342e-19	2.1091433251125923e-16
XBP1	8.765418	3.0302565	1.860844685063272e-18	5.509340830910661e-16
RRBP1	8.74071	3.187971	2.316490638888599e-18	6.730163036554194e-16
TYMS	8.731445	3.0940697	2.5143931530906955e-18	7.171095408268848e-16
PSMB2	8.724032	2.572836	2.6846568157800664e-18	7.587084221104994e-16
OSTC	8.640026	2.5875814	5.620025609006661e-18	1.573961586551262e-15
SEC13	8.625819	2.575084	6.363563253522492e-18	1.7662865255558367e-15
ISG20	8.617171	1.7596393	6.862849268638763e-18	1.8880123470280818e-15
FKBP2	8.6147	2.5333846	7.012472450968605e-18	1.9122520270461493e-15
LRRC59	8.568373	2.7369385	1.049571888078053e-17	2.765088244464613e-15
LAP3	8.546754	2.933811	1.2659883340391091e-17	3.3072083479221667e-15
TIMM8B	8.544901	2.988221	1.2864681015074661e-17	3.3228844852620024e-15
ATP5PF	8.503206	1.8425602	1.8442484599131413e-17	4.66115055880649e-15
ATP5MC1	8.500117	2.2517836	1.8939847406637328e-17	4.748250292984956e-15
PTTG1	8.49672	3.0330467	1.9502240287900103e-17	4.8501291506396044e-15
TUBB	8.484675	2.333708	2.163218379397413e-17	5.295115729159637e-15
GNG5	8.482822	1.7559865	2.1979629151019174e-17	5.33813071420104e-15
DCPS	8.458424	3.065091	2.710168848546478e-17	6.531086743780183e-15
UQCRQ	8.436495	2.1901138	3.2699554494110145e-17	7.819469619680017e-15
ERH	8.434642	1.9645312	3.322183051755774e-17	7.883717903048225e-15
NDUFAB1	8.429701	2.3705773	3.465513717319126e-17	8.100182325586442e-15
MRPL12	8.423215	3.8110917	3.662927488142755e-17	8.434772357325469e-15
CYTOR	8.421362	3.6314802	3.721341233203719e-17	8.506274626220883e-15
MRPL51	8.402522	2.3923228	4.369913871246275e-17	9.915876825944011e-15
PRDX4	8.38677	3.0940175	4.9967915787088126e-17	1.125617824690731e-14
RPN1	8.378431	2.306552	5.363764099289707e-17	1.1995923349253174e-14
MKI67	8.377505	3.324045	5.4061445719789325e-17	1.2004344022079221e-14
PSMA3	8.376269	2.3257055	5.4631660176744375e-17	1.2044924963932285e-14
SPCS2	8.340444	1.8205163	7.401255860865378e-17	1.6203016968079014e-14
SRPRB	8.326237	3.0214913	8.345316713788038e-17	1.8142018229477534e-14
PGAM1	8.315736	2.2177448	9.11850365030396e-17	1.954944296393098e-14
RPS27L	8.308632	2.361283	9.681170777411303e-17	2.0613599723108575e-14
ITM2C	8.305235	2.4804504	9.962241820899109e-17	2.1067769488863306e-14
COX8A	8.304308	1.7742087	1.0040284116560906e-16	2.108934542780601e-14
AURKAIP1	8.297205	1.8786138	1.0658976997522742e-16	2.2238632075301306e-14
