	scores	logfoldchanges	pvals	pvals_adj
HSP90B1	9.534093	3.2691	1.5120100454766e-21	1.5572191458363504e-17
LMAN1	9.113623	3.6121438	7.967617693605596e-20	6.154387096983303e-16
MYDGF	9.086495	3.3599005	1.0228287733547953e-19	6.320468122068622e-16
SSR3	9.009879	3.3641613	2.0628307017127193e-19	1.0622546698469647e-15
HM13	8.953425	3.613038	3.4461789719329995e-19	1.5210941670830555e-15
MZB1	8.843818	3.5258331	9.25027939522849e-19	2.876882636184767e-15
TXNDC5	8.792496	3.9009814	1.462737956542109e-18	4.10856496757105e-15
PSME2	8.769034	2.4063964	1.8020502049594672e-18	4.639828765219388e-15
SEC61G	8.759136	2.991433	1.9675151234677724e-18	4.676178059214136e-15
PSMB2	8.635964	3.4001276	5.8233487640363555e-18	1.1245250422651956e-14
MANF	8.603705	3.6170664	7.718293876807601e-18	1.3248451439540249e-14
SPCS3	8.4860325	2.924057	2.1381218077579387e-17	3.1457880711570014e-14
SDF2L1	8.433977	3.3033373	3.3411119857317944e-17	4.4882755227458806e-14
SUB1	8.408683	2.8942552	4.146394204632374e-17	5.337964239188602e-14
SEC61B	8.345264	2.616398	7.105479018175471e-17	8.781519408982702e-14
PCLAF	8.312638	5.2257	9.359737948927697e-17	1.1122608592616116e-13
JCHAIN	8.275247	3.965793	1.2818967349267022e-16	1.2776375296461392e-13
PPIB	8.248119	2.6622388	1.6090603591848553e-16	1.4985222775647436e-13
COX5A	8.228691	2.411219	1.8927050305353933e-16	1.6244140924570014e-13
TMEM258	8.222093	2.2060754	1.9998303098917137e-16	1.6699664076952507e-13
FKBP11	8.214395	3.2669966	2.1323810659933072e-16	1.6925498225125362e-13
IFI6	8.213294	5.463711	2.1520106318481265e-16	1.6925498225125362e-13
RRM2	8.211095	3.4898295	2.1918056809029563e-16	1.6925498225125362e-13
MRPS24	8.104053	2.9060864	5.315809217383195e-16	3.442412687961632e-13
TXN	8.100754	2.935999	5.461987465285246e-16	3.444061769692209e-13
NME1	8.093788	3.573069	5.783717253745172e-16	3.503911999783619e-13
CALR	8.08719	2.2617683	6.105707805853347e-16	3.5040087978257433e-13
TNFRSF17	8.086823	3.3544908	6.124105093782249e-16	3.5040087978257433e-13
GAPDH	8.080958	2.3092582	6.425999637312994e-16	3.609892923528356e-13
CD38	8.078392	2.9166746	6.562645823896159e-16	3.620822643230708e-13
LY6E	8.072893	2.042583	6.865172901585139e-16	3.7212850375487026e-13
RPN1	7.976115	2.6213226	1.5101109160212004e-15	7.776316162051172e-13
PDIA4	7.94019	3.0748317	2.0187180714291053e-15	9.900370198880167e-13
AQP3	7.9291925	3.3721473	2.2057542527483587e-15	1.0648623304244694e-12
GNG5	7.9218607	2.2493823	2.339821202296246e-15	1.095355389202229e-12
LIME1	7.9013324	2.8507516	2.7593819699202386e-15	1.242893431517314e-12
ATP5MC3	7.88007	2.3267424	3.2719679417079724e-15	1.4441999070707318e-12
PSMB6	7.8738384	2.232091	3.4392300056351996e-15	1.475859576168205e-12
ATP5PF	7.8661404	2.1238127	3.657506363528482e-15	1.5480270426567057e-12
SEC11C	7.8624744	2.9242196	3.766186566550342e-15	1.5724846803608906e-12
LAP3	7.8588085	3.2592385	3.878044780536748e-15	1.5975993277899188e-12
TUBA1B	7.856609	2.4309359	3.946723063279105e-15	1.6044987169228224e-12
RAN	7.8412127	2.033215	4.462164062382076e-15	1.7904867926677793e-12
TUBB	7.826183	2.7752604	5.0290659249182884e-15	1.9668740491417767e-12
