	scores	logfoldchanges	pvals	pvals_adj
IFITM1	12.9993	2.9153626	1.234688789397076e-38	3.838277039598691e-34
IFI44L	10.302915	4.3502793	6.835804205351667e-25	4.2500929066353456e-21
LY6E	10.058466	1.2438928	8.430155160834502e-24	4.316133811545771e-20
ISG20	9.607892	1.1738424	7.404908706679817e-22	2.541332879852883e-18
XAF1	8.95139	2.8779087	3.5103417064375636e-19	9.093832719002046e-16
IFI6	8.314686	3.3394034	9.199528717572965e-17	1.5888097180177266e-13
PPDPF	8.089938	0.67208195	5.969483965119437e-16	8.836826096365139e-13
BTG1	7.824907	0.6022174	5.080332946045715e-15	5.640439653347255e-12
MX1	7.7314005	1.8471222	1.0636961133061216e-14	1.1022373691449135e-11
B2M	7.6275053	0.2528387	2.393402927262486e-14	2.400119896768029e-11
ISG15	7.453529	2.2927632	9.087600614421571e-14	8.07160686572924e-11
MALAT1	7.1438026	0.283189	9.078381051398913e-13	7.236400813970205e-10
RPL28	6.8904343	0.17114773	5.5622245054156455e-12	4.116973171425147e-09
CCND3	6.825255	1.1142828	8.776946431880112e-12	6.063309638396824e-09
BST2	6.6508865	1.3345424	2.91332875556801e-11	1.886805229673807e-08
TXNIP	6.4304514	0.6735109	1.2722554488100192e-10	7.47200877498707e-08
IFITM2	6.35498	0.7268516	2.0845363101492218e-10	1.1586548221425935e-07
TSC22D3	6.3379254	0.5384668	2.328793468293977e-10	1.2700912727869275e-07
LAPTM5	6.2850957	0.4405327	3.2765202430077004e-10	1.7561583585237996e-07
TRIM22	6.253535	1.4616923	4.012649683025184e-10	2.1142583168848116e-07
S100A8	6.007812	2.1095824	1.8804375038451025e-09	9.583141095415196e-07
EIF2AK2	5.896467	1.7374364	3.7136643760633054e-09	1.8620432977206448e-06
IRF7	5.8111944	1.5676486	6.202866667890163e-09	3.012945564135961e-06
RPL36	5.5200906	0.28296426	3.388246549878928e-08	1.504720292801232e-05
STAT1	5.496469	2.11349	3.87470749597787e-08	1.672958776770334e-05
HSP90AB1	5.4461875	0.4485836	5.146084890847963e-08	2.1618424459701435e-05
COX6A1	5.4064918	0.5216594	6.427121025933536e-08	2.663998817775945e-05
IFIT3	5.376499	4.6771927	7.594804469870862e-08	3.066229695517863e-05
CLEC2D	5.2636843	0.81556576	1.4119686956809898e-07	5.288418173811437e-05
ARID5B	5.154202	0.98886234	2.5471352343472336e-07	9.426522979780053e-05
PLSCR1	5.0599117	2.6601663	4.1945078522514586e-07	0.00014947660348014748
