	scores	logfoldchanges	pvals	pvals_adj
IFITM1	12.564873	2.7576768	3.294030813134031e-36	1.0177567003340217e-31
LY6E	10.047488	1.2516618	9.423858308986246e-24	5.823379003454961e-20
IFI44L	9.912261	4.1625557	3.6821766567063874e-23	1.896136869370954e-19
ISG20	9.88718	1.2963654	4.7316860476271995e-23	2.0884986259076798e-19
XAF1	8.457363	2.7787936	2.7349090868133292e-17	4.4473940029090227e-14
B2M	8.092019	0.28077492	5.868372393040024e-16	7.5547959094899e-13
PPDPF	8.083972	0.6825654	6.269058179774067e-16	7.747803623219174e-13
MX1	7.8620067	1.9699175	3.780272968998115e-15	4.49227284319749e-12
MALAT1	7.853542	0.31745464	4.044490012618905e-15	4.628244737773567e-12
BTG1	7.787496	0.62420446	6.835026974102446e-15	7.282132014442872e-12
IFI6	7.7505016	3.2491724	9.153023641320492e-15	9.426699048195975e-12
RPL28	7.477852	0.20391686	7.554719225869188e-14	6.86523999769648e-11
ISG15	6.9327617	2.345316	4.127028067120257e-12	3.110067955849136e-09
CCND3	6.830871	1.1265593	8.440066734568994e-12	6.064482369720424e-09
BST2	6.6815352	1.413979	2.3645164358352623e-11	1.6234769848444913e-08
LAPTM5	6.6226997	0.43387118	3.5269653150694864e-11	2.3689705943413462e-08
IFITM2	6.58696	0.7709903	4.4892395405067715e-11	2.8896673767299525e-08
TSC22D3	6.514539	0.570659	7.291332594870258e-11	4.4172608467393404e-08
TXNIP	6.2784653	0.6783922	3.419310485761623e-10	1.8865435014031581e-07
S100A8	5.9490705	2.0375886	2.6966962604420018e-09	1.411900212053664e-06
IRF7	5.9463534	1.6990076	2.7418200059300205e-09	1.411900212053664e-06
TRIM22	5.65343	1.3543514	1.572771584063251e-08	7.592800567625355e-06
EIF2AK2	5.555824	1.6804067	2.7630555069485307e-08	1.2741809850475933e-05
EPSTI1	5.403562	2.618331	6.53302975030726e-08	2.8835860027891918e-05
EZR	5.2378197	0.5059567	1.6248474239894257e-07	6.605646165658063e-05
RPL14	5.1875534	0.22751246	2.1307478268619362e-07	8.549833195656265e-05
HLA-E	5.123284	0.2476578	3.002598917325379e-07	0.00011313573018122224
CLEC2D	5.118477	0.8341351	3.0801338130776323e-07	0.00011465890894296339
