	scores	logfoldchanges	pvals	pvals_adj
IFITM1	22.32946	3.336683	1.912191519794783e-110	2.9722148887930213e-106
B2M	15.980172	0.37262067	1.7566130281499607e-57	9.101304867682972e-54
IFI44L	14.550783	4.4083395	5.773823791760537e-48	1.9943428912717756e-44
LY6E	13.5115795	1.2119638	1.3362297641313e-41	3.461614556462477e-38
HLA-A	12.249169	0.46272776	1.6972446079682805e-34	2.7769601646268388e-31
XAF1	12.053386	2.2156477	1.8614341692421888e-33	2.8933202009615963e-30
ISG20	11.449857	1.018364	2.3553368349082355e-30	3.486683627942491e-27
IFITM2	11.356067	1.0138367	6.919003452799936e-30	9.776866378963254e-27
TXNIP	10.941962	0.6801433	7.26114352906672e-28	9.405298703670715e-25
HLA-C	10.82333	0.52687764	2.6690011389336974e-27	3.318849536241274e-24
IRF1	9.69702	1.2601266	3.104349027089703e-22	2.757282805861074e-19
NFKBIA	9.217192	0.8441757	3.049819737011018e-20	2.43101913242209e-17
MX1	8.967392	1.8725975	3.0361684612826134e-19	2.1451220217248318e-16
HSP90AB1	8.219192	0.4983733	2.0487919330756836e-16	1.1173823653249785e-13
S100A8	8.041567	1.917051	8.869703158434919e-16	4.5202042964961693e-13
IRF7	7.5846915	1.5585703	3.33279179046287e-14	1.54636564761372e-11
PSMB9	7.49846	0.8267747	6.457200397268739e-14	2.9092027355057e-11
LAPTM5	7.4681797	0.32984513	8.131172350388415e-14	3.6110536408074955e-11
PSME2	7.450804	0.9031983	9.277283095870657e-14	4.062012670441284e-11
EIF2AK2	7.431355	1.7766614	1.0749075800178008e-13	4.57748656712512e-11
RPL14	7.417805	0.19117363	1.1907721931225173e-13	4.9356713556799595e-11
BTG1	7.374943	0.31693393	1.644157206965944e-13	6.55280962730132e-11
CCND3	7.2858076	0.9572642	3.19749088249064e-13	1.2271654205430435e-10
TSC22D3	7.2723956	0.4774931	3.5316692930236427e-13	1.3388902842954388e-10
STAT1	6.875666	2.0901334	6.170088601255858e-12	2.179653913036828e-09
