	scores	logfoldchanges	pvals	pvals_adj
IFITM1	21.928726	3.4857106	1.382449347389531e-106	2.1356768743147167e-102
B2M	16.18056	0.39872366	6.916271952935224e-59	3.561534242163993e-55
IFI44L	14.211498	4.510282	7.774469638510237e-46	2.6689754269005647e-42
LY6E	13.467201	1.2610424	2.4393986038531567e-41	5.797699897173152e-38
XAF1	12.935774	2.4620528	2.827608777508198e-38	5.824308559911386e-35
IFITM2	12.291691	1.1481718	1.003842499275875e-34	1.632406405269827e-31
HLA-A	12.0962715	0.49087596	1.1051779378743492e-33	1.7073341373251883e-30
ISG20	11.56691	1.0259807	6.062708846418129e-31	8.144326749033954e-28
HLA-C	11.079472	0.5542171	1.578007925141232e-28	1.9502284345235457e-25
IRF1	9.938502	1.376567	2.83051239675861e-23	2.915144717421692e-20
TXNIP	9.852951	0.6371466	6.656022072150527e-23	6.231851938279843e-20
MX1	9.183053	1.9323491	4.190387843940146e-20	3.4071161372162814e-17
IRF7	8.046266	1.722685	8.535877905606853e-16	4.709518208027409e-13
HSP90AB1	8.041205	0.4626062	8.895880429542992e-16	4.738896855717065e-13
NFKBIA	7.8611207	0.74302274	3.80712337989736e-15	1.9283391978473563e-12
EIF2AK2	7.7976675	1.9274865	6.30619948877705e-15	3.1426233162055568e-12
PSME2	7.535852	1.0015955	4.851566793569947e-14	2.306136295706625e-11
S100A8	7.527849	1.856092	5.1582860148106024e-14	2.4147812575697452e-11
PSMB9	7.4534507	0.864203	9.093004221421734e-14	4.0716891511488015e-11
CCND3	7.2953596	0.99470633	2.9786201352490026e-13	1.2436544097133571e-10
HLA-E	7.2348495	0.3502432	4.660455825983433e-13	1.919921382072135e-10
IFI6	6.974996	2.049744	3.0587925849425434e-12	1.125089458297259e-09
TSC22D3	6.7670307	0.45703366	1.3145211180472094e-11	4.563456065652205e-09
SRSF10	6.700428	0.6848916	2.078097058706126e-11	7.118306927285387e-09
STAT1	6.699137	2.1211207	2.0965334187234042e-11	7.118306927285387e-09
SMCHD1	6.503615	0.60589397	7.841246775501545e-11	2.5079516982038473e-08
ISG15	6.486319	2.0634463	8.795889407769417e-11	2.7451171215338556e-08
TRIM22	6.4373736	1.0818677	1.2155837335113735e-10	3.7557890614300907e-08
EPSTI1	6.415018	2.359581	1.4080625027548573e-10	4.265186975256551e-08
RPL14	6.3287444	0.13786927	2.47164184337797e-10	7.414205634451372e-08
LAPTM5	6.0904207	0.2604476	1.126143959714927e-09	3.192153203973587e-07
HLA-DQB1	6.0566545	0.37536052	1.389815016502059e-09	3.90373768771492e-07
EIF5A	5.97193	0.55273855	2.3446317992958118e-09	6.354569184459886e-07
HLA-B	5.6844544	0.22339748	1.3123081035972059e-08	3.4072591157010815e-06
HERPUD1	5.6586394	0.5968864	1.525775846327434e-08	3.928491360331561e-06
PTPRCAP	5.4360113	0.49828112	5.4486480848697774e-08	1.3152099990486055e-05
BTG1	5.3814387	0.19222538	7.389293420917944e-08	1.7562076832777054e-05
CHCHD10	5.379425	0.81492096	7.472412890750806e-08	1.7624056571414324e-05
ADAR	5.265271	1.0389725	1.3998255103313898e-07	3.2519104355420265e-05
BST2	5.2518473	1.0002214	1.5058117329644749e-07	3.4720197845823417e-05
PSME1	5.171408	0.34699965	2.323366433928459e-07	5.278312699197617e-05
PLSCR1	5.133202	2.3019161	2.84854098894576e-07	6.377635575033126e-05
COX6A1	4.995247	0.39909387	5.87605998174075e-07	0.00012695987780128948
CD83	4.975989	0.5786808	6.491541793830875e-07	0.00013928414361388371
HSP90B1	4.8482046	0.5984834	1.2458381777804709e-06	0.0002566177478592214
S100A9	4.818672	1.448223	1.44516639242699e-06	0.00029183860148246214
UBE2L6	4.686138	0.9194078	2.7840808826495765e-06	0.0005514086348155382
HMGB1	4.674212	0.23814654	2.9508461836161226e-06	0.0005770398388302996
CD69	4.618193	0.4776379	3.870954315119257e-06	0.0007475054717139979
SHISA5	4.579161	0.68828607	4.668444043847931e-06	0.0008903760223627748
VIM	4.521955	0.42737103	6.127102846177723e-06	0.0011476078085616865
CALR	4.4773984	0.49100348	7.555810289270694e-06	0.0013979153922610576
ATP6V0C	4.3515763	0.45272574	1.351621720473075e-05	0.0024565327233797996
DRAP1	4.2700014	0.6012412	1.954719354400488e-05	0.0034910383753128256
RAC2	4.261121	0.2828035	2.0340421766208948e-05	0.0036118276512101025
IFITM3	4.2516727	2.065871	2.1217993549540685e-05	0.003739471213095761
EIF1B	4.250795	0.45613292	2.1301321600959765e-05	0.003739471213095761
CXCR4	4.235048	0.28041413	2.2850317625082905e-05	0.003966327323944868
UBXN1	4.2259607	0.34625888	2.379233546272055e-05	0.004106769769785904
MALAT1	4.2127953	0.14525953	2.5222971956576337e-05	0.0043252338818575865
PPM1K	4.1873417	0.66378045	2.822407804534677e-05	0.004739344235690648
RSRC2	4.166793	0.72463304	3.0891482121790095e-05	0.005131473780198648
TMEM123	4.158222	0.5633628	3.2073369621028496e-05	0.005271121814792114
FUS	4.1558475	0.3587662	3.2408406616737194e-05	0.005298002853107561
ODF3B	4.150323	2.4004302	3.320064032086905e-05	0.005398948336809953
SF3B1	4.131788	0.49119684	3.5995252933815883e-05	0.005822750418304237
LSM7	4.104269	0.338579	4.055950925788693e-05	0.006526912278859023
RPL28	4.1024623	0.11547362	4.0877687244458304e-05	0.006544030584414654
OAS1	4.079177	1.4479983	4.519542082170238e-05	0.00716104060065712
PMAIP1	4.054911	0.83861285	5.0153412569971e-05	0.007865939026265959
CYCS	4.04696	0.53055006	5.188712391148125e-05	0.008056062650718775
SNX9	4.009218	0.9315693	6.0920044512629435e-05	0.009391061266591737
