	scores	logfoldchanges	pvals	pvals_adj
IFITM1	58.8782	2.9165075	0.0	0.0
IFI44L	38.727074	4.1580043	0.0	0.0
LY6E	37.576054	1.3968953	5.291117469061253e-309	1.4953178978246107e-305
B2M	36.785072	0.3268842	3.199073144572685e-296	8.287465570444255e-293
ISG20	34.41923	1.1942207	1.3001846265493199e-259	2.694589299035914e-256
XAF1	33.546547	2.301153	1.0109314466952826e-246	1.848636816671544e-243
S100A8	28.039091	2.3772373	5.426136255495497e-173	4.819494222131101e-170
IFITM2	27.419277	0.93237084	1.6157106037792463e-165	1.3575025821536603e-162
MX1	25.427418	2.1257308	1.2550308900591357e-142	8.301094740269862e-140
IRF1	23.843948	1.1150967	1.1701421396174644e-125	6.613856126234204e-123
HSP90AB1	23.636	0.49315095	1.6443887588213757e-123	9.128413097407162e-121
TSC22D3	22.98563	0.47421545	6.490384306537465e-117	3.419772490463223e-114
IFI6	22.870966	2.5881593	9.041140144666236e-116	4.684365394620655e-113
HLA-C	22.80779	0.41488692	3.8375712218280667e-115	1.955714370048674e-112
TXNIP	22.471306	0.44377112	7.922815067638566e-112	3.848383625120002e-109
IRF7	22.084488	1.7354175	4.4557634168175375e-108	2.098732080887982e-105
EIF2AK2	21.842272	1.7809355	9.206088220449011e-106	4.2714875299865437e-103
BTG1	20.96683	0.30948558	1.317598152932206e-97	5.610982709616916e-95
ISG15	20.95296	2.391558	1.7632776223935821e-97	7.407433979371526e-95
CCND3	20.843567	0.93885493	1.7435372543122075e-96	7.039135405818648e-94
HLA-A	20.645985	0.30896968	1.0607835581411032e-94	4.1742504394851227e-92
PSME2	20.602541	0.99001956	2.604137585308191e-94	9.99442285363898e-92
STAT1	20.587692	2.0626903	3.5381826924231996e-94	1.341359577553171e-91
S100A9	20.261618	1.8566625	2.805926396976464e-91	1.0509377578651487e-88
MALAT1	20.113298	0.22138335	5.6443463476352845e-90	2.016848217344116e-87
RPL28	18.645195	0.13297486	1.3814846745414557e-77	4.3822667425990034e-75
TRIM22	18.508236	1.0548772	1.772125424035999e-76	5.564652834041121e-74
CD83	18.070229	0.65745854	5.468706590573649e-73	1.683224572090723e-70
EIF5A	17.531937	0.5540461	8.173798583359076e-69	2.4432584284700346e-66
EPSTI1	16.93063	2.0028474	2.674993705607576e-64	7.4916693086687135e-62
PSMB9	16.895723	0.6479299	4.8375261991705416e-64	1.3427158656572735e-61
HERPUD1	16.829514	0.74473554	1.4831798120039453e-63	4.044527264540934e-61
UBE2L6	16.6581	1.1468811	2.6428627676549213e-62	7.144232596355526e-60
BST2	16.608461	0.9430868	6.052525970054975e-62	1.6220247830267155e-59
LAPTM5	16.144325	0.19902888	1.2450146769656209e-58	3.2524177531790132e-56
CD69	16.005564	0.52835524	1.1684928219771686e-57	3.0020608559342347e-55
HLA-E	15.941793	0.23632264	3.2489572760287727e-57	8.278715970484136e-55
SRSF10	15.743783	0.57914144	7.577449161726942e-56	1.8996787265371406e-53
STAG3	15.580162	1.7828344	9.930331413695421e-55	2.4696337012603967e-52
PLSCR1	15.525861	1.9912086	2.3187143898481308e-54	5.675738128914082e-52
CALR	15.228744	0.62867206	2.2792963912694552e-52	5.450498993491812e-50
KLF6	15.170111	0.4104586	5.5782279503435175e-52	1.3038373856566085e-49
SUB1	14.8914385	0.643682	3.746235018909582e-50	8.50067211918556e-48
ELF1	14.707537	0.64598054	5.766834368976693e-49	1.2805255716312748e-46
HSP90B1	14.700145	0.6712159	6.4321783091816875e-49	1.4181356531739795e-46
PELI1	14.34763	0.9889455	1.1024191754832258e-46	2.3965667768004923e-44
SNX9	14.181811	1.2252446	1.1874091914921412e-45	2.5457234162700826e-43
SMCHD1	13.897948	0.4628577	6.518307634541521e-44	1.3691529015877856e-41
NFKBIA	13.873272	0.34424254	9.198364499767104e-44	1.9191245449950333e-41
COX6A1	13.54672	0.41182718	8.285069058079865e-42	1.6616641407001857e-39
RPL14	13.535769	0.09094807	9.617074390994015e-42	1.9164486640566086e-39
ATP6V0C	13.093058	0.4527202	3.6078485611354204e-39	6.9662849826097396e-37
PIM2	13.032945	0.72248167	7.947959031490411e-39	1.5251740889626075e-36
ADAR	12.8304405	0.8633174	1.1073308144979652e-37	2.0737104235119425e-35
HLA-DQB1	12.751887	0.28301483	3.0428883143175206e-37	5.66432748665801e-35
HLA-B	12.616565	0.1831258	1.7112515849515513e-36	3.1665284536540996e-34
RSRC2	12.605985	0.71006006	1.9571342059515476e-36	3.60008467813111e-34
RAN	12.58479	0.50097555	2.5602090156084533e-36	4.627280096989534e-34
RBM39	12.507025	0.3495142	6.83364248820277e-36	1.21392825160434e-33
SAMD9L	12.3944435	1.3746232	2.800821302916031e-35	4.919159991172354e-33
MYL12A	12.317708	0.33404037	7.273230058873782e-35	1.263144708604521e-32
EZR	12.088209	0.33575806	1.2191538751408661e-33	2.105546473139117e-31
PTMA	12.066665	0.11270745	1.584265152479122e-33	2.7060467469845312e-31
FAU	12.0502205	0.06499942	1.9343156121705143e-33	3.2859054336363266e-31
IFIT3	12.012345	3.6963758	3.060391751012734e-33	5.114967653964132e-31
RHOH	12.005476	0.4956256	3.325463384445188e-33	5.498865969800402e-31
PARP9	11.870289	1.8426285	1.688841779665145e-32	2.7344283543984566e-30
PSME1	11.751517	0.25872785	6.936205003649542e-32	1.1114732213837799e-29
RPL36	11.740663	0.11873423	7.886635202817546e-32	1.2572914284614824e-29
DDX24	11.700682	0.4763504	1.2643408711652026e-31	1.9850790233289218e-29
PTPRCAP	11.62594	0.3701136	3.0422652844696763e-31	4.752507582829589e-29
ODF3B	11.590719	1.7842791	4.592612120067071e-31	7.138526648826252e-29
CFLAR	11.555617	1.0373434	6.914856382441868e-31	1.064169011687972e-28
DDX21	11.488198	0.632919	1.5123303524396074e-30	2.3045987091318663e-28
RPL36AL	11.426089	0.21743861	3.0974783320835733e-30	4.674335383955439e-28
EIF1B	11.399284	0.4577862	4.2157015739801664e-30	6.270503101929255e-28
OAS1	11.305048	1.6102574	1.2388575786004756e-29	1.8252305945949282e-27
TRA2B	11.283534	0.47445512	1.5825842209238408e-29	2.320650739427332e-27
PPDPF	11.02447	0.1935029	2.9122664644118124e-28	4.2108663990311635e-26
DRAP1	11.002273	0.55205345	3.726209030840191e-28	5.362808339894862e-26
SAT1	10.865832	0.42593676	1.6768735418150715e-27	2.391237054789226e-25
CYCS	10.75493	0.5419496	5.617711464763585e-27	7.938081650232072e-25
CNBP	10.569767	0.2929044	4.115160228674565e-26	5.71107080485742e-24
SNRPG	10.556077	0.65438235	4.761490771324675e-26	6.57868727147423e-24
TAF1D	10.555218	0.45342782	4.8052327332951496e-26	6.60974645928966e-24
SP100	10.516722	0.30863452	7.234740670719599e-26	9.864315053976323e-24
NCL	10.405772	0.23953037	2.3335528374709435e-25	3.167823452334464e-23
SP110	10.152137	0.36771622	3.2418536325905922e-24	4.2703179608620225e-22
GAPDH	10.050894	0.28138444	9.103805063456903e-24	1.1841422092371747e-21
NOP58	10.025503	0.59952086	1.1775773837365313e-23	1.5253061720090645e-21
RPS4Y1	9.94907	0.42818788	2.5454974959684847e-23	3.2699124238500945e-21
IFITM3	9.906652	1.8278424	3.894764748870905e-23	4.962153760170074e-21
PTPN1	9.8706665	0.59329116	5.579253471237646e-23	7.079275618790397e-21
COX5B	9.830833	0.3624281	8.292976584120979e-23	1.0479827767096298e-20
TCF25	9.781727	0.45064384	1.3488924962668063e-22	1.6976931591678625e-20
HSH2D	9.772036	0.7346862	1.4843943704077475e-22	1.8607003142284535e-20
