	scores	logfoldchanges	pvals	pvals_adj
IFITM1	58.69927	2.892093	0.0	0.0
IFI44L	38.892784	4.216467	0.0	0.0
B2M	37.190647	0.3263339	9.665457638243239e-303	2.7148513149891034e-299
LY6E	37.0626	1.3608325	1.1256051882245914e-300	2.8981519583812665e-297
ISG20	34.341103	1.1864122	1.9122073809072895e-258	3.692591965493283e-255
XAF1	32.858223	2.2389286	8.691855499435354e-237	1.278820282695496e-233
IFITM2	28.348461	0.95536566	8.743742650097786e-177	7.718726190287752e-174
S100A8	28.177187	2.3782487	1.1132886004413687e-174	9.554799413288048e-172
MX1	24.948402	2.1047184	2.222326493463536e-137	1.320446570548901e-134
TSC22D3	24.044348	0.49585715	9.565257253295377e-128	5.373413697364859e-125
IRF1	23.883762	1.10834	4.5174231795679115e-126	2.4924075710555317e-123
HSP90AB1	23.7591	0.49661067	8.847909114748448e-125	4.796032419620751e-122
HLA-C	23.501062	0.42307103	3.9779407839816036e-122	2.1190764897013723e-119
TXNIP	22.967188	0.45193678	9.923059249445192e-117	5.109879360501801e-114
IFI6	22.348267	2.5404058	1.2552132725075037e-110	6.059738200103803e-108
BTG1	21.638294	0.3299385	7.834777536091265e-104	3.613001813919579e-101
IRF7	21.508114	1.6901699	1.307122836792493e-102	5.769453469768237e-100
EIF2AK2	21.302706	1.7328235	1.0714950400244221e-100	4.6628144016386715e-98
CCND3	20.781597	0.9323858	6.351155494844532e-96	2.651779071948804e-93
HLA-A	20.741158	0.30655193	1.4733426858774063e-95	5.989719600730818e-93
S100A9	20.684305	1.885281	4.796408958174223e-95	1.8999313792398586e-92
ISG15	20.269718	2.334685	2.3801157758652604e-91	9.078819398383821e-89
STAT1	20.108685	2.0091217	6.194541803751497e-90	2.2254971873315117e-87
PSME2	20.0173	0.9582551	3.89249677882538e-89	1.3666644656291793e-86
MALAT1	19.642052	0.21390091	6.761009771938541e-86	2.2955485595998362e-83
RPL28	18.55855	0.1264789	6.955625000370673e-77	2.1707873296611383e-74
CD83	18.485077	0.67067194	2.7230858182127628e-76	8.413518252531973e-74
TRIM22	18.179197	1.0385766	7.542975879223509e-74	2.3074784726769186e-71
LAPTM5	17.654913	0.22129095	9.327671777652772e-70	2.7711257203282472e-67
EIF5A	17.395725	0.54333645	8.889589286705493e-68	2.591147548974902e-65
UBE2L6	16.928127	1.1753297	2.7912354434713737e-64	7.769441576300453e-62
CD69	16.876976	0.5563291	6.646382366763201e-64	1.833511392731095e-61
HLA-E	16.761024	0.24357603	4.7045287974268945e-63	1.2863347456114933e-60
PSMB9	16.750875	0.63717157	5.579826511657373e-63	1.5122798221989286e-60
HERPUD1	16.601051	0.73072547	6.847991450599651e-62	1.8239861366308398e-59
EPSTI1	16.397652	1.9647049	1.9877391767935847e-60	5.117931445449282e-58
BST2	16.232904	0.9232494	2.951585634101922e-59	7.475011584987467e-57
STAG3	15.92263	1.8041131	4.414231627347254e-57	1.1088334519524236e-54
NFKBIA	15.60337	0.3999092	6.905091714289484e-55	1.6667704585656422e-52
PLSCR1	15.37772	1.9633338	2.3093882578268687e-53	5.446806794051662e-51
KLF6	15.319873	0.40202108	5.632781062284971e-53	1.31845482182893e-50
CALR	15.135532	0.61899984	9.441381960209626e-52	2.1608176179599763e-49
SUB1	14.985224	0.6346608	9.171554345792386e-51	2.0684198147587397e-48
SRSF10	14.9545555	0.544518	1.4544976554702254e-50	3.256493772540837e-48
ELF1	14.4005375	0.63058126	5.134284054971271e-47	1.1016248225447733e-44
PELI1	14.376851	0.98821837	7.231021985270167e-47	1.540806112268223e-44
SNX9	14.2493105	1.2259008	4.527302407904689e-46	9.515650510002122e-44
RPL14	14.029756	0.09488112	1.0250482156597326e-44	2.139926670218835e-42
HSP90B1	13.875798	0.6256983	8.879841787954546e-44	1.8169567663737192e-41
COX6A1	13.6697855	0.40716305	1.5384719585931673e-42	3.1272479016219137e-40
HLA-B	13.4673	0.19684294	2.4361050485334074e-41	4.763818840793461e-39
HLA-DQB1	13.164406	0.28193223	1.4063975773961727e-39	2.6989730402987296e-37
RSRC2	13.157369	0.7416853	1.5436964221093178e-39	2.944172120611827e-37
MYL12A	12.896207	0.34043744	4.728036993488629e-38	8.853464181079889e-36
SMCHD1	12.894757	0.41705355	4.81778855083345e-38	8.967181497295248e-36
RBM39	12.839683	0.35267583	9.827674484746825e-38	1.8182374763785786e-35
ATP6V0C	12.832896	0.4384446	1.0727700513171768e-37	1.961264868375551e-35
RHOH	12.772277	0.52750534	2.342011130717642e-37	4.207041738708313e-35
EZR	12.631486	0.34719458	1.4157830882626418e-36	2.4996257187457625e-34
FAU	12.594432	0.06170371	2.2658567776282315e-36	3.977737321498833e-34
RAN	12.5362215	0.50003153	4.730146199039599e-36	8.256911136255735e-34
PTMA	12.477766	0.11421322	9.871764272391612e-36	1.7135275321577732e-33
ADAR	12.465302	0.8412501	1.1543276336151505e-35	1.9924726757434248e-33
PTPRCAP	12.097615	0.3876682	1.087243099007227e-33	1.8158135151365562e-31
IFIT3	12.057337	3.8181853	1.7742709297416952e-33	2.9472929524854383e-31
PIM2	11.959876	0.66130924	5.764816551183352e-33	9.374501946416423e-31
PPDPF	11.924601	0.209672	8.81057154803921e-33	1.4178136933321222e-30
