	scores	logfoldchanges	pvals	pvals_adj
IFITM1	19.07395	2.998395	4.1569635996827136e-81	1.2922752742333653e-76
ISG20	14.147944	1.4979775	1.9229740823699588e-45	7.472436912329364e-42
IFI44L	13.523898	4.290739	1.1302394206397639e-41	2.927979405785695e-38
XAF1	12.799964	2.5790226	1.6402797990772641e-37	3.1869611321196823e-34
B2M	12.080918	0.2976963	1.3322310556941561e-33	1.9721460394459156e-30
LY6E	11.608453	0.9610544	3.7330806303936546e-31	4.463472213732598e-28
TXNIP	11.321184	1.0516559	1.030700213755802e-29	1.1443349123223792e-26
MX1	9.856376	1.9349743	6.432980236175298e-23	4.8776111366336945e-20
BTG1	9.663058	0.6560847	4.327478810510513e-22	2.924528995268268e-19
CCND3	9.640793	1.5731603	5.377104239982267e-22	3.3688531692333984e-19
HSP90AB1	9.528941	0.6935867	1.5889521625336897e-21	9.499183822439386e-19
IFITM2	9.358065	0.7793099	8.121067867991443e-21	4.50820780021875e-18
RPL28	9.112882	0.22518454	8.022212889948463e-20	4.2997677949970323e-17
IRF7	8.869883	1.748048	7.322333425909979e-19	3.7316291673977627e-16
TSC22D3	8.673422	0.6375	4.193252827147987e-18	2.0368070412117107e-15
TRIM22	8.57624	1.7284878	9.802545811019552e-18	4.688180640417921e-15
ISG15	8.274825	2.0482233	1.2864397798924293e-16	5.63224900387148e-14
IFI6	8.273167	2.3417218	1.304474308485047e-16	5.63224900387148e-14
STAT1	8.239637	2.187011	1.7273368095732851e-16	7.341665022320768e-14
MALAT1	8.128921	0.29709023	4.3312915760673624e-16	1.726241810579565e-13
HLA-DRB5	7.934556	0.9315838	2.112497434797395e-15	8.208900969443327e-13
S100A8	7.863481	2.375432	3.73603173526046e-15	1.399301428361951e-12
CXCR4	7.600748	1.1019886	2.944241947059765e-14	1.0284005551488416e-11
RPL14	7.553423	0.21770172	4.2396598665360914e-14	1.4644256252334165e-11
EIF2AK2	7.4826097	1.6513941	7.286103210368606e-14	2.4890449505574598e-11
EPSTI1	7.4356337	2.5279489	1.0406774831703053e-13	3.5164718390560087e-11
PSME2	7.373378	0.85282516	1.6635829713078969e-13	5.5016812584094244e-11
BST2	6.839442	1.0245136	7.950226555541128e-12	2.4470167617040303e-09
MYL12A	6.7825994	0.45308468	1.180325940937551e-11	3.5624070413520047e-09
IFIT3	6.6607065	4.1875525	2.7251413296013563e-11	7.917426963861436e-09
EIF5A	6.4682627	0.59952414	9.913602023202699e-11	2.853556908289836e-08
HERPUD1	6.443378	0.8324949	1.1684339054368587e-10	3.3323949374601494e-08
SMCHD1	6.387845	0.6624371	1.6823980009070518e-10	4.711775374252029e-08
HLA-DQB1	6.2577443	0.4314688	3.9058505060579323e-10	1.0558363015810691e-07
FAU	6.2541647	0.16160944	3.996494894732177e-10	1.0710261792460275e-07
