	scores	logfoldchanges	pvals	pvals_adj
IFITM1	20.13019	3.02309	4.014477559044958e-90	1.2403531314181208e-85
IFI44L	14.58691	4.4440017	3.402622774778033e-48	1.0513083587231689e-44
ISG20	14.05984	1.3969711	6.703762194883702e-45	1.5932780041178595e-41
XAF1	13.548207	2.5775874	8.118927831828418e-42	1.5678157076250165e-38
LY6E	13.252915	1.061341	4.340112056911186e-40	7.888026013081466e-37
TXNIP	11.172789	0.98469806	5.541354337272172e-29	5.707040831956609e-26
MX1	11.059876	2.0718336	1.9636833554110549e-28	1.8385431706707687e-25
B2M	10.876688	0.25495046	1.4887424138247658e-27	1.2777131766651054e-24
IRF7	10.334915	1.9265462	4.8984309802673295e-25	3.6913859023736505e-22
ISG15	9.874152	2.1940405	5.388693945596391e-23	3.4686349341060767e-20
IFITM2	9.537767	0.74896157	1.4593982509478836e-21	8.507741086705049e-19
BTG1	9.344582	0.5975679	9.22530900380724e-21	5.089899505189862e-18
TRIM22	9.263647	1.7152623	1.9756616661203903e-20	1.0709126052302053e-17
TSC22D3	9.2274065	0.6546484	2.7726417800374894e-20	1.477005397893419e-17
CCND3	9.146251	1.4201852	5.894379029862162e-20	3.086756421790698e-17
IFI6	9.050613	2.494459	1.421672524551358e-19	7.08474451468763e-17
HSP90AB1	9.002391	0.59805435	2.208551086961716e-19	1.083136554505653e-16
STAT1	8.937848	2.199961	3.968208683111828e-19	1.8576627830622145e-16
RPL28	8.783256	0.19996683	1.5880940112176846e-18	7.009620094941829e-16
PSME2	8.529277	0.9395369	1.4726513737262352e-17	6.066734599202599e-15
EIF2AK2	8.455252	1.786408	2.784853600890404e-17	1.1321529171935631e-14
S100A8	8.232	2.4837096	1.8411241398293717e-16	7.022865746704703e-14
RPL14	8.0346985	0.23075019	9.38094089060132e-16	3.409916831728341e-13
EPSTI1	7.749257	2.3504038	9.243174075801438e-15	3.2088353867419888e-12
BST2	7.694051	1.0958276	1.425485695979877e-14	4.893692394298918e-12
MALAT1	7.4093447	0.26724017	1.2692523098149173e-13	4.309460287511154e-11
EIF5A	7.3752356	0.670597	1.6405468013390964e-13	5.509562447931963e-11
LAPTM5	7.3382597	0.4141065	2.1638881139718457e-13	7.188994737353561e-11
HLA-DRB5	7.2602654	0.828052	3.863322259441483e-13	1.2698411473400373e-10
FAU	6.993422	0.14902712	2.6826098780409097e-12	8.206395782359405e-10
CXCR4	6.9171915	0.92748517	4.606847412901881e-12	1.3954682795728374e-09
RPL36AL	6.8571334	0.40097204	7.0255949178483796e-12	2.1074738463763243e-09
IFIT3	6.537069	3.9467745	6.273619368888204e-11	1.7462704291940434e-08
MYL12A	6.4512086	0.4232462	1.1096169199049213e-10	3.007353857394943e-08
HLA-DQB1	6.4416523	0.41814616	1.181798818263624e-10	3.175133746773147e-08
SMCHD1	6.3035994	0.61782396	2.9081149595688816e-10	7.550590580319305e-08
HNRNPDL	6.1620917	0.38934937	7.179025166929651e-10	1.7887930692147213e-07
PLSCR1	6.1260715	2.2630486	9.007530683870002e-10	2.2087752026946938e-07
RNF213	5.88062	1.0592774	4.087326062332551e-09	9.714316411376063e-07
HERPUD1	5.878341	0.70864433	4.143981963337796e-09	9.773787077957852e-07
UBE2L6	5.8108587	1.0520601	6.2153278338133145e-09	1.4438720607618796e-06
PSMB9	5.7503595	0.41338202	8.905395623618203e-09	2.037284866988778e-06
IRF1	5.749183	0.9762253	8.967561313735113e-09	2.037284866988778e-06
UBE2D3	5.629361	0.5299959	1.8087839868682886e-08	3.963546017182235e-06
NFKBIA	5.6059847	0.6370425	2.0707422270881676e-08	4.505614266925571e-06
COX6A1	5.4880004	0.37432587	4.0650922666115093e-08	8.72216359454832e-06
DDX24	5.4424973	0.5860795	5.253873910576468e-08	1.1132198019002735e-05
CD69	5.407874	0.74920434	6.377729619724213e-08	1.3404946398681566e-05
PARP9	5.359798	1.7051965	8.331503780847004e-08	1.7276407538042272e-05
S100A9	5.3563433	1.5691677	8.492320263466015e-08	1.7492481278687298e-05
SUB1	5.343332	0.5446341	9.125356129261841e-08	1.867192902819888e-05
HLA-E	5.2332864	0.24017404	1.6652236132928962e-07	3.340935972721468e-05
CNBP	5.183814	0.39002284	2.1739387105098318e-07	4.278228301823075e-05
RAN	5.1602907	0.4825079	2.465669068941067e-07	4.8216314698146937e-05
CD83	5.1254463	0.7869338	2.968333737173546e-07	5.7320379673406904e-05
HNRNPA2B1	4.9970236	0.17150983	5.822191771983986e-07	0.00010836642119216219
CFLAR	4.950639	1.0192468	7.397036909866171e-07	0.00013603943416912802
SP100	4.849194	0.42185548	1.2396409881593938e-06	0.00022530110359506345
RPL36	4.839932	0.16206068	1.298837323416467e-06	0.00023340129775890867
PELI1	4.826847	1.1516385	1.3871169408681603e-06	0.0002463089202413997
NCL	4.760834	0.32615548	1.927941643983716e-06	0.0003365401862947168
NEAT1	4.7052603	0.8309573	2.535420061236568e-06	0.00044009479568554065
