	scores	logfoldchanges	pvals	pvals_adj
IFITM1	25.250355	2.5554323	1.1224496793120215e-140	1.744679659038641e-136
ISG20	20.311083	1.5412107	1.0261557021490548e-91	3.5444558125230737e-88
LY6E	17.238756	1.3095552	1.359282888102127e-66	2.012191768687182e-63
IFI44L	15.979965	4.600685	1.7624534927482574e-57	2.1915756691626032e-54
B2M	15.605966	0.25534317	6.629894675347481e-55	7.10701847491473e-52
XAF1	15.375889	2.281347	2.3755930659297135e-53	2.3078144262674067e-50
TSC22D3	14.966121	0.77274173	1.2224670554250948e-50	1.11773039270588e-47
S100A8	14.8373	2.7980864	8.407139991271013e-50	7.259798914128944e-47
IFITM2	14.4050455	0.9901475	4.8100297087854605e-47	3.9349840409740426e-44
BTG1	13.63556	0.70760816	2.4609537537943878e-42	1.7000815409823586e-39
TXNIP	13.614944	0.5591316	3.263940866593083e-42	2.1588538238250886e-39
MALAT1	12.733126	0.37721252	3.8702849815391525e-37	2.1484919503769222e-34
MX1	12.481768	2.173633	9.387936498560617e-36	4.56004346766803e-33
IRF7	11.792794	1.7929322	4.2519405525336533e-32	1.739211525744917e-29
HSP90AB1	11.398872	0.43075386	4.2356982217633924e-30	1.6256191434562787e-27
CCND3	10.870155	1.2107298	1.5992793474776016e-27	5.989975551209181e-25
MYL12A	10.805643	0.44553992	3.236816421254576e-27	1.1837989657357766e-24
PPDPF	10.518874	0.41524473	7.071337631090498e-26	2.4156777245902233e-23
PSME2	10.412772	0.89432895	2.1681486870638547e-25	7.326221547255875e-23
S100A9	10.291593	2.0576317	7.6893782535917985e-25	2.5429755507383856e-22
HLA-E	10.107158	0.26384425	5.135272942087032e-24	1.662919061986037e-21
EIF5A	10.10367	0.6202117	5.321264372082531e-24	1.7053829436590683e-21
HERPUD1	9.84467	0.86800396	7.22755654467934e-23	2.269525760650976e-20
PTPRCAP	9.708466	0.60698277	2.7748212852211294e-22	8.456947969967573e-20
EIF2AK2	9.457697	1.6802928	3.1479957412723486e-21	9.409783039320528e-19
PELI1	9.447107	1.2727848	3.4832327537681354e-21	1.031269110632286e-18
SUB1	9.266569	0.6440301	1.9222934694802567e-20	5.533179359790068e-18
PTMA	9.251672	0.15852879	2.210081227193085e-20	6.2458904645228575e-18
PSMB9	9.03798	0.4832426	1.5959340915792247e-19	4.390513549108262e-17
IRF1	8.837417	0.9767408	9.795745115560701e-19	2.602737849636201e-16
CXCR4	8.676416	0.6562905	4.084333003155545e-18	1.0580805005758037e-15
SP100	8.624135	0.5273703	6.457898033472647e-18	1.6591460840211917e-15
IFI6	8.584545	2.1015344	9.119648257325637e-18	2.323791027667886e-15
ISG15	8.356674	2.03501	6.451130095874777e-17	1.6304575714671482e-14
STAT1	8.3138275	1.8305286	9.26635417012164e-17	2.3230899361820276e-14
CD69	7.9734955	0.8579836	1.5424851984131028e-15	3.7171501831835753e-13
