	scores	logfoldchanges	pvals	pvals_adj
IFITM1	25.649448	2.5541215	4.2883293673883366e-145	6.624825623209872e-141
ISG20	20.541307	1.576169	9.205152548464319e-94	3.160128869887801e-90
LY6E	17.74287	1.3402486	1.9567628332709392e-70	2.878957202836772e-67
XAF1	16.885475	2.4319427	5.755042685922146e-64	7.408898077789022e-61
B2M	16.577194	0.26424837	1.0187518809275742e-61	1.2106298794238177e-58
IFI44L	16.367281	4.6984353	3.2752629125423234e-60	3.614135650315006e-57
S100A8	14.855889	2.836767	6.3716685035815395e-50	5.624726907290252e-47
IFITM2	14.591003	1.0020571	3.204474642061416e-48	2.7502403615492107e-45
TXNIP	14.084735	0.5821476	4.714257011678004e-45	3.4680094973765544e-42
TSC22D3	13.777581	0.7044672	3.4773094355341875e-43	2.387520658437773e-40
BTG1	13.386868	0.67680955	7.216095872641317e-41	4.128809521796274e-38
MALAT1	13.245153	0.3893196	4.8129484084759786e-40	2.52043503350309e-37
MX1	12.706238	2.1783984	5.459883055301233e-37	2.595292411686803e-34
IRF7	11.712465	1.7871096	1.1003238211823164e-31	4.249588137883754e-29
HSP90AB1	11.405262	0.44008386	3.935919916695471e-30	1.4830258251968288e-27
CCND3	11.2008095	1.2648346	4.0402363833757097e-29	1.503990163098305e-26
PSME2	10.729167	0.8857991	7.42624633607017e-27	2.494007967886522e-24
HLA-E	10.618222	0.27669752	2.4518688426073155e-26	8.145741035487981e-24
MYL12A	10.605193	0.44788975	2.818811174309941e-26	9.167664089753079e-24
PTPRCAP	10.568136	0.66073495	4.187336529841503e-26	1.3476680912761763e-23
S100A9	10.566683	2.030352	4.25271119571726e-26	1.3545981217945998e-23
PPDPF	10.545787	0.39218843	5.312631547500678e-26	1.674942621664576e-23
EIF5A	10.338228	0.6445884	4.7320656981076515e-25	1.447590434400318e-22
PSMB9	9.932507	0.5361633	3.0060375160368564e-23	8.762032182357619e-21
HERPUD1	9.906674	0.8515706	3.8939355877506175e-23	1.1244011949040264e-20
PELI1	9.876958	1.3462921	5.23992963778917e-23	1.499056537210852e-20
EIF2AK2	9.8167	1.7279809	9.54158579865463e-23	2.7046456552388266e-20
SUB1	9.503458	0.6654481	2.030342909802897e-21	5.502763586331589e-19
PTMA	9.479505	0.16319825	2.554928251779897e-21	6.864314625673346e-19
IFI6	9.440018	2.2782164	3.7271736908411955e-21	9.927455648786243e-19
IRF1	9.329272	1.0076208	1.0659992796201772e-20	2.8150580976431292e-18
ISG15	9.162078	2.152199	5.09074016116302e-20	1.321752930751713e-17
SP100	8.700558	0.54352194	3.3025667054594963e-18	8.363885532670661e-16
STAT1	8.5366955	1.8151265	1.3811476017671622e-17	3.441396568693549e-15
CXCR4	8.489541	0.62332433	2.074541368425686e-17	5.087071798432414e-15
SRSF10	8.327959	0.6213348	8.224784785838195e-17	2.000954138016084e-14
SMCHD1	8.2557745	0.54444134	1.5092016531270988e-16	3.642953396614685e-14
HSP90B1	7.946566	0.5849988	1.9175255402359714e-15	4.421327359453045e-13
TRIM22	7.909835	0.9631288	2.577304156190371e-15	5.855218126015727e-13
EPSTI1	7.8937993	1.9499918	2.931229983222962e-15	6.610672466543054e-13
RAN	7.8418345	0.47814366	4.440109437390195e-15	9.94101893384383e-13
RSRC2	7.835871	0.90439856	4.6560213455622575e-15	1.034943104416094e-12
COX6A1	7.8055797	0.40577	5.922877038629867e-15	1.297866183422319e-12
NCL	7.665695	0.3467535	1.778650658497884e-14	3.870068267296417e-12
ADAR	7.3590674	1.0308439	1.8519945951152986e-13	3.973685903144263e-11
CD69	7.356637	0.7874058	1.8860121791537327e-13	4.018766779262957e-11
CFLAR	7.334889	1.0604131	2.2190534242547356e-13	4.6640880033468417e-11
UBE2L6	7.2998867	1.0348706	2.8801033163645303e-13	5.93243681104766e-11
FUS	7.131038	0.42948747	9.961454177966527e-13	1.9729426265168702e-10
KMT2E	7.119162	0.49515614	1.0858512973967342e-12	2.1369138557749615e-10
GABARAP	6.932149	0.2765936	4.14495855561996e-12	8.054514747986785e-10
HLA-A	6.9143343	0.124101445	4.700653542195492e-12	9.077255780825882e-10
CALR	6.8921103	0.5354238	5.497075616986225e-12	1.0549263685591514e-09
CNBP	6.8307247	0.29697654	8.448683787702165e-12	1.6014661533045018e-09
PSME1	6.7760787	0.25991976	1.234814135714455e-11	2.326344655559117e-09
BST2	6.6722994	0.8656447	2.518262905990704e-11	4.687154759421373e-09
TRA2B	6.649248	0.5741098	2.945935395760264e-11	5.450333288790711e-09
COX5B	6.3657966	0.35979062	1.9427852038245657e-10	3.530954967209859e-08
SP110	6.3045363	0.377651	2.8905785464306484e-10	5.162439615553049e-08
IGKV3-20	6.227541	0.93714345	4.738122748971973e-10	8.270834947739383e-08
SAT1	6.225637	0.5013897	4.796034857435106e-10	8.324892639897329e-08
EZR	6.204741	0.27072895	5.478713830341407e-10	9.456749788606618e-08
RBM39	6.1045694	0.30904108	1.030782401806264e-09	1.7308741232939206e-07
ATP6V0C	6.089135	0.43222198	1.135222130530929e-09	1.8959436847034658e-07
UBE2D3	6.0706444	0.30797118	1.2739805311198254e-09	2.1049292229951467e-07
SRP14	6.0492973	0.20799734	1.4547911198320014e-09	2.390887299438795e-07
STAG3	6.023064	1.7397767	1.7114555694054936e-09	2.797822366556695e-07
RNASEK	6.0137687	0.46495956	1.8125918547031178e-09	2.94756055446117e-07
IGKC	5.9762106	0.6985789	2.2838773004144917e-09	3.694500363921809e-07
PSMB1	5.9249473	0.44842592	3.1239761276030987e-09	4.975334557451183e-07
PRRC2C	5.8849087	0.41308582	3.982736313740955e-09	6.278296116615015e-07
NDUFA13	5.8552685	0.52641016	4.762407111632763e-09	7.469243275538959e-07
SARAF	5.8237987	0.2737102	5.752486598586203e-09	8.976493860430198e-07
NFKBIA	5.8221703	0.35375103	5.808839029160321e-09	9.018879371053591e-07
ELF1	5.72726	0.49743292	1.0206551381067089e-08	1.5611476139645043e-06
SAP18	5.7023554	0.340731	1.1816325965425906e-08	1.79846809533874e-06
TLE1	5.6984468	1.1503321	1.2090400152178538e-08	1.8311622230483347e-06
IFIT3	5.682436	3.2980309	1.3278946164096868e-08	1.9916485419034025e-06
PMAIP1	5.6275396	0.833055	1.827979485223146e-08	2.7284580751178522e-06
RCSD1	5.492341	0.39827684	3.966406385260353e-08	5.835717051685196e-06
BANK1	5.490512	0.22124526	4.007703974763791e-08	5.86853221366241e-06
HLA-DQB1	5.488357	0.26943117	4.0568910045172514e-08	5.91253591351743e-06
ARID4B	5.45561	0.53664595	4.880506553465687e-08	7.04640238235651e-06
IL2RG	5.446139	0.51113594	5.147495963768525e-08	7.39731082756075e-06
PPIB	5.428224	0.278299	5.691749807871798e-08	8.141573787676618e-06
PIM2	5.420482	0.7370968	5.9438512098976254e-08	8.463003264157001e-06
RPL36AL	5.414444	0.16134244	6.147951285950697e-08	8.713451875321959e-06
HMGB1	5.404171	0.16380258	6.51087798176164e-08	9.185689360844264e-06
DDX24	5.3433867	0.43468717	9.122585147284442e-08	1.2696419517821955e-05
TAF1D	5.316502	0.468303	1.0578089449303538e-07	1.4590679897996938e-05
IGLV2-14	5.2422132	1.097653	1.5866200415800784e-07	2.150078922135951e-05
PTGES3	5.240334	0.29543513	1.602862942228134e-07	2.1626050797389806e-05
CIRBP	5.220114	0.12703529	1.7881281791886277e-07	2.381370532430648e-05
RAC2	5.159079	0.1385323	2.4816719355086736e-07	3.290824797914656e-05
HNRNPA2B1	5.138634	0.11551016	2.7674266457035647e-07	3.638518343502257e-05
MIF	5.131443	0.10369344	2.8752898395101005e-07	3.7643148377687956e-05
YWHAZ	5.1154327	0.13471077	3.130223513305655e-07	4.0807812612069544e-05
PARP9	5.106488	1.6120981	3.282013681603832e-07	4.260688097500571e-05
TYMP	5.1032557	1.2188427	3.3385906631228273e-07	4.316001494498159e-05
HNRNPDL	5.0615387	0.15524137	4.15886339014971e-07	5.354016756893983e-05
EPC1	5.055751	0.30564088	4.287006326085349e-07	5.496084417305354e-05
IFI27	4.973018	5.530423	6.591853665304578e-07	8.313000110078186e-05
HSH2D	4.946384	0.60398453	7.560469662041853e-07	9.495765493825492e-05
IGLV3-1	4.908826	1.4821782	9.162317459108193e-07	0.0001141484365056717
PRR13	4.8715186	0.20532571	1.1074371490464904e-06	0.000136320659737408
SUMO2	4.8596926	0.1497464	1.1756822112555776e-06	0.00014357728569629874
ATP5F1D	4.8451853	0.2582649	1.2649348487694737e-06	0.00015374975005726706
HNRNPA3	4.844559	0.3054259	1.268931814240965e-06	0.00015374975005726706
VAMP2	4.82241	0.32675952	1.418339743409636e-06	0.0001705153426152822
PLSCR1	4.757642	1.4189285	1.9586755746633747e-06	0.00023275845857836263
RHOH	4.739577	0.64884174	2.141648656178507e-06	0.0002517545242180063
DRAP1	4.7171774	0.5932779	2.3913909074173567e-06	0.0002798742608578563
IRF9	4.7149725	1.0078067	2.4174329442064236e-06	0.0002818544365175316
IGLV3-25	4.6099653	1.4461545	4.02735866820424e-06	0.00046430336108771046
ARGLU1	4.505284	0.22199829	6.628421279479771e-06	0.0007393441598270271
DDIT4	4.498444	0.9889473	6.845264006240414e-06	0.0007607846115137053
CD83	4.4544215	0.57737434	8.411964778683404e-06	0.0009183903737349157
RBM8A	4.4295917	0.4709367	9.44116436419797e-06	0.0010163890430683786
CCNL1	4.4023066	0.34930426	1.0710613701477599e-05	0.0011490480261616438
MX2	4.39707	1.4657836	1.097220414446428e-05	0.0011730387247457193
RPL28	4.350141	0.0440356	1.3604995034142196e-05	0.001434653691364817
G3BP2	4.3129587	0.5590925	1.610840552958036e-05	0.0016871234089743878
SQSTM1	4.305342	0.34278345	1.6672788960455038e-05	0.0017403350017269569
KLF6	4.285097	0.14928013	1.8265919988895936e-05	0.0019002091915721136
SCAND1	4.2825418	0.36683574	1.8477050286458726e-05	0.00190931579498567
TMSB10	4.26821	0.10698305	1.9704777913566523e-05	0.0020226529009816107
SF1	4.267183	0.18070441	1.9795700586930262e-05	0.0020252574868688225
EIF5	4.2504206	0.36226112	2.1336938809231327e-05	0.002168576968384277
DAZAP2	4.2223587	0.1161132	2.417590137236882e-05	0.0024173554197478297
NOL7	4.2190514	0.4713005	2.4533241116570222e-05	0.0024451727444473235
IGLV3-21	4.2140656	1.033063	2.5081470000499446e-05	0.0024917754939081395
SHISA5	4.1861033	0.52475697	2.837839790450217e-05	0.002792380127564979
ZC3H15	4.1412544	0.47869247	3.454116471810373e-05	0.0033560325984127383
ARPC5L	4.136469	0.594177	3.5269130449870236e-05	0.0034160198229142343
IFITM3	4.1163993	1.6342627	3.848371506153623e-05	0.003704147489894969
PHF11	4.0990863	0.7542643	4.14784631380958e-05	0.00395543233203008
SAMD9L	4.086057	1.1902231	4.387653705563217e-05	0.004145728946201428
LSM7	4.0715003	0.23480989	4.671132794304743e-05	0.004373454240776777
LAP3	4.0654616	1.3178432	4.793744117994298e-05	0.0044669694230588305
FTH1	4.065161	0.08263572	4.799928305193163e-05	0.0044669694230588305
HSP90AA1	4.061127	0.13315384	4.883634427308337e-05	0.0045312208078241946
NOP58	3.9907718	0.50564826	6.585864821530354e-05	0.006020220869550987
EIF4A1	3.9691238	0.4205747	7.213737832291628e-05	0.006536154187809807
FAU	3.9565961	0.05783937	7.602528908322014e-05	0.006868284669018282
SF3B1	3.9431164	0.32607222	8.042960195839426e-05	0.0071802149698291335
EIF4A2	3.9427907	0.23473024	8.053895274463639e-05	0.0071802149698291335
IGLV1-40	3.9369278	0.97338766	8.253146085788866e-05	0.007294010411893019
SRSF11	3.9355247	0.34546015	8.301516211448322e-05	0.007307462859974894
MRPL54	3.923022	0.47938505	8.744517880960624e-05	0.007604323922233499
MT2A	3.900873	1.5134933	9.584642735202697e-05	0.008226019627487714
DDIT3	3.8822567	1.154752	0.00010349148182459277	0.008857552116161892
OAS1	3.8799016	1.2058533	0.00010449871530659613	0.00891905195256326
GUK1	3.8567004	0.31712955	0.00011492790484324438	0.009649259445493809
PARP14	3.85432	0.6732048	0.00011605168493844189	0.00969094299876497
HNRNPA1	3.8419678	0.05048891	0.00012205185930450083	0.010141335385207449
IFI35	3.8391867	1.1082985	0.00012344257072600528	0.010225214766009074
CALM1	3.8337998	0.10519226	0.0001261788856522427	0.010423927887693429
THEMIS2	3.8270347	1.2878989	0.00012969619856584343	0.010629239912702558
AKAP13	3.8228254	0.44016019	0.00013193116514531776	0.010755348837717369
SMAP2	3.8097465	0.4420276	0.00013910931912000294	0.01122209042519773
EIF1B	3.7888253	0.403768	0.00015136129676428985	0.012178671838870477
ARID5B	3.7801561	0.3749244	0.00015673003493585756	0.012577890621852444
PNN	3.7790787	0.39020234	0.0001574096315640765	0.012599703073666505
TCF25	3.7636197	0.35699728	0.0001674715799750004	0.01330172083929971
UBXN1	3.7582576	0.15120447	0.0001711005881619768	0.013555115057539993
EMP3	3.73899	0.14241517	0.00018476096669092106	0.014488729918399463
PDIA3	3.735758	0.3328421	0.00018715058346136342	0.014638966018242393
ATF7IP	3.723506	0.55145514	0.00019647525182471987	0.01532953498896053
GPBP1	3.6967218	0.43744433	0.00021840152516037294	0.016869879807200106
PPM1K	3.6883533	0.51703745	0.00022571017715209107	0.017347679958876015
ARPC1B	3.6809118	0.2526325	0.00023240142455861263	0.01781763477565125
SELENOH	3.652449	0.24155349	0.0002597513509971154	0.019718765336014434
RTRAF	3.651647	0.39553604	0.0002605638070384016	0.0197202428853426
SNRPG	3.628596	0.4673355	0.0002849666513797204	0.021422420018684236
ODF3B	3.627669	1.3260072	0.0002859914977672679	0.021447279870182714
SYNGR2	3.6202776	0.117272966	0.0002942869614448136	0.02189742415214266
SRRM1	3.5967007	0.19499879	0.00032227905069389523	0.023821664663371486
GNG5	3.5940948	0.34166044	0.00032552124155426563	0.023908252797989412
MAPK1IP1L	3.5938945	0.44022512	0.00032577190108921717	0.023908252797989412
PSMA6	3.58287	0.634251	0.00033983970563319764	0.024705946788115076
SON	3.5748522	0.13172615	0.00035042564245192534	0.02541573022262239
TPI1	3.5687137	0.21097873	0.00035873811501764124	0.025957685104683985
HERC5	3.5667093	1.5053061	0.0003614920843359316	0.026095843293755323
NDUFA11	3.5558603	0.36756173	0.0003767441914671898	0.02707038438084131
LYZ	3.554382	0.8438027	0.0003788683857659789	0.027159852703042806
SRGN	3.5400755	0.68873787	0.0004000126678953815	0.028346769265971565
RNASET2	3.5319574	0.13354999	0.00041249565039341087	0.029097895228779033
HLA-DRB5	3.5250673	0.27251208	0.0004233752711648204	0.02979732517808532
UBC	3.524015	0.07067502	0.0004250602830257329	0.029847926283286523
NFKBID	3.5229876	0.840388	0.0004267112139051561	0.029895910149722465
ARF1	3.5058749	0.20982192	0.0004551091732917077	0.03159889466785144
POMP	3.4216137	0.5536025	0.0006225071856459689	0.04236476765397247
IGKV3-11	3.4199347	0.655109	0.0006263613074869148	0.04253337432400705
MZB1	3.4157004	0.7042958	0.0006361817410492633	0.043011175608750736
FNBP4	3.3974102	0.3401883	0.000680269418443667	0.04579146889249233
KRTCAP2	3.371653	0.2041925	0.0007471848610389117	0.04986127570522517
UBE2I	3.3530118	0.22666073	0.0007993726033747891	0.0530004620739718
SNU13	3.3375528	0.2634667	0.0008451967404202508	0.055680263728708934
PPP2CA	3.3139255	0.5176645	0.0009199600532673588	0.06022035119873217
OAS2	3.3024251	1.5677452	0.0009585268024678242	0.06261226768678302
P2RX5	3.2939062	0.45730454	0.0009880543743179938	0.06440488608291783
DDX21	3.2893462	0.41143775	0.0010042042283977337	0.06531978535748374
GGNBP2	3.271607	0.40391868	0.0010693811990834215	0.06854910976780182
SNRPD1	3.2585783	0.49576163	0.001119720182674519	0.07115828576770253
GAPDH	3.2184646	0.03076697	0.0012887891806359212	0.0807702217324707
UQCRFS1	3.216861	0.34897572	0.0012960138739431324	0.08105858433850398
S100A11	3.205937	0.7165721	0.0013462354419952374	0.08386015413573962
UBB	3.1830864	0.10827128	0.0014571417338237495	0.08968388077679758
TMEM243	3.1684039	0.36968386	0.0015327843962281552	0.09377908809952736
PSMD7	3.1513162	0.49501067	0.0016253649315354475	0.09846843194049162
CSNK2B	3.134053	0.38245076	0.0017240976132991133	0.10340296757735759
TPM3	3.1335769	0.07377031	0.0017268968271973496	0.10340296757735759
ELOB	3.1221015	0.15858237	0.0017956502040873392	0.10689827428841334
ATP6V1G1	3.1161885	0.07055432	0.0018320516800763762	0.10864664253228369
CCDC85B	3.1092732	0.34695515	0.001875482492920104	0.11079690742591292
IFI44	3.102383	3.4683633	0.0019196947380555826	0.1129767777556254
PRELID1	3.0902812	0.2927979	0.0019996710485085194	0.11718277516929697
ERAP2	3.0768766	0.9233554	0.0020918192952180076	0.12148673076005786
IGKV1-5	3.0601394	0.53448	0.0022123389788002994	0.12754864844862157
NMI	3.0600893	0.96940225	0.002212709181100468	0.12754864844862157
ZBP1	3.0455072	0.9459798	0.002322882293006825	0.13290758186487384
ARHGDIA	3.031401	0.2657657	0.0024342172949733403	0.13825369809336635
PSMA7	3.0235837	0.21390583	0.002497999002222278	0.1416159177461683
EIF1	2.9678354	0.03196983	0.00299904798479795	0.16635832241705972
CYCS	2.9523513	0.3391742	0.003153639624384482	0.1737003759683189
VAPA	2.9442081	0.40493914	0.003237820445130127	0.1773740040659318
ECH1	2.9412267	0.45018935	0.0032691521569714103	0.17877344105123127
PEBP1	2.921533	0.18993045	0.003483132225263364	0.18847344371972358
EWSR1	2.9049466	0.26601583	0.003673159146432563	0.19703055233910924
MTDH	2.871723	0.17145178	0.004082405970683187	0.21630860004116012
NR1H2	2.8666117	0.50130284	0.004148916787256357	0.21882197562510639
ERH	2.8620267	0.2535211	0.0042094158444144466	0.2215644315926289
IGHV3-74	2.857692	1.1140825	0.004267343623413522	0.22423148968130543
CHMP5	2.8308828	0.97009987	0.004641973420599287	0.24149078078660857
UBXN4	2.8272998	0.3163427	0.004694235291620945	0.2437609879079199
RBM25	2.8218627	0.2833613	0.00477455970317659	0.24710145921113416
IFI16	2.7996387	0.3935466	0.005115983511976286	0.26127031829674596
IFNGR2	2.7928486	0.33081374	0.005224612686300171	0.2663776537435914
USP15	2.7733054	0.31866115	0.005549000485688199	0.28106142296116116
TMEM50A	2.7611287	0.4268935	0.005760199777595182	0.2887808923560553
HNRNPC	2.758122	0.09768697	0.005813451277392223	0.29064434323234223
SF3B2	2.7438905	0.14700557	0.006071579588381294	0.30208308299873887
HMGN2	2.741385	0.038648184	0.006118078951402799	0.3039072111921098
SEC61B	2.736449	0.2482314	0.006210622074257958	0.3080089730792105
RAD23A	2.7302604	0.28721297	0.00632843314664229	0.31151856149196255
COX5A	2.730085	0.24092606	0.006331801036247937	0.31151856149196255
APOL6	2.7204888	1.8931167	0.006518549566422175	0.31817318476105205
JPT1	2.7144504	0.55937564	0.0066385846079579265	0.3232118562581174
IK	2.7139242	0.45092902	0.006649137644408401	0.3232118562581174
SAMD9	2.7114437	0.7498065	0.006699091104480472	0.32493221013364704
UVRAG	2.704278	0.19458216	0.006845301658657153	0.3304676333555157
CNPY3	2.7022734	0.10555578	0.0068867097151437615	0.3319480032274521
UBE2J1	2.700645	0.14593874	0.0069205193098918465	0.33305807650736513
SERBP1	2.6988158	0.20317027	0.006958667786636165	0.33437318600886096
OAS3	2.6920009	2.968509	0.007102478614742885	0.3402252430383115
EML4	2.6889942	0.25394547	0.007166768566432459	0.3417155067855921
TSR2	2.6779697	0.58563936	0.0074069911633012344	0.3498658567405423
BUD31	2.6719062	0.51898503	0.007542169899240394	0.3552293039280952
PTPN1	2.6675968	0.30023125	0.007639587797906259	0.35926993027687926
AKIRIN2	2.6483543	0.4606124	0.008088471473063559	0.37693741041213386
ISCU	2.6468258	0.13693905	0.008125117510082243	0.37807493329670344
ANAPC16	2.6366785	0.081005424	0.008372214986471612	0.3878205793658372
PCIF1	2.6361523	0.56715786	0.008385208846526871	0.3878410145675759
NAPA	2.6330204	0.4696179	0.00846292716948772	0.3908506139845471
NDUFS5	2.6196408	0.33648738	0.008802242927993418	0.4053098356873512
STK17B	2.615281	0.23925461	0.008915403341881175	0.40895122800863093
TRAPPC5	2.6146548	0.41210017	0.00893176833753714	0.40895122800863093
PSMA5	2.596139	0.58364046	0.009427796046157727	0.4283685506443166
SSR3	2.5900505	0.53443515	0.009596188602558293	0.4341045962712205
MRPL41	2.577673	0.49237138	0.009946807036591206	0.44799780905183456
RSL24D1	2.5634916	0.21424441	0.0103625186210088	0.4630085255172497
GCC2	2.5463037	0.4513471	0.010887043072423816	0.47985302397814356
DDX6	2.5421195	0.2925293	0.011018251752780421	0.48312311287178417
CHD2	2.541944	0.29724425	0.011023782068634748	0.48312311287178417
HBP1	2.5375092	0.6137617	0.011164442112452587	0.4879034907333063
MORF4L1	2.5300176	0.16700995	0.011405677957027157	0.4977418528789097
GMFG	2.5250316	0.18322957	0.011568786743708362	0.5041478194927465
IFIH1	2.5236034	1.0076195	0.011615886110359653	0.5047764179349961
HSPA9	2.5207722	0.38923308	0.011709761778748709	0.5074284848218777
IGHG1	2.5109756	0.52344465	0.012039802335588875	0.5195443753668847
AUP1	2.5071921	0.24415733	0.012169451157418592	0.5244066002939501
RHOG	2.5033085	0.2939174	0.012303819656981265	0.5279876610302086
TAPBP	2.5016298	0.12173902	0.012362307237410598	0.5290279871388853
SECISBP2	2.4990993	0.493231	0.012450940545558165	0.5315369199999253
RNF213	2.498974	0.4125277	0.012455342916138975	0.5315369199999253
GABPB1	2.491332	0.95346147	0.012726507896806379	0.5408678328578084
TPR	2.4898539	0.33840394	0.012779561805770025	0.542376539990215
EIF2S2	2.4878244	0.43179289	0.012852717307122064	0.5439868584084252
PIK3IP1	2.483565	0.65614265	0.01300745954102996	0.5497831428716863
HLA-C	2.4788797	-0.0029431495	0.013179577266491802	0.5562969928999962
PNISR	2.4664521	0.06032819	0.013645895336582869	0.572849494856523
C11orf58	2.4489634	0.16682707	0.01432679630831421	0.5965701152803021
SKP1	2.4453053	0.06984166	0.014472952128111302	0.6018449554539097
