	scores	logfoldchanges	pvals	pvals_adj
IFI6	20.81009	4.34125	3.5069603621563292e-96	5.4510438389176906e-92
MZB1	20.511257	3.6429677	1.7082365635210926e-93	1.77013166833934e-89
SPCS3	19.361225	3.0405846	1.6393732130033689e-83	7.280456438947961e-80
HSP90B1	19.18798	3.0321944	4.6642028988008925e-82	1.4499607551502335e-78
FKBP11	19.017056	3.0846603	1.2321080071288203e-80	3.482049237964876e-77
MYDGF	18.647509	2.9065022	1.323020511765027e-77	2.7419159099492928e-74
CD38	18.366314	3.1245253	2.444600237156037e-75	3.999751977498406e-72
SDF2L1	18.080477	2.884057	4.541395103505394e-73	5.882431232611342e-70
LMAN1	17.6972	2.49958	4.406716881155663e-70	3.91404593384246e-67
IFITM1	17.680174	2.578391	5.961224294682136e-70	5.147682768021765e-67
PSME2	17.645102	2.0924318	1.1097589301679282e-69	9.324074557332537e-67
ISG20	17.6062	1.9207656	2.207824743939218e-69	1.7598627644830376e-66
SSR3	17.404928	2.4875686	7.570206252655381e-68	5.348522767643132e-65
RRBP1	16.942259	2.9767945	2.1952981020279776e-64	1.2638005944026617e-61
SEC11C	16.463053	2.3883884	6.760357638641238e-61	3.188520230793757e-58
PPIB	16.412256	2.4174094	1.5628868449134782e-60	7.041371499684826e-58
TXNDC5	16.328913	2.711571	6.147069491328427e-60	2.7299135610989543e-57
SEC61B	16.249886	2.0165794	2.237793774567459e-59	9.529629461640903e-57
FKBP2	16.025763	2.2546031	8.444900389561065e-58	3.409436602730972e-55
MX1	15.932561	2.8539264	3.7661394195523083e-57	1.5009996940464436e-54
IFI27	15.911745	8.700827	5.2528807371842e-57	2.067041816162598e-54
TMEM208	15.881031	2.4476035	8.575750682002732e-57	3.251150749407548e-54
RABAC1	15.764895	1.7019483	5.426223417748926e-56	2.0081548498519148e-53
HM13	15.698538	2.2092593	1.5476808086071137e-55	5.660323917314041e-53
ISG15	15.641183	2.7397585	3.81572860852489e-55	1.3792971541071309e-52
ERLEC1	15.581303	2.224157	9.754657692564897e-55	3.44594367828142e-52
HSPA5	15.218353	1.9449701	2.671700037880596e-52	9.126938360175174e-50
