	scores	logfoldchanges	pvals	pvals_adj
IFI6	20.270441	4.376046	2.3454402958579807e-91	3.6233534410562016e-87
MZB1	20.17654	3.65429	1.5738619515085387e-90	1.6209204238586438e-86
HSP90B1	18.594849	3.0145392	3.5371378170968106e-77	1.366086839185502e-73
SPCS3	18.528234	2.8275094	1.2223263183296215e-76	3.7766216257430314e-73
FKBP11	18.517294	3.0111365	1.4977668688770358e-76	4.206954813426707e-73
MYDGF	17.966734	2.764471	3.550067884970147e-72	6.855402965120165e-69
CD38	17.916672	3.046445	8.740241583546268e-72	1.5885132012166415e-68
IFITM1	17.846724	2.7428105	3.0649749022887896e-71	4.984133134527196e-68
SDF2L1	17.73139	2.8993156	2.400258981045126e-70	3.531466749397679e-67
LMAN1	17.509018	2.5319588	1.2228392271596702e-68	1.5112825440620931e-65
ISG20	17.004292	1.8826802	7.632290266973783e-65	6.205654536281288e-62
PSME2	16.868013	2.0615087	7.735452014708163e-64	5.9750565224609526e-61
SSR3	16.754835	2.384931	5.220557701231939e-63	3.84046598321341e-60
RRBP1	16.600664	2.9163938	6.892484941526907e-62	4.732380160852375e-59
SEC61B	16.306229	2.1169267	8.912826424634177e-60	4.917492822177182e-57
SEC11C	16.112854	2.442013	2.0723550760560738e-58	1.085246691269568e-55
MX1	16.072796	2.9800599	3.9582354399802004e-58	2.0382933398178042e-55
TXNDC5	15.943107	2.692671	3.181383260299325e-57	1.489321190810125e-54
FKBP2	15.787755	2.3088202	3.777849744871535e-56	1.6674889081042262e-53
PPIB	15.7820215	2.3493748	4.137237952449381e-56	1.8003977608004016e-53
ERLEC1	15.662946	2.3376217	2.7104509735098715e-55	1.1471890921717055e-52
HM13	15.486407	2.235258	4.285802303742009e-54	1.765579117049558e-51
TMEM208	15.459607	2.4011126	6.499356279897908e-54	2.642244881315864e-51
RABAC1	15.427724	1.7551733	1.065627836251937e-53	4.2759354878800125e-51
ISG15	15.366681	2.7034822	2.738408232971222e-53	1.0709949262545805e-50
IFI27	15.204701	8.592548	3.29126417379563e-52	1.2554344342933777e-49
TMED9	14.696111	1.9138789	6.826988058567177e-49	2.343705000506112e-46
P4HB	14.678501	1.9757044	8.852523218842563e-49	2.9730044553541162e-46
HSPA5	14.673784	1.8557129	9.4901571949774e-49	3.1528751274539433e-46
SEC61G	14.6244135	1.9706223	1.9625514619468572e-48	6.382837107344426e-46
PRDX4	14.435308	2.2078779	3.1025547729137466e-47	9.882436579249076e-45
PDIA6	14.35381	1.9048243	1.0084150929480003e-46	3.1792858292667716e-44
LMAN2	14.313833	1.8678684	1.7934786776876727e-46	5.597283909547074e-44
