	scores	logfoldchanges	pvals	pvals_adj
HSP90B1	12.993073	3.7232485	1.3393755421526126e-38	1.0409291869724568e-34
MZB1	12.705229	4.475209	5.530770394073472e-37	2.2507884480646193e-33
PSME2	12.692394	3.2339523	6.516259540187723e-37	2.2507884480646193e-33
MYDGF	12.269589	3.8136358	1.319200696678527e-34	2.4123524739791393e-31
TXNDC5	12.242598	4.9195395	1.8404588319845493e-34	3.0112812478896677e-31
RRM2	12.231597	4.5713186	2.107528548828182e-34	3.065174207628181e-31
SPCS3	12.176799	3.803238	4.131831229931417e-34	5.5846190193425195e-31
SSR3	12.147668	3.607988	5.902528383486647e-34	7.645495827393725e-31
GAPDH	12.031552	2.80195	2.42557905774705e-33	3.0161590467273022e-30
FKBP11	12.028089	4.037065	2.5294828768947987e-33	3.0243859305395618e-30
SEC61G	12.010875	3.1706476	3.115306228827093e-33	3.45876874055528e-30
SEC61B	11.948845	3.0447066	6.583397264601748e-33	6.821935692155818e-30
SUB1	11.940493	3.279615	7.279083604866271e-33	7.299512000789605e-30
LMAN1	11.911158	3.7090333	1.0352936582153575e-32	9.465933515570828e-30
TXN	11.902195	3.7026086	1.1527509708163887e-32	9.954324841602521e-30
SDF2L1	11.902195	4.0231457	1.1527509708163887e-32	9.954324841602521e-30
PPIB	11.884574	2.9797363	1.423597645636009e-32	1.1960913516185571e-29
HM13	11.824682	3.5105429	2.910020850618106e-32	2.2753524077681048e-29
MANF	11.751652	3.8562703	6.925215820400149e-32	5.006608935087894e-29
TMEM258	11.532558	2.4363234	9.04158076382161e-31	5.55712797366125e-28
COX6A1	11.495993	1.9786514	1.3818366602459997e-30	8.260991587897575e-28
PDIA4	11.44649	3.8392403	2.4485987964646777e-30	1.436218694069763e-27
JCHAIN	11.444555	4.3610115	2.5038578311782033e-30	1.4414338592192002e-27
SEC11C	11.437731	3.5673158	2.7087813697906835e-30	1.5037122579050531e-27
RAN	11.43162	2.3898911	2.9063759919376308e-30	1.5850966747607916e-27
MIF	11.41298	1.8637391	3.601760020511072e-30	1.8355395697971752e-27
SMC4	11.393016	3.8222919	4.530329221481692e-30	2.2354657858444658e-27
NME1	11.346468	3.8612497	7.721967999923644e-30	3.637163927479187e-27
IFITM1	11.196535	2.9452434	4.2399265367401596e-29	1.9102405253281356e-26
ATP5MC3	11.148969	2.4072444	7.24411871940959e-29	3.217113123289799e-26
UQCRQ	11.086021	2.7496204	1.4666672870222656e-28	6.332539715508496e-26
SRGN	11.039065	2.9807646	2.47593915565476e-28	1.0262602737578603e-25
HMGB1	11.010954	1.7105619	3.384031052553793e-28	1.3842022806676285e-25
LIME1	10.896671	3.0856986	1.1955168486117343e-27	4.704434464910504e-25
PRDX4	10.872837	3.6404104	1.5529613784093852e-27	6.03461379632657e-25
CD38	10.863466	3.484364	1.720912653054393e-27	6.5241477616465755e-25
AQP3	10.854299	3.944788	1.9026148028515547e-27	7.126094744126057e-25
NDUFS5	10.849002	2.6002376	2.016140923337664e-27	7.46140153378547e-25
FKBP2	10.817224	2.967195	2.852904213458522e-27	1.0312585265556405e-24
P4HB	10.81152	2.738549	3.035999950743468e-27	1.0848290858478413e-24
HDLBP	10.785444	3.2766244	4.032909397724781e-27	1.408663533113149e-24
PDIA6	10.78025	2.7829168	4.2672735212798105e-27	1.473963688400283e-24
HSPA5	10.7721	2.6096606	4.6623906337513475e-27	1.5927443695761335e-24
TUBA1B	10.763952	2.5351188	5.093757137505716e-27	1.7211916101482627e-24
NDUFC2	10.759369	2.8007302	5.353555428878219e-27	1.789526641048787e-24
OSTC	10.730442	2.9776	7.324520862757882e-27	2.4223125538356837e-24
SRPRB	10.729219	3.4316921	7.422044406064579e-27	2.4287273100139954e-24
IFI6	10.71557	3.672139	8.602503044164738e-27	2.7553258165451857e-24
TIMM8B	10.713941	3.2904596	8.75534689485142e-27	2.7553258165451857e-24
RRBP1	10.7137375	3.4600415	8.774640712772973e-27	2.7553258165451857e-24
PCLAF	10.697644	5.2531013	1.0439884011379629e-26	3.2133136065520646e-24
ISG20	10.694996	2.040164	1.0742453827373318e-26	3.274026099328964e-24
TNFRSF17	10.668106	3.4605508	1.4352236150074805e-26	4.290076588436302e-24
KDELR2	10.649058	2.844095	1.7613711619816e-26	5.214832886906857e-24
JPT1	10.602103	3.0856	2.913537609559203e-26	8.386402191515458e-24
COX5A	10.576333	2.2477043	3.836804784201556e-26	1.094263764463062e-23
PTTG1	10.572768	3.3974123	3.985525540020275e-26	1.1263457496600935e-23
MLEC	10.569305	3.1077669	4.135465167648788e-26	1.1581910420423232e-23
ATP5MC1	10.559833	2.6083486	4.5747644796174864e-26	1.2697830658738285e-23
LAP3	10.530396	3.189797	6.257051389016722e-26	1.7062540046523056e-23
FABP5	10.482728	3.34076	1.0370873181394248e-25	2.7321977507627374e-23
HSPD1	10.454004	2.5239449	1.4046657814076743e-25	3.6694827854302834e-23
DCPS	10.453189	3.327924	1.416790473804023e-25	3.6703137882621383e-23
MRPL51	10.436485	2.6719873	1.6895126585733834e-25	4.340651241080229e-23
PSMB2	10.422734	2.7964513	1.9525739969942174e-25	4.934932345086117e-23
NDUFA11	10.420697	2.2277997	1.9948539484145805e-25	5.001131023739037e-23
CD320	10.404706	3.3527079	2.359838780904866e-25	5.868824654559166e-23
SEC13	10.401141	2.7875748	2.4498235147292114e-25	6.04425901606246e-23
MKI67	10.397984	3.6190712	2.532358982352867e-25	6.198696353102644e-23
TMEM208	10.396659	2.7595146	2.567785292481458e-25	6.236307920888366e-23
CALR	10.394928	2.2497013	2.6148540097436088e-25	6.301392759759656e-23
