	scores	logfoldchanges	pvals	pvals_adj
IFITM1	11.291846	2.7996628	1.4397992387747367e-29	3.7299199113158535e-26
ISG20	8.38465	1.1451944	5.087672290911263e-17	4.393346347432179e-14
LY6E	8.357784	1.1473043	6.390714913745501e-17	5.369409581719092e-14
LAPTM5	7.8659124	0.6061667	3.664172007487492e-15	2.7782467121161873e-12
B2M	7.8588424	0.28101394	3.877000798362832e-15	2.869626757588223e-12
TMSB4X	7.775012	0.44312575	7.544030104924734e-15	5.453982880739424e-12
HLA-DQB1	7.5221066	0.70351994	5.390049067491121e-14	3.35120910722193e-11
TXNIP	7.2330437	0.9493086	4.722873536813262e-13	2.8788229340963503e-10
IFITM2	6.996905	0.8833032	2.6167909799277746e-12	1.4271610735616617e-09
TSC22D3	6.839748	0.64002603	7.933256379032554e-12	4.042969525491558e-09
BTG1	6.530889	0.57779986	6.538052342720558e-11	3.175756768408656e-08
S100A11	6.37858	1.6236129	1.7873725129927401e-10	7.825922438226101e-08
TSPAN3	6.341412	0.8809362	2.2766873730283598e-10	9.829913939629531e-08
MX1	6.278186	1.7494464	3.4254647620703656e-10	1.4587318227189239e-07
IFI44L	6.2278876	3.630897	4.727661258040996e-10	1.9595840737162727e-07
CCND3	6.140219	1.1910486	8.240768072177298e-10	3.322169157568576e-07
CIB1	6.138401	0.800032	8.335612773517835e-10	3.322169157568576e-07
XAF1	5.837622	2.533308	5.295113055148101e-09	1.8920595350044714e-06
PTPRCAP	5.7370257	0.70084715	9.635372373322624e-09	3.255813271407396e-06
S100A8	5.2362657	2.1189268	1.638581991115692e-07	4.851295081696526e-05
VIM	5.219095	0.5812718	1.797991107782807e-07	5.273032978079634e-05
HLA-E	5.144759	0.23562203	2.6786428629386654e-07	7.710275062979101e-05
CYBA	5.142941	0.37022305	2.704704174118057e-07	7.713865932184223e-05
RPL14	5.087795	0.21869157	3.622508462944673e-07	0.00010145308161041536
MS4A1	5.0587068	0.27036342	4.221093787454977e-07	0.00011716173443804722
IRF7	4.9849763	1.5175527	6.196935508862482e-07	0.000168986082600007
FTH1	4.9680085	0.27632684	6.764403441930486e-07	0.0001828565302602548
ATP6V1G1	4.9609385	0.5055474	7.015345018669209e-07	0.00018800519878911184
ADGRE5	4.9494243	1.2201543	7.443331289870053e-07	0.00019609393204083925
LGALS1	4.8243856	1.15575	1.4043534841664893e-06	0.00035784538329740697
S100A9	4.7660074	1.8263631	1.8791220445246885e-06	0.00046733013598511196
RPL28	4.600165	0.14469178	4.221566494226976e-06	0.00101733207446538
MYL12A	4.5411806	0.4239133	5.594007354215447e-06	0.0013274878367976763
FCRL5	4.4854283	1.0072833	7.276757463805287e-06	0.001688153427442649
MALAT1	4.4581585	0.18358982	8.26668438796612e-06	0.001903603093101502
OAS1	4.435534	1.7327385	9.184424405386152e-06	0.0020993838344870535
ARPC1B	4.4304843	0.59257245	9.402174072938165e-06	0.0021334699664629832
HSP90AB1	4.2993855	0.380148	1.712722160715425e-05	0.0037761272205787525
EZR	4.2892857	0.38213864	1.7924874563879805e-05	0.003924158982868532
SRGN	4.2125254	1.0688229	2.5253142444889706e-05	0.005377016706741686
CLIC1	4.153339	0.3073803	3.276586973273807e-05	0.0067456463071631015
EMP3	4.0559745	0.45611733	4.9925673997928914e-05	0.010144048546232784
IGKV3-20	4.0321383	1.2229323	5.5271583138320746e-05	0.011157322759876473
ARL6IP5	4.0165844	0.5689411	5.904770005177951e-05	0.011842682912965611
ISG15	3.9990103	1.7173634	6.360788040559129e-05	0.012594765466042143
SCPEP1	3.930128	1.0223088	8.490060486645846e-05	0.016495656896772466
HSP90AA1	3.9194221	0.481109	8.87615472963725e-05	0.017138697023616967
CSNK2B	3.8469038	0.74121594	0.00011961991258341396	0.022267210913057424
COX6A1	3.8343797	0.35135895	0.0001258815398862995	0.023019290767325843
RHOA	3.8155937	0.24173847	0.00013585590910241313	0.024554375850387892
COX5B	3.8006456	0.56023765	0.00014431958571632582	0.02563693120664812
TNIP2	3.7143912	1.456482	0.0002036934421039476	0.03557425862182819
PSMB9	3.7020693	0.46024716	0.0002138482703423665	0.03713911273817401
ARPC5L	3.6588411	0.8790674	0.00025335844006481756	0.04303909194696712
NEAT1	3.652983	0.8022041	0.0002592114008473538	0.04379404792468309
GNG5	3.6380348	0.768097	0.00027472616575243336	0.04616439089051836
STAT1	3.6089468	1.7721136	0.00030744262392924903	0.050837600266428536
GSTP1	3.604503	0.6132906	0.00031275107910576567	0.051441760826248344
EEA1	3.6022809	1.2199978	0.00031543737157223436	0.051610534579295
MPP6	3.4618902	0.6894181	0.0005363959146543942	0.08379366733096055
GAPDH	3.4564362	0.2699638	0.0005473687848308883	0.08508026707018913
NCL	3.439872	0.34636682	0.0005819890995472243	0.08956581751299288
TMBIM6	3.422702	0.40154013	0.0006200199812182203	0.09356583085500395
SERP1	3.390786	0.4280389	0.0006969251641763183	0.10339649682927851
ATP6V0E1	3.3901799	0.4414986	0.00069846766603881	0.10339649682927851
