	scores	logfoldchanges	pvals	pvals_adj
IFITM1	10.432839	2.627535	1.755625443573253e-25	3.1907976076519296e-22
ISG20	8.884436	1.2835314	6.424601952510706e-19	5.671455043620666e-16
LAPTM5	8.344138	0.64967704	7.173516244853472e-17	5.683080292749685e-14
B2M	8.309961	0.31577465	9.573331336385697e-17	7.394680457507722e-14
LY6E	8.302777	1.141592	1.0170513746443564e-16	7.664350322533337e-14
HLA-DQB1	7.846289	0.72113395	4.2852809936510564e-15	2.87831145349645e-12
IFITM2	7.3915424	0.9586125	1.4513539970753722e-13	8.304163786599588e-11
TMSB4X	7.3671613	0.44106337	1.7429941848932571e-13	9.616659166186958e-11
TSC22D3	7.3443046	0.6877665	2.0683203579820996e-13	1.1211384929925077e-10
BTG1	7.012115	0.6529404	2.3474237024901996e-12	1.1889893464891755e-09
TXNIP	6.941149	0.908787	3.8892330499968404e-12	1.907391008662736e-09
CCND3	6.4067287	1.252692	1.4867480599832512e-10	6.292610247849659e-08
TSPAN3	6.1918726	0.87615824	5.945366124239661e-10	2.449253028541771e-07
S100A11	6.1792464	1.7059056	6.440821361831655e-10	2.618448126533061e-07
CYBA	6.069533	0.49008405	1.2828299500683545e-09	5.081486790674608e-07
MX1	6.0031385	1.8127588	1.9353961185681506e-09	7.382460972271624e-07
CIB1	6.000744	0.8404558	1.9641574063841712e-09	7.400801388420944e-07
PTPRCAP	5.9937778	0.76448035	2.050214671651532e-09	7.631985868676794e-07
IFI44L	5.799166	3.4135191	6.6645479748585015e-09	2.339937940672763e-06
XAF1	5.6898875	2.4537017	1.27123052144676e-08	4.316176859465994e-06
HLA-E	5.627194	0.26258036	1.8316482834250202e-08	5.9570986329455634e-06
FTH1	5.5185685	0.31376657	3.4177254198235115e-08	1.0559746229628703e-05
MALAT1	5.484827	0.2396945	4.138743504827799e-08	1.253674098712397e-05
LGALS1	5.2621336	1.3395951	1.4239311686040524e-07	4.07362975151476e-05
MS4A1	5.127168	0.2720291	2.94132764980128e-07	8.042318619107093e-05
RPL28	5.0864606	0.15863076	3.6480705581588633e-07	9.801255307429079e-05
ARPC1B	4.9915495	0.7386634	5.989681716625722e-07	0.00015817367179366234
S100A8	4.896856	1.978781	9.738217356250577e-07	0.0002528417660975412
VIM	4.831115	0.5450869	1.3577079283903989e-06	0.00033829920857643674
MYL12A	4.772992	0.46508822	1.8150866834413748e-06	0.00044864586606630527
FCRL5	4.767986	1.1133577	1.860770946900725e-06	0.0004562876186221563
ADGRE5	4.7194414	1.1896993	2.364930272019405e-06	0.0005753484300360909
EZR	4.617564	0.4242136	3.882704486549982e-06	0.0009088175797040516
RPL14	4.5901356	0.1926069	4.429577612259027e-06	0.001029027514932084
IRF7	4.5468163	1.5531275	5.446352496888176e-06	0.0012557906947489102
SRGN	4.3262997	1.1970491	1.5163497802969495e-05	0.003322741784527294
GABARAP	4.3106265	0.4169253	1.6279272612812784e-05	0.003542117506465328
RHOA	4.3014836	0.25312766	1.696583379777843e-05	0.00361512666793076
MPP6	4.276667	0.8536552	1.89711962527131e-05	0.00401474692205532
CALR	4.157593	0.67395806	3.2161854029639325e-05	0.006549998305852378
EMP3	4.1571574	0.46092978	3.222318485579705e-05	0.006549998305852378
GSTP1	4.1547627	0.7122618	3.256249547445208e-05	0.0065757086449290585
ATP6V1G1	4.123634	0.35542735	3.7294167077025086e-05	0.0073863966678131025
S100A9	4.09294	1.6751537	4.259379526418787e-05	0.008382296129156768
OAS1	4.085974	1.6219375	4.3892285897539745e-05	0.008583164287191681
CLIC1	3.971471	0.2729654	7.14302014295366e-05	0.013707943686760201
IGKV3-20	3.8134305	1.2212043	0.00013705099681691774	0.0247629511617094
CRIP1	3.8106008	0.66045254	0.00013862951460554785	0.02490253553934658
COX6A1	3.761839	0.31395134	0.0001686686354804197	0.02921525984868664
ISG15	3.7609682	1.8044028	0.00016925693474819265	0.02921525984868664
CSNK2B	3.6758528	0.7143298	0.00023705615777546237	0.03937808659563689
ATP6V0E1	3.6656215	0.5426072	0.0002467385638135645	0.04068863778470659
NME2	3.6647508	0.5541209	0.0002475795029784393	0.04068863778470659
TMBIM6	3.6401522	0.4469438	0.00027247686865369055	0.044309041109437244
