	scores	logfoldchanges	pvals	pvals_adj
IFITM1	23.522907	3.6534886	2.3779003609191028e-122	2.4640596173297386e-118
IFI44L	16.532604	4.7753935	2.137089546316156e-61	3.496615932964755e-58
XAF1	15.425971	2.791321	1.0949653151168455e-53	1.3091994904245144e-50
IFITM2	14.24299	1.3362056	4.956087983771852e-46	4.1640515446355565e-43
ISG20	13.860364	1.2489104	1.101143622144534e-43	8.77724404656593e-41
MX1	12.836823	2.6068752	1.0197309826841655e-37	7.547708823500631e-35
B2M	12.514735	0.30101728	6.201433414144878e-36	4.381453648761859e-33
PTPRCAP	12.356124	1.0656673	4.514052282857506e-35	3.050616159069376e-32
LY6E	12.322511	1.1556013	6.852729885258716e-35	4.5325705094263335e-32
TXNIP	11.607956	0.74542683	3.7548381992372836e-31	2.1223028199943535e-28
IRF7	11.495065	2.228473	1.3967620221394615e-30	7.753775175401686e-28
TRIM22	10.017416	1.5683067	1.2780034651635076e-23	5.842543194343818e-21
CCND3	9.730876	1.2672359	2.2266769055849997e-22	9.888672137702984e-20
ISG15	9.065138	2.531255	1.244469353353024e-19	4.897065669327273e-17
MYL12A	8.352186	0.623968	6.701066523076827e-17	2.314622833365437e-14
EIF2AK2	8.083503	1.9982723	6.293233260593428e-16	2.149865300791955e-13
BTG1	7.8031545	0.3936204	6.037851220633947e-15	2.018265385976855e-12
TSC22D3	7.741678	0.49212044	9.811318517792651e-15	3.2447282847087245e-12
STAT1	7.620107	2.265356	2.534654236468194e-14	8.294189078851237e-12
SP100	7.5889263	0.57578707	3.225666661550673e-14	1.0337762835837708e-11
CYBA	7.5756583	0.2877212	3.573114668807635e-14	1.1334430174410505e-11
EPSTI1	7.1230426	2.3231173	1.0557017830454442e-12	3.186271973741138e-10
S100A9	6.9496145	1.8152926	3.662855100478701e-12	1.064179219706368e-09
COX5A	6.8521476	1.0547049	7.27493767259137e-12	2.0748255727325497e-09
PSMB9	6.7436237	0.81583554	1.544841089375152e-11	4.21267324082503e-09
PSME2	6.714102	0.867713	1.8922804730892127e-11	5.0711485402521e-09
SHISA5	6.6835847	1.029335	2.331668957833349e-11	6.19526434975772e-09
RPS10	6.576056	1.0735593	4.830904145123532e-11	1.2726976030462308e-08
PLSCR1	6.5350347	2.594802	6.359472965998839e-11	1.661318790705932e-08
BST2	6.529783	1.185832	6.586513198380759e-11	1.706291131650522e-08
OAS1	6.483565	2.0323966	8.95803608893652e-11	2.3014749412956164e-08
S100A8	6.4560885	1.7069365	1.0744390020276262e-10	2.737793873445313e-08
RAC2	6.413077	0.3998021	1.4261155950193833e-10	3.5466924401894057e-08
SMCHD1	6.1735835	0.5487813	6.675918643636665e-10	1.5964175605748694e-07
ADAR	6.111554	1.2429585	9.86654250939571e-10	2.323645507496852e-07
UBE2L6	6.0909333	1.1513957	1.122544512763946e-09	2.6238000953603604e-07
RCSD1	5.9115896	0.39558125	3.3882178462308223e-09	7.632574506215767e-07
UVRAG	5.8454137	0.73472315	5.053102665507284e-09	1.1301136875008988e-06
PPM1K	5.816279	0.9045463	6.0172049687080215e-09	1.3266443323562146e-06
RPL28	5.795713	0.14437793	6.803153036505939e-09	1.4789483807402808e-06
CNBP	5.736503	0.46237245	9.665128359667097e-09	2.072136864254973e-06
CHCHD10	5.724064	0.8889583	1.0400551163961346e-08	2.1994689390072544e-06
HLA-E	5.707368	0.17487437	1.1473648672354116e-08	2.39850237737409e-06
CLIC1	5.7070365	0.4182541	1.149602258914464e-08	2.39850237737409e-06
CD24	5.6529126	0.78812444	1.5775146122137248e-08	3.230483817494254e-06
IFI6	5.6526914	2.0190225	1.5795462420276214e-08	3.230483817494254e-06
ZFP36L2	5.5431175	0.53156555	2.9713362364157932e-08	5.998047375419335e-06
VIM	5.511384	0.561151	3.560231847447743e-08	7.1404469317166445e-06
DDX17	5.4579787	0.6037009	4.8158477532304273e-08	9.47533285472622e-06
RPL14	5.438132	0.15353914	5.3842158976851735e-08	1.0461194975708688e-05
RALGPS2	5.4266324	0.3266031	5.742718917959181e-08	1.1088441180285531e-05
DRAP1	5.4040766	0.76587284	6.514318226256759e-08	1.2500654981459498e-05
ATF7IP	5.374057	0.882929	7.698458594586867e-08	1.4682330204289689e-05
SESN1	5.3582454	2.5315568	8.403405340418034e-08	1.5795024396030637e-05
SNHG7	5.3555365	0.6311922	8.530295060159964e-08	1.5879118714682204e-05
OAS2	5.317556	2.3844717	1.0517039321199102e-07	1.9345751560835293e-05
GNG5	5.2314777	0.70333016	1.6816037269789495e-07	3.0393032011973606e-05
NCL	5.2052727	0.34601516	1.9371191118696262e-07	3.48087987460642e-05
IFIT3	5.1951556	4.7638736	2.0454866067806223e-07	3.654485180746506e-05
FKBP5	5.0201797	3.3428175	5.162317866004337e-07	8.965417625724963e-05
STAG3	5.0069666	2.8031669	5.529451547200195e-07	9.549670013767361e-05
RNASE6	4.946485	1.4545277	7.556547837585027e-07	0.0001276686970798944
SF3B1	4.912098	0.5826986	9.010694069263598e-07	0.00015141375488172837
SP110	4.9011517	0.5143213	9.527642319513135e-07	0.00015923968644446495
TP53INP1	4.889818	1.7863806	1.0092904973256848e-06	0.00016778509994846825
CALR	4.7502246	0.53085226	2.031908395720479e-06	0.00033071170836524886
LAPTM5	4.7373986	0.15246612	2.1647915442475672e-06	0.0003505045559167923
NME2	4.673379	0.4259694	2.962844136468259e-06	0.0004699282432162692
UTRN	4.661659	0.6828919	3.136712626757749e-06	0.00049247972438393
RAN	4.6168227	0.5290227	3.896599075533486e-06	0.0006026546042841267
SYNGR2	4.570936	0.34186503	4.855495886035819e-06	0.0007399156892607623
GAPDH	4.500946	0.34191585	6.765168275620345e-06	0.0010258965179717546
RNF213	4.4584875	0.9215284	8.254004553777922e-06	0.0012395760365376534
PSMA6	4.403147	0.9993607	1.0669159775223936e-05	0.0015644913676055967
PSIP1	4.3960156	0.8182553	1.1025594732666515e-05	0.0016091674340582343
HSH2D	4.3594174	0.8627254	1.3040923664620557e-05	0.0018768666387132373
ARID4B	4.291583	0.5749263	1.774038747536537e-05	0.002506797388394015
SMAP2	4.231212	0.7955313	2.3243533028758858e-05	0.003240231889080837
SAMD9L	4.1885877	1.312282	2.806958939327712e-05	0.00389553270298574
TMEM123	4.175983	0.6386241	2.9670230650185927e-05	0.004081232124877566
UBXN1	4.148672	0.30995518	3.344093659044467e-05	0.0045661645487345085
ATP5F1D	4.13756	0.42013922	3.5101882413307396e-05	0.004744400950358639
PTGES3	4.1270003	0.637009	3.67525544429532e-05	0.004932974741718579
MALAT1	4.113456	0.13228686	3.8977972012260065e-05	0.005200464446116432
PARP14	4.1046658	0.89701027	4.049002736154769e-05	0.005379117438412107
HNRNPA2B1	4.095986	0.06706586	4.203756397739983e-05	0.005537380302395884
MIF	4.0706654	0.21781084	4.6879031860763197e-05	0.00604700607242965
FCHSD2	4.052643	0.74212086	5.064232559824828e-05	0.0064521228519374765
UBE2D3	4.0313582	0.3911034	5.5455484894676546e-05	0.007036508811921673
KLF6	3.9928799	0.33636045	6.527562753552563e-05	0.008116893732787542
IFITM3	3.9792247	2.2453322	6.914039667227694e-05	0.008462076816342808
